	HMP_2012__SRS015215__bin.8	HMP_2012__SRS023964__bin.18	HMP_2012__SRS017139__bin.20	HMP_2012__SRS019128__bin.7	HMP_2012__SRS011126__bin.20	HMP_2012__SRS019906__bin.20	HMP_2012__SRS017227__bin.42	HMP_2012__SRS016575__bin.67	HMP_2012__SRS047634__bin.63	HMP_2012__SRS011152__bin.27	HMP_2012__SRS022602__bin.23	HMP_2012__SRS042984__bin.3	HMP_2012__SRS063932__bin.25	HMP_2012__SRS063603__bin.72	HMP_2012__SRS024561__bin.57	HMP_2012__SRS024355__bin.22	HMP_2012__SRS022149__bin.12	HMP_2012__SRS023938__bin.6	HMP_2012__SRS055401__bin.41	HMP_2012__SRS047113__bin.59	HMP_2012__SRS051378__bin.2	HMP_2012__SRS024649__bin.43	HMP_2012__SRS018443__bin.45	HMP_2012__SRS018157__bin.75	HMP_2012__SRS051930__bin.20	HMP_2012__SRS024087__bin.44	HMP_2012__SRS015044__bin.29	HMP_2012__SRS014578__bin.12	HMP_2012__SRS013170__bin.25	HMP_2012__SRS018665__bin.14	HMP_2012__SRS013533__bin.40	HMP_2012__SRS013723__bin.10	HMP_2012__SRS011343__bin.50	HMP_2012__SRS018394__bin.56	HMP_2012__SRS053917__bin.70
HMP_2012__SRS015215__bin.8	1.0	0.9105797181092236	0.8986405039748612	0.7041495709690611	0.71258031617614	0.8905608911339791	0.8428090303822275	0.872505407938018	0.8310218308698163	0.9277116946347402	0.9118978918498039	0.9245122507370568	0.6153937285761083	0.8437032760221556	0.8530760836751283	0.8876961648780565	0.9145627866778097	0.698264535416909	0.8240948171578119	0.7251368666860313	0.8852810593349467	0.875957495855282	0.8052028966992844	0.6608125574069303	0.9332798546369099	0.8955623863012702	0.6881958861845828	0.8149304051368096	0.8514660133130552	0.6748164584018767	0.9508400413651056	0.9232319022310466	0.8953675506590512	0.9155333964705488	0.8104413348453912
HMP_2012__SRS023964__bin.18	0.5773798210507072	1.0	0.9424700469004267	0.6985520782989137	0.6970279501925072	0.8686466756087009	0.8177734696722039	0.832780339109453	0.8043780670362949	0.9471609946293491	0.9538032607652861	0.9593404435176587	0.5845443092278535	0.7759880133297855	0.836548121358248	0.8873842196627006	0.9483909768719895	0.648035920187819	0.7557765722322685	0.6856662268054673	0.8624094257005649	0.8573555472289649	0.7600249435692473	0.6497962700494346	0.8386578259995981	0.9022453737643611	0.6132524929993285	0.7737117768763339	0.91114713266612	0.6049240922658644	0.895286787691851	0.8705056774677028	0.8553019565677793	0.8558576659842483	0.7916352156858486
HMP_2012__SRS017139__bin.20	0.568054443374244	0.9395673132230902	1.0	0.6881388964705193	0.6724162743642897	0.8498489814424246	0.7986136518971495	0.8264299393444509	0.7960114859820041	0.9524130261682792	0.9416948816100225	0.9423012115319981	0.5762195960958488	0.7537871935360899	0.8047315388554169	0.9102139974691139	0.9447251778048962	0.6395562603338875	0.7411399814582145	0.658638960757732	0.848017810941458	0.8334870963157788	0.7419831590059618	0.6342382416432263	0.8202885931927737	0.8885255220234457	0.5941776086510288	0.7607275056787038	0.8961141199531718	0.5845363312979476	0.8797441143364996	0.8596161263909159	0.8434892843367026	0.8425288108219063	0.7698156874333161
HMP_2012__SRS019128__bin.7	0.569661721835798	0.8912658770872823	0.8806924110424099	1.0	0.8188965557856716	0.9198592129110259	0.9043226324598999	0.8699295660392719	0.8875908860221585	0.9004016796989799	0.8962480448643371	0.8999074468078964	0.6083077315691836	0.8166482580311402	0.9044150124395416	0.8759250267180222	0.880129470541468	0.6698489645070345	0.7911906451413616	0.7993714697135124	0.9230815420759052	0.8536908977428684	0.7589777462402791	0.7436980976075317	0.8501388875256427	0.866240140602329	0.6717716228333286	0.8269826908786895	0.8643394225211998	0.6504607162797197	0.8859615341312269	0.8696073908602713	0.8672008923906034	0.8465707108119797	0.9062135351681921
HMP_2012__SRS011126__bin.20	0.6063598755280463	0.9354125623392177	0.9051715133156326	0.8613379034589308	1.0	0.9738636832912678	0.9510098163771471	0.898687384461411	0.9287389562720602	0.9354077039491424	0.9395725588411769	0.9285956337648393	0.6323261485841437	0.861515841995438	0.9691644054909525	0.8951553348766819	0.9189578024530012	0.6998942085561107	0.8218774519687411	0.8781546134057557	0.9722428029024023	0.9015927017264289	0.8051961696452646	0.7940060827043742	0.9005912660721617	0.9074998967592109	0.7371276954955437	0.8711621754899079	0.8903977563954633	0.7241734056585669	0.9246384750485231	0.904442147505581	0.9015222550703373	0.8832243434493112	0.9469731015233482
HMP_2012__SRS019906__bin.20	0.5620456992032141	0.8645846939648766	0.8484881788331524	0.717591445700104	0.7222865816581613	1.0	0.8520338532634888	0.8456379466437255	0.8378970979699752	0.8783440006846323	0.8618979627686169	0.8813951183918348	0.5866379601562043	0.7401613389965633	0.8683717913493111	0.8264164455875	0.8711900440056392	0.6405081592850997	0.7559668854186842	0.7134160897588924	0.9219005751811798	0.8097555592589757	0.7243733587968489	0.6563069494678335	0.8120720485368238	0.8509794295031462	0.596615574483035	0.7833593823896369	0.8043181378002585	0.5778764689190468	0.8760703009229023	0.8419350770436498	0.8269317214447542	0.82073489867893	0.81978362017323
HMP_2012__SRS017227__bin.42	0.5839171212366941	0.8935346890661898	0.8752956847822218	0.7744498680790972	0.7743020256879863	0.9353429350126383	1.0	0.8735992057056285	0.8804706629272596	0.8975748903296242	0.8958808835338188	0.8999289960957741	0.6020231168142783	0.78781551247414	0.9057373725786482	0.8696781683761664	0.8898203344105885	0.659789440789864	0.7938355161924503	0.7649770770125355	0.9427039038302552	0.8405472838534352	0.7521943964272576	0.7114452755703057	0.8487780010522027	0.8659934810900187	0.6384066842561203	0.8197024956191185	0.8357016135093334	0.6218414140654976	0.8959535685889803	0.8595907683057559	0.8617134685901671	0.8439036522509622	0.853321064227877
HMP_2012__SRS016575__bin.67	0.5775062519899137	0.8693114449914641	0.8653476786623623	0.7117386247795152	0.6990376612125317	0.8868803160809589	0.8346007371065404	1.0	0.8327362411345508	0.8771364705237689	0.8668035632799634	0.883817856646855	0.597748338864939	0.7534816994075372	0.8446530488075634	0.8453441452370087	0.874235093716077	0.6472063737702688	0.814439900119324	0.6949846144834538	0.881755432169098	0.8193300096460623	0.7343430993808947	0.6662056207916573	0.8187891310324499	0.8600357310553132	0.6074118793004574	0.7896629357851904	0.8190635855953396	0.5971021188270161	0.876785017520688	0.8663708603890736	0.8358057863146846	0.8402254023050404	0.8105441569521089
HMP_2012__SRS047634__bin.63	0.5921882207429536	0.9039906178497848	0.8973517090841774	0.7818222873873448	0.7777577739160153	0.9460846763468406	0.9056078792160046	0.8965329069459341	1.0	0.9095391466250857	0.9091282198376941	0.9130772872932588	0.6066103269766825	0.8043947806195129	0.902522876874027	0.8878505528440152	0.9039122976452573	0.6743262809549165	0.8024088040047053	0.7762996958226343	0.9430139140420498	0.8563022590293279	0.7552244407861111	0.7357135555491137	0.8594554101206996	0.888550348957197	0.6480071322243396	0.8278089617639744	0.8669644868729743	0.6423955404272113	0.9090870254444036	0.8814623704474474	0.8949843029018653	0.8584423331894072	0.873408612272776
HMP_2012__SRS011152__bin.27	0.5916536226547519	0.9526528538962945	0.9608948184587599	0.7098043785095371	0.7010658387682751	0.8875873956384223	0.8262341895879427	0.8451486516686701	0.8140077895395141	1.0	0.9620427218509919	0.9764916485704234	0.5985874689185358	0.7797864317090789	0.8442419809480808	0.9118026043115106	0.9668673752838467	0.6601118136190863	0.7689400646048404	0.6871198594114196	0.8830540420354758	0.8612839313096795	0.7721643895971368	0.6513632604461712	0.8525299162649536	0.9056079313661188	0.6162998640449076	0.7841964380402986	0.89392362209491	0.6088585188587055	0.913448448350492	0.8815661371230228	0.8642419900512005	0.8712081523898648	0.794346871644647
