	HMP_2012__SRS015215__bin.8	HMP_2012__SRS023964__bin.18	HMP_2012__SRS017139__bin.20	HMP_2012__SRS019128__bin.7	HMP_2012__SRS011126__bin.20	HMP_2012__SRS019906__bin.20	HMP_2012__SRS017227__bin.42	HMP_2012__SRS016575__bin.67	HMP_2012__SRS047634__bin.63	HMP_2012__SRS011152__bin.27	HMP_2012__SRS022602__bin.23	HMP_2012__SRS042984__bin.3	HMP_2012__SRS063932__bin.25	HMP_2012__SRS063603__bin.72	HMP_2012__SRS024561__bin.57	HMP_2012__SRS024355__bin.22	HMP_2012__SRS022149__bin.12	HMP_2012__SRS023938__bin.6	HMP_2012__SRS055401__bin.41	HMP_2012__SRS047113__bin.59	HMP_2012__SRS051378__bin.2	HMP_2012__SRS024649__bin.43	HMP_2012__SRS018443__bin.45	HMP_2012__SRS018157__bin.75	HMP_2012__SRS051930__bin.20	HMP_2012__SRS024087__bin.44	HMP_2012__SRS015044__bin.29	HMP_2012__SRS014578__bin.12	HMP_2012__SRS013170__bin.25	HMP_2012__SRS018665__bin.14	HMP_2012__SRS013533__bin.40	HMP_2012__SRS013723__bin.10	HMP_2012__SRS011343__bin.50	HMP_2012__SRS018394__bin.56	HMP_2012__SRS053917__bin.70
HMP_2012__SRS015215__bin.8	0.0	47192.0	46237.0	38626.0	39384.0	49093.0	46651.0	44709.0	45392.0	47182.0	46655.0	47570.0	29255.0	24783.0	47126.0	45367.0	47501.0	28377.0	41962.0	39656.0	48717.0	49627.0	44673.0	33003.0	1653.0	44842.0	23837.0	50425.0	44718.0	20317.0	28511.0	33359.0	31556.0	42322.0	47783.0
HMP_2012__SRS023964__bin.18	47192.0	0.0	20404.0	56148.0	56592.0	68755.0	66035.0	69332.0	65656.0	17512.0	18729.0	19616.0	38028.0	67519.0	67962.0	19659.0	20260.0	47604.0	61236.0	53850.0	68599.0	81350.0	69260.0	49313.0	70709.0	57495.0	48688.0	71640.0	1806.0	50244.0	77244.0	72855.0	71884.0	74410.0	68540.0
HMP_2012__SRS017139__bin.20	46237.0	20404.0	0.0	54843.0	54015.0	67233.0	63745.0	68313.0	63986.0	12441.0	13065.0	20984.0	38991.0	64540.0	64355.0	1966.0	21371.0	46182.0	60209.0	51618.0	66884.0	77706.0	66913.0	48081.0	69131.0	56554.0	47272.0	70640.0	20466.0	48464.0	76309.0	71796.0	71831.0	73325.0	65675.0
HMP_2012__SRS019128__bin.7	38626.0	56148.0	54843.0	0.0	43661.0	50006.0	49111.0	51108.0	50095.0	55413.0	55806.0	55780.0	31476.0	56522.0	48310.0	53486.0	54839.0	38702.0	45447.0	42029.0	50325.0	66454.0	57887.0	39655.0	59135.0	54435.0	41312.0	54890.0	54702.0	44818.0	63270.0	59276.0	60553.0	60379.0	46237.0
HMP_2012__SRS011126__bin.20	39384.0	56592.0	54015.0	43661.0	0.0	39166.0	13198.0	47868.0	41303.0	54675.0	55131.0	54893.0	28836.0	57157.0	9636.0	51840.0	54735.0	37281.0	43165.0	12087.0	20697.0	65391.0	57583.0	33437.0	59722.0	53104.0	43478.0	51856.0	53912.0	47364.0	62707.0	57735.0	59099.0	57662.0	48061.0
HMP_2012__SRS019906__bin.20	49093.0	68755.0	67233.0	50006.0	39166.0	0.0	48985.0	61974.0	52316.0	67294.0	66758.0	68056.0	37161.0	66346.0	46995.0	63254.0	67554.0	46145.0	53819.0	38881.0	51863.0	79791.0	69379.0	39314.0	72249.0	66414.0	47109.0	65359.0	64713.0	51512.0	79171.0	74148.0	73414.0	70858.0	60434.0
HMP_2012__SRS017227__bin.42	46651.0	66035.0	63745.0	49111.0	13198.0	48985.0	0.0	56862.0	51030.0	63596.0	64224.0	64624.0	34253.0	63901.0	16977.0	61143.0	64231.0	43356.0	50511.0	2727.0	29398.0	74906.0	65307.0	39729.0	69282.0	61900.0	46616.0	61372.0	62426.0	49957.0	73688.0	67679.0	68906.0	67409.0	56046.0
HMP_2012__SRS016575__bin.67	44709.0	69332.0	68313.0	51108.0	47868.0	61974.0	56862.0	0.0	59439.0	67957.0	67908.0	69524.0	39326.0	60602.0	58458.0	64652.0	68966.0	44734.0	11067.0	46963.0	61311.0	76890.0	67189.0	44641.0	64797.0	68189.0	44928.0	64341.0	66462.0	47038.0	70787.0	67879.0	67441.0	67192.0	60220.0
HMP_2012__SRS047634__bin.63	45392.0	65656.0	63986.0	50095.0	41303.0	52316.0	51030.0	59439.0	0.0	63650.0	63949.0	65015.0	34753.0	62559.0	47895.0	62375.0	64875.0	43014.0	51450.0	41061.0	51612.0	73582.0	63635.0	2307.0	66311.0	63608.0	43912.0	61182.0	62766.0	49494.0	72551.0	67915.0	69910.0	65602.0	56022.0
HMP_2012__SRS011152__bin.27	47182.0	17512.0	12441.0	55413.0	54675.0	67294.0	63596.0	67957.0	63650.0	0.0	799.0	16612.0	38508.0	65972.0	64770.0	12210.0	16690.0	47096.0	60535.0	52539.0	67063.0	79541.0	69148.0	47343.0	70535.0	55058.0	48103.0	71167.0	18031.0	49510.0	76936.0	72051.0	71579.0	72930.0	67147.0
HMP_2012__SRS022602__bin.23	46655.0	18729.0	13065.0	55806.0	55131.0	66758.0	64224.0	67908.0	63949.0	799.0	0.0	17361.0	37794.0	66927.0	65306.0	12534.0	17439.0	47279.0	59501.0	53423.0	67256.0	79747.0	68124.0	48113.0	70016.0	55264.0	48529.0	71546.0	18746.0	49931.0	76140.0	71994.0	72098.0	71985.0	67265.0
HMP_2012__SRS042984__bin.3	47570.0	19616.0	20984.0	55780.0	54893.0	68056.0	64624.0	69524.0	65015.0	16612.0	17361.0	0.0	38347.0	66795.0	66092.0	19472.0	499.0	46697.0	60973.0	53487.0	68363.0	81555.0	69280.0	47868.0	70590.0	56330.0	48391.0	72296.0	20071.0	48953.0	77698.0	72087.0	71818.0	73501.0	67079.0
HMP_2012__SRS063932__bin.25	29255.0	38028.0	38991.0	31476.0	28836.0	37161.0	34253.0	39326.0	34753.0	38508.0	37794.0	38347.0	0.0	38554.0	34062.0	37629.0	37875.0	29544.0	34666.0	28872.0	36313.0	47727.0	43137.0	27985.0	42086.0	32251.0	29736.0	38218.0	36576.0	30714.0	45417.0	42672.0	41811.0	43276.0	35768.0
HMP_2012__SRS063603__bin.72	24783.0	67519.0	64540.0	56522.0	57157.0	66346.0	63901.0	60602.0	62559.0	65972.0	66927.0	66795.0	38554.0	0.0	64500.0	63124.0	66021.0	37062.0	56453.0	55543.0	66193.0	70781.0	62401.0	46098.0	36336.0	64263.0	14306.0	67869.0	64156.0	29595.0	44487.0	46818.0	45453.0	57897.0	64874.0
HMP_2012__SRS024561__bin.57	47126.0	67962.0	64355.0	48310.0	9636.0	46995.0	16977.0	58458.0	47895.0	64770.0	65306.0	66092.0	34062.0	64500.0	0.0	60701.0	65631.0	43523.0	51413.0	13512.0	25476.0	76649.0	66495.0	37141.0	69085.0	63703.0	46825.0	62880.0	63744.0	51089.0	73835.0	69225.0	69643.0	67749.0	56527.0
HMP_2012__SRS024355__bin.22	45367.0	19659.0	1966.0	53486.0	51840.0	63254.0	61143.0	64652.0	62375.0	12210.0	12534.0	19472.0	37629.0	63124.0	60701.0	0.0	19845.0	45491.0	58046.0	49818.0	63152.0	74185.0	64639.0	47628.0	67682.0	53027.0	45787.0	67896.0	19721.0	47740.0	72104.0	67906.0	67512.0	68955.0	63243.0
HMP_2012__SRS022149__bin.12	47501.0	20260.0	21371.0	54839.0	54735.0	67554.0	64231.0	68966.0	64875.0	16690.0	17439.0	499.0	37875.0	66021.0	65631.0	19845.0	0.0	46370.0	60505.0	52840.0	67919.0	80641.0	69064.0	47611.0	69869.0	56075.0	47545.0	72364.0	20555.0	48399.0	76629.0	71683.0	71599.0	73065.0	66806.0
HMP_2012__SRS023938__bin.6	28377.0	47604.0	46182.0	38702.0	37281.0	46145.0	43356.0	44734.0	43014.0	47096.0	47279.0	46697.0	29544.0	37062.0	43523.0	45491.0	46370.0	0.0	41606.0	35838.0	46245.0	52792.0	46257.0	32434.0	39657.0	44579.0	30395.0	48524.0	44658.0	29571.0	43420.0	17130.0	35839.0	46222.0	44035.0
