	WenC_2017__N018__bin.59	CosteaPI_2017__SID713B072-11-90-0__bin.28	QinJ_2012__CON-099__bin.46	CosteaPI_2017__SID713B072-11-0-0__bin.57	BackhedF_2015__SID201_M__bin.16	RampelliS_2015__H10__bin.65	LeChatelierE_2013__MH0169__bin.13	CosteaPI_2017__SID713A058-11-0-0__bin.1	Bengtsson-PalmeJ_2015__TRAVELRES66__bin.37	BritoIL_2016__M1.59.ST__bin.102	CosteaPI_2017__SID713B005-11-90-0__bin.25	NielsenHB_2014__V1_CD38_0__bin.40	ChengpingW_2017__AS78raw__bin.62	LiJ_2017__H3M415131__bin.36	CosteaPI_2017__alien-11-600-0__bin.4	QinJ_2012__T2D-012__bin.11	LiuW_2016__SRR3992984__bin.8	LiJ_2014__V1.CD8-0-PN__bin.57	NielsenHB_2014__V1_UC28_0__bin.36	WenC_2017__N308__bin.46	CosteaPI_2017__SID713B014-11-90-0__bin.33	YuJ_2015__SZAXPI015270-90__bin.14	LiJ_2017__H1M413815__bin.24	FengQ_2015__SID530600__bin.2	WenC_2017__RA035__bin.14	QinN_2014__HD-53__bin.28	QinN_2014__HD-60__bin.57	CosteaPI_2017__SID713A057-11-0-0__bin.30	LiJ_2014__V1.UC63-0__bin.82	CosteaPI_2017__SID713B063-11-0-0__bin.75	LiJ_2017__H2M513938__bin.20	XieH_2016__YSZC12003_35989__bin.7	ZeeviD_2015__PNP_Main_429__bin.44	LiJ_2014__V1.CD55-0__bin.62	VogtmannE_2016__MMRS33294861ST-27-0-0__bin.63	Bengtsson-PalmeJ_2015__TRAVELRES2__bin.73	NielsenHB_2014__MH0169__bin.18	RaymondF_2016__P38C0__bin.23	BritoIL_2016__W1.11.ST__bin.3
WenC_2017__N018__bin.59	0.0	41371.0	28344.0	40488.0	38334.0	21389.0	29938.0	9955.0	30596.0	42541.0	37815.0	19947.0	10100.0	18286.0	35688.0	10159.0	24349.0	28097.0	23314.0	21096.0	11099.0	26100.0	6107.0	10344.0	887.0	5696.0	10519.0	10634.0	33230.0	21265.0	20733.0	13902.0	25065.0	11657.0	32830.0	9263.0	29696.0	21129.0	40624.0
CosteaPI_2017__SID713B072-11-90-0__bin.28	41371.0	0.0	36974.0	398.0	34123.0	45496.0	53834.0	56765.0	68801.0	24857.0	40846.0	55624.0	66281.0	59140.0	35076.0	50960.0	66648.0	71534.0	64076.0	59449.0	66230.0	73196.0	63161.0	59281.0	60406.0	60766.0	60449.0	69028.0	52689.0	53867.0	63272.0	34255.0	23554.0	64865.0	23676.0	66050.0	55729.0	61438.0	31649.0
QinJ_2012__CON-099__bin.46	28344.0	36974.0	0.0	36430.0	35001.0	36350.0	35868.0	41176.0	50770.0	38840.0	35420.0	39130.0	44024.0	45017.0	32700.0	36102.0	50579.0	52866.0	48713.0	43577.0	44155.0	51041.0	42964.0	41811.0	41746.0	42042.0	41104.0	43874.0	34076.0	41479.0	43806.0	25899.0	22422.0	44133.0	29943.0	43674.0	35788.0	45966.0	37197.0
CosteaPI_2017__SID713B072-11-0-0__bin.57	40488.0	398.0	36430.0	0.0	34115.0	45347.0	53126.0	56379.0	68303.0	25085.0	40628.0	55310.0	66029.0	58829.0	34605.0	50716.0	66056.0	70852.0	63492.0	58934.0	65692.0	72105.0	63310.0	59136.0	60463.0	60417.0	59869.0	68313.0	52064.0	53407.0	63402.0	33960.0	23344.0	64499.0	23432.0	65336.0	54594.0	61292.0	30424.0
BackhedF_2015__SID201_M__bin.16	38334.0	34123.0	35001.0	34115.0	0.0	43720.0	47431.0	52103.0	63418.0	35024.0	32238.0	51065.0	58967.0	56568.0	27540.0	46254.0	62015.0	65876.0	59535.0	55492.0	59506.0	65660.0	56868.0	53523.0	55597.0	54008.0	53378.0	59176.0	47248.0	49972.0	57822.0	32643.0	18625.0	57526.0	27391.0	58785.0	47878.0	57911.0	33797.0
RampelliS_2015__H10__bin.65	21389.0	45496.0	36350.0	45347.0	43720.0	0.0	40306.0	26840.0	24704.0	47592.0	43576.0	27297.0	32047.0	24535.0	41269.0	27086.0	25037.0	23979.0	23130.0	28578.0	32012.0	27601.0	28660.0	28901.0	28908.0	29111.0	27922.0	30033.0	43620.0	19596.0	28937.0	15018.0	26703.0	32174.0	36376.0	31288.0	40390.0	23413.0	46248.0
LeChatelierE_2013__MH0169__bin.13	29938.0	53834.0	35868.0	53126.0	47431.0	40306.0	0.0	42329.0	55112.0	59255.0	51800.0	39284.0	49227.0	44837.0	45717.0	39001.0	52405.0	55096.0	48082.0	42051.0	49497.0	56551.0	45427.0	44003.0	44460.0	43707.0	44306.0	49135.0	45052.0	40515.0	45486.0	25748.0	30158.0	49190.0	40989.0	47932.0	471.0	45125.0	53547.0
CosteaPI_2017__SID713A058-11-0-0__bin.1	9955.0	56765.0	41176.0	56379.0	52103.0	26840.0	42329.0	0.0	38026.0	58454.0	50346.0	27309.0	15710.0	25293.0	48796.0	15523.0	32916.0	36247.0	31136.0	28034.0	14710.0	31683.0	14946.0	11933.0	14760.0	15297.0	12402.0	1255.0	47867.0	29667.0	26483.0	17558.0	31945.0	19096.0	45243.0	12483.0	41582.0	28028.0	56969.0
Bengtsson-PalmeJ_2015__TRAVELRES66__bin.37	30596.0	68801.0	50770.0	68303.0	63418.0	24704.0	55112.0	38026.0	0.0	70048.0	63732.0	33206.0	45419.0	30675.0	61404.0	34834.0	33467.0	31122.0	30243.0	38744.0	44153.0	38378.0	42488.0	38350.0	40903.0	39762.0	37678.0	45890.0	62718.0	25496.0	41048.0	20583.0	37345.0	43373.0	51815.0	44220.0	55279.0	30287.0	70765.0
BritoIL_2016__M1.59.ST__bin.102	42541.0	24857.0	38840.0	25085.0	35024.0	47592.0	59255.0	58454.0	70048.0	0.0	45858.0	58154.0	70515.0	61776.0	35704.0	52368.0	67753.0	72848.0	64918.0	61879.0	71072.0	74832.0	64768.0	61281.0	62090.0	63782.0	62731.0	69423.0	55129.0	54420.0	66058.0	35143.0	23874.0	67460.0	24738.0	68980.0	61298.0	62932.0	31291.0
CosteaPI_2017__SID713B005-11-90-0__bin.25	37815.0	40846.0	35420.0	40628.0	32238.0	43576.0	51800.0	50346.0	63732.0	45858.0	0.0	51696.0	60392.0	53895.0	10251.0	45971.0	60112.0	64343.0	57725.0	54910.0	59561.0	67341.0	56671.0	53769.0	54022.0	55507.0	55212.0	59640.0	49428.0	47863.0	58435.0	31397.0	8705.0	58442.0	33438.0	58820.0	52962.0	55925.0	45856.0
NielsenHB_2014__V1_CD38_0__bin.40	19947.0	55624.0	39130.0	55310.0	51065.0	27297.0	39284.0	27309.0	33206.0	58154.0	51696.0	0.0	30716.0	25562.0	47387.0	25745.0	31402.0	32919.0	25724.0	18522.0	31011.0	32891.0	27918.0	29561.0	28156.0	28428.0	28630.0	30027.0	45309.0	25705.0	18126.0	18796.0	30577.0	30781.0	42583.0	29500.0	39545.0	23555.0	57028.0
ChengpingW_2017__AS78raw__bin.62	10100.0	66281.0	44024.0	66029.0	58967.0	32047.0	49227.0	15710.0	45419.0	70515.0	60392.0	30716.0	0.0	28832.0	54966.0	16182.0	37682.0	43221.0	35680.0	31063.0	15745.0	39997.0	15028.0	15372.0	14747.0	15460.0	15798.0	19824.0	53767.0	31866.0	32173.0	19721.0	34099.0	20061.0	49820.0	14486.0	50702.0	31401.0	68598.0
LiJ_2017__H3M415131__bin.36	18286.0	59140.0	45017.0	58829.0	56568.0	24535.0	44837.0	25293.0	30675.0	61776.0	53895.0	25562.0	28832.0	0.0	52987.0	25373.0	26484.0	30426.0	23689.0	27932.0	28071.0	27281.0	25155.0	26763.0	26121.0	24620.0	25111.0	26234.0	53329.0	23971.0	27562.0	18467.0	33848.0	28965.0	47291.0	26709.0	44284.0	10878.0	59954.0
CosteaPI_2017__alien-11-600-0__bin.4	35688.0	35076.0	32700.0	34605.0	27540.0	41269.0	45717.0	48796.0	61404.0	35704.0	10251.0	47387.0	54966.0	52987.0	0.0	45233.0	59295.0	62184.0	55862.0	51784.0	55517.0	62061.0	53821.0	51396.0	52733.0	51306.0	50788.0	56185.0	43295.0	47542.0	54812.0	30254.0	8240.0	54473.0	28791.0	55630.0	45461.0	54700.0	36915.0
QinJ_2012__T2D-012__bin.11	10159.0	50960.0	36102.0	50716.0	46254.0	27086.0	39001.0	15523.0	34834.0	52368.0	45971.0	25745.0	16182.0	25373.0	45233.0	0.0	32363.0	34987.0	31006.0	27617.0	15395.0	31551.0	13957.0	15786.0	14461.0	14843.0	15988.0	16522.0	40979.0	28093.0	26474.0	17561.0	28894.0	16873.0	40649.0	13353.0	38898.0	27171.0	51191.0
LiuW_2016__SRR3992984__bin.8	24349.0	66648.0	50579.0	66056.0	62015.0	25037.0	52405.0	32916.0	33467.0	67753.0	60112.0	31402.0	37682.0	26484.0	59295.0	32363.0	0.0	31314.0	26638.0	34481.0	38217.0	9220.0	35500.0	33554.0	35428.0	34409.0	31981.0	35464.0	60143.0	14611.0	34070.0	19770.0	36867.0	38323.0	52146.0	36461.0	51728.0	27496.0	67732.0
LiJ_2014__V1.CD8-0-PN__bin.57	28097.0	71534.0	52866.0	70852.0	65876.0	23979.0	55096.0	36247.0	31122.0	72848.0	64343.0	32919.0	43221.0	30426.0	62184.0	34987.0	31314.0	0.0	27194.0	36469.0	42286.0	33929.0	39461.0	38306.0	39431.0	38593.0	36003.0	40330.0	64283.0	24814.0	37196.0	20609.0	39010.0	42355.0	53765.0	41122.0	55311.0	28677.0	72058.0
NielsenHB_2014__V1_UC28_0__bin.36	23314.0	64076.0	48713.0	63492.0	59535.0	23130.0	48082.0	31136.0	30243.0	64918.0	57725.0	25724.0	35680.0	23689.0	55862.0	31006.0	26638.0	27194.0	0.0	28188.0	35558.0	27927.0	33652.0	32451.0	33311.0	33104.0	30330.0	33372.0	57651.0	21502.0	28010.0	18667.0	35089.0	35390.0	50615.0	34401.0	47845.0	21917.0	64909.0
WenC_2017__N308__bin.46	21096.0	59449.0	43577.0	58934.0	55492.0	28578.0	42051.0	28034.0	38744.0	61879.0	54910.0	18522.0	31063.0	27932.0	51784.0	27617.0	34481.0	36469.0	28188.0	0.0	31160.0	35287.0	28859.0	29234.0	29447.0	28357.0	28411.0	30510.0	50657.0	28466.0	8967.0	20376.0	33204.0	31574.0	46355.0	30225.0	41521.0	26871.0	60077.0
CosteaPI_2017__SID713B014-11-90-0__bin.33	11099.0	66230.0	44155.0	65692.0	59506.0	32012.0	49497.0	14710.0	44153.0	71072.0	59561.0	31011.0	15745.0	28071.0	55517.0	15395.0	38217.0	42286.0	35558.0	31160.0	0.0	39972.0	15121.0	13089.0	15791.0	16272.0	13289.0	15798.0	54109.0	31211.0	30920.0	19242.0	34983.0	18966.0	50044.0	10414.0	49633.0	30762.0	67403.0
YuJ_2015__SZAXPI015270-90__bin.14	26100.0	73196.0	51041.0	72105.0	65660.0	27601.0	56551.0	31683.0	38378.0	74832.0	67341.0	32891.0	39997.0	27281.0	62061.0	31551.0	9220.0	33929.0	27927.0	35287.0	39972.0	0.0	36929.0	32698.0	35830.0	35629.0	32783.0	37268.0	65299.0	15486.0	36492.0	20196.0	37567.0	40455.0	55123.0	37684.0	57741.0	28725.0	75721.0
LiJ_2017__H1M413815__bin.24	6107.0	63161.0	42964.0	63310.0	56868.0	28660.0	45427.0	14946.0	42488.0	64768.0	56671.0	27918.0	15028.0	25155.0	53821.0	13957.0	35500.0	39461.0	33652.0	28859.0	15121.0	36929.0	0.0	14976.0	8416.0	6956.0	15428.0	16428.0	51768.0	30533.0	28263.0	18631.0	33575.0	17026.0	47704.0	12497.0	45016.0	29623.0	63844.0
FengQ_2015__SID530600__bin.2	10344.0	59281.0	41811.0	59136.0	53523.0	28901.0	44003.0	11933.0	38350.0	61281.0	53769.0	29561.0	15372.0	26763.0	51396.0	15786.0	33554.0	38306.0	32451.0	29234.0	13089.0	32698.0	14976.0	0.0	16061.0	15951.0	10197.0	12331.0	49033.0	30032.0	28729.0	17592.0	32663.0	19031.0	45698.0	11738.0	44356.0	29207.0	59257.0
WenC_2017__RA035__bin.14	887.0	60406.0	41746.0	60463.0	55597.0	28908.0	44460.0	14760.0	40903.0	62090.0	54022.0	28156.0	14747.0	26121.0	52733.0	14461.0	35428.0	39431.0	33311.0	29447.0	15791.0	35830.0	8416.0	16061.0	0.0	9292.0	15377.0	16099.0	49764.0	30337.0	28064.0	18528.0	33324.0	17756.0	46828.0	13693.0	44249.0	29774.0	60045.0
QinN_2014__HD-53__bin.28	5696.0	60766.0	42042.0	60417.0	54008.0	29111.0	43707.0	15297.0	39762.0	63782.0	55507.0	28428.0	15460.0	24620.0	51306.0	14843.0	34409.0	38593.0	33104.0	28357.0	16272.0	35629.0	6956.0	15951.0	9292.0	0.0	16681.0	16491.0	48570.0	29155.0	26695.0	18026.0	33196.0	18096.0	46498.0	13740.0	43617.0	28320.0	61594.0
QinN_2014__HD-60__bin.57	10519.0	60449.0	41104.0	59869.0	53378.0	27922.0	44306.0	12402.0	37678.0	62731.0	55212.0	28630.0	15798.0	25111.0	50788.0	15988.0	31981.0	36003.0	30330.0	28411.0	13289.0	32783.0	15428.0	10197.0	15377.0	16681.0	0.0	12992.0	49365.0	27485.0	27282.0	16975.0	32158.0	18631.0	46101.0	11840.0	44950.0	27044.0	61387.0
CosteaPI_2017__SID713A057-11-0-0__bin.30	10634.0	69028.0	43874.0	68313.0	59176.0	30033.0	49135.0	1255.0	45890.0	69423.0	59640.0	30027.0	19824.0	26234.0	56185.0	16522.0	35464.0	40330.0	33372.0	30510.0	15798.0	37268.0	16428.0	12331.0	16099.0	16491.0	12992.0	0.0	54988.0	30053.0	34650.0	18061.0	34756.0	21050.0	49546.0	14015.0	53123.0	29892.0	70054.0
LiJ_2014__V1.UC63-0__bin.82	33230.0	52689.0	34076.0	52064.0	47248.0	43620.0	45052.0	47867.0	62718.0	55129.0	49428.0	45309.0	53767.0	53329.0	43295.0	40979.0	60143.0	64283.0	57651.0	50657.0	54109.0	65299.0	51768.0	49033.0	49764.0	48570.0	49365.0	54988.0	0.0	48827.0	53056.0	30101.0	28573.0	52858.0	39222.0	53011.0	44955.0	54681.0	52861.0
CosteaPI_2017__SID713B063-11-0-0__bin.75	21265.0	53867.0	41479.0	53407.0	49972.0	19596.0	40515.0	29667.0	25496.0	54420.0	47863.0	25705.0	31866.0	23971.0	47542.0	28093.0	14611.0	24814.0	21502.0	28466.0	31211.0	15486.0	30533.0	30032.0	30337.0	29155.0	27485.0	30053.0	48827.0	0.0	28512.0	16627.0	30672.0	31143.0	43443.0	30269.0	40260.0	21869.0	54133.0
LiJ_2017__H2M513938__bin.20	20733.0	63272.0	43806.0	63402.0	57822.0	28937.0	45486.0	26483.0	41048.0	66058.0	58435.0	18126.0	32173.0	27562.0	54812.0	26474.0	34070.0	37196.0	28010.0	8967.0	30920.0	36492.0	28263.0	28729.0	28064.0	26695.0	27282.0	34650.0	53056.0	28512.0	0.0	19727.0	34083.0	31991.0	47125.0	30641.0	48513.0	26499.0	64982.0
XieH_2016__YSZC12003_35989__bin.7	13902.0	34255.0	25899.0	33960.0	32643.0	15018.0	25748.0	17558.0	20583.0	35143.0	31397.0	18796.0	19721.0	18467.0	30254.0	17561.0	19770.0	20609.0	18667.0	20376.0	19242.0	20196.0	18631.0	17592.0	18528.0	18026.0	16975.0	18061.0	30101.0	16627.0	19727.0	0.0	20946.0	20168.0	27137.0	18698.0	25627.0	18401.0	34326.0
ZeeviD_2015__PNP_Main_429__bin.44	25065.0	23554.0	22422.0	23344.0	18625.0	26703.0	30158.0	31945.0	37345.0	23874.0	8705.0	30577.0	34099.0	33848.0	8240.0	28894.0	36867.0	39010.0	35089.0	33204.0	34983.0	37567.0	33575.0	32663.0	33324.0	33196.0	32158.0	34756.0	28573.0	30672.0	34083.0	20946.0	0.0	33882.0	20107.0	34481.0	30187.0	34317.0	24548.0
LiJ_2014__V1.CD55-0__bin.62	11657.0	64865.0	44133.0	64499.0	57526.0	32174.0	49190.0	19096.0	43373.0	67460.0	58442.0	30781.0	20061.0	28965.0	54473.0	16873.0	38323.0	42355.0	35390.0	31574.0	18966.0	40455.0	17026.0	19031.0	17756.0	18096.0	18631.0	21050.0	52858.0	31143.0	31991.0	20168.0	33882.0	0.0	49175.0	17013.0	49320.0	31321.0	64899.0
VogtmannE_2016__MMRS33294861ST-27-0-0__bin.63	32830.0	23676.0	29943.0	23432.0	27391.0	36376.0	40989.0	45243.0	51815.0	24738.0	33438.0	42583.0	49820.0	47291.0	28791.0	40649.0	52146.0	53765.0	50615.0	46355.0	50044.0	55123.0	47704.0	45698.0	46828.0	46498.0	46101.0	49546.0	39222.0	43443.0	47125.0	27137.0	20107.0	49175.0	0.0	50174.0	41239.0	47542.0	21609.0
Bengtsson-PalmeJ_2015__TRAVELRES2__bin.73	9263.0	66050.0	43674.0	65336.0	58785.0	31288.0	47932.0	12483.0	44220.0	68980.0	58820.0	29500.0	14486.0	26709.0	55630.0	13353.0	36461.0	41122.0	34401.0	30225.0	10414.0	37684.0	12497.0	11738.0	13693.0	13740.0	11840.0	14015.0	53011.0	30269.0	30641.0	18698.0	34481.0	17013.0	50174.0	0.0	48409.0	29782.0	65731.0
NielsenHB_2014__MH0169__bin.18	29696.0	55729.0	35788.0	54594.0	47878.0	40390.0	471.0	41582.0	55279.0	61298.0	52962.0	39545.0	50702.0	44284.0	45461.0	38898.0	51728.0	55311.0	47845.0	41521.0	49633.0	57741.0	45016.0	44356.0	44249.0	43617.0	44950.0	53123.0	44955.0	40260.0	48513.0	25627.0	30187.0	49320.0	41239.0	48409.0	0.0	44364.0	54999.0
RaymondF_2016__P38C0__bin.23	21129.0	61438.0	45966.0	61292.0	57911.0	23413.0	45125.0	28028.0	30287.0	62932.0	55925.0	23555.0	31401.0	10878.0	54700.0	27171.0	27496.0	28677.0	21917.0	26871.0	30762.0	28725.0	29623.0	29207.0	29774.0	28320.0	27044.0	29892.0	54681.0	21869.0	26499.0	18401.0	34317.0	31321.0	47542.0	29782.0	44364.0	0.0	62163.0
BritoIL_2016__W1.11.ST__bin.3	40624.0	31649.0	37197.0	30424.0	33797.0	46248.0	53547.0	56969.0	70765.0	31291.0	45856.0	57028.0	68598.0	59954.0	36915.0	51191.0	67732.0	72058.0	64909.0	60077.0	67403.0	75721.0	63844.0	59257.0	60045.0	61594.0	61387.0	70054.0	52861.0	54133.0	64982.0	34326.0	24548.0	64899.0	21609.0	65731.0	54999.0	62163.0	0.0
