	WenC_2017__N018__bin.59	CosteaPI_2017__SID713B072-11-90-0__bin.28	QinJ_2012__CON-099__bin.46	CosteaPI_2017__SID713B072-11-0-0__bin.57	BackhedF_2015__SID201_M__bin.16	RampelliS_2015__H10__bin.65	LeChatelierE_2013__MH0169__bin.13	CosteaPI_2017__SID713A058-11-0-0__bin.1	Bengtsson-PalmeJ_2015__TRAVELRES66__bin.37	BritoIL_2016__M1.59.ST__bin.102	CosteaPI_2017__SID713B005-11-90-0__bin.25	NielsenHB_2014__V1_CD38_0__bin.40	ChengpingW_2017__AS78raw__bin.62	LiJ_2017__H3M415131__bin.36	CosteaPI_2017__alien-11-600-0__bin.4	QinJ_2012__T2D-012__bin.11	LiuW_2016__SRR3992984__bin.8	LiJ_2014__V1.CD8-0-PN__bin.57	NielsenHB_2014__V1_UC28_0__bin.36	WenC_2017__N308__bin.46	CosteaPI_2017__SID713B014-11-90-0__bin.33	YuJ_2015__SZAXPI015270-90__bin.14	LiJ_2017__H1M413815__bin.24	FengQ_2015__SID530600__bin.2	WenC_2017__RA035__bin.14	QinN_2014__HD-53__bin.28	QinN_2014__HD-60__bin.57	CosteaPI_2017__SID713A057-11-0-0__bin.30	LiJ_2014__V1.UC63-0__bin.82	CosteaPI_2017__SID713B063-11-0-0__bin.75	LiJ_2017__H2M513938__bin.20	XieH_2016__YSZC12003_35989__bin.7	ZeeviD_2015__PNP_Main_429__bin.44	LiJ_2014__V1.CD55-0__bin.62	VogtmannE_2016__MMRS33294861ST-27-0-0__bin.63	Bengtsson-PalmeJ_2015__TRAVELRES2__bin.73	NielsenHB_2014__MH0169__bin.18	RaymondF_2016__P38C0__bin.23	BritoIL_2016__W1.11.ST__bin.3
WenC_2017__N018__bin.59	1.0	0.9728044048305362	0.9779955314097797	0.9730634175290037	0.9742149600854524	0.9778486616921348	0.9801308241015798	0.992876442958591	0.9796578346191794	0.9723867503656041	0.9754923881554644	0.9845111303683411	0.993799222508454	0.9866377294516544	0.9753598362845881	0.9915897235511749	0.9828734531842266	0.9804800475754116	0.9829413667101291	0.9852736787950329	0.9930992246808881	0.9836668181084298	0.996012179601453	0.9927540749572172	0.9994110800605784	0.9961762778857824	0.99262511331553	0.9932884931802533	0.9778368557814926	0.9820416070587082	0.9866626868513636	0.9834340059271511	0.9760606520786116	0.9926144999597685	0.9712743496479511	0.9942339199633481	0.9799972921980953	0.9848999080230093	0.9726657672781835
CosteaPI_2017__SID713B072-11-90-0__bin.28	0.9728044048305362	1.0	0.9804756003090193	0.9998451987698359	0.9847952643105558	0.9672198473535445	0.97684844924519	0.9716608305900278	0.9683530096862302	0.9898726596032912	0.9830258572469857	0.9700697461438378	0.9714208224711388	0.9704449400827881	0.9843243180434804	0.9713897207353785	0.9685910803531665	0.9673416503300349	0.9681424095348043	0.9715067776187605	0.9712431820333063	0.9681938922852503	0.9714882740838112	0.971349129710664	0.9719107184375727	0.9711588479866345	0.9702244116576435	0.970131196344503	0.9766346726929572	0.9686707747246835	0.9710535321168912	0.9696495813582598	0.9834877718096151	0.9713789129237677	0.9861567093710003	0.9711418688447092	0.9761454192433258	0.9695959705431582	0.9868538559502615
QinJ_2012__CON-099__bin.46	0.9779955314097797	0.9804756003090193	1.0	0.9805910279722553	0.9808596191610519	0.9689899334584542	0.9806160620580004	0.9758863138316376	0.9710667243394556	0.9796749243827645	0.9814302678246098	0.9742460401559059	0.9763344018259882	0.9736505236590401	0.981757729255693	0.9760168045790086	0.9717323473178452	0.970225748369107	0.9710882173490876	0.9750177003580202	0.9762019869494941	0.9724066905976991	0.9762502294049622	0.9760001102097257	0.9764298966429569	0.9759327201544721	0.9749712440882169	0.9759773670156119	0.9815799232190484	0.9718590312434701	0.975280999052568	0.9730510416330659	0.9816409797045297	0.9758428958966915	0.9791337979094077	0.9762684124386252	0.980514863215298	0.9725795319443143	0.9800117252508274
CosteaPI_2017__SID713B072-11-0-0__bin.57	0.9730634175290037	0.9998451987698359	0.9805910279722553	1.0	0.9847964172756196	0.967117576038838	0.9770465752406662	0.9716915194562747	0.9683602089894751	0.9897813489759962	0.9831138538883689	0.9700692935628147	0.9714255545010735	0.9704496570735672	0.9844626027127249	0.9713072739986739	0.9686763956231551	0.9674053655188404	0.9681786948814369	0.9715646076008488	0.9713171944887377	0.9684621440755806	0.9713238757835997	0.9712770855878348	0.9718363721308505	0.9711208505671196	0.970223731092972	0.9703460645907364	0.9766546212093017	0.9687137348033998	0.9712086796281042	0.9695637561336291	0.9835224445283631	0.9714080786507241	0.9861900611109834	0.9712610966493859	0.9765367032507973	0.9695210096277448	0.987257059423217
BackhedF_2015__SID201_M__bin.16	0.9742149600854524	0.9847952643105558	0.9808596191610519	0.9847964172756196	1.0	0.9676754413204272	0.9783280064516571	0.9729398463009445	0.9691016190248822	0.984693638971086	0.9857538803640586	0.9714482207206577	0.9732102617595534	0.9707372487592506	0.9870209803919721	0.9728975757586411	0.9695277002368894	0.9682875284625642	0.969112455874937	0.9723321754382991	0.9729709351022641	0.9698965865681742	0.9730152561458053	0.9729180117510621	0.9731546832395548	0.9730361895594616	0.972129136012615	0.9726426246363391	0.9781171018498663	0.9695367912192416	0.972133358137096	0.9701823150975608	0.9864049507147529	0.973320409242271	0.9833055610747925	0.972926020818202	0.9782131983114069	0.9700581557672859	0.9845784313412344
RampelliS_2015__H10__bin.65	0.9778486616921348	0.9672198473535445	0.9689899334584542	0.967117576038838	0.9676754413204272	1.0	0.9713355299043972	0.978741772733393	0.981111229199911	0.9664663705440689	0.9693201515687023	0.9772236499566117	0.9774043844533253	0.9807800171714703	0.9689063385290466	0.9764384743725132	0.9813913837134286	0.9822081510544967	0.981790799669668	0.9782380744602353	0.9774470150689052	0.9806724754510818	0.9787828020767091	0.9778352966439658	0.9783369965401243	0.9777095961065492	0.9777715682738932	0.9784167853636871	0.9685768829017037	0.9818212515840076	0.9784427720671607	0.9784523823188439	0.9700088615542201	0.9770288264167782	0.9655916745019325	0.9777710046883514	0.9711948331846362	0.9813443866229061	0.965879890545333
LeChatelierE_2013__MH0169__bin.13	0.9801308241015798	0.97684844924519	0.9806160620580004	0.9770465752406662	0.9783280064516571	0.9713355299043972	1.0	0.978378077416791	0.974227833397477	0.9754134751831904	0.9783674074507159	0.9787352439351815	0.9787359861911554	0.9771395270461467	0.978906995059982	0.9779072468037138	0.9747868392160033	0.9740469449953131	0.975894227790072	0.9795061214563613	0.9786076495902144	0.9752890107738882	0.9791066935205316	0.9782499953042965	0.9788809968397497	0.9788689699184869	0.9780764084618552	0.9783850863914686	0.9796686933890761	0.9754716181527583	0.97910599415339	0.9762616638040158	0.9782174070061394	0.9783379829531067	0.9756422948976523	0.9790669480333447	0.9998151627019524	0.976998200125089	0.9763568840203761
CosteaPI_2017__SID713A058-11-0-0__bin.1	0.992876442958591	0.9716608305900278	0.9758863138316376	0.9716915194562747	0.9729398463009445	0.978741772733393	0.978378077416791	1.0	0.980362903621445	0.9711440158166376	0.9749593897066211	0.9836661235797799	0.9924137614656748	0.9868529251241	0.9741983516259808	0.9906597390407023	0.9835184313568403	0.9813806289091074	0.9829906906590288	0.9854108120485439	0.9928914498784395	0.9847963464780338	0.9926559432759328	0.993766809842517	0.9925125589648663	0.9921077070714367	0.9932699910082045	0.9993977646752272	0.9758697662038601	0.9823946838081177	0.9863182768767875	0.9834757566631531	0.9750768875483522	0.9906299788664218	0.9701005372162168	0.9938878184804989	0.9784707735910503	0.985004956795893	0.9708390236711227
Bengtsson-PalmeJ_2015__TRAVELRES66__bin.37	0.9796578346191794	0.9683530096862302	0.9710667243394556	0.9683602089894751	0.9691016190248822	0.981111229199911	0.974227833397477	0.980362903621445	1.0	0.9680658232095379	0.9708927688178305	0.9810620556161675	0.9798425357600934	0.984182616398927	0.9702623042597684	0.9795160630195372	0.9837744489872302	0.985213340396772	0.9842939441607468	0.9807356779282203	0.980283276352971	0.9830153148946811	0.9805654623455833	0.9804888025568572	0.9802812392886533	0.9802738992064811	0.9806319421312575	0.980036820299191	0.9704712648278102	0.9845667167469525	0.9811205857732888	0.9808220352327435	0.971813583973179	0.9801256437984567	0.9665348685808175	0.9803055797294444	0.9739329307828515	0.9845399476991132	0.9666936982773349
BritoIL_2016__M1.59.ST__bin.102	0.9723867503656041	0.9898726596032912	0.9796749243827645	0.9897813489759962	0.984693638971086	0.9664663705440689	0.9754134751831904	0.9711440158166376	0.9680658232095379	1.0	0.9822510009888938	0.9691670970074789	0.9704444832845667	0.9695465404148209	0.9842236752685872	0.9709024475215573	0.9683543742126893	0.9668971433972415	0.9679374217178801	0.9708281121976102	0.9699918722357685	0.9679595949735201	0.9711030524542418	0.9707395542916132	0.9714406882568747	0.9702497533717521	0.969612049964686	0.9704329079183741	0.9759081161797873	0.9683262501003992	0.9704402504465868	0.969058813171333	0.9835986512889424	0.9706708914031713	0.9857571788413099	0.9704687918747651	0.9747771531982008	0.9690320726593828	0.9868671271908932
