	WenC_2017__N018__bin.59	CosteaPI_2017__SID713B072-11-90-0__bin.28	QinJ_2012__CON-099__bin.46	CosteaPI_2017__SID713B072-11-0-0__bin.57	BackhedF_2015__SID201_M__bin.16	RampelliS_2015__H10__bin.65	LeChatelierE_2013__MH0169__bin.13	CosteaPI_2017__SID713A058-11-0-0__bin.1	Bengtsson-PalmeJ_2015__TRAVELRES66__bin.37	BritoIL_2016__M1.59.ST__bin.102	CosteaPI_2017__SID713B005-11-90-0__bin.25	NielsenHB_2014__V1_CD38_0__bin.40	ChengpingW_2017__AS78raw__bin.62	LiJ_2017__H3M415131__bin.36	CosteaPI_2017__alien-11-600-0__bin.4	QinJ_2012__T2D-012__bin.11	LiuW_2016__SRR3992984__bin.8	LiJ_2014__V1.CD8-0-PN__bin.57	NielsenHB_2014__V1_UC28_0__bin.36	WenC_2017__N308__bin.46	CosteaPI_2017__SID713B014-11-90-0__bin.33	YuJ_2015__SZAXPI015270-90__bin.14	LiJ_2017__H1M413815__bin.24	FengQ_2015__SID530600__bin.2	WenC_2017__RA035__bin.14	QinN_2014__HD-53__bin.28	QinN_2014__HD-60__bin.57	CosteaPI_2017__SID713A057-11-0-0__bin.30	LiJ_2014__V1.UC63-0__bin.82	CosteaPI_2017__SID713B063-11-0-0__bin.75	LiJ_2017__H2M513938__bin.20	XieH_2016__YSZC12003_35989__bin.7	ZeeviD_2015__PNP_Main_429__bin.44	LiJ_2014__V1.CD55-0__bin.62	VogtmannE_2016__MMRS33294861ST-27-0-0__bin.63	Bengtsson-PalmeJ_2015__TRAVELRES2__bin.73	NielsenHB_2014__MH0169__bin.18	RaymondF_2016__P38C0__bin.23	BritoIL_2016__W1.11.ST__bin.3
WenC_2017__N018__bin.59	1685325.0	1521239.0	1288102.0	1503086.0	1486676.0	965585.0	1506756.0	1397476.0	1504068.0	1540601.0	1542990.0	1287828.0	1628828.0	1368480.0	1448367.0	1207927.0	1421711.0	1439399.0	1366698.0	1432537.0	1608370.0	1597974.0	1531413.0	1427561.0	1506147.0	1489648.0	1426327.0	1584443.0	1499336.0	1184126.0	1554511.0	839189.0	1047021.0	1578363.0	1142881.0	1606464.0	1484599.0	1399263.0	1486195.0
CosteaPI_2017__SID713B072-11-90-0__bin.28	1521239.0	2606633.0	1893733.0	2571039.0	2244235.0	1387913.0	2325287.0	2003058.0	2174014.0	2454445.0	2406366.0	1858454.0	2319206.0	2001011.0	2237606.0	1781178.0	2121945.0	2190374.0	2011326.0	2086426.0	2303106.0	2301319.0	2215264.0	2069082.0	2150500.0	2106920.0	2030153.0	2311040.0	2255008.0	1719385.0	2185828.0	1128650.0	1426458.0	2266336.0	1710287.0	2288783.0	2336197.0	2020719.0	2407474.0
QinJ_2012__CON-099__bin.46	1288102.0	1893733.0	1968808.0	1876967.0	1828647.0	1172200.0	1850398.0	1707578.0	1754727.0	1910940.0	1907405.0	1519378.0	1860253.0	1708459.0	1792540.0	1505304.0	1789289.0	1775561.0	1684884.0	1744315.0	1855407.0	1849760.0	1809028.0	1742133.0	1771142.0	1746853.0	1642271.0	1826361.0	1849938.0	1473972.0	1772159.0	961039.0	1221307.0	1826916.0	1435000.0	1840332.0	1836682.0	1676339.0	1860941.0
CosteaPI_2017__SID713B072-11-0-0__bin.57	1503086.0	2571039.0	1876967.0	2636845.0	2243879.0	1379065.0	2314513.0	1991594.0	2158769.0	2454825.0	2405996.0	1847935.0	2310771.0	1990806.0	2227207.0	1767556.0	2108825.0	2173732.0	1995267.0	2072558.0	2290292.0	2286300.0	2207760.0	2058844.0	2146847.0	2092063.0	2010628.0	2303674.0	2230163.0	1707043.0	2202122.0	1115775.0	1416715.0	2255847.0	1696749.0	2273434.0	2326783.0	2010959.0	2387518.0
BackhedF_2015__SID201_M__bin.16	1486676.0	2244235.0	1828647.0	2243879.0	2368486.0	1352532.0	2188585.0	1925451.0	2052470.0	2288199.0	2262932.0	1788505.0	2201104.0	1933106.0	2121886.0	1706637.0	2035127.0	2077290.0	1927476.0	2005651.0	2201556.0	2181148.0	2107413.0	1976332.0	2071013.0	2002981.0	1915190.0	2163073.0	2159129.0	1640405.0	2074954.0	1094753.0	1369984.0	2156180.0	1640726.0	2171273.0	2197569.0	1934116.0	2191541.0
RampelliS_2015__H10__bin.65	965585.0	1387913.0	1172200.0	1379065.0	1352532.0	1537398.0	1406131.0	1262570.0	1307867.0	1419232.0	1420346.0	1198480.0	1418284.0	1276536.0	1327248.0	1149586.0	1345452.0	1347752.0	1270237.0	1313211.0	1419413.0	1428067.0	1350791.0	1303920.0	1334441.0	1305988.0	1256139.0	1391498.0	1388150.0	1077962.0	1342334.0	696968.0	890363.0	1400625.0	1057186.0	1407531.0	1402179.0	1255011.0	1355447.0
LeChatelierE_2013__MH0169__bin.13	1506756.0	2325287.0	1850398.0	2314513.0	2188585.0	1406131.0	2597025.0	1957689.0	2138431.0	2410060.0	2394535.0	1847376.0	2315038.0	1961333.0	2167401.0	1765330.0	2078478.0	2122910.0	1994626.0	2051881.0	2313771.0	2288496.0	2174237.0	2023126.0	2105213.0	2068380.0	2020928.0	2273199.0	2215893.0	1651760.0	2176988.0	1084659.0	1384500.0	2270795.0	1682794.0	2289776.0	2548187.0	1961803.0	2264803.0
CosteaPI_2017__SID713A058-11-0-0__bin.1	1397476.0	2003058.0	1707578.0	1991594.0	1925451.0	1262570.0	1957689.0	2146647.0	1936437.0	2025715.0	2010574.0	1671924.0	2070855.0	1923850.0	1891197.0	1661945.0	1997140.0	1946736.0	1830527.0	1921560.0	2069339.0	2083907.0	2035115.0	1914429.0	1971301.0	1938220.0	1842791.0	2083903.0	1983694.0	1685116.0	1935648.0	1062560.0	1281742.0	2037989.0	1513171.0	2042315.0	1931421.0	1869151.0	1953604.0
Bengtsson-PalmeJ_2015__TRAVELRES66__bin.37	1504068.0	2174014.0	1754727.0	2158769.0	2052470.0	1307867.0	2138431.0	1936437.0	2416755.0	2193512.0	2189559.0	1753411.0	2253210.0	1939322.0	2064854.0	1700552.0	2062611.0	2104735.0	1925563.0	2011179.0	2239368.0	2259565.0	2186211.0	1965538.0	2074319.0	2015705.0	1945368.0	2298732.0	2123965.0	1652014.0	2174220.0	1073263.0	1324929.0	2182360.0	1548328.0	2245306.0	2120645.0	1959049.0	2124673.0
BritoIL_2016__M1.59.ST__bin.102	1540601.0	2454445.0	1910940.0	2454825.0	2288199.0	1419232.0	2410060.0	2025715.0	2193512.0	2838418.0	2583695.0	1886102.0	2385849.0	2028538.0	2263138.0	1799739.0	2140991.0	2200656.0	2024728.0	2121186.0	2368425.0	2335551.0	2241344.0	2094329.0	2174072.0	2143915.0	2064338.0	2347982.0	2288281.0	1718142.0	2234728.0	1135800.0	1455612.0	2300104.0	1736875.0	2335834.0	2430257.0	2032167.0	2382647.0
