	QinN_2014__HD-35__bin.38	NielsenHB_2014__MH0063__bin.7	ZeeviD_2015__PNP_Main_643__bin.11	CosteaPI_2017__SID713B014-11-0-0__bin.75	ZeeviD_2015__PNP_Main_393__bin.10	ZeeviD_2015__PNP_Main_256__bin.32	LoombaR_2017__SID0012_qdz__bin.20	LiuW_2016__SRR3993048__bin.89	ChengpingW_2017__AS78raw__bin.26	LiJ_2014__O2.UC24-1__bin.30	ZeeviD_2015__PNP_Main_313__bin.25	WenC_2017__N041__bin.34	CM_madagascar__A91_01_1FE__bin.7	LiJ_2014__MH0402__bin.26	ZeeviD_2015__PNP_Validation_66__bin.3	SchirmerM_2016__G88801__bin.13	BritoIL_2016__M1.3.ST__bin.37	ZeeviD_2015__PNP_Main_597__bin.40	LiJ_2017__H2M614904__bin.68	CosteaPI_2017__SID713B066-11-90-0__bin.49	CosteaPI_2017__SID713A056-11-90-0__bin.34	ZeeviD_2015__PNP_Main_46__bin.29	LiJ_2017__H3M516751__bin.20	CosteaPI_2017__SID713B066-11-0-0__bin.59	ChengpingW_2017__AS67raw__bin.51	CM_madagascar__A39_01_1FE__bin.25	LiuW_2016__SRR3992978__bin.28	ZeeviD_2015__PNP_Main_650__bin.39	Bengtsson-PalmeJ_2015__TRAVELRES11__bin.68	LeChatelierE_2013__MH0063__bin.4	XieH_2016__YSZC12003_37100__bin.78	XieH_2016__YSZC12003_37652__bin.105	CosteaPI_2017__SID713A055-11-90-0__bin.41	LiuW_2016__SRR3993017__bin.46	BackhedF_2015__SID335_M__bin.68	CM_madagascar__A08_01_1FE__bin.70	LeChatelierE_2013__MH0430__bin.16	ZeeviD_2015__PNP_Main_634__bin.3	ZeeviD_2015__PNP_Main_107__bin.49	ZeeviD_2015__PNP_Main_438__bin.46	XieH_2016__YSZC12003_35989__bin.106	NielsenHB_2014__O2_UC24_2__bin.22	BritoIL_2016__M2.49.ST__bin.75	CosteaPI_2017__SID713B014-11-90-0__bin.30	BritoIL_2016__M1.15.ST__bin.73	LiuW_2016__SRR3992961__bin.139	CosteaPI_2017__SID713A014-11-0-0__bin.30	LiJ_2017__H1M513729__bin.50	LiJ_2014__MH0357__bin.7
QinN_2014__HD-35__bin.38	0.0	8301.0	6512.0	1407.0	10674.0	10500.0	10444.0	9893.0	3001.0	10792.0	10307.0	1071.0	9780.0	10665.0	10371.0	7197.0	6575.0	11372.0	1428.0	9623.0	11264.0	10675.0	8555.0	8908.0	1497.0	5092.0	9923.0	6379.0	11051.0	10767.0	10233.0	9387.0	10130.0	10796.0	9261.0	10146.0	9916.0	10515.0	10013.0	11398.0	1688.0	10907.0	10267.0	1333.0	9886.0	7970.0	5858.0	680.0	11055.0
NielsenHB_2014__MH0063__bin.7	8301.0	0.0	5242.0	9222.0	8458.0	9077.0	8357.0	7798.0	9161.0	8218.0	8730.0	8890.0	8848.0	4353.0	8675.0	3055.0	6288.0	8696.0	9118.0	9299.0	8568.0	8607.0	9129.0	8697.0	9246.0	4414.0	7899.0	6416.0	4216.0	789.0	9330.0	7785.0	8169.0	8447.0	8002.0	9088.0	7932.0	8335.0	3812.0	8669.0	8780.0	8021.0	9367.0	9134.0	8776.0	6391.0	7548.0	4120.0	8670.0
ZeeviD_2015__PNP_Main_643__bin.11	6512.0	5242.0	0.0	7488.0	7012.0	7385.0	6349.0	6024.0	7518.0	6190.0	7305.0	7049.0	7346.0	7071.0	7286.0	5046.0	5181.0	6216.0	7269.0	7537.0	5786.0	6679.0	7653.0	7267.0	7400.0	3605.0	5728.0	6292.0	7041.0	6766.0	7226.0	5803.0	6494.0	6284.0	6461.0	7806.0	5859.0	2802.0	6906.0	5917.0	7297.0	6359.0	7316.0	7485.0	6998.0	4696.0	5982.0	3604.0	6006.0
CosteaPI_2017__SID713B014-11-0-0__bin.75	1407.0	9222.0	7488.0	0.0	12670.0	12622.0	12583.0	11546.0	3818.0	13125.0	11993.0	282.0	10592.0	12560.0	12464.0	7883.0	7623.0	13846.0	404.0	12416.0	15098.0	13596.0	12868.0	11453.0	617.0	5549.0	11473.0	8330.0	12760.0	12809.0	11427.0	10801.0	13766.0	14436.0	10942.0	13628.0	10894.0	12935.0	12002.0	13820.0	818.0	13108.0	12564.0	189.0	12659.0	8510.0	6977.0	390.0	12620.0
ZeeviD_2015__PNP_Main_393__bin.10	10674.0	8458.0	7012.0	12670.0	0.0	12178.0	10880.0	10374.0	12541.0	11188.0	10734.0	11818.0	11108.0	11633.0	11549.0	7114.0	7599.0	12209.0	12406.0	12469.0	11677.0	11021.0	12808.0	11507.0	12439.0	4991.0	10062.0	9696.0	11749.0	11420.0	11503.0	9819.0	7495.0	11218.0	10683.0	12211.0	10183.0	11268.0	10970.0	12057.0	11565.0	11136.0	12243.0	12612.0	11915.0	7657.0	9874.0	5432.0	11248.0
ZeeviD_2015__PNP_Main_256__bin.32	10500.0	9077.0	7385.0	12622.0	12178.0	0.0	11944.0	11255.0	11744.0	11935.0	11163.0	10840.0	10368.0	12791.0	11340.0	7947.0	917.0	13013.0	11211.0	11231.0	13348.0	12475.0	12318.0	10170.0	12573.0	5380.0	10558.0	8354.0	12379.0	11969.0	11103.0	10288.0	11822.0	12051.0	10031.0	11541.0	10756.0	12163.0	11594.0	13054.0	11716.0	11981.0	2212.0	12503.0	1727.0	7763.0	9084.0	5241.0	12667.0
LoombaR_2017__SID0012_qdz__bin.20	10444.0	8357.0	6349.0	12583.0	10880.0	11944.0	0.0	3856.0	11963.0	9940.0	10792.0	11815.0	11032.0	11506.0	11103.0	7297.0	7560.0	10280.0	12033.0	11841.0	10461.0	10535.0	12438.0	10802.0	12361.0	5195.0	1736.0	9279.0	11308.0	11333.0	11025.0	7779.0	10112.0	3837.0	10271.0	11597.0	8823.0	10091.0	11162.0	10079.0	11551.0	9997.0	11972.0	12485.0	11479.0	3466.0	9907.0	5458.0	9831.0
LiuW_2016__SRR3993048__bin.89	9893.0	7798.0	6024.0	11546.0	10374.0	11255.0	3856.0	0.0	11431.0	9303.0	10241.0	10706.0	10343.0	10566.0	10421.0	6801.0	6895.0	9337.0	11139.0	11020.0	9119.0	10018.0	11272.0	10064.0	11670.0	5113.0	3428.0	8575.0	10227.0	10276.0	10640.0	7509.0	9867.0	3915.0	9707.0	11139.0	7901.0	9313.0	10421.0	9288.0	10935.0	9210.0	11177.0	11563.0	10582.0	1647.0	8977.0	5217.0	9436.0
ChengpingW_2017__AS78raw__bin.26	3001.0	9161.0	7518.0	3818.0	12541.0	11744.0	11963.0	11431.0	0.0	12114.0	10641.0	3160.0	10541.0	12423.0	11434.0	7937.0	7550.0	12610.0	3376.0	11404.0	12834.0	12770.0	9691.0	10898.0	3666.0	5712.0	11001.0	7091.0	12258.0	11902.0	11076.0	10852.0	12180.0	12768.0	10665.0	11914.0	10955.0	11937.0	11705.0	13010.0	3459.0	12119.0	12169.0	4021.0	11432.0	8207.0	7226.0	1592.0	12549.0
LiJ_2014__O2.UC24-1__bin.30	10792.0	8218.0	6190.0	13125.0	11188.0	11935.0	9940.0	9303.0	12114.0	0.0	11114.0	11836.0	11029.0	11320.0	11744.0	7263.0	7563.0	10142.0	12084.0	11744.0	10513.0	11040.0	12968.0	10700.0	12534.0	5125.0	8798.0	9644.0	11399.0	10367.0	11243.0	8179.0	10579.0	10462.0	10508.0	12853.0	8607.0	9637.0	10841.0	9712.0	11688.0	313.0	12558.0	12715.0	11958.0	6628.0	9503.0	5365.0	9600.0
