	QinN_2014__HD-35__bin.38	NielsenHB_2014__MH0063__bin.7	ZeeviD_2015__PNP_Main_643__bin.11	CosteaPI_2017__SID713B014-11-0-0__bin.75	ZeeviD_2015__PNP_Main_393__bin.10	ZeeviD_2015__PNP_Main_256__bin.32	LoombaR_2017__SID0012_qdz__bin.20	LiuW_2016__SRR3993048__bin.89	ChengpingW_2017__AS78raw__bin.26	LiJ_2014__O2.UC24-1__bin.30	ZeeviD_2015__PNP_Main_313__bin.25	WenC_2017__N041__bin.34	CM_madagascar__A91_01_1FE__bin.7	LiJ_2014__MH0402__bin.26	ZeeviD_2015__PNP_Validation_66__bin.3	SchirmerM_2016__G88801__bin.13	BritoIL_2016__M1.3.ST__bin.37	ZeeviD_2015__PNP_Main_597__bin.40	LiJ_2017__H2M614904__bin.68	CosteaPI_2017__SID713B066-11-90-0__bin.49	CosteaPI_2017__SID713A056-11-90-0__bin.34	ZeeviD_2015__PNP_Main_46__bin.29	LiJ_2017__H3M516751__bin.20	CosteaPI_2017__SID713B066-11-0-0__bin.59	ChengpingW_2017__AS67raw__bin.51	CM_madagascar__A39_01_1FE__bin.25	LiuW_2016__SRR3992978__bin.28	ZeeviD_2015__PNP_Main_650__bin.39	Bengtsson-PalmeJ_2015__TRAVELRES11__bin.68	LeChatelierE_2013__MH0063__bin.4	XieH_2016__YSZC12003_37100__bin.78	XieH_2016__YSZC12003_37652__bin.105	CosteaPI_2017__SID713A055-11-90-0__bin.41	LiuW_2016__SRR3993017__bin.46	BackhedF_2015__SID335_M__bin.68	CM_madagascar__A08_01_1FE__bin.70	LeChatelierE_2013__MH0430__bin.16	ZeeviD_2015__PNP_Main_634__bin.3	ZeeviD_2015__PNP_Main_107__bin.49	ZeeviD_2015__PNP_Main_438__bin.46	XieH_2016__YSZC12003_35989__bin.106	NielsenHB_2014__O2_UC24_2__bin.22	BritoIL_2016__M2.49.ST__bin.75	CosteaPI_2017__SID713B014-11-90-0__bin.30	BritoIL_2016__M1.15.ST__bin.73	LiuW_2016__SRR3992961__bin.139	CosteaPI_2017__SID713A014-11-0-0__bin.30	LiJ_2017__H1M513729__bin.50	LiJ_2014__MH0357__bin.7
QinN_2014__HD-35__bin.38	1.0	0.9924117145356666	0.9925852800958266	0.9990346669154898	0.9923643426102445	0.9925458642325009	0.9923636661421744	0.9924971066877604	0.9978930400111772	0.9921261163849302	0.9926349426844623	0.9992213898953711	0.992627647978483	0.9920242600098715	0.9925560289633709	0.9923047971789603	0.9930557095797411	0.9919518583549717	0.9989952358135107	0.9931594877897248	0.99207108430597	0.9924195890600646	0.9938789542635177	0.993137340249407	0.9989610595110942	0.9932050313726851	0.99222722843473	0.993920303460633	0.9918798234443921	0.9918429469939286	0.9925225135695225	0.9922951213926731	0.992445992199909	0.9923160470489094	0.9920738710765191	0.9928091410233331	0.992261552652814	0.9924203924960805	0.9926348734659052	0.991992901937285	0.9987872988230764	0.9920666208911104	0.9928666019123371	0.999078260075869	0.993019396840864	0.9918327528131914	0.9949695580115242	0.999017769701662	0.9921478352032684
NielsenHB_2014__MH0063__bin.7	0.9924117145356666	1.0	0.9929850386746246	0.9922791689097151	0.9929369106959289	0.9923055535305277	0.9927962920342006	0.992982942376981	0.9922376116145192	0.9930202792397896	0.9926018704640907	0.9923229706390329	0.9922473012757606	0.9963064062172525	0.9926541195358928	0.9963770651025391	0.9922946936564792	0.9927275220971765	0.9922637683372787	0.9921759967421722	0.9928026612009005	0.9928069819159151	0.9922923389445849	0.9921760932283669	0.9922325823261425	0.992923560343722	0.9926581031341786	0.992612227132563	0.9965022607541378	0.9993324737558124	0.9920271061300702	0.9925599860087598	0.9928661626085271	0.9928594554521147	0.9921080376313067	0.9923994694347942	0.9928571750181228	0.9929391812330468	0.9967916238827075	0.9927499749105142	0.9923915228739593	0.9931803786033422	0.9922334073758999	0.9923351584953951	0.9925901096201081	0.992222544034931	0.9923817828929241	0.9925316318021971	0.9927406998065861
ZeeviD_2015__PNP_Main_643__bin.11	0.9925852800958266	0.9929850386746246	1.0	0.9922565193426728	0.9927615075719256	0.9922979208036444	0.9932506917801739	0.9932372508032449	0.9921811705363875	0.993384165175699	0.9922945638965773	0.9924707063586161	0.991959818794936	0.9923463174973941	0.9923865214469998	0.9924356331746805	0.9923922603987859	0.9936482698790453	0.9923648406637096	0.9921886902349819	0.9940915835189287	0.9931115710960327	0.9919347019644212	0.992036016013449	0.9922750822338374	0.9932760852454369	0.9934757773426778	0.9920589445413447	0.9925109368402131	0.9925732901883131	0.992290811171816	0.9931796171277056	0.9929491828695761	0.9933909469435233	0.9920930961139789	0.9919378326960854	0.9933978932755193	0.9970940000746724	0.9926052831643306	0.9939507822475855	0.992214590095021	0.9932932128453063	0.992451054644211	0.9922599978905005	0.9926949695710722	0.9929507694709474	0.9925719061094893	0.992894279737459	0.9938352768736662
CosteaPI_2017__SID713B014-11-0-0__bin.75	0.9990346669154898	0.9922791689097151	0.9922565193426728	1.0	0.9919919806037807	0.9921146505569474	0.9918436902845083	0.9920320924625086	0.997665891075732	0.9915731852011649	0.9923458528282306	0.9998234297457013	0.9927813875383523	0.9916270015866032	0.9921478848616839	0.9923564420949341	0.9927214709446047	0.9914334309028803	0.9997543330720589	0.9922402764401518	0.9908262343691138	0.9915113494182315	0.9920318626418945	0.9922787028921998	0.9996367233268372	0.9932449376596247	0.9919027797186264	0.9929283865430507	0.991627329551196	0.9913497239934574	0.9924514716228312	0.9919649764922931	0.9910817247268026	0.9910307939014866	0.9916114367197053	0.9917145697236467	0.9922550391300391	0.9918484716908482	0.9920949918262664	0.9914635660427822	0.9994805574165034	0.9916334496063419	0.9923115146144865	0.9998940556236003	0.9921314071783893	0.9918227251369045	0.9946581711911812	0.9994959833752055	0.9920439887985414
ZeeviD_2015__PNP_Main_393__bin.10	0.9923643426102445	0.9929369106959289	0.9927615075719256	0.9919919806037807	1.0	0.9922704345071973	0.9928826367737411	0.9927936914582945	0.9919716893381141	0.9927505429965113	0.9929947300582467	0.9921247039600385	0.9924799304589896	0.9922463879685377	0.9926651453728937	0.993143595130931	0.9926769755012596	0.9924598054952202	0.9920081889329586	0.9921939999787149	0.9927114184864193	0.9930708893102702	0.991742974953003	0.9922284814302782	0.9920733591840766	0.9939895277365652	0.9929114937079115	0.9916135739702496	0.9923108437456643	0.9922387106201216	0.9924255444119376	0.9926933265864983	0.9951620815636255	0.9928397725169303	0.9917341367848322	0.9923541857248496	0.9928159622081374	0.9929198602068245	0.9927981040040441	0.9925477286549939	0.9923030693881789	0.992886881227013	0.9923323295989739	0.9920243392982152	0.9924933580551655	0.9926850681577396	0.9923064456308652	0.9928922014417106	0.9929067548529577
ZeeviD_2015__PNP_Main_256__bin.32	0.9925458642325009	0.9923055535305277	0.9922979208036444	0.9921146505569474	0.9922704345071973	1.0	0.9921888028607921	0.9921393531012365	0.9924926374277566	0.9921921253970175	0.9928013851674873	0.9927816392604243	0.9929231035958525	0.9913581564787816	0.9928707179513939	0.9922234084506215	0.9991199320514604	0.9919278700320702	0.9927260435022955	0.9929533191115573	0.9917554198478941	0.9921399448945556	0.9920685256716931	0.993060805628867	0.9921131174545186	0.9934714838540574	0.9924955629429505	0.992618256781104	0.9917751989592594	0.9917306038130836	0.9926714661094086	0.9922658363165895	0.992205893114854	0.9923088901851712	0.9922259293273348	0.9927827566605194	0.9923045608140739	0.9922383217468658	0.9922578870188391	0.9919300846370547	0.992315537817248	0.9922920242620132	0.9986624613613386	0.9921836758041537	0.9989509395681662	0.9924642115573348	0.9928957987925048	0.9931255025361269	0.99202739148359
LoombaR_2017__SID0012_qdz__bin.20	0.9923636661421744	0.9927962920342006	0.9932506917801739	0.9918436902845083	0.9928826367737411	0.9921888028607921	1.0	0.9973028382451381	0.9920800901954787	0.9934716588554254	0.9927697944630507	0.9919767049417114	0.9923553249402673	0.9921917414058937	0.9926692693632505	0.9928345082697257	0.9925796728185367	0.9933790573400685	0.9920110105045951	0.9922417385424611	0.9932593478945853	0.9931489433375018	0.9917612989036262	0.9923669246592428	0.9919305087611526	0.9936287765901998	0.998795306135195	0.9917389732787525	0.9923900432585797	0.9920678970653389	0.9925839027976681	0.9941207546656449	0.9931122421177676	0.9975889881416169	0.9918514457713756	0.9924405681470038	0.9936861765695107	0.9933700909698944	0.9924752016028454	0.9934894092279986	0.992053965072117	0.9935560556124583	0.9922506060282414	0.9918924096459869	0.9925173979135541	0.99666829759235	0.9921575425964099	0.9927705353618573	0.9935958152290745
LiuW_2016__SRR3993048__bin.89	0.9924971066877604	0.992982942376981	0.9932372508032449	0.9920320924625086	0.9927936914582945	0.9921393531012365	0.9973028382451381	1.0	0.9919783581984815	0.9934416729761396	0.9927589415511322	0.9922810488429504	0.9924235986990536	0.9923490889289883	0.992705415254439	0.9930154100532497	0.9929484124467935	0.9935629137794458	0.9921335412411759	0.9923488480920026	0.9936891991116851	0.993046817034396	0.9920835969910364	0.9924769764382251	0.9919170398773218	0.9933922469720389	0.9974580010307406	0.9919162952404654	0.9926654890713851	0.9923752425401513	0.992452894428477	0.9940780710394882	0.9929003815676147	0.9973384800715721	0.9920070748133516	0.9922460330443318	0.9941104779226781	0.993480081098186	0.9924955568165779	0.9936005952934611	0.9921768748850855	0.9935994017768783	0.992293201717188	0.9920206140462864	0.9926145127406983	0.9983868266323463	0.9925786181200102	0.9928034232365145	0.9934730715783255
ChengpingW_2017__AS78raw__bin.26	0.9978930400111772	0.9922376116145192	0.9921811705363875	0.997665891075732	0.9919716893381141	0.9924926374277566	0.9920800901954787	0.9919783581984815	1.0	0.9920337326769525	0.993000580818263	0.9979539337242874	0.992719755837974	0.9915933745803623	0.9926115377358247	0.992226324913566	0.9927239295021048	0.9920256847571691	0.9978586995405337	0.9926899685137893	0.9918969804034968	0.9918941221277136	0.9937197034502424	0.992527837200373	0.9977469961485065	0.9929907918245539	0.9921336696956435	0.9938950842988042	0.9918177449069501	0.9918084518441995	0.9925893165993019	0.991854528422832	0.9918923830336466	0.9918037469869077	0.9916745185623498	0.9925180282611795	0.9921105033650089	0.9923092484878785	0.9922308509226072	0.9917811265352742	0.9977142758966131	0.9920574063587937	0.9924910804970486	0.9975537419352877	0.9927406793103646	0.9920355648373147	0.9944008108208632	0.9979174406496748	0.9919831088850842
LiJ_2014__O2.UC24-1__bin.30	0.9921261163849302	0.9930202792397896	0.993384165175699	0.9915731852011649	0.9927505429965113	0.9921921253970175	0.9934716588554254	0.9934416729761396	0.9920337326769525	1.0	0.9925328911565083	0.9920077950332997	0.9923394879980219	0.9922959026724779	0.9922669126715564	0.9928655135052303	0.9924645420986296	0.9934722470737104	0.9920199593469627	0.9922952574895556	0.9932671943355541	0.9928266691963921	0.9914152634603214	0.9924132899307341	0.9918513611295493	0.9936522760151404	0.9937533281739241	0.9914087847047148	0.992312366508382	0.9927244783022146	0.9924252989490548	0.9938320576147204	0.9928444605275173	0.9933890459866352	0.9916679882013385	0.9918102824824918	0.9938699681141481	0.9936756045156065	0.9927168975233017	0.9937298732287796	0.9920276331729038	0.9998057314799413	0.9919089222205041	0.991794492533085	0.9922090157285626	0.9934949902199122	0.9924324229624958	0.9927448822006875	0.9937588822158049
