	QinN_2014__HD-35__bin.38	NielsenHB_2014__MH0063__bin.7	ZeeviD_2015__PNP_Main_643__bin.11	CosteaPI_2017__SID713B014-11-0-0__bin.75	ZeeviD_2015__PNP_Main_393__bin.10	ZeeviD_2015__PNP_Main_256__bin.32	LoombaR_2017__SID0012_qdz__bin.20	LiuW_2016__SRR3993048__bin.89	ChengpingW_2017__AS78raw__bin.26	LiJ_2014__O2.UC24-1__bin.30	ZeeviD_2015__PNP_Main_313__bin.25	WenC_2017__N041__bin.34	CM_madagascar__A91_01_1FE__bin.7	LiJ_2014__MH0402__bin.26	ZeeviD_2015__PNP_Validation_66__bin.3	SchirmerM_2016__G88801__bin.13	BritoIL_2016__M1.3.ST__bin.37	ZeeviD_2015__PNP_Main_597__bin.40	LiJ_2017__H2M614904__bin.68	CosteaPI_2017__SID713B066-11-90-0__bin.49	CosteaPI_2017__SID713A056-11-90-0__bin.34	ZeeviD_2015__PNP_Main_46__bin.29	LiJ_2017__H3M516751__bin.20	CosteaPI_2017__SID713B066-11-0-0__bin.59	ChengpingW_2017__AS67raw__bin.51	CM_madagascar__A39_01_1FE__bin.25	LiuW_2016__SRR3992978__bin.28	ZeeviD_2015__PNP_Main_650__bin.39	Bengtsson-PalmeJ_2015__TRAVELRES11__bin.68	LeChatelierE_2013__MH0063__bin.4	XieH_2016__YSZC12003_37100__bin.78	XieH_2016__YSZC12003_37652__bin.105	CosteaPI_2017__SID713A055-11-90-0__bin.41	LiuW_2016__SRR3993017__bin.46	BackhedF_2015__SID335_M__bin.68	CM_madagascar__A08_01_1FE__bin.70	LeChatelierE_2013__MH0430__bin.16	ZeeviD_2015__PNP_Main_634__bin.3	ZeeviD_2015__PNP_Main_107__bin.49	ZeeviD_2015__PNP_Main_438__bin.46	XieH_2016__YSZC12003_35989__bin.106	NielsenHB_2014__O2_UC24_2__bin.22	BritoIL_2016__M2.49.ST__bin.75	CosteaPI_2017__SID713B014-11-90-0__bin.30	BritoIL_2016__M1.15.ST__bin.73	LiuW_2016__SRR3992961__bin.139	CosteaPI_2017__SID713A014-11-0-0__bin.30	LiJ_2017__H1M513729__bin.50	LiJ_2014__MH0357__bin.7
QinN_2014__HD-35__bin.38	1.0	0.7410614182637755	0.5949590727815537	0.9873800686512343	0.9469961528482403	0.9542440268887388	0.9265084946926377	0.8932369659866802	0.964888558601829	0.9284967655879423	0.9480333054004418	0.9318304218318241	0.8986699924195055	0.9058521552924249	0.9438074676338628	0.6335762388418034	0.6414094164780576	0.957213223254708	0.962789865847603	0.9529921275311501	0.9623793404089132	0.9539872791308783	0.9468078259968282	0.8793366830221988	0.9761095872593498	0.507654673588243	0.8648375477676155	0.710784828443045	0.9219419072632518	0.8941880843297834	0.9270748301163088	0.8253315873582553	0.9084467302597217	0.9517998424286848	0.7915242077909057	0.9558319338661132	0.8680607821525759	0.9397882474560633	0.920982659703541	0.9643195134392887	0.94294441580401	0.9313535077908379	0.9750223045380674	0.9796911846097671	0.9593898210014247	0.6610739914521288	0.7888795026545279	0.4689894096630643	0.953754919022841
NielsenHB_2014__MH0063__bin.7	0.8474491843308476	1.0	0.5788934664350865	0.9253115408392352	0.9276836359523474	0.9138856653254233	0.8987133979216666	0.8609047427957875	0.9142699106474689	0.9121263485383959	0.9141537074250761	0.897088876872615	0.8841360910165613	0.9129909005129985	0.9148555748883287	0.6532472603153601	0.6321927857940786	0.9263263823147991	0.9130551996293892	0.9207339085651071	0.9222197604354367	0.9269740216076019	0.917545292142648	0.8611379239287225	0.922155461319046	0.48321947999832665	0.8334714860532892	0.6727872195047884	0.9337703607412836	0.9156627999398842	0.9065516926161373	0.8106096640797247	0.8871000478757276	0.916427417143229	0.7854896261509929	0.9262992682295742	0.8602795694593142	0.9144868233292688	0.92043797769208	0.9263101138636641	0.8939715317598901	0.9111610871043861	0.9343227133917241	0.9231765002998044	0.9175119805522287	0.6365875916649752	0.7675478486135406	0.4273644644348418	0.9252332973361573
ZeeviD_2015__PNP_Main_643__bin.11	0.8488201609200957	0.7222171213182883	1.0	0.9345997535457994	0.9362456810109455	0.9266987218208617	0.9091637470703361	0.8609099475680769	0.9293014714765506	0.9042781549762002	0.9162606615603933	0.9048348515234252	0.8830415347814531	0.892907434701718	0.9249155531930316	0.6447193563196173	0.6581941189262329	0.9458341991446589	0.9201372411626839	0.9325469350279073	0.9464624157344094	0.9371029550341895	0.9170802425882524	0.8819030130234131	0.9258356488752507	0.5181781718897238	0.8485360137241162	0.7657844250610095	0.908663106772658	0.8805045062459226	0.9059105516224901	0.822318119216179	0.890161644960978	0.9189523280257086	0.7897494382293957	0.9357779012733467	0.8577031434991664	0.9318984222098726	0.90261193128277	0.9453625534588156	0.9058554618600043	0.9163689081112426	0.9366632034213642	0.9346451784376737	0.9258656099741465	0.6438466185033948	0.778332326575978	0.4901993379563631	0.9416029187909247
CosteaPI_2017__SID713B014-11-0-0__bin.75	0.7981233100097799	0.654054826595641	0.5295204123986827	1.0	0.8663723569346958	0.8765169527443415	0.8447799083777517	0.7934879864899348	0.8957109704664455	0.8528820048691431	0.8579937290342647	0.8745500204249932	0.8034841862365115	0.8214132781073643	0.8692083097414623	0.5647406573452766	0.5735025961097233	0.885055476033762	0.9005083797230743	0.8761703302058818	0.9012076482564284	0.877052492780066	0.884315686066212	0.812235720848935	0.9300381010998832	0.4498196796178281	0.7758792329840094	0.6450294985089208	0.8345257951783874	0.8108459451734044	0.8289398607157837	0.7360882797775045	0.8452398814145704	0.8813450268700915	0.7142696778107912	0.9006792268510355	0.7702314211962147	0.8689213741803993	0.8313892171368431	0.8865120573170211	0.8623207611020516	0.8579126861658728	0.8948293554792097	0.9768704748783535	0.8809584304843845	0.5698677139449587	0.7152071466667835	0.4237140194305753	0.8685944647720888
ZeeviD_2015__PNP_Main_393__bin.10	0.8381981361848992	0.7180239146832702	0.580844269146317	0.948674930835455	1.0	0.9446845533115636	0.9165912162526787	0.8631759207848602	0.9366426384580054	0.9253646503517888	0.9187611901458361	0.8997938554781797	0.8856863269459311	0.8996085772430359	0.9441017363388781	0.6221331341042666	0.622202688393188	0.9708753407260748	0.9307916837054687	0.957787142290087	0.9606256768052036	0.9536948317565695	0.9300871467271709	0.8878143284233602	0.9409406138285918	0.4979031780313978	0.8511292378648752	0.6932368047719039	0.916195476332954	0.882263176640312	0.9105957564688487	0.8057744450347232	0.9289215127817998	0.9394086206545058	0.7749451060762866	0.9576204518390514	0.8499102389909352	0.9542692542461094	0.9133257623090105	0.9701000502469777	0.9009361047919308	0.9387178746128044	0.9573932011881792	0.9481634669695076	0.9517311223064202	0.6276453115012813	0.7695414573542269	0.4582374463502586	0.9508155240376025
ZeeviD_2015__PNP_Main_256__bin.32	0.8427265156482576	0.7057641777186424	0.5736370293437735	0.957639144813987	0.9425741970067533	1.0	0.914801471256886	0.8566074941250233	0.9358867744822602	0.9145011414924116	0.9277407783207379	0.8984323025601019	0.8764896834931104	0.8855085504242906	0.9516163963299942	0.6113762761023658	0.6233727152203774	0.9644593824932874	0.9220793827804553	0.9535170888832519	0.9685951985526737	0.9495320359725659	0.9291395253114575	0.8768121491167193	0.9537360544087452	0.49301763210920035	0.8417016851969733	0.6770647372174388	0.9004400848102538	0.8659219046889732	0.9063958274503798	0.7958152457439324	0.9074427937607987	0.9374081660979147	0.771952191330401	0.9566801236736433	0.8362036164011162	0.9375182471271244	0.8959183868821702	0.9677636081689696	0.9121379889631803	0.9299238526445771	0.9894035044056342	0.9569876326356749	0.9848871908757185	0.616304795225355	0.7649913610322728	0.45610818093492295	0.9505347305647157
LoombaR_2017__SID0012_qdz__bin.20	0.8201675270096525	0.6956886501890196	0.5641137427798354	0.9251477615090864	0.9167066454299476	0.9169651081345589	1.0	0.857335183550498	0.9058170299936673	0.9130701771219129	0.89510072249621	0.8830831062539579	0.8653979006351826	0.883671393755637	0.9082673283951564	0.6106874028516053	0.6109692531327359	0.9310948024409433	0.9032389994434956	0.915260213774443	0.9306618324346108	0.9221415584041757	0.9053414826044405	0.8486434006255877	0.918603437853812	0.48897125846750206	0.8641589587611062	0.6735777954750437	0.8910954500969085	0.8567954702462052	0.8915050325267218	0.7934559162173054	0.8803995317687244	0.9543618429890043	0.755879876609545	0.9199773080539617	0.8380008539463837	0.9127403523248451	0.8895446738692406	0.9283626537583236	0.8717455287751147	0.9303332070004414	0.9264448724837366	0.92345845886665	0.9199665137878759	0.6238540087505517	0.757548790082708	0.4527391049874307	0.9205649958741916
LiuW_2016__SRR3993048__bin.89	0.8583372879557499	0.7234140336692972	0.5798563576983642	0.9432916909965453	0.9371133664935747	0.9320644691334397	0.9306551263298435	1.0	0.9276404997601188	0.9233974991163127	0.9206595333740838	0.9028751244160016	0.888673635915653	0.8989927592979194	0.9299670545776951	0.6338559944589719	0.6365112874362785	0.9442277810434605	0.9217765921505139	0.9375911760168262	0.9406357470525858	0.9378990832436627	0.9268977468091242	0.8708371496253361	0.9398513322358035	0.5037101844383818	0.8778578249771999	0.6905298022298212	0.9076864189478165	0.877317522655267	0.91774059890234	0.8254250649501979	0.904708897477309	0.9575485116623931	0.7905658006857282	0.935149400101681	0.8732945487401517	0.929835559313803	0.9039609367930909	0.9448032355646517	0.9099075171676181	0.9366941439690869	0.9440826154798568	0.9433216354625802	0.9327115299864533	0.6646167726765861	0.7874177259521526	0.4719039537761599	0.9411044430426962
ChengpingW_2017__AS78raw__bin.26	0.813339241632495	0.6739218448511857	0.5490635326794232	0.9340644092167183	0.8920106052447195	0.8932862953536671	0.8625452473119999	0.8137349682419402	1.0	0.868349808617932	0.8681253922290257	0.8819204332549684	0.8267950884217703	0.8438530181149138	0.8837026305826432	0.583031494241978	0.5925323590730747	0.9029915903812737	0.900299164748468	0.8908405564384376	0.9044345934722812	0.8996070714574902	0.8811512503647481	0.8328417681727309	0.9291643658752324	0.4653516513448709	0.798586576473739	0.6632692043039979	0.8554775586466264	0.8296902311488805	0.8534669476915663	0.7607738425282191	0.8578593417461879	0.8895483063415046	0.7314986389402978	0.9092923802927007	0.7929122109354166	0.8863156824799324	0.8603199275471974	0.9039138104018424	0.864149282010314	0.8712974864793408	0.9254212375564539	0.9386286845259475	0.8992661641186175	0.5884254820526847	0.7369445908512348	0.4365235674325566	0.8938510480473776
LiJ_2014__O2.UC24-1__bin.30	0.7820264915398814	0.6717947547549832	0.5338441831870299	0.8886779049830683	0.8805529959175755	0.8721639131935628	0.8687444904386823	0.8093539156755399	0.8676432913869687	1.0	0.8492321561534489	0.8449808431304864	0.8214608289803639	0.8383650902783523	0.8665061464594739	0.5808471244725799	0.5726548882111792	0.8864789302963823	0.8640007759744613	0.8696939180148747	0.8909208135179316	0.8781257934481509	0.861895374678698	0.8047089097273534	0.8776333920068925	0.4606640857908235	0.803607140106183	0.6404881792272777	0.8460238440976016	0.813012977602296	0.8468865451163534	0.7566036282511761	0.8435498549327156	0.902940429695858	0.7195793761964129	0.8954556995609468	0.8011200278437894	0.8694234680923295	0.8493006244882705	0.8837732899320166	0.8364913401820687	0.9192855329261369	0.8855694425821692	0.8841367426760278	0.8757391014101624	0.5813572135670005	0.7164937365737875	0.42192356080986626	0.8776419505487452
