	CosteaPI_2017__SID713B002-11-90-0__bin.35	CosteaPI_2017__SID713B032-11-0-0__bin.73	BritoIL_2016__M1.61.ST__bin.56	WenC_2017__RA100__bin.3	LiuW_2016__SRR3992982__bin.15	LiuW_2016__SRR3992980__bin.22	LiuW_2016__SRR3993050__bin.72	BritoIL_2016__M2.49.ST__bin.20	QinJ_2012__T2D-024__bin.60	LiuW_2016__SRR3992958__bin.80	QinJ_2012__T2D-104__bin.64	CosteaPI_2017__SID713B040-11-90-0__bin.40	ZeeviD_2015__PNP_Main_283__bin.38	LiJ_2017__H1M513729__bin.16	ZeeviD_2015__PNP_Main_714__bin.12	BritoIL_2016__W1.41.ST__bin.92	CosteaPI_2017__SID713A073-11-0-0__bin.43	LiuW_2016__SRR3993013__bin.71	CosteaPI_2017__SID713B007-11-0-0__bin.10	CosteaPI_2017__SID713B053-11-90-0__bin.13	WenC_2017__RA005__bin.45	LiuW_2016__SRR3993048__bin.19	LiJ_2017__H2M513938__bin.1	BritoIL_2016__W2.7.ST__bin.3	CosteaPI_2017__SID713A062-11-0-0__bin.1	ZeeviD_2015__PNP_Main_386__bin.25	CosteaPI_2017__SID713B032-11-90-0__bin.89	ZeeviD_2015__PNP_Main_213__bin.4	BritoIL_2016__W1.31.ST__bin.42	CosteaPI_2017__SID713B072-11-90-0__bin.97	BritoIL_2016__WL.15.ST__bin.20
CosteaPI_2017__SID713B002-11-90-0__bin.35	0.0	6159.0	5303.0	6727.0	5833.0	7110.0	6585.0	6158.0	7902.0	6052.0	8346.0	5871.0	6758.0	6817.0	7316.0	6847.0	6543.0	6395.0	6272.0	7475.0	7167.0	6434.0	6497.0	7350.0	6874.0	7429.0	6513.0	6345.0	6766.0	6585.0	7367.0
CosteaPI_2017__SID713B032-11-0-0__bin.73	6159.0	0.0	4814.0	5904.0	5560.0	6620.0	6575.0	6006.0	8217.0	5836.0	8372.0	5964.0	6410.0	6428.0	7492.0	6778.0	5784.0	6402.0	6058.0	7241.0	6775.0	5988.0	6071.0	7176.0	7188.0	8178.0	116.0	6222.0	6084.0	6885.0	7307.0
BritoIL_2016__M1.61.ST__bin.56	5303.0	4814.0	0.0	4780.0	4798.0	5574.0	4865.0	4632.0	5696.0	5724.0	5459.0	4704.0	4990.0	4876.0	6019.0	5024.0	5663.0	4916.0	5170.0	5142.0	5124.0	5360.0	5133.0	4914.0	5214.0	5096.0	5229.0	5040.0	4350.0	5335.0	5181.0
WenC_2017__RA100__bin.3	6727.0	5904.0	4780.0	0.0	5731.0	6185.0	5499.0	4921.0	5429.0	5601.0	5201.0	5937.0	5404.0	4683.0	7208.0	4849.0	6165.0	5978.0	5757.0	5792.0	4642.0	5551.0	5611.0	5807.0	6099.0	5973.0	6145.0	5231.0	5557.0	5713.0	6637.0
LiuW_2016__SRR3992982__bin.15	5833.0	5560.0	4798.0	5731.0	0.0	5554.0	5429.0	5950.0	6865.0	5185.0	7233.0	5114.0	6040.0	6180.0	6629.0	6010.0	5791.0	5380.0	5237.0	6521.0	6447.0	5063.0	5854.0	6532.0	6042.0	6604.0	5873.0	5927.0	5905.0	5945.0	6587.0
LiuW_2016__SRR3992980__bin.22	7110.0	6620.0	5574.0	6185.0	5554.0	0.0	6588.0	6382.0	7217.0	6300.0	7749.0	6211.0	6679.0	7566.0	7568.0	6549.0	6892.0	5652.0	6147.0	7674.0	7187.0	2311.0	6888.0	7129.0	6799.0	7201.0	7020.0	6558.0	6021.0	6840.0	6701.0
LiuW_2016__SRR3993050__bin.72	6585.0	6575.0	4865.0	5499.0	5429.0	6588.0	0.0	6347.0	6997.0	5852.0	7313.0	5989.0	6410.0	6766.0	7538.0	6717.0	6393.0	5597.0	5786.0	7447.0	6017.0	5500.0	5922.0	6650.0	6898.0	6825.0	7073.0	6142.0	5645.0	6407.0	6867.0
BritoIL_2016__M2.49.ST__bin.20	6158.0	6006.0	4632.0	4921.0	5950.0	6382.0	6347.0	0.0	6604.0	5994.0	6330.0	5919.0	5563.0	5820.0	6938.0	5376.0	6709.0	5822.0	6387.0	6420.0	6162.0	6480.0	5841.0	5642.0	6662.0	5900.0	6417.0	6419.0	4834.0	6342.0	4321.0
QinJ_2012__T2D-024__bin.60	7902.0	8217.0	5696.0	5429.0	6865.0	7217.0	6997.0	6604.0	0.0	7769.0	7365.0	7291.0	6953.0	5962.0	8921.0	7012.0	7783.0	7469.0	8482.0	7356.0	6030.0	7639.0	7615.0	7708.0	8685.0	7848.0	9215.0	7335.0	6477.0	8211.0	7060.0
LiuW_2016__SRR3992958__bin.80	6052.0	5836.0	5724.0	5601.0	5185.0	6300.0	5852.0	5994.0	7769.0	0.0	7179.0	5441.0	6240.0	6296.0	7141.0	6737.0	3299.0	5928.0	3556.0	6786.0	6494.0	6325.0	5868.0	6551.0	6125.0	6742.0	6439.0	6484.0	5662.0	5628.0	6783.0
QinJ_2012__T2D-104__bin.64	8346.0	8372.0	5459.0	5201.0	7233.0	7749.0	7313.0	6330.0	7365.0	7179.0	0.0	7711.0	7198.0	6366.0	9130.0	6273.0	7599.0	7543.0	7455.0	7919.0	6195.0	7133.0	7240.0	7312.0	8613.0	7671.0	8857.0	7358.0	6385.0	8040.0	6676.0
CosteaPI_2017__SID713B040-11-90-0__bin.40	5871.0	5964.0	4704.0	5937.0	5114.0	6211.0	5989.0	5919.0	7291.0	5441.0	7711.0	0.0	5802.0	6434.0	7026.0	6215.0	5608.0	5621.0	5622.0	7046.0	6455.0	5544.0	6030.0	6508.0	6351.0	7067.0	6346.0	5878.0	5740.0	6234.0	6634.0
ZeeviD_2015__PNP_Main_283__bin.38	6758.0	6410.0	4990.0	5404.0	6040.0	6679.0	6410.0	5563.0	6953.0	6240.0	7198.0	5802.0	0.0	5875.0	7832.0	6397.0	6850.0	6188.0	6491.0	6740.0	5674.0	6398.0	6713.0	6726.0	7334.0	6885.0	7191.0	6147.0	5410.0	7144.0	6642.0
LiJ_2017__H1M513729__bin.16	6817.0	6428.0	4876.0	4683.0	6180.0	7566.0	6766.0	5820.0	5962.0	6296.0	6366.0	6434.0	5875.0	0.0	7583.0	5379.0	6792.0	6425.0	6609.0	7182.0	5407.0	6746.0	6401.0	6497.0	7047.0	5980.0	6769.0	6321.0	5568.0	6438.0	6342.0
ZeeviD_2015__PNP_Main_714__bin.12	7316.0	7492.0	6019.0	7208.0	6629.0	7568.0	7538.0	6938.0	8921.0	7141.0	9130.0	7026.0	7832.0	7583.0	0.0	7742.0	7182.0	6760.0	6973.0	8296.0	8380.0	6979.0	7065.0	7877.0	8069.0	8243.0	7951.0	7317.0	6847.0	8191.0	7889.0
BritoIL_2016__W1.41.ST__bin.92	6847.0	6778.0	5024.0	4849.0	6010.0	6549.0	6717.0	5376.0	7012.0	6737.0	6273.0	6215.0	6397.0	5379.0	7742.0	0.0	6767.0	6472.0	6698.0	6596.0	5789.0	6908.0	6451.0	6253.0	7486.0	6962.0	7296.0	6907.0	5131.0	7001.0	5922.0
CosteaPI_2017__SID713A073-11-0-0__bin.43	6543.0	5784.0	5663.0	6165.0	5791.0	6892.0	6393.0	6709.0	7783.0	3299.0	7599.0	5608.0	6850.0	6792.0	7182.0	6767.0	0.0	6356.0	3329.0	6932.0	7008.0	6128.0	6323.0	6882.0	6077.0	7032.0	6382.0	6129.0	6181.0	6251.0	7144.0
LiuW_2016__SRR3993013__bin.71	6395.0	6402.0	4916.0	5978.0	5380.0	5652.0	5597.0	5822.0	7469.0	5928.0	7543.0	5621.0	6188.0	6425.0	6760.0	6472.0	6356.0	0.0	5667.0	6589.0	6564.0	5259.0	5971.0	6692.0	6616.0	7265.0	6880.0	5874.0	6232.0	6568.0	6660.0
CosteaPI_2017__SID713B007-11-0-0__bin.10	6272.0	6058.0	5170.0	5757.0	5237.0	6147.0	5786.0	6387.0	8482.0	3556.0	7455.0	5622.0	6491.0	6609.0	6973.0	6698.0	3329.0	5667.0	0.0	7456.0	6591.0	5623.0	6004.0	6606.0	6757.0	7422.0	6653.0	5916.0	6971.0	6238.0	6385.0
CosteaPI_2017__SID713B053-11-90-0__bin.13	7475.0	7241.0	5142.0	5792.0	6521.0	7674.0	7447.0	6420.0	7356.0	6786.0	7919.0	7046.0	6740.0	7182.0	8296.0	6596.0	6932.0	6589.0	7456.0	0.0	6840.0	7486.0	7787.0	7984.0	8028.0	7283.0	7974.0	7108.0	6614.0	7869.0	6867.0
WenC_2017__RA005__bin.45	7167.0	6775.0	5124.0	4642.0	6447.0	7187.0	6017.0	6162.0	6030.0	6494.0	6195.0	6455.0	5674.0	5407.0	8380.0	5789.0	7008.0	6564.0	6591.0	6840.0	0.0	6818.0	6422.0	6888.0	7128.0	6667.0	6931.0	6094.0	6111.0	6870.0	7290.0
LiuW_2016__SRR3993048__bin.19	6434.0	5988.0	5360.0	5551.0	5063.0	2311.0	5500.0	6480.0	7639.0	6325.0	7133.0	5544.0	6398.0	6746.0	6979.0	6908.0	6128.0	5259.0	5623.0	7486.0	6818.0	0.0	6194.0	6952.0	6383.0	7049.0	6443.0	6679.0	5849.0	6206.0	6576.0
