	CosteaPI_2017__SID713B002-11-90-0__bin.35	CosteaPI_2017__SID713B032-11-0-0__bin.73	BritoIL_2016__M1.61.ST__bin.56	WenC_2017__RA100__bin.3	LiuW_2016__SRR3992982__bin.15	LiuW_2016__SRR3992980__bin.22	LiuW_2016__SRR3993050__bin.72	BritoIL_2016__M2.49.ST__bin.20	QinJ_2012__T2D-024__bin.60	LiuW_2016__SRR3992958__bin.80	QinJ_2012__T2D-104__bin.64	CosteaPI_2017__SID713B040-11-90-0__bin.40	ZeeviD_2015__PNP_Main_283__bin.38	LiJ_2017__H1M513729__bin.16	ZeeviD_2015__PNP_Main_714__bin.12	BritoIL_2016__W1.41.ST__bin.92	CosteaPI_2017__SID713A073-11-0-0__bin.43	LiuW_2016__SRR3993013__bin.71	CosteaPI_2017__SID713B007-11-0-0__bin.10	CosteaPI_2017__SID713B053-11-90-0__bin.13	WenC_2017__RA005__bin.45	LiuW_2016__SRR3993048__bin.19	LiJ_2017__H2M513938__bin.1	BritoIL_2016__W2.7.ST__bin.3	CosteaPI_2017__SID713A062-11-0-0__bin.1	ZeeviD_2015__PNP_Main_386__bin.25	CosteaPI_2017__SID713B032-11-90-0__bin.89	ZeeviD_2015__PNP_Main_213__bin.4	BritoIL_2016__W1.31.ST__bin.42	CosteaPI_2017__SID713B072-11-90-0__bin.97	BritoIL_2016__WL.15.ST__bin.20
CosteaPI_2017__SID713B002-11-90-0__bin.35	1135992.0	1020468.0	815449.0	871566.0	899905.0	942887.0	964317.0	881434.0	1063675.0	945600.0	1047151.0	873558.0	990215.0	972550.0	1006130.0	994066.0	1032658.0	959996.0	843837.0	1059906.0	964541.0	985086.0	959426.0	1037815.0	1062492.0	1076510.0	1066217.0	976544.0	917464.0	1028295.0	1003928.0
CosteaPI_2017__SID713B032-11-0-0__bin.73	1020468.0	1185774.0	791095.0	845255.0	886033.0	917464.0	966275.0	888582.0	1081706.0	948007.0	1075147.0	884521.0	972115.0	959288.0	1016814.0	995423.0	1001946.0	950285.0	860174.0	1065025.0	965892.0	957266.0	944266.0	1071709.0	1093073.0	1088337.0	1180788.0	976811.0	919901.0	1060831.0	1010707.0
BritoIL_2016__M1.61.ST__bin.56	815449.0	791095.0	1001044.0	702124.0	708056.0	745121.0	776205.0	729753.0	839874.0	772499.0	810166.0	686783.0	800939.0	766869.0	791310.0	811382.0	801691.0	750369.0	664909.0	827790.0	758457.0	798557.0	741483.0	816699.0	819782.0	866633.0	827312.0	790486.0	744480.0	809880.0	807947.0
WenC_2017__RA100__bin.3	871566.0	845255.0	702124.0	963149.0	780403.0	810306.0	827664.0	746884.0	876201.0	789930.0	874901.0	750974.0	847374.0	829149.0	849731.0	806631.0	854106.0	824696.0	701597.0	860971.0	789962.0	803667.0	802554.0	863161.0	867205.0	884214.0	876406.0	778420.0	779380.0	857107.0	827340.0
LiuW_2016__SRR3992982__bin.15	899905.0	886033.0	708056.0	780403.0	1010057.0	860329.0	874285.0	780356.0	920995.0	850770.0	913757.0	802532.0	849032.0	862792.0	881111.0	847105.0	918132.0	854372.0	739341.0	901406.0	848084.0	863043.0	834235.0	926683.0	914343.0	910694.0	927361.0	841520.0	830695.0	906999.0	863808.0
LiuW_2016__SRR3992980__bin.22	942887.0	917464.0	745121.0	810306.0	860329.0	1052271.0	922994.0	795499.0	952361.0	894857.0	949412.0	841024.0	890072.0	900976.0	921612.0	884749.0	933001.0	880958.0	773705.0	947396.0	858945.0	915703.0	870752.0	920128.0	962860.0	930318.0	956323.0	889675.0	834789.0	928652.0	904496.0
LiuW_2016__SRR3993050__bin.72	964317.0	966275.0	776205.0	827664.0	874285.0	922994.0	1079807.0	838198.0	999758.0	921741.0	988063.0	862611.0	936292.0	936465.0	958123.0	943462.0	973383.0	914363.0	815000.0	988972.0	894052.0	928774.0	905536.0	977320.0	1003925.0	987049.0	1009090.0	938130.0	877911.0	974433.0	947776.0
BritoIL_2016__M2.49.ST__bin.20	881434.0	888582.0	729753.0	746884.0	780356.0	795499.0	838198.0	1041866.0	942994.0	849128.0	911453.0	768394.0	880860.0	830635.0	888484.0	897166.0	889860.0	828207.0	740614.0	920341.0	861757.0	878855.0	847812.0	922066.0	926086.0	947100.0	934067.0	890885.0	809136.0	904173.0	924809.0
QinJ_2012__T2D-024__bin.60	1063675.0	1081706.0	839874.0	876201.0	920995.0	952361.0	999758.0	942994.0	1300679.0	1024661.0	1111464.0	921493.0	1087581.0	985755.0	1071452.0	1114949.0	1053995.0	1001719.0	919473.0	1106518.0	1028238.0	1031151.0	993611.0	1104116.0	1151121.0	1150006.0	1143330.0	1026202.0	969675.0	1099678.0	1089509.0
LiuW_2016__SRR3992958__bin.80	945600.0	948007.0	772499.0	789930.0	850770.0	894857.0	921741.0	849128.0	1024661.0	1140341.0	963069.0	844954.0	934365.0	888511.0	965143.0	997214.0	978392.0	935335.0	827652.0	979338.0	909673.0	992694.0	898193.0	964702.0	999450.0	995846.0	993847.0	962609.0	859027.0	972659.0	961901.0
QinJ_2012__T2D-104__bin.64	1047151.0	1075147.0	810166.0	874901.0	913757.0	949412.0	988063.0	911453.0	1111464.0	963069.0	1205196.0	917382.0	1011956.0	990591.0	1047568.0	1029612.0	1026297.0	970864.0	873470.0	1089938.0	996145.0	991291.0	963305.0	1078791.0	1119503.0	1118675.0	1131760.0	1016395.0	948305.0	1077077.0	1023768.0
CosteaPI_2017__SID713B040-11-90-0__bin.40	873558.0	884521.0	686783.0	750974.0	802532.0	841024.0	862611.0	768394.0	921493.0	844954.0	917382.0	1027355.0	836492.0	829811.0	885325.0	850816.0	885826.0	815060.0	763650.0	898824.0	830150.0	839098.0	830754.0	896914.0	932303.0	901686.0	928203.0	835132.0	817600.0	913444.0	874779.0
ZeeviD_2015__PNP_Main_283__bin.38	990215.0	972115.0	800939.0	847374.0	849032.0	890072.0	936292.0	880860.0	1087581.0	934365.0	1011956.0	836492.0	1173376.0	934342.0	1011776.0	1013044.0	985917.0	928436.0	824600.0	1013244.0	938624.0	946882.0	916363.0	1018478.0	1049517.0	1069138.0	1034065.0	954254.0	886316.0	1025139.0	982088.0
LiJ_2017__H1M513729__bin.16	972550.0	959288.0	766869.0	829149.0	862792.0	900976.0	936465.0	830635.0	985755.0	888511.0	990591.0	829811.0	934342.0	1080784.0	945199.0	921305.0	973837.0	906306.0	790001.0	986534.0	898255.0	919895.0	898743.0	979360.0	999026.0	982810.0	998422.0	915297.0	878490.0	969875.0	915575.0
ZeeviD_2015__PNP_Main_714__bin.12	1006130.0	1016814.0	791310.0	849731.0	881111.0	921612.0	958123.0	888484.0	1071452.0	965143.0	1047568.0	885325.0	1011776.0	945199.0	1203069.0	1011172.0	999639.0	933317.0	864909.0	1050740.0	959594.0	971948.0	942346.0	1033733.0	1088675.0	1050679.0	1060817.0	970501.0	916031.0	1046732.0	993225.0
BritoIL_2016__W1.41.ST__bin.92	994066.0	995423.0	811382.0	806631.0	847105.0	884749.0	943462.0	897166.0	1114949.0	997214.0	1029612.0	850816.0	1013044.0	921305.0	1011172.0	1181156.0	986520.0	947163.0	850472.0	1046422.0	950761.0	1009611.0	940639.0	1039707.0	1063280.0	1085193.0	1048069.0	1019272.0	912139.0	1030695.0	1025778.0
CosteaPI_2017__SID713A073-11-0-0__bin.43	1032658.0	1001946.0	801691.0	854106.0	918132.0	933001.0	973383.0	889860.0	1053995.0	978392.0	1026297.0	885826.0	985917.0	973837.0	999639.0	986520.0	1167797.0	963688.0	864673.0	1033604.0	968970.0	968749.0	946742.0	1043178.0	1057087.0	1041519.0	1063692.0	960088.0	929253.0	1051652.0	993114.0
LiuW_2016__SRR3993013__bin.71	959996.0	950285.0	750369.0	824696.0	854372.0	880958.0	914363.0	828207.0	1001719.0	935335.0	970864.0	815060.0	928436.0	906306.0	933317.0	947163.0	963688.0	1088776.0	795457.0	961704.0	888455.0	936889.0	898863.0	972460.0	981301.0	996438.0	994025.0	906241.0	863631.0	976239.0	922803.0
CosteaPI_2017__SID713B007-11-0-0__bin.10	843837.0	860174.0	664909.0	701597.0	739341.0	773705.0	815000.0	740614.0	919473.0	827652.0	873470.0	763650.0	824600.0	790001.0	864909.0	850472.0	864673.0	795457.0	1090153.0	877169.0	809180.0	814644.0	807447.0	867247.0	923021.0	884151.0	920220.0	804047.0	803431.0	877233.0	842852.0
CosteaPI_2017__SID713B053-11-90-0__bin.13	1059906.0	1065025.0	827790.0	860971.0	901406.0	947396.0	988972.0	920341.0	1106518.0	979338.0	1089938.0	898824.0	1013244.0	986534.0	1050740.0	1046422.0	1033604.0	961704.0	877169.0	1282374.0	988591.0	1014264.0	994601.0	1076243.0	1138042.0	1120496.0	1117541.0	1026840.0	934594.0	1086853.0	1034665.0
WenC_2017__RA005__bin.45	964541.0	965892.0	758457.0	789962.0	848084.0	858945.0	894052.0	861757.0	1028238.0	909673.0	996145.0	830150.0	938624.0	898255.0	959594.0	950761.0	968970.0	888455.0	809180.0	988591.0	1146752.0	926278.0	899391.0	1007743.0	999503.0	1023810.0	1006649.0	916507.0	878083.0	990401.0	978515.0
LiuW_2016__SRR3993048__bin.19	985086.0	957266.0	798557.0	803667.0	863043.0	915703.0	928774.0	878855.0	1031151.0	992694.0	991291.0	839098.0	946882.0	919895.0	971948.0	1009611.0	968749.0	936889.0	814644.0	1014264.0	926278.0	1176414.0	913977.0	987320.0	1014517.0	1032007.0	1006919.0	1013623.0	872705.0	981604.0	976053.0
LiJ_2017__H2M513938__bin.1	959426.0	944266.0	741483.0	802554.0	834235.0	870752.0	905536.0	847812.0	993611.0	898193.0	963305.0	830754.0	916363.0	898743.0	942346.0	940639.0	946742.0	898863.0	807447.0	994601.0	899391.0	913977.0	1095810.0	962692.0	1004717.0	990614.0	988853.0	905684.0	856834.0	962467.0	936306.0
BritoIL_2016__W2.7.ST__bin.3	1037815.0	1071709.0	816699.0	863161.0	926683.0	920128.0	977320.0	922066.0	1104116.0	964702.0	1078791.0	896914.0	1018478.0	979360.0	1033733.0	1039707.0	1043178.0	972460.0	867247.0	1076243.0	1007743.0	987320.0	962692.0	1272052.0	1093955.0	1105028.0	1114147.0	999682.0	973033.0	1081678.0	1031390.0
CosteaPI_2017__SID713A062-11-0-0__bin.1	1062492.0	1093073.0	819782.0	867205.0	914343.0	962860.0	1003925.0	926086.0	1151121.0	999450.0	1119503.0	932303.0	1049517.0	999026.0	1088675.0	1063280.0	1057087.0	981301.0	923021.0	1138042.0	999503.0	1014517.0	1004717.0	1093955.0	1341220.0	1130310.0	1154648.0	1035217.0	956516.0	1137089.0	1059292.0
ZeeviD_2015__PNP_Main_386__bin.25	1076510.0	1088337.0	866633.0	884214.0	910694.0	930318.0	987049.0	947100.0	1150006.0	995846.0	1118675.0	901686.0	1069138.0	982810.0	1050679.0	1085193.0	1041519.0	996438.0	884151.0	1120496.0	1023810.0	1032007.0	990614.0	1105028.0	1130310.0	1299200.0	1150682.0	1046136.0	950829.0	1095860.0	1081278.0
CosteaPI_2017__SID713B032-11-90-0__bin.89	1066217.0	1180788.0	827312.0	876406.0	927361.0	956323.0	1009090.0	934067.0	1143330.0	993847.0	1131760.0	928203.0	1034065.0	998422.0	1060817.0	1048069.0	1063692.0	994025.0	920220.0	1117541.0	1006649.0	1006919.0	988853.0	1114147.0	1154648.0	1150682.0	1375490.0	1030968.0	960637.0	1109457.0	1065092.0
ZeeviD_2015__PNP_Main_213__bin.4	976544.0	976811.0	790486.0	778420.0	841520.0	889675.0	938130.0	890885.0	1026202.0	962609.0	1016395.0	835132.0	954254.0	915297.0	970501.0	1019272.0	960088.0	906241.0	804047.0	1026840.0	916507.0	1013623.0	905684.0	999682.0	1035217.0	1046136.0	1030968.0	1131439.0	869682.0	985450.0	981987.0
BritoIL_2016__W1.31.ST__bin.42	917464.0	919901.0	744480.0	779380.0	830695.0	834789.0	877911.0	809136.0	969675.0	859027.0	948305.0	817600.0	886316.0	878490.0	916031.0	912139.0	929253.0	863631.0	803431.0	934594.0	878083.0	872705.0	856834.0	973033.0	956516.0	950829.0	960637.0	869682.0	1120168.0	943965.0	906154.0
CosteaPI_2017__SID713B072-11-90-0__bin.97	1028295.0	1060831.0	809880.0	857107.0	906999.0	928652.0	974433.0	904173.0	1099678.0	972659.0	1077077.0	913444.0	1025139.0	969875.0	1046732.0	1030695.0	1051652.0	976239.0	877233.0	1086853.0	990401.0	981604.0	962467.0	1081678.0	1137089.0	1095860.0	1109457.0	985450.0	943965.0	1258989.0	1003194.0
BritoIL_2016__WL.15.ST__bin.20	1003928.0	1010707.0	807947.0	827340.0	863808.0	904496.0	947776.0	924809.0	1089509.0	961901.0	1023768.0	874779.0	982088.0	915575.0	993225.0	1025778.0	993114.0	922803.0	842852.0	1034665.0	978515.0	976053.0	936306.0	1031390.0	1059292.0	1081278.0	1065092.0	981987.0	906154.0	1003194.0	1304244.0
