	NielsenHB_2014__O2_UC16_2__bin.27	QinN_2014__LV-11__bin.12	ZeeviD_2015__PNP_Main_232__bin.44	Obregon-TitoAJ_2015__SM25__bin.23	CosteaPI_2017__SID713B003-11-90-0__bin.22	SchirmerM_2016__G88842__bin.7	ZellerG_2014__CCIS87116798ST-4-0__bin.37	ZellerG_2014__CCIS74726977ST-3-0__bin.91	ZeeviD_2015__PNP_Main_151__bin.1	CM_madagascar__A81_03_1FE__bin.28	LeChatelierE_2013__MH0152__bin.35	BackhedF_2015__SID39_M__bin.33	CosteaPI_2017__SID713A066-11-90-0__bin.18	NielsenHB_2014__O2_UC16_0__bin.5	LiJ_2014__MH0394__bin.43	CM_madagascar__V53_02_1FE__bin.39	LeChatelierE_2013__MH0046__bin.14	KarlssonFH_2013__S587__bin.28	ZeeviD_2015__PNP_Main_342__bin.22	ZeeviD_2015__PNP_Main_311__bin.11	ZeeviD_2015__PNP_Main_500__bin.44	Obregon-TitoAJ_2015__SM41__bin.13	LiuW_2016__SRR3993044__bin.61	CosteaPI_2017__SID713A089-11-0-0__bin.31	ZeeviD_2015__PNP_Main_126__bin.9	LiJ_2014__MH0400__bin.70	ZellerG_2014__CCIS77252613ST-4-0__bin.9	ZeeviD_2015__PNP_Main_744__bin.10	LiJ_2014__O2.UC16-1__bin.11	Obregon-TitoAJ_2015__SM24__bin.26	Obregon-TitoAJ_2015__SM40__bin.38	ZellerG_2014__CCIS19142497ST-3-0__bin.15	BritoIL_2016__W2.15.ST__bin.7	CM_madagascar__V36_02_2FE__bin.25	QinN_2014__HV-21__bin.18	ZellerG_2014__CCMD34381688ST-21-0__bin.4	CosteaPI_2017__SID713A066-11-0-0__bin.30	LiJ_2014__MH0389__bin.49	ChengpingW_2017__AS38raw__bin.17	LiJ_2017__H2M513938__bin.67	XieH_2016__YSZC12003_37315__bin.53	LeChatelierE_2013__MH0288__bin.38	ZellerG_2014__CCIS48174381ST-4-0__bin.65	Obregon-TitoAJ_2015__SM23__bin.16
NielsenHB_2014__O2_UC16_2__bin.27	3250259.0	2082278.0	1354440.0	2094535.0	1476545.0	1943441.0	2005889.0	2155446.0	1550786.0	2225183.0	1904849.0	1473451.0	2387457.0	2736456.0	2328564.0	2427902.0	1691670.0	2214142.0	2223843.0	1885295.0	1744087.0	1506953.0	2109100.0	1613634.0	1475341.0	2268571.0	2031725.0	1529257.0	3037552.0	1391857.0	1622456.0	2482587.0	2167746.0	1656082.0	2353740.0	1490310.0	2132250.0	2307686.0	1883860.0	2413685.0	2377639.0	1356134.0	2236878.0	2343836.0
QinN_2014__LV-11__bin.12	2082278.0	3090982.0	1293773.0	2048361.0	1493397.0	1793729.0	1914870.0	2037325.0	1531118.0	2367533.0	1814078.0	1512082.0	2256797.0	2036375.0	2181568.0	2512272.0	1726947.0	2091336.0	2104239.0	1854403.0	1699843.0	1562606.0	2091393.0	1624253.0	1436573.0	2228304.0	2003422.0	1551964.0	2212071.0	1336017.0	1640037.0	2329359.0	2207807.0	1644988.0	2532729.0	1458858.0	1961266.0	2294360.0	2004913.0	2349851.0	2277908.0	1382208.0	2070230.0	2239801.0
ZeeviD_2015__PNP_Main_232__bin.44	1354440.0	1293773.0	1819952.0	1239270.0	829649.0	1123778.0	1081037.0	1295716.0	914448.0	1389776.0	1205310.0	787015.0	1469772.0	1271411.0	1460242.0	1577735.0	1028209.0	1403945.0	1432585.0	1102975.0	959867.0	919241.0	1229952.0	899059.0	715130.0	1343330.0	1183854.0	836512.0	1412053.0	1030037.0	987205.0	1466191.0	1285396.0	1104842.0	1527928.0	697170.0	1444053.0	1418297.0	1127116.0	1569804.0	1550954.0	791270.0	1394425.0	1377721.0
Obregon-TitoAJ_2015__SM25__bin.23	2094535.0	2048361.0	1239270.0	2956889.0	1535919.0	1798623.0	1765776.0	1963265.0	1488419.0	2193186.0	1762341.0	1490569.0	2184903.0	2036890.0	2120777.0	2264849.0	1711395.0	2087934.0	2063547.0	1884107.0	1601881.0	1595278.0	1958540.0	1654059.0	1459721.0	2102839.0	2003492.0	1539381.0	2189655.0	1649600.0	1803807.0	2188697.0	2079486.0	1574312.0	2234471.0	1374501.0	1938116.0	2156068.0	1887420.0	2205201.0	2190732.0	1390518.0	2024145.0	2546393.0
CosteaPI_2017__SID713B003-11-90-0__bin.22	1476545.0	1493397.0	829649.0	1535919.0	1966566.0	1304976.0	1443862.0	1524768.0	1104703.0	1544926.0	1288077.0	1189980.0	1750607.0	1450837.0	1517185.0	1591869.0	1245256.0	1530639.0	1496650.0	1412634.0	1255783.0	1208818.0	1474529.0	1461383.0	1131753.0	1505842.0	1521131.0	1248280.0	1559655.0	1002577.0	1171536.0	1598579.0	1516221.0	1074094.0	1547393.0	1138886.0	1501231.0	1539103.0	1366911.0	1534583.0	1542313.0	1059542.0	1454957.0	1570399.0
SchirmerM_2016__G88842__bin.7	1943441.0	1793729.0	1123778.0	1798623.0	1304976.0	2766679.0	1662817.0	1807826.0	1338232.0	1860768.0	1822698.0	1470686.0	1976872.0	1872099.0	2191189.0	1994283.0	1699986.0	2095705.0	2099854.0	1672283.0	1489563.0	1282489.0	1772593.0	1485125.0	1328729.0	1877758.0	1744833.0	1372530.0	2023354.0	1179650.0	1374711.0	2030607.0	1827939.0	1380211.0	1946532.0	1519110.0	1742734.0	1922226.0	1707526.0	1983013.0	1972191.0	1425171.0	2141896.0	1950014.0
ZellerG_2014__CCIS87116798ST-4-0__bin.37	2005889.0	1914870.0	1081037.0	1765776.0	1443862.0	1662817.0	2650939.0	1848447.0	1407757.0	1888762.0	1685377.0	1377898.0	2149566.0	1959460.0	2048639.0	2113096.0	1572934.0	2006165.0	1995313.0	1688045.0	1784772.0	1310109.0	1865884.0	1586858.0	1437466.0	1959499.0	1812208.0	1454905.0	2115363.0	1149323.0	1349236.0	2157913.0	1865579.0	1383215.0	2034492.0	1569925.0	1822746.0	2045904.0	1721070.0	2029990.0	2012786.0	1225863.0	1911011.0	1924585.0
ZellerG_2014__CCIS74726977ST-3-0__bin.91	2155446.0	2037325.0	1295716.0	1963265.0	1524768.0	1807826.0	1848447.0	2827664.0	1420460.0	2112992.0	1756006.0	1471900.0	2251408.0	2092835.0	2164088.0	2268538.0	1689064.0	2094022.0	2113752.0	1811062.0	1630258.0	1494842.0	2002914.0	1678806.0	1392814.0	2147383.0	1928331.0	1566947.0	2259276.0	1341879.0	1514801.0	2302946.0	2070963.0	1555840.0	2180957.0	1361480.0	2000887.0	2160902.0	1822175.0	2217692.0	2211819.0	1310914.0	2023496.0	2117338.0
ZeeviD_2015__PNP_Main_151__bin.1	1550786.0	1531118.0	914448.0	1488419.0	1104703.0	1338232.0	1407757.0	1420460.0	2066132.0	1564308.0	1370895.0	1117054.0	1588712.0	1500551.0	1556671.0	1662882.0	1285520.0	1575832.0	1554546.0	1384453.0	1352504.0	1165368.0	1449288.0	1242018.0	1108745.0	1572359.0	1514734.0	1113991.0	1611037.0	1005414.0	1099776.0	1620344.0	1524875.0	1159974.0	1598871.0	1195546.0	1463914.0	1588849.0	1407015.0	1621058.0	1643475.0	1059194.0	1485479.0	1575990.0
CM_madagascar__A81_03_1FE__bin.28	2225183.0	2367533.0	1389776.0	2193186.0	1544926.0	1860768.0	1888762.0	2112992.0	1564308.0	3380756.0	1875757.0	1528867.0	2352172.0	2124248.0	2289861.0	2685437.0	1771194.0	2249637.0	2198701.0	1887172.0	1749857.0	1628794.0	2124198.0	1624189.0	1451188.0	2286536.0	2048042.0	1546915.0	2299998.0	1407171.0	1702998.0	2418022.0	2279007.0	1815492.0	2562305.0	1463365.0	2124120.0	2397183.0	2018806.0	2442562.0	2388250.0	1416495.0	2194001.0	2392099.0
