	NielsenHB_2014__O2_UC16_2__bin.27	QinN_2014__LV-11__bin.12	ZeeviD_2015__PNP_Main_232__bin.44	Obregon-TitoAJ_2015__SM25__bin.23	CosteaPI_2017__SID713B003-11-90-0__bin.22	SchirmerM_2016__G88842__bin.7	ZellerG_2014__CCIS87116798ST-4-0__bin.37	ZellerG_2014__CCIS74726977ST-3-0__bin.91	ZeeviD_2015__PNP_Main_151__bin.1	CM_madagascar__A81_03_1FE__bin.28	LeChatelierE_2013__MH0152__bin.35	BackhedF_2015__SID39_M__bin.33	CosteaPI_2017__SID713A066-11-90-0__bin.18	NielsenHB_2014__O2_UC16_0__bin.5	LiJ_2014__MH0394__bin.43	CM_madagascar__V53_02_1FE__bin.39	LeChatelierE_2013__MH0046__bin.14	KarlssonFH_2013__S587__bin.28	ZeeviD_2015__PNP_Main_342__bin.22	ZeeviD_2015__PNP_Main_311__bin.11	ZeeviD_2015__PNP_Main_500__bin.44	Obregon-TitoAJ_2015__SM41__bin.13	LiuW_2016__SRR3993044__bin.61	CosteaPI_2017__SID713A089-11-0-0__bin.31	ZeeviD_2015__PNP_Main_126__bin.9	LiJ_2014__MH0400__bin.70	ZellerG_2014__CCIS77252613ST-4-0__bin.9	ZeeviD_2015__PNP_Main_744__bin.10	LiJ_2014__O2.UC16-1__bin.11	Obregon-TitoAJ_2015__SM24__bin.26	Obregon-TitoAJ_2015__SM40__bin.38	ZellerG_2014__CCIS19142497ST-3-0__bin.15	BritoIL_2016__W2.15.ST__bin.7	CM_madagascar__V36_02_2FE__bin.25	QinN_2014__HV-21__bin.18	ZellerG_2014__CCMD34381688ST-21-0__bin.4	CosteaPI_2017__SID713A066-11-0-0__bin.30	LiJ_2014__MH0389__bin.49	ChengpingW_2017__AS38raw__bin.17	LiJ_2017__H2M513938__bin.67	XieH_2016__YSZC12003_37315__bin.53	LeChatelierE_2013__MH0288__bin.38	ZellerG_2014__CCIS48174381ST-4-0__bin.65	Obregon-TitoAJ_2015__SM23__bin.16
NielsenHB_2014__O2_UC16_2__bin.27	1.0	0.6186057788010125	0.4039690375443926	0.6215326224771626	0.44102577671502485	0.5774585963764735	0.6009687228002445	0.6453796451298188	0.4609841861833165	0.6606399674610546	0.5661490361229674	0.4383739880421837	0.7148774913014625	0.8404293319393932	0.6916691869786377	0.7222064457017118	0.5027657795886421	0.6572519297692893	0.6604221386664879	0.5640181290167953	0.5202711537757453	0.4462958182717131	0.6284394566709915	0.4819083648410788	0.4424970440817178	0.6782201049208694	0.6077823336540257	0.4585625330165996	0.9336089831610342	0.4130907721507732	0.47980853218158925	0.7434902880047405	0.6435967102929335	0.49240691280294896	0.6994781031296275	0.4433369771455136	0.637879319771132	0.6902265327163157	0.5589160740728661	0.718809793311856	0.7081737178483315	0.40132678657300846	0.6650679222794245	0.695125526919547
QinN_2014__LV-11__bin.12	0.6504822739181271	1.0	0.4060719214799698	0.6399946683610581	0.46687978124751295	0.5598114126837361	0.5991206030963623	0.6379888333222258	0.47885008712441546	0.7439968916027333	0.5655694533323067	0.47234212298874595	0.7060303165790032	0.6365355734844137	0.6801573092305293	0.7902960936039097	0.5390070210696795	0.6519578567587906	0.656402075456926	0.5820092126062203	0.5350251149958168	0.4884612721782269	0.6524356984285252	0.5077211708123827	0.4496894514429395	0.6978914791480506	0.6275005807215959	0.4867326953052461	0.6910574050576807	0.41761841382447384	0.5099635002727289	0.7278583311064252	0.6922094661178875	0.51695415890484	0.7987827169488532	0.4561990331875113	0.6129689529088167	0.7196043199216301	0.6287684625792063	0.7366937109307011	0.7149164893228107	0.43003388567128503	0.6458093253212086	0.699466706697095
ZeeviD_2015__PNP_Main_232__bin.44	0.7214497964781489	0.6896670901210581	1.0	0.6597816865499749	0.44208913202106426	0.596627273686339	0.5765146553315692	0.6920600103739	0.48814803906916227	0.741947040361504	0.6397883021090667	0.4182813612666708	0.784995977915901	0.6770222511362938	0.7747044977010382	0.8447371139458623	0.5465358427035438	0.745191631427642	0.7609162219662936	0.59021501665978	0.5175015604807159	0.48887937703851525	0.6528199644825798	0.4790395570872199	0.38074300860682037	0.7194145779668915	0.6337013283866827	0.4469381610064441	0.7519451062445602	0.5486161173481499	0.5223330065847891	0.7810035649291849	0.6876324210748416	0.5893644447765655	0.8160742700906398	0.3705866967920033	0.7708170325371219	0.760099716915611	0.6001422015525684	0.8431205877957221	0.8356951172338611	0.41865774481964363	0.7411799871644967	0.7324330531794245
Obregon-TitoAJ_2015__SM25__bin.23	0.6831984562152993	0.6690180118360886	0.40609268728044917	1.0	0.5018514391307891	0.5864031419508815	0.5776777552353166	0.6423355763439209	0.4860466524106925	0.7162027387568489	0.5736532551610831	0.4868238205762881	0.714733627133112	0.6647709805812798	0.6909643885854355	0.7412980331693209	0.5582164227334877	0.6795686277029676	0.6723674781163581	0.6176525395440952	0.5260643872664817	0.5219380910139001	0.6377111213846716	0.5404152810606012	0.47792933721894865	0.6886328840886485	0.6564619097977639	0.5050406017946565	0.7145472826338765	0.5571524666634425	0.6061536297101446	0.7152635760084332	0.6790339441216765	0.5145387601631309	0.7298295607308898	0.44952143959411395	0.632368343891164	0.7062043925220054	0.6158333978718848	0.7217704147839165	0.7184476657730472	0.4517474277864336	0.6595218826273154	0.8599152690547396
CosteaPI_2017__SID713B003-11-90-0__bin.22	0.7289091746730086	0.7338258670189559	0.40912992495548073	0.7545737086881397	1.0	0.6431530902090242	0.7157344325082403	0.7567760248066936	0.541986894922418	0.7588685047946522	0.6345767190117189	0.5870130979585735	0.8816897068290614	0.7162861556642391	0.7470214577085132	0.7834799340576416	0.6139163394465276	0.7532434711064873	0.7366317733551785	0.6997420884933432	0.620365652614761	0.5931318857338121	0.7286427203561945	0.7359930965957919	0.5617162098805736	0.7436267076721554	0.752033239667522	0.6204465042108934	0.7700402630778728	0.49262419873017227	0.5735891904975474	0.7913388109018461	0.7455569759672444	0.5282416150792804	0.7597293963182522	0.5622221679821577	0.7567455147704171	0.7600034781441355	0.672286106848181	0.7563097297522687	0.7608750481804323	0.5213905864334073	0.716842963826284	0.7711854064394482
SchirmerM_2016__G88842__bin.7	0.678390951751179	0.6254310673554828	0.39246800947995775	0.6267185314957029	0.4571556729204942	1.0	0.5823646328323596	0.6340872938277263	0.4659553927289722	0.6490199983445857	0.6503204744749933	0.5244406741801271	0.6927731767942722	0.654094674517716	0.7819775984131155	0.696187378441807	0.6057507936410405	0.7471495608995478	0.7492144914534717	0.5854275107448316	0.5211659899829362	0.4454842791664664	0.6190392886200387	0.5197350325064816	0.46627490937690996	0.6569558665822814	0.6104253511159046	0.48253808989044267	0.7063960076322552	0.4113162387107431	0.47664221255881145	0.7113485156752917	0.6369387268996511	0.4809079766752847	0.6779474597522878	0.5424257747284741	0.6099431845906229	0.6726819410564073	0.5947285536197008	0.692660406212647	0.6888999410484555	0.5059878648733735	0.7641291237617375	0.6788662508371951
ZellerG_2014__CCIS87116798ST-4-0__bin.37	0.7368347593060421	0.6985717136456177	0.3957952257671716	0.6443486628700246	0.5309586527641715	0.607790673417985	1.0	0.6805596054831892	0.5138952650362758	0.6890705519817695	0.6158217899393386	0.5041870069435773	0.791776423373001	0.7197675993298979	0.7478274679274023	0.7717480485216748	0.5746650526473827	0.7324559335390214	0.728570140618098	0.6197068284106122	0.6544458397571578	0.47695326071252486	0.6823167187174054	0.5831688318742906	0.5294769136521059	0.7194582749735094	0.6657414599128838	0.5352767453343891	0.7771412318427546	0.41933556373798114	0.48957067665457404	0.7927658840886191	0.6805928012677772	0.5049799335254413	0.7420947822639449	0.5738374213816312	0.6707630767814726	0.7507388891257023	0.626960484567921	0.7419454012332989	0.7367321541536791	0.4461724694532767	0.6982533358934325	0.7011157178645002
ZellerG_2014__CCIS74726977ST-3-0__bin.91	0.7418317735063289	0.6973996910524023	0.4454263307097307	0.6716904837349841	0.5263178369141455	0.6204117603788852	0.63802559285686	1.0	0.48620416004164574	0.7236620051038595	0.6022695765833564	0.5052651234375796	0.7786678332361978	0.7208632284458125	0.7415997798889825	0.7784563512496534	0.5795356166786436	0.7172616689960335	0.7245510782044826	0.6246781795856934	0.5610769172009121	0.5104326398044463	0.687916598294564	0.5794790328695347	0.4814207062791053	0.7393325373877518	0.6648894635289058	0.5422826050054038	0.7777444562013026	0.4593477159945453	0.516261479440273	0.7952405236265695	0.7089601169021497	0.5325749452551647	0.7466852497326415	0.4673313378109988	0.6919414753662388	0.7439271426873915	0.623298241941051	0.7617977241991977	0.7601490134612883	0.4488680408987772	0.6939926384464349	0.7242320869806314
ZeeviD_2015__PNP_Main_151__bin.1	0.7251801917786473	0.7163709772657313	0.42998511227743436	0.6955925371660668	0.5158687828270411	0.623943194336083	0.6593504190438946	0.665408599256969	1.0	0.73243819852749	0.6398928045255579	0.5224419349780169	0.7436388381768445	0.7020621141340436	0.7261012365134464	0.7801858738938268	0.601230705492195	0.7340586177456232	0.724748951180273	0.6495151326246339	0.6358006168047345	0.5439763771143373	0.677155186599888	0.5797049752871549	0.519411634881024	0.7389111634687425	0.711910468450225	0.5233852435371991	0.7534973564128526	0.47008758394913785	0.5112877589621573	0.7583431261894207	0.7130376955586575	0.5434149415429411	0.7487043422201486	0.5588437718403276	0.6840279323876693	0.7468307929987048	0.6570378852851608	0.7608323185546713	0.7716452772620529	0.49134421227685354	0.6933816426056031	0.735568201838024
CM_madagascar__A81_03_1FE__bin.28	0.6351393002038598	0.6802268486693508	0.39941007277662155	0.6264078212092207	0.4414293726018677	0.5311326815658983	0.5403182010177605	0.6052708329142948	0.4476259156236061	1.0	0.5352758377120383	0.4373631223312182	0.6732695290639136	0.6071053338365738	0.6528924299772004	0.7749160246998008	0.5056694419827992	0.6410465588170219	0.6270582674407736	0.5413407533699564	0.5039828369749252	0.46647406674720093	0.6062315647742694	0.4646865967257027	0.41570820254404633	0.65594707219332	0.5869267110669921	0.44394863160784154	0.6568808869968729	0.4023872175335931	0.4848498383201864	0.6917970418450784	0.6538049477690788	0.5230691005207119	0.7368618143397512	0.4182786335364043	0.6067042401167076	0.687596797875978	0.5783756650879271	0.7016921658942555	0.6871513353817903	0.40369698375156327	0.6261194241761311	0.6839955323602177
