	HeQ_2017__RSZAXPI003069-101__bin.8	HeQ_2017__RSZAXPI003094-125__bin.41	QinJ_2012__NOM014__bin.26	QinJ_2012__T2D-045__bin.2	QinJ_2012__T2D-014__bin.31	QinJ_2012__CON-007__bin.24	HeQ_2017__SZAXPI029485-81__bin.16	QinJ_2012__NOF002__bin.17	QinJ_2012__T2D-054__bin.13	HeQ_2017__SZAXPI029550-158__bin.15	QinN_2014__LD-61__bin.17	HeQ_2017__SZAXPI029497-98__bin.16	HeQ_2017__SZAXPI029474-42__bin.18	HeQ_2017__RSZAXPI003106-145__bin.34	QinJ_2012__T2D-003__bin.1	YuJ_2015__SZAXPI015214-19__bin.13	YuJ_2015__SZAXPI017582-94__bin.24	WenC_2017__N216__bin.12	QinJ_2012__T2D-032__bin.42	QinJ_2012__NOF009__bin.1	QinJ_2012__T2D-022__bin.21	QinN_2014__LD-88__bin.28	YuJ_2015__SZAXPI015237-23__bin.9	QinJ_2012__T2D-083__bin.23	QinJ_2012__DLM015__bin.10	QinJ_2012__T2D-016__bin.2	HeQ_2017__SZAXPI029463-136__bin.16	QinJ_2012__T2D-074__bin.35
HeQ_2017__RSZAXPI003069-101__bin.8	1.0	0.5973764783204332	0.612748791263806	0.6845019735600903	0.3730654363719541	0.8537842290291515	0.5359818661826379	0.44462841457955954	0.8761222657776911	0.8737075678415135	0.6375579398030262	0.8623147436838062	0.8888739548023296	0.8327797788083667	0.8472485452624077	0.2952019862609144	0.6693056841736634	0.31215111267850515	0.5543749406575574	0.8590421235777852	0.8089558689521573	0.8687332839275387	0.8748081004129618	0.7408554066668228	0.6534484586995096	0.3995740908121252	0.8642392884579103	0.8285968302195763
HeQ_2017__RSZAXPI003094-125__bin.41	0.8245425023487603	1.0	0.6171690971229389	0.6553070918943943	0.28776525672970876	0.8294221368952793	0.5425466007652193	0.38782627343654263	0.8361041896436693	0.8509835008101521	0.5427704137902863	0.8106605632939831	0.8482564710047248	0.8976114980324877	0.808227554021486	0.13047150511280858	0.6549539268548398	0.2641857460888036	0.5000429755048132	0.824635686859197	0.7736782266519614	0.8389912074670153	0.8531616355541032	0.7210842932614409	0.6013183693476574	0.31446198071974185	0.8419603467995589	0.8992028682107213
QinJ_2012__NOM014__bin.26	0.8067169388616513	0.5886782038377869	1.0	0.7308768141822787	0.42856870352933535	0.8193703529335368	0.6054961200038962	0.4881603298808403	0.8230068346374882	0.8313179811032826	0.6616420175979739	0.8099532452352349	0.8408820091561414	0.8645832656904445	0.8122641968895093	0.3633263255300497	0.7258226728140524	0.35616334945939804	0.6054884087145687	0.8125109581479918	0.7852616968083379	0.8230181986428131	0.8411352641319524	0.7461358323322186	0.6650426961914347	0.44143519270106174	0.8304190071106204	0.861308402870223
QinJ_2012__T2D-045__bin.2	0.8834241181354893	0.6127375367671486	0.7164733138037592	1.0	0.47035413035374046	0.8776165697150494	0.6096453763010488	0.5200331973583752	0.9103400779724149	0.89808044948523	0.6917034056336044	0.8735794940267433	0.9069674268824601	0.8792808140832552	0.8849900913205857	0.3389420848529891	0.7797615471624096	0.3667727226250103	0.659041167668542	0.8846614597527783	0.8554526382629792	0.8854341020102624	0.896831967814795	0.830293623950796	0.7163857848147548	0.4653665694166551	0.8988236501736854	0.8812601628118767
QinJ_2012__T2D-014__bin.31	0.8226446312452161	0.45972771136425744	0.7178091559568918	0.8036328263609334	1.0	0.8215869092629526	0.6155398120844057	0.5325399058926534	0.8453652607665357	0.8334454953687276	0.7617895894597596	0.8272249209087708	0.8523886434919509	0.8373025098464671	0.8306278490856415	0.4710921047443861	0.7574771291413283	0.4060891069590765	0.6590233337819815	0.8406918426251082	0.8146450989269152	0.8328833256519333	0.8417454859879028	0.7854000377952071	0.7303862588591014	0.5090497768315381	0.8405511302534319	0.8304749008555584
QinJ_2012__CON-007__bin.24	0.8891800122898951	0.6258240618681282	0.64816129941562	0.7081933276271577	0.38803224909575523	1.0	0.5710052864527985	0.4587402408023234	0.9190253869165912	0.8960755809287025	0.6964010640968757	0.8796039751453887	0.9002078494802479	0.875968696083222	0.8759250329239484	0.3107770308666431	0.702735432717961	0.32306178914931966	0.5742286549756417	0.8919956439577572	0.835701310601094	0.9669784515887933	0.9032771127350667	0.7617372030022275	0.6812322899336513	0.410024034000759	0.9005003284368525	0.8695399379854717
HeQ_2017__SZAXPI029485-81__bin.16	0.7969307406750427	0.5844435918978741	0.6838221037824191	0.7023494075030515	0.4150490053852525	0.8152091558001355	1.0	0.4605947016522444	0.8104853144269673	0.8222591659069377	0.6639476848089494	0.7993027452457924	0.8310770642513013	0.8715258154310013	0.7989603515425363	0.36054469475395096	0.699014391994496	0.3217038647402781	0.5836355060895202	0.8004069305619153	0.7916921628510624	0.8204220655553309	0.8249588967130663	0.7404284459038575	0.6524722246286037	0.40987963967531726	0.823468315290056	0.8537832212417936
QinJ_2012__NOF002__bin.17	0.8965421858547131	0.5665598764764459	0.7476481915908009	0.8124750584611024	0.4869657537908031	0.8881755038967852	0.6246287517979664	1.0	0.9034686299154256	0.9667837753502383	0.7503950242484594	0.8875595022756629	0.9160348143479272	0.8941061511895483	0.8957850819449987	0.4091139646510795	0.7828734144640412	0.4014136335890579	0.7107073637989958	0.8998726971422746	0.8702412165379342	0.9006391249917639	0.9082051913210282	0.802525171529412	0.7501756008657589	0.5238655562475991	0.9718367291121993	0.8913394274603701
QinJ_2012__T2D-054__bin.13	0.8620834104303988	0.5960463613723985	0.6151050592863795	0.6940546787554865	0.3772260829736313	0.8683014277870968	0.5363635260608304	0.4408837902029599	1.0	0.8698475146433869	0.6524789866260605	0.8502558611464157	0.8786699467044417	0.8307212342001571	0.8436838545094958	0.29459703765269013	0.6704101968325997	0.31663901283400725	0.5503829575546529	0.8628553921940358	0.8053944690312463	0.8829681712980517	0.8680945548744051	0.7291159974641385	0.6543317428587895	0.40072041520182244	0.8662087353755714	0.8241152542989829
HeQ_2017__SZAXPI029550-158__bin.15	0.8728142734487886	0.615902481026754	0.6307891342829093	0.6951466553995376	0.3775771402104703	0.8595256103404653	0.5524512780841611	0.4789736031367293	0.8831089762146141	1.0	0.6351953865540939	0.8576341369375007	0.8933892049898928	0.8576239743483932	0.8443014359430452	0.3100972405798958	0.6797472533293257	0.31160561516923485	0.5821996400595713	0.8541188049780672	0.8148009795504071	0.8769941771443986	0.883987886193784	0.7291586854413828	0.6521545920736732	0.40169973922180435	0.9592809691044973	0.8512766675576896
QinN_2014__LD-61__bin.17	0.9102033271719039	0.5613968840771059	0.71746897280169	0.7651456737963207	0.49320394331484907	0.9546333949476279	0.637502860663674	0.5312943402869466	0.946674588504533	0.9077585599859167	1.0	0.8943196021476982	0.9185802306135024	0.881611213801602	0.8953591233166095	0.4345321714637796	0.7534407182466332	0.3820117067159581	0.6493979403221547	0.9018484288354899	0.8577022269166447	0.9790308951676789	0.9177141096734442	0.785170759616231	0.7439833641404806	0.501110377607605	0.9155329636475662	0.8851711997183347
HeQ_2017__SZAXPI029497-98__bin.16	0.8752603722576234	0.5961363056786732	0.6244428416989867	0.6870357535658913	0.3807744598165465	0.857268911309942	0.5456476334559381	0.4467817410091977	0.877074568862341	0.8714004327412735	0.6358364845012602	1.0	0.9002323285579515	0.8486053246263577	0.9044658711695123	0.30260348790092323	0.6771089879079635	0.31570900887229125	0.5618862262801929	0.8741699143122215	0.8216520828998359	0.870869127837029	0.8800374228896041	0.7455969435887487	0.6911785550571747	0.40468380630838524	0.8661834441261552	0.8404999522826867
HeQ_2017__SZAXPI029474-42__bin.18	0.8905750029033063	0.6157332022109604	0.6399214501211976	0.7040888436439829	0.38729395791070664	0.8660272391904347	0.5600169009490723	0.4551649201528992	0.8946878142674649	0.8960149958859532	0.6446569280301252	0.8886146534193535	1.0	0.8645910291541371	0.8691597213814302	0.3103029075068382	0.6897974727645159	0.3244710422993198	0.5675376997412969	0.8719984754553249	0.841667572662962	0.8838686741897305	0.8918679007983474	0.7494613440207951	0.6723099940451335	0.4113333341569663	0.8831397589885128	0.851824820674506
HeQ_2017__RSZAXPI003106-145__bin.34	0.8931021190273422	0.6974200471835345	0.704269792487662	0.7306409317161159	0.4072171764992145	0.9020237478114139	0.6286091833334215	0.475539410417405	0.9054025014678734	0.9206872292368645	0.6622611730292146	0.8966134441335315	0.9254465773423821	1.0	0.8832184380769007	0.3357357087315987	0.7239095419706002	0.33362745901856133	0.5900606456527143	0.8964299599574713	0.8649906902443282	0.9137240874059106	0.9239006818338102	0.7854957577136087	0.6846621114102693	0.41212860157948467	0.9165973504223772	0.9479199175875038
QinJ_2012__T2D-003__bin.1	0.860191926757229	0.5945019096590282	0.6263875661056884	0.696190979048053	0.38244040120523065	0.8539056854100047	0.5455559231354026	0.45103977280018326	0.8705218941789437	0.8580771080973737	0.6367413201513705	0.9047013949290047	0.8807523333582675	0.836145214835467	1.0	0.29873308059002096	0.6854459976344829	0.31911446154751394	0.5640234198091875	0.8636190784999278	0.8096638167578644	0.8631549263506655	0.8669617251311629	0.748293387975799	0.6981909333526964	0.4141936663105976	0.8606207119524343	0.8350860841051206
YuJ_2015__SZAXPI015214-19__bin.13	0.8910626767398083	0.2853249313977368	0.8330040858940347	0.792720204192345	0.6448631351117968	0.9007335254537892	0.7319435772555931	0.612434666172873	0.9037176890086566	0.9369817609635676	0.9187390024686579	0.89989420037537	0.9348555327992794	0.94496465436463	0.8881529544335812	1.0	0.7732500956104787	0.4691110691345181	0.7369395155549642	0.9058606664538887	0.9041959740311704	0.9320128076168286	0.9451219115023826	0.7912630167502115	0.775935563655177	0.6168983495444661	0.9337612464442673	0.9594527823812453
YuJ_2015__SZAXPI017582-94__bin.24	0.8443165980164014	0.5985861104543362	0.6954607604624249	0.7621633855573116	0.4333343184957503	0.8511989945121269	0.5930570160156299	0.48977751403078684	0.8594821364128473	0.858366051095708	0.6657499471123334	0.8415267736034545	0.8685045390062096	0.8515186537911124	0.8516664281536604	0.32315569817941986	1.0	0.34542723901492056	0.6217485751440411	0.856362152963576	0.8142021273286129	0.854363699150064	0.9559367961273784	0.7810501157306586	0.6966546217598527	0.44105358453937954	0.8595676899911646	0.8496255864308914
