	HeQ_2017__RSZAXPI003069-101__bin.8	HeQ_2017__RSZAXPI003094-125__bin.41	QinJ_2012__NOM014__bin.26	QinJ_2012__T2D-045__bin.2	QinJ_2012__T2D-014__bin.31	QinJ_2012__CON-007__bin.24	HeQ_2017__SZAXPI029485-81__bin.16	QinJ_2012__NOF002__bin.17	QinJ_2012__T2D-054__bin.13	HeQ_2017__SZAXPI029550-158__bin.15	QinN_2014__LD-61__bin.17	HeQ_2017__SZAXPI029497-98__bin.16	HeQ_2017__SZAXPI029474-42__bin.18	HeQ_2017__RSZAXPI003106-145__bin.34	QinJ_2012__T2D-003__bin.1	YuJ_2015__SZAXPI015214-19__bin.13	YuJ_2015__SZAXPI017582-94__bin.24	WenC_2017__N216__bin.12	QinJ_2012__T2D-032__bin.42	QinJ_2012__NOF009__bin.1	QinJ_2012__T2D-022__bin.21	QinN_2014__LD-88__bin.28	YuJ_2015__SZAXPI015237-23__bin.9	QinJ_2012__T2D-083__bin.23	QinJ_2012__DLM015__bin.10	QinJ_2012__T2D-016__bin.2	HeQ_2017__SZAXPI029463-136__bin.16	QinJ_2012__T2D-074__bin.35
HeQ_2017__RSZAXPI003069-101__bin.8	0.0	19987.0	19398.0	20310.0	11793.0	27248.0	16758.0	13912.0	27350.0	28007.0	18326.0	26029.0	28819.0	23908.0	24124.0	7842.0	20522.0	10556.0	15092.0	24977.0	22317.0	25999.0	27531.0	20619.0	22984.0	11213.0	26575.0	23033.0
HeQ_2017__RSZAXPI003094-125__bin.41	19987.0	0.0	3501.0	14687.0	8453.0	18697.0	2892.0	8228.0	18617.0	18610.0	12348.0	17262.0	20930.0	2530.0	16965.0	1289.0	14760.0	6935.0	9920.0	18627.0	14226.0	19799.0	18248.0	15731.0	17302.0	7417.0	17792.0	2229.0
QinJ_2012__NOM014__bin.26	19398.0	3501.0	0.0	17292.0	10494.0	19308.0	4897.0	11197.0	19135.0	18671.0	15978.0	17682.0	21712.0	4638.0	17880.0	1377.0	17139.0	8091.0	12274.0	15900.0	15811.0	19710.0	18439.0	16755.0	18580.0	10367.0	17691.0	4103.0
QinJ_2012__T2D-045__bin.2	20310.0	14687.0	17292.0	0.0	4109.0	17354.0	13826.0	11431.0	19258.0	19382.0	13167.0	17415.0	21025.0	18021.0	17151.0	7226.0	16128.0	8422.0	13582.0	17757.0	17764.0	17908.0	17647.0	17141.0	19307.0	9513.0	18581.0	17617.0
QinJ_2012__T2D-014__bin.31	11793.0	8453.0	10494.0	4109.0	0.0	10250.0	9598.0	7951.0	11310.0	11126.0	9548.0	10912.0	12644.0	11823.0	11079.0	6268.0	9889.0	6326.0	8637.0	11811.0	10901.0	11106.0	10477.0	11101.0	12814.0	7117.0	11183.0	11342.0
QinJ_2012__CON-007__bin.24	27248.0	18697.0	19308.0	17354.0	10250.0	0.0	16551.0	12008.0	24707.0	23566.0	3472.0	21979.0	26276.0	22352.0	22400.0	6438.0	17750.0	8069.0	13320.0	22279.0	21069.0	4014.0	23983.0	20133.0	23209.0	11330.0	24138.0	21453.0
HeQ_2017__SZAXPI029485-81__bin.16	16758.0	2892.0	4897.0	13826.0	9598.0	16551.0	0.0	9705.0	16070.0	15537.0	13307.0	15366.0	17790.0	3302.0	15638.0	1012.0	14681.0	6492.0	10872.0	14505.0	14033.0	17689.0	16797.0	15031.0	15799.0	8853.0	15193.0	2798.0
QinJ_2012__NOF002__bin.17	13912.0	8228.0	11197.0	11431.0	7951.0	12008.0	9705.0	0.0	11891.0	3465.0	10271.0	11873.0	12893.0	12403.0	11570.0	5899.0	11107.0	6083.0	5721.0	12052.0	11830.0	12872.0	12759.0	11424.0	13331.0	8270.0	3247.0	11644.0
QinJ_2012__T2D-054__bin.13	27350.0	18617.0	19135.0	19258.0	11310.0	24707.0	16070.0	11891.0	0.0	24422.0	19154.0	22344.0	27002.0	23056.0	22729.0	6341.0	17497.0	8841.0	12451.0	22924.0	21280.0	25687.0	22938.0	19448.0	22630.0	11697.0	24470.0	21905.0
HeQ_2017__SZAXPI029550-158__bin.15	28007.0	18610.0	18671.0	19382.0	11126.0	23566.0	15537.0	3465.0	24422.0	0.0	17112.0	22182.0	26830.0	23066.0	21693.0	8047.0	18651.0	9292.0	6228.0	21432.0	20979.0	24162.0	25189.0	18773.0	21471.0	12259.0	1146.0	21710.0
