	HeQ_2017__RSZAXPI003069-101__bin.8	HeQ_2017__RSZAXPI003094-125__bin.41	QinJ_2012__NOM014__bin.26	QinJ_2012__T2D-045__bin.2	QinJ_2012__T2D-014__bin.31	QinJ_2012__CON-007__bin.24	HeQ_2017__SZAXPI029485-81__bin.16	QinJ_2012__NOF002__bin.17	QinJ_2012__T2D-054__bin.13	HeQ_2017__SZAXPI029550-158__bin.15	QinN_2014__LD-61__bin.17	HeQ_2017__SZAXPI029497-98__bin.16	HeQ_2017__SZAXPI029474-42__bin.18	HeQ_2017__RSZAXPI003106-145__bin.34	QinJ_2012__T2D-003__bin.1	YuJ_2015__SZAXPI015214-19__bin.13	YuJ_2015__SZAXPI017582-94__bin.24	WenC_2017__N216__bin.12	QinJ_2012__T2D-032__bin.42	QinJ_2012__NOF009__bin.1	QinJ_2012__T2D-022__bin.21	QinN_2014__LD-88__bin.28	YuJ_2015__SZAXPI015237-23__bin.9	QinJ_2012__T2D-083__bin.23	QinJ_2012__DLM015__bin.10	QinJ_2012__T2D-016__bin.2	HeQ_2017__SZAXPI029463-136__bin.16	QinJ_2012__T2D-074__bin.35
HeQ_2017__RSZAXPI003069-101__bin.8	3243884.0	1937820.0	1987686.0	2220445.0	1210181.0	2769577.0	1738663.0	1442323.0	2842039.0	2834206.0	2068164.0	2797249.0	2883404.0	2701441.0	2748376.0	957601.0	2171150.0	1012582.0	1798328.0	2786633.0	2624159.0	2818070.0	2837776.0	2403249.0	2119711.0	1296172.0	2803492.0	2687872.0
HeQ_2017__RSZAXPI003094-125__bin.41	1937820.0	2350176.0	1450456.0	1540087.0	676299.0	1949288.0	1275080.0	911460.0	1964992.0	1999961.0	1275606.0	1905195.0	1993552.0	2109545.0	1899477.0	306631.0	1539257.0	620883.0	1175189.0	1938039.0	1818280.0	1971777.0	2005080.0	1694675.0	1413204.0	739041.0	1978755.0	2113285.0
QinJ_2012__NOM014__bin.26	1987686.0	1450456.0	2463920.0	1800822.0	1055959.0	2018863.0	1491894.0	1202788.0	2027823.0	2048301.0	1630233.0	1995660.0	2071866.0	2130264.0	2001354.0	895207.0	1788369.0	877558.0	1491875.0	2001962.0	1934822.0	2027851.0	2072490.0	1838419.0	1638612.0	1087661.0	2046086.0	2122195.0
QinJ_2012__T2D-045__bin.2	2220445.0	1540087.0	1800822.0	2513453.0	1182213.0	2205848.0	1532315.0	1307079.0	2288097.0	2257283.0	1738564.0	2195701.0	2279620.0	2210031.0	2224381.0	851915.0	1959894.0	921866.0	1656469.0	2223555.0	2150140.0	2225497.0	2254145.0	2086904.0	1800602.0	1169677.0	2259151.0	2215006.0
QinJ_2012__T2D-014__bin.31	1210181.0	676299.0	1055959.0	1182213.0	1471086.0	1208625.0	905512.0	783412.0	1243605.0	1226070.0	1120658.0	1216919.0	1253937.0	1231744.0	1221925.0	693017.0	1114314.0	597392.0	969480.0	1236730.0	1198413.0	1225243.0	1238280.0	1155391.0	1074461.0	748856.0	1236523.0	1221700.0
QinJ_2012__CON-007__bin.24	2769577.0	1949288.0	2018863.0	2205848.0	1208625.0	3114754.0	1778541.0	1428863.0	2862538.0	2791055.0	2169118.0	2739750.0	2803926.0	2728427.0	2728291.0	967994.0	2188848.0	1006258.0	1788581.0	2778347.0	2603004.0	3011900.0	2813486.0	2372624.0	2121871.0	1277124.0	2804837.0	2708403.0
HeQ_2017__SZAXPI029485-81__bin.16	1738663.0	1275080.0	1491894.0	1532315.0	905512.0	1778541.0	2181699.0	1004879.0	1768235.0	1793922.0	1448534.0	1743838.0	1813160.0	1901407.0	1743091.0	786600.0	1525039.0	701861.0	1273317.0	1746247.0	1727234.0	1789914.0	1799812.0	1615392.0	1423498.0	894234.0	1796560.0	1862698.0
QinJ_2012__NOF002__bin.17	1442323.0	911460.0	1202788.0	1307079.0	783412.0	1428863.0	1004879.0	1608762.0	1453466.0	1555325.0	1207207.0	1427872.0	1473682.0	1438404.0	1441105.0	658167.0	1259457.0	645779.0	1143359.0	1447681.0	1400011.0	1448914.0	1461086.0	1291072.0	1206854.0	842775.0	1563454.0	1433953.0
QinJ_2012__T2D-054__bin.13	2842039.0	1964992.0	2027823.0	2288097.0	1243605.0	2862538.0	1768235.0	1453466.0	3296710.0	2867635.0	2151034.0	2803047.0	2896720.0	2738647.0	2781381.0	971201.0	2210148.0	1043867.0	1814453.0	2844584.0	2655152.0	2910890.0	2861856.0	2403684.0	2157142.0	1321059.0	2855639.0	2716869.0
HeQ_2017__SZAXPI029550-158__bin.15	2834206.0	1999961.0	2048301.0	2257283.0	1226070.0	2791055.0	1793922.0	1555325.0	2867635.0	3247204.0	2062609.0	2784913.0	2901017.0	2784880.0	2741619.0	1006949.0	2207278.0	1011847.0	1890521.0	2773498.0	2645825.0	2847779.0	2870489.0	2367727.0	2117679.0	1304401.0	3114981.0	2764269.0
