	ZellerG_2014__CCIS70398272ST-4-0__bin.62	BritoIL_2016__M2.51.ST__bin.70	LeChatelierE_2013__MH0153__bin.32	XieH_2016__YSZC12003_35519__bin.65	Bengtsson-PalmeJ_2015__TRAVELRES70__bin.47	NielsenHB_2014__MH0174__bin.29	ZeeviD_2015__PNP_Main_291__bin.23	BritoIL_2016__WL.30.ST__bin.63	LeChatelierE_2013__MH0174__bin.47	KarlssonFH_2013__S462__bin.48	NielsenHB_2014__MH0107__bin.30	ZeeviD_2015__PNP_Validation_95__bin.6	XieH_2016__YSZC12003_37202R1__bin.28	NielsenHB_2014__MH0153__bin.20	NielsenHB_2014__MH0123__bin.30	ZeeviD_2015__PNP_Main_612__bin.9	XieH_2016__YSZC12003_37206__bin.8	NielsenHB_2014__V1_UC21_4__bin.26	XieH_2016__YSZC12003_36008__bin.114	HMP_2012__SRS050752__bin.51	XieH_2016__YSZC12003_37797__bin.38	FengQ_2015__SID31878__bin.51	QinN_2014__HD-55__bin.12	FengQ_2015__SID31300__bin.89	XieH_2016__YSZC12003_37754__bin.22	XieH_2016__YSZC12003_37405__bin.46	YuJ_2015__SZAXPI017588-123__bin.34	BritoIL_2016__W1.13.ST__bin.20	LeChatelierE_2013__MH0107__bin.1	VogtmannE_2016__MMRS25211151ST-27-0-0__bin.16	XieH_2016__YSZC12003_37210__bin.68	ZellerG_2014__CCIS51595129ST-4-0__bin.50	BritoIL_2016__WL.7.ST__bin.55	QinJ_2012__T2D-051__bin.39	BritoIL_2016__M1.26.ST__bin.26	XieH_2016__YSZC12003_35991__bin.7	KarlssonFH_2013__S397__bin.8
ZellerG_2014__CCIS70398272ST-4-0__bin.62	1626315.0	1434040.0	1249732.0	1416501.0	987680.0	1418803.0	1421523.0	1040623.0	880110.0	1423224.0	1447819.0	1428964.0	1420406.0	1318797.0	807550.0	1427852.0	1412761.0	1430267.0	1380692.0	934998.0	1425117.0	1469367.0	1445122.0	1368683.0	1446821.0	1497228.0	1401783.0	1431778.0	1412605.0	1081350.0	1419293.0	1426575.0	1432824.0	1432349.0	1402102.0	1158802.0	1343981.0
BritoIL_2016__M2.51.ST__bin.70	1434040.0	1610104.0	1245580.0	1379689.0	967533.0	1402875.0	1451936.0	1030948.0	886183.0	1407420.0	1430297.0	1437691.0	1414499.0	1324877.0	802932.0	1451006.0	1387967.0	1408967.0	1376582.0	933075.0	1408555.0	1404411.0	1443998.0	1367184.0	1409145.0	1431442.0	1429628.0	1545310.0	1400316.0	1084594.0	1413510.0	1393727.0	1432083.0	1452167.0	1409836.0	1142774.0	1374251.0
LeChatelierE_2013__MH0153__bin.32	1249732.0	1245580.0	1399382.0	1225305.0	889929.0	1222663.0	1240088.0	911796.0	742107.0	1315932.0	1242699.0	1249152.0	1328622.0	1338476.0	767018.0	1254888.0	1298647.0	1252156.0	1189635.0	871009.0	1251724.0	1212679.0	1255599.0	1181972.0	1322386.0	1266598.0	1225350.0	1246248.0	1210053.0	1002536.0	1257627.0	1302626.0	1245153.0	1234698.0	1226125.0	1051423.0	1216380.0
XieH_2016__YSZC12003_35519__bin.65	1416501.0	1379689.0	1225305.0	1637025.0	957196.0	1371723.0	1364655.0	1000150.0	844859.0	1385790.0	1394629.0	1369529.0	1391618.0	1285171.0	807553.0	1391713.0	1375366.0	1371683.0	1342954.0	911013.0	1365125.0	1376577.0	1377924.0	1310736.0	1391910.0	1379995.0	1365473.0	1369753.0	1372144.0	1033694.0	1372505.0	1408076.0	1373762.0	1368391.0	1345686.0	1143999.0	1345037.0
Bengtsson-PalmeJ_2015__TRAVELRES70__bin.47	987680.0	967533.0	889929.0	957196.0	1036534.0	978373.0	958923.0	852471.0	496695.0	995353.0	970732.0	967517.0	998651.0	908394.0	660595.0	966697.0	993792.0	962078.0	956003.0	683596.0	963607.0	934447.0	969144.0	974580.0	997541.0	967215.0	955381.0	963733.0	971739.0	769929.0	987612.0	1024274.0	972996.0	971129.0	950999.0	882213.0	925585.0
NielsenHB_2014__MH0174__bin.29	1418803.0	1402875.0	1222663.0	1371723.0	978373.0	1555479.0	1384671.0	987072.0	941812.0	1398832.0	1410255.0	1390480.0	1390322.0	1283947.0	807551.0	1388293.0	1368918.0	1415213.0	1378805.0	905825.0	1380991.0	1415215.0	1410510.0	1378586.0	1392213.0	1404779.0	1378690.0	1399707.0	1413119.0	1071336.0	1420277.0	1379392.0	1387305.0	1414142.0	1391035.0	1141478.0	1311465.0
ZeeviD_2015__PNP_Main_291__bin.23	1421523.0	1451936.0	1240088.0	1364655.0	958923.0	1384671.0	1603010.0	1021514.0	867968.0	1405510.0	1477959.0	1432415.0	1396510.0	1299076.0	801747.0	1436397.0	1380290.0	1422333.0	1403331.0	931142.0	1406158.0	1403435.0	1456358.0	1348404.0	1395723.0	1432630.0	1472509.0	1460596.0	1443621.0	1080698.0	1407674.0	1387758.0	1450215.0	1416772.0	1414994.0	1151955.0	1372871.0
BritoIL_2016__WL.30.ST__bin.63	1040623.0	1030948.0	911796.0	1000150.0	852471.0	987072.0	1021514.0	1126115.0	514370.0	1015640.0	1031169.0	1040967.0	1029963.0	937853.0	650842.0	1034355.0	1021990.0	1018260.0	982769.0	692952.0	1011427.0	1001126.0	1028993.0	970274.0	1046017.0	1053738.0	1012067.0	1021634.0	1002325.0	792490.0	1032088.0	1016785.0	1035371.0	1015668.0	1000667.0	869214.0	1000443.0
LeChatelierE_2013__MH0174__bin.47	880110.0	886183.0	742107.0	844859.0	496695.0	941812.0	867968.0	514370.0	1008509.0	871807.0	869211.0	865148.0	864813.0	781003.0	534724.0	860390.0	843851.0	877973.0	864275.0	536529.0	870211.0	897123.0	880712.0	877094.0	867410.0	868116.0	861199.0	883172.0	869272.0	640249.0	883067.0	859937.0	864622.0	889548.0	887970.0	646459.0	829167.0
KarlssonFH_2013__S462__bin.48	1423224.0	1407420.0	1315932.0	1385790.0	995353.0	1398832.0	1405510.0	1015640.0	871807.0	1559307.0	1407652.0	1404917.0	1485175.0	1380553.0	833714.0	1418025.0	1457933.0	1419104.0	1358453.0	966164.0	1416459.0	1383603.0	1433672.0	1347751.0	1484798.0	1434942.0	1388136.0	1412419.0	1374712.0	1096069.0	1431516.0	1459119.0	1411977.0	1408403.0	1382629.0	1155571.0	1356154.0
