	ZellerG_2014__CCIS70398272ST-4-0__bin.62	BritoIL_2016__M2.51.ST__bin.70	LeChatelierE_2013__MH0153__bin.32	XieH_2016__YSZC12003_35519__bin.65	Bengtsson-PalmeJ_2015__TRAVELRES70__bin.47	NielsenHB_2014__MH0174__bin.29	ZeeviD_2015__PNP_Main_291__bin.23	BritoIL_2016__WL.30.ST__bin.63	LeChatelierE_2013__MH0174__bin.47	KarlssonFH_2013__S462__bin.48	NielsenHB_2014__MH0107__bin.30	ZeeviD_2015__PNP_Validation_95__bin.6	XieH_2016__YSZC12003_37202R1__bin.28	NielsenHB_2014__MH0153__bin.20	NielsenHB_2014__MH0123__bin.30	ZeeviD_2015__PNP_Main_612__bin.9	XieH_2016__YSZC12003_37206__bin.8	NielsenHB_2014__V1_UC21_4__bin.26	XieH_2016__YSZC12003_36008__bin.114	HMP_2012__SRS050752__bin.51	XieH_2016__YSZC12003_37797__bin.38	FengQ_2015__SID31878__bin.51	QinN_2014__HD-55__bin.12	FengQ_2015__SID31300__bin.89	XieH_2016__YSZC12003_37754__bin.22	XieH_2016__YSZC12003_37405__bin.46	YuJ_2015__SZAXPI017588-123__bin.34	BritoIL_2016__W1.13.ST__bin.20	LeChatelierE_2013__MH0107__bin.1	VogtmannE_2016__MMRS25211151ST-27-0-0__bin.16	XieH_2016__YSZC12003_37210__bin.68	ZellerG_2014__CCIS51595129ST-4-0__bin.50	BritoIL_2016__WL.7.ST__bin.55	QinJ_2012__T2D-051__bin.39	BritoIL_2016__M1.26.ST__bin.26	XieH_2016__YSZC12003_35991__bin.7	KarlssonFH_2013__S397__bin.8
ZellerG_2014__CCIS70398272ST-4-0__bin.62	1.0	0.8762140175796201	0.764956973280084	0.866124951193342	0.6049412321721191	0.8682272499485032	0.8695301955648199	0.6355496936325374	0.5383471221749784	0.871802203140228	0.8852503973707431	0.8740932722135626	0.8695966033640469	0.8068695178978242	0.4947504019823958	0.8729932393171064	0.864978186882615	0.87503220470819	0.8427555547357062	0.5722040318142549	0.8718753746967839	0.8972572964032184	0.8833909789923846	0.8376507626136388	0.8858136338901136	0.9154253634750955	0.8575854001223625	0.8756403279807418	0.8638683157936808	0.661620288812438	0.8685248552709652	0.8732969935098673	0.8761666712783194	0.875782981771674	0.8576075360554383	0.7075554243796558	0.8216901399790323
BritoIL_2016__M2.51.ST__bin.70	0.8850359976746843	1.0	0.7683056498213781	0.851591574208871	0.5978023779830371	0.8669992745810208	0.897645121060503	0.6373495128265007	0.5480242270064543	0.8685302315875247	0.883910604532378	0.8879743171869643	0.8726299667599111	0.8167497254835713	0.49630334438023876	0.896255769813627	0.8563067975733244	0.8694711645955789	0.8506444304218859	0.5755988433045318	0.8696705305992656	0.8668794065476516	0.8921653508096371	0.8446876723491153	0.8690146723441466	0.8828529088804201	0.8840310936436404	0.9583946130187863	0.8655074454817826	0.669026348608537	0.8722976900870999	0.8600761193065789	0.8845577676969936	0.897433333498954	0.8708406413498755	0.7036762842648673	0.84825700700079
LeChatelierE_2013__MH0153__bin.32	0.8890074332812627	0.8839987937532425	1.0	0.8703063209330976	0.6338848148682775	0.8692451382110103	0.8811118050682372	0.6471821132471334	0.5275350118838172	0.9383077672858448	0.8829897769158099	0.8876889941416998	0.9484029378682876	0.9561120551786432	0.5464783740251054	0.8915471258026758	0.925250574896633	0.8900035872978215	0.8452259640326945	0.6193555440901769	0.8896076982553727	0.8623285135867118	0.8917600769482529	0.8407211183222308	0.9421366002992749	0.9007604785541046	0.8707036391778656	0.8851378680017322	0.859879575412575	0.712773209888365	0.8941003957461222	0.9285041539765411	0.885007810590675	0.8772894034652439	0.871524715910309	0.7464323537104236	0.8642779455502501
XieH_2016__YSZC12003_35519__bin.65	0.8604584535972266	0.8375870863303859	0.7439660359493594	1.0	0.5818084635237702	0.832856553809502	0.8284980375986928	0.6076431331225851	0.5130306501122464	0.8414764588201157	0.8459583696033964	0.8316079473435043	0.8450915532749957	0.7800430659275209	0.4913700157297537	0.8450164169759167	0.8349383790717918	0.8318022021655137	0.8145385684397001	0.5528712145507858	0.8295609413417633	0.8336610619874467	0.8359621875047725	0.7966536858019884	0.8454134787190177	0.8374398680533285	0.829096073670225	0.8313287823948933	0.8326384752829065	0.6273746582978268	0.8331265557948108	0.8532716360470977	0.834157083734213	0.8305798628609826	0.8172984529863624	0.6932636948122356	0.8172996747148028
Bengtsson-PalmeJ_2015__TRAVELRES70__bin.47	0.9491487978204285	0.9285985794966687	0.8557818653319621	0.918865179531014	1.0	0.9398939156843866	0.9203576534874881	0.8183474927016383	0.4767060221854758	0.9576897622268059	0.931419519282532	0.9288436269336076	0.9610538583394274	0.8734397520968922	0.6347944206364673	0.927951229771527	0.956546529105654	0.9246054639789916	0.9168874344691057	0.6565804884354975	0.9252470251820007	0.8979551080813557	0.9301277140933149	0.936713122772625	0.9586921413094023	0.9298479355235815	0.917058195872012	0.9249257622036519	0.9322656082675532	0.7395309753466842	0.9479872343791906	0.9873993520714227	0.9337474699334513	0.9318179625559798	0.9128431870059255	0.8458458670916729	0.8889674627170937
NielsenHB_2014__MH0174__bin.29	0.9077660321997275	0.8974463814683451	0.7820137719634915	0.8765190658311685	0.6263228240304113	1.0	0.8865391303900599	0.6308256170607254	0.6054655832704909	0.8943791590886152	0.9021581133528642	0.8896082814361363	0.8893986996931492	0.8208172530776694	0.5165862091355782	0.8884002934144402	0.8758118881707821	0.9052073348466935	0.8823044219819104	0.5790737129848748	0.8831157476250081	0.9041510685775893	0.9028768630113296	0.8820569098007751	0.8902691711042066	0.8985219344009145	0.882678583253133	0.8959118059453068	0.9039762028288392	0.6852326518069353	0.9084552089742132	0.8825249328341945	0.886881147222174	0.9048325306866888	0.8901386646814261	0.7281731222343728	0.8379785262288979
ZeeviD_2015__PNP_Main_291__bin.23	0.8821716645560539	0.9016175819240054	0.7691854698348731	0.8460783151695872	0.5951191820387896	0.8602522754068908	1.0	0.6334682877836071	0.5392873406903264	0.8715241951079531	0.9182419323647389	0.8895465405705516	0.8663352068920344	0.805316248806932	0.4978053786314495	0.8921878216605011	0.8559173055688986	0.8811117834573708	0.8721860749465069	0.5774443078957711	0.871031996057417	0.8704112887630145	0.904650626009819	0.836853793800413	0.865493041216212	0.8882676963961548	0.9178907180865996	0.9075807387352542	0.8966544188744924	0.6703326866332712	0.8734848815665529	0.8607712989937679	0.9000973169225395	0.8802677463022688	0.877761211720451	0.7131540040299187	0.8512298737999139
BritoIL_2016__WL.30.ST__bin.63	0.9178494203522731	0.911273715384308	0.8042295857883076	0.8833263032638762	0.7532490021001407	0.8713461769002279	0.9017338371303109	1.0	0.4547013404492436	0.8964803772261271	0.91038037855814	0.9185562753360004	0.9087206901604188	0.8269661624256848	0.5753053640169965	0.9130843652735288	0.901887462648131	0.8984943811244855	0.867692908805939	0.6109757884407898	0.8926202030876066	0.8831185092108711	0.908525328230243	0.8571842129800243	0.9220452618071866	0.9290152426705977	0.8935863566332035	0.9023998437104559	0.8852594983638439	0.6991186512922748	0.9102960177246551	0.8972325206573041	0.9144412426794777	0.8965665140771591	0.8838857487911981	0.7661251293162776	0.8835713936853696
LeChatelierE_2013__MH0174__bin.47	0.8681350389535444	0.8749312103312912	0.7319944591471172	0.8327580616533913	0.4899529900080217	0.9338429305043385	0.8571891772904356	0.5077257614954354	1.0	0.8594003623170442	0.8578386509193274	0.853996345099548	0.8529661113584509	0.7697849002834878	0.5278713427445862	0.8493241012226961	0.8327580616533913	0.8662193396390117	0.8530870820190994	0.5290403952765915	0.8582293266594547	0.8853396449610266	0.8694389440252888	0.8653427981307059	0.8558188375116137	0.8565069820894013	0.8503751577824293	0.871918842568584	0.857856499049587	0.631486679841231	0.8709927229206681	0.8480697742905616	0.8527459844185822	0.8779991056103614	0.8765216770499817	0.6356889229545795	0.8171369814250542
KarlssonFH_2013__S462__bin.48	0.9092661034677585	0.8968240378578433	0.8420734339036509	0.8834167998989294	0.6366148551888756	0.8921835148562791	0.8959505729147627	0.6474286333608456	0.5558321741645488	1.0	0.8976263173319943	0.8962314669272953	0.9509262768652998	0.8831326993337425	0.5332368802294866	0.9042613160846452	0.9321063780256228	0.9049032679260723	0.8662636671290516	0.6168073381316187	0.903423764531295	0.8828280768315668	0.9139957686331172	0.8604970028352338	0.9488708766137777	0.9162082899647087	0.8854426998660302	0.9006084113006612	0.87688312821016	0.6993074487576854	0.9134083281868164	0.9331664643331942	0.90062187882181	0.8981804096306886	0.8820225908047614	0.7362943923165868	0.8652260266900617
