	ZeeviD_2015__PNP_DietIntervention_50__bin.3	ZeeviD_2015__PNP_Main_224__bin.17	ZeeviD_2015__PNP_Main_98__bin.35	ZeeviD_2015__PNP_Main_317__bin.32	ZeeviD_2015__PNP_Main_265__bin.33	ZeeviD_2015__PNP_Main_88__bin.17	ZeeviD_2015__PNP_DietIntervention_36__bin.35	ZeeviD_2015__PNP_Validation_25__bin.19	ZeeviD_2015__PNP_Main_185__bin.22	ZeeviD_2015__PNP_Main_677__bin.30	ZeeviD_2015__PNP_Main_151__bin.36	ZeeviD_2015__PNP_Main_193__bin.23	KarlssonFH_2013__S543__bin.19	ZellerG_2014__CCIS59903910ST-4-0__bin.18	ZeeviD_2015__PNP_Main_347__bin.3	ZeeviD_2015__PNP_Main_400__bin.14	ZeeviD_2015__PNP_Main_589__bin.14	CosteaPI_2017__SID713A076-11-0-0__bin.23	ZeeviD_2015__PNP_Main_110__bin.8	ZeeviD_2015__PNP_Main_609__bin.45	ZeeviD_2015__PNP_Main_321__bin.31	SchirmerM_2016__G89250__bin.15	ZeeviD_2015__PNP_Main_298__bin.21	ZeeviD_2015__PNP_Main_223__bin.47	ZeeviD_2015__PNP_Main_16__bin.22	SchirmerM_2016__G88902__bin.9	ZeeviD_2015__PNP_DietIntervention_43__bin.27	ZeeviD_2015__PNP_Main_615__bin.12
ZeeviD_2015__PNP_DietIntervention_50__bin.3	0.0	568.0	4830.0	5130.0	4819.0	5436.0	399.0	832.0	687.0	5212.0	309.0	639.0	5083.0	2722.0	617.0	559.0	441.0	4898.0	681.0	741.0	5248.0	401.0	5182.0	535.0	3597.0	3426.0	327.0	5359.0
ZeeviD_2015__PNP_Main_224__bin.17	568.0	0.0	4618.0	4848.0	4606.0	5234.0	606.0	877.0	645.0	5036.0	329.0	814.0	4835.0	2673.0	341.0	681.0	378.0	4793.0	647.0	559.0	4885.0	350.0	4911.0	521.0	3408.0	3311.0	529.0	5247.0
ZeeviD_2015__PNP_Main_98__bin.35	4830.0	4618.0	0.0	362.0	412.0	5498.0	4998.0	5167.0	5081.0	5020.0	4637.0	4617.0	442.0	2741.0	5050.0	4780.0	5001.0	1446.0	5442.0	5056.0	4922.0	3412.0	391.0	4182.0	3403.0	3203.0	4861.0	5351.0
ZeeviD_2015__PNP_Main_317__bin.32	5130.0	4848.0	362.0	0.0	488.0	5868.0	5625.0	5647.0	5836.0	5386.0	4814.0	5119.0	628.0	2835.0	5446.0	5446.0	5688.0	1464.0	5904.0	5299.0	5632.0	3330.0	774.0	4527.0	3655.0	3322.0	5053.0	5929.0
ZeeviD_2015__PNP_Main_265__bin.33	4819.0	4606.0	412.0	488.0	0.0	5629.0	4864.0	5177.0	5002.0	5398.0	4744.0	4629.0	427.0	2835.0	4919.0	4762.0	4780.0	1408.0	5362.0	4963.0	5070.0	3561.0	374.0	4375.0	3577.0	3295.0	4826.0	5650.0
ZeeviD_2015__PNP_Main_88__bin.17	5436.0	5234.0	5498.0	5868.0	5629.0	0.0	5309.0	5547.0	5542.0	771.0	5436.0	5118.0	5844.0	332.0	5178.0	5384.0	5558.0	5349.0	5742.0	5404.0	337.0	3695.0	5789.0	4684.0	220.0	414.0	5198.0	579.0
ZeeviD_2015__PNP_DietIntervention_36__bin.35	399.0	606.0	4998.0	5625.0	4864.0	5309.0	0.0	1929.0	1330.0	5147.0	420.0	1829.0	5496.0	2671.0	1258.0	1532.0	464.0	5293.0	1229.0	959.0	5774.0	643.0	5605.0	707.0	3613.0	3475.0	445.0	5240.0
ZeeviD_2015__PNP_Validation_25__bin.19	832.0	877.0	5167.0	5647.0	5177.0	5547.0	1929.0	0.0	1662.0	5290.0	597.0	461.0	9476.0	2780.0	1795.0	355.0	2078.0	5247.0	2065.0	843.0	5656.0	763.0	5873.0	430.0	3725.0	3528.0	716.0	5916.0
ZeeviD_2015__PNP_Main_185__bin.22	687.0	645.0	5081.0	5836.0	5002.0	5542.0	1330.0	1662.0	0.0	5304.0	457.0	1555.0	7624.0	2646.0	429.0	1514.0	1287.0	5418.0	564.0	680.0	5849.0	362.0	5777.0	361.0	3624.0	3348.0	539.0	5520.0
ZeeviD_2015__PNP_Main_677__bin.30	5212.0	5036.0	5020.0	5386.0	5398.0	771.0	5147.0	5290.0	5304.0	0.0	5110.0	4965.0	5460.0	451.0	4981.0	5133.0	5168.0	5139.0	5293.0	5176.0	804.0	3647.0	5313.0	4598.0	596.0	558.0	5071.0	891.0
ZeeviD_2015__PNP_Main_151__bin.36	309.0	329.0	4637.0	4814.0	4744.0	5436.0	420.0	597.0	457.0	5110.0	0.0	375.0	4851.0	2626.0	343.0	349.0	184.0	4923.0	367.0	499.0	5097.0	381.0	4916.0	306.0	3540.0	3309.0	313.0	5401.0
ZeeviD_2015__PNP_Main_193__bin.23	639.0	814.0	4617.0	5119.0	4629.0	5118.0	1829.0	461.0	1555.0	4965.0	375.0	0.0	9021.0	2541.0	1594.0	318.0	1927.0	4906.0	1895.0	681.0	5191.0	643.0	5257.0	330.0	3504.0	3244.0	564.0	5505.0
KarlssonFH_2013__S543__bin.19	5083.0	4835.0	442.0	628.0	427.0	5844.0	5496.0	9476.0	7624.0	5460.0	4851.0	9021.0	0.0	2831.0	7575.0	7139.0	6332.0	1455.0	9249.0	5735.0	5780.0	3797.0	779.0	4527.0	3620.0	3385.0	5020.0	6603.0
ZellerG_2014__CCIS59903910ST-4-0__bin.18	2722.0	2673.0	2741.0	2835.0	2835.0	332.0	2671.0	2780.0	2646.0	451.0	2626.0	2541.0	2831.0	0.0	2547.0	2621.0	2620.0	2982.0	2674.0	2693.0	352.0	2143.0	2815.0	2347.0	269.0	306.0	2671.0	450.0
ZeeviD_2015__PNP_Main_347__bin.3	617.0	341.0	5050.0	5446.0	4919.0	5178.0	1258.0	1795.0	429.0	4981.0	343.0	1594.0	7575.0	2547.0	0.0	1224.0	970.0	5010.0	484.0	567.0	5619.0	459.0	5605.0	307.0	3526.0	3198.0	468.0	5671.0
ZeeviD_2015__PNP_Main_400__bin.14	559.0	681.0	4780.0	5446.0	4762.0	5384.0	1532.0	355.0	1514.0	5133.0	349.0	318.0	7139.0	2621.0	1224.0	0.0	1892.0	5020.0	1448.0	589.0	5417.0	537.0	5394.0	302.0	3638.0	3365.0	456.0	5350.0
ZeeviD_2015__PNP_Main_589__bin.14	441.0	378.0	5001.0	5688.0	4780.0	5558.0	464.0	2078.0	1287.0	5168.0	184.0	1927.0	6332.0	2620.0	970.0	1892.0	0.0	5218.0	1230.0	826.0	5859.0	462.0	5602.0	457.0	3644.0	3336.0	384.0	5521.0
CosteaPI_2017__SID713A076-11-0-0__bin.23	4898.0	4793.0	1446.0	1464.0	1408.0	5349.0	5293.0	5247.0	5418.0	5139.0	4923.0	4906.0	1455.0	2982.0	5010.0	5020.0	5218.0	0.0	5377.0	4891.0	5109.0	3627.0	1502.0	4312.0	3648.0	3595.0	4961.0	5372.0
ZeeviD_2015__PNP_Main_110__bin.8	681.0	647.0	5442.0	5904.0	5362.0	5742.0	1229.0	2065.0	564.0	5293.0	367.0	1895.0	9249.0	2674.0	484.0	1448.0	1230.0	5377.0	0.0	709.0	5817.0	573.0	6151.0	287.0	3625.0	3342.0	602.0	5888.0
ZeeviD_2015__PNP_Main_609__bin.45	741.0	559.0	5056.0	5299.0	4963.0	5404.0	959.0	843.0	680.0	5176.0	499.0	681.0	5735.0	2693.0	567.0	589.0	826.0	4891.0	709.0	0.0	5334.0	494.0	5317.0	553.0	3675.0	3451.0	675.0	5483.0
ZeeviD_2015__PNP_Main_321__bin.31	5248.0	4885.0	4922.0	5632.0	5070.0	337.0	5774.0	5656.0	5849.0	804.0	5097.0	5191.0	5780.0	352.0	5619.0	5417.0	5859.0	5109.0	5817.0	5334.0	0.0	3477.0	5613.0	4645.0	347.0	440.0	4991.0	576.0
SchirmerM_2016__G89250__bin.15	401.0	350.0	3412.0	3330.0	3561.0	3695.0	643.0	763.0	362.0	3647.0	381.0	643.0	3797.0	2143.0	459.0	537.0	462.0	3627.0	573.0	494.0	3477.0	0.0	3556.0	305.0	2547.0	2573.0	458.0	3783.0
ZeeviD_2015__PNP_Main_298__bin.21	5182.0	4911.0	391.0	774.0	374.0	5789.0	5605.0	5873.0	5777.0	5313.0	4916.0	5257.0	779.0	2815.0	5605.0	5394.0	5602.0	1502.0	6151.0	5317.0	5613.0	3556.0	0.0	4522.0	3684.0	3335.0	5099.0	5968.0
ZeeviD_2015__PNP_Main_223__bin.47	535.0	521.0	4182.0	4527.0	4375.0	4684.0	707.0	430.0	361.0	4598.0	306.0	330.0	4527.0	2347.0	307.0	302.0	457.0	4312.0	287.0	553.0	4645.0	305.0	4522.0	0.0	3282.0	2896.0	418.0	4875.0
ZeeviD_2015__PNP_Main_16__bin.22	3597.0	3408.0	3403.0	3655.0	3577.0	220.0	3613.0	3725.0	3624.0	596.0	3540.0	3504.0	3620.0	269.0	3526.0	3638.0	3644.0	3648.0	3625.0	3675.0	347.0	2547.0	3684.0	3282.0	0.0	302.0	3516.0	427.0
SchirmerM_2016__G88902__bin.9	3426.0	3311.0	3203.0	3322.0	3295.0	414.0	3475.0	3528.0	3348.0	558.0	3309.0	3244.0	3385.0	306.0	3198.0	3365.0	3336.0	3595.0	3342.0	3451.0	440.0	2573.0	3335.0	2896.0	302.0	0.0	3420.0	537.0
ZeeviD_2015__PNP_DietIntervention_43__bin.27	327.0	529.0	4861.0	5053.0	4826.0	5198.0	445.0	716.0	539.0	5071.0	313.0	564.0	5020.0	2671.0	468.0	456.0	384.0	4961.0	602.0	675.0	4991.0	458.0	5099.0	418.0	3516.0	3420.0	0.0	5277.0
ZeeviD_2015__PNP_Main_615__bin.12	5359.0	5247.0	5351.0	5929.0	5650.0	579.0	5240.0	5916.0	5520.0	891.0	5401.0	5505.0	6603.0	450.0	5671.0	5350.0	5521.0	5372.0	5888.0	5483.0	576.0	3783.0	5968.0	4875.0	427.0	537.0	5277.0	0.0
