	QinJ_2012__NOM015__bin.11	FengQ_2015__SID31236__bin.32	YuJ_2015__SZAXPI015264-87__bin.43	YuJ_2015__SZAXPI015227-13__bin.33	XieH_2016__YSZC12003_37305R1__bin.76	QinJ_2012__NOF013__bin.19	QinJ_2012__CON-036__bin.19	CM_madagascar__A15_02_1FE__bin.12	VogtmannE_2016__MMRS87723283ST-27-0-0__bin.6	QinJ_2012__DLM019__bin.1	QinJ_2012__NOF005__bin.20	YuJ_2015__SZAXPI017586-111__bin.6	FengQ_2015__SID530185__bin.31	HeQ_2017__SZAXPI029577-94__bin.48	NielsenHB_2014__V1_UC35_4__bin.80	HeQ_2017__SZAXPI029579-97__bin.21	LiJ_2014__O2.UC8-2__bin.15	YuJ_2015__SZAXPI015225-18__bin.78	XieH_2016__YSZC12003_37877__bin.35	NielsenHB_2014__O2_UC9_2__bin.44	NielsenHB_2014__O2_UC35_0__bin.28	ZellerG_2014__CCIS77252613ST-4-0__bin.79	XieH_2016__YSZC12003_37323__bin.20	XieH_2016__YSZC12003_37406__bin.47	LiJ_2014__V1.FI25__bin.37	HeQ_2017__SZAXPI029601-32__bin.11	QinJ_2012__T2D-084__bin.27	HeQ_2017__SZAXPI029570-85__bin.18
QinJ_2012__NOM015__bin.11	1.0	0.9858556829980057	0.9895824910815645	0.9888161305350168	0.9770034034981682	0.9886200855803003	0.988812261141052	0.9835408094171572	0.9817319187608992	0.986728554784283	0.9998376976068274	0.9894170481765355	0.9672929819490025	0.9892241747282512	0.9819467209123063	0.990819352848551	0.9862296538942363	0.9888587555682931	0.9809495683800871	0.9862182060650462	0.9849631793403771	0.9819562456069549	0.9875742336005727	0.987401490646236	0.9864548090365383	0.990125809184356	0.9874453583377539	0.9897998378586943
FengQ_2015__SID31236__bin.32	0.9858556829980057	1.0	0.9868291956847141	0.9847973188977217	0.9802982810920121	0.9853993768631948	0.9867878643798953	0.9839093311474397	0.98424007167213	0.9844186645878062	0.9859807366728791	0.9868869831426497	0.9699148032621728	0.9863146435283507	0.9842031136615218	0.9884324624730499	0.9882553304114302	0.9854523170415787	0.9849096258716218	0.9882442580858726	0.9959563741512522	0.9845623996643095	0.9849318045778954	0.9886459589490846	0.9875787930937294	0.986265544980232	0.9843142060868745	0.9856096233821757
YuJ_2015__SZAXPI015264-87__bin.43	0.9895824910815645	0.9868291956847141	1.0	0.9886602158955066	0.9775577964854191	0.9880435889221297	0.9955757004065784	0.9840358674088862	0.9836685202275492	0.9865475543241362	0.9896638966881931	0.9888925228942337	0.9680436310289905	0.9885502930617646	0.9833441953076271	0.9904668112294052	0.9871173125528587	0.9883322703095241	0.9835032153725622	0.9869273729909603	0.9861040567430132	0.9837845119007216	0.987346368617151	0.988209242458324	0.9874028899386165	0.9898570443811872	0.9866941249279754	0.9885139933479885
YuJ_2015__SZAXPI015227-13__bin.33	0.9888161305350168	0.9847973188977217	0.9886602158955066	1.0	0.9756200548611321	0.988935475793876	0.9873648975918589	0.9820998428287354	0.9817080200528859	0.9864053631076125	0.988738878984382	0.9887855525542226	0.965811349176028	0.9875091054927606	0.9812848825765228	0.9893959067989322	0.9851127250218599	0.9890382692546832	0.9809922451018295	0.9853765389596258	0.9839670269291241	0.9812307760372518	0.986836536468015	0.9865561606782006	0.9858705590819342	0.9886009390839505	0.9877918341754878	0.988438248258799
XieH_2016__YSZC12003_37305R1__bin.76	0.9770034034981682	0.9802982810920121	0.9775577964854191	0.9756200548611321	1.0	0.9759709752590423	0.9763671988707564	0.9841271660213963	0.9806397154184276	0.9760654316930487	0.9771745446397375	0.9765667405601338	0.9774882111505946	0.977002218190144	0.9818839269227329	0.9786592845539237	0.9797008728473696	0.9764926322404964	0.9810988972190934	0.9795237627665191	0.9805298963518612	0.9812743059227145	0.9756523370473357	0.9776637442938446	0.9779343562128424	0.9767208999362894	0.976097474623026	0.975999037999038
QinJ_2012__NOF013__bin.19	0.9886200855803003	0.9853993768631948	0.9880435889221297	0.988935475793876	0.9759709752590423	1.0	0.9876159759126356	0.9827458491089605	0.9809279098719874	0.9859285425306688	0.9887903853717831	0.9884362869387664	0.9667323592032078	0.9878391659720581	0.9813633015947002	0.98985281350115	0.9852868948059095	0.9948336487218745	0.9811619844867766	0.9852803303967999	0.9842379731767428	0.981548147843219	0.987551477904434	0.9865567713383246	0.9861143253876418	0.9896922782899354	0.9870594630507655	0.988047916321045
QinJ_2012__CON-036__bin.19	0.988812261141052	0.9867878643798953	0.9955757004065784	0.9873648975918589	0.9763671988707564	0.9876159759126356	1.0	0.9827226616479158	0.9845700348702914	0.9864189679567492	0.9888962337527807	0.9881545500296549	0.9674214412090749	0.9874861867053056	0.9836068925396492	0.9900058418160294	0.9866513070303328	0.9872356496863163	0.9840992671501677	0.9867763821139326	0.9852186339959841	0.9839582966191722	0.9868074186998996	0.9871008106858541	0.9868045024852888	0.9881682860789952	0.9863433787480343	0.9879518499665674
CM_madagascar__A15_02_1FE__bin.12	0.9835408094171572	0.9839093311474397	0.9840358674088862	0.9820998428287354	0.9841271660213963	0.9827458491089605	0.9827226616479158	1.0	0.981080986112001	0.9825005448202608	0.9836858794640267	0.9845475762155097	0.9758428151717323	0.9837451261609039	0.9818757126807737	0.9847743385785924	0.9829587715859056	0.9829049586776859	0.981472832673404	0.9833042893025827	0.9836141398501003	0.9817990556237142	0.9831118880242388	0.983051276771678	0.9825424383580552	0.9837621308454001	0.9822214664410294	0.982997132282654
VogtmannE_2016__MMRS87723283ST-27-0-0__bin.6	0.9817319187608992	0.98424007167213	0.9836685202275492	0.9817080200528859	0.9806397154184276	0.9809279098719874	0.9845700348702914	0.981080986112001	1.0	0.9819128350383839	0.9816365803790914	0.9820010038767949	0.9711326114121034	0.9819742707750038	0.9908862542186052	0.9829834605597965	0.9851231749253059	0.9814133697533615	0.9903431261338875	0.9847753042676133	0.9835776148263772	0.9907354316718224	0.9816271082770052	0.9829917286928741	0.9843448552901477	0.9810022430133442	0.9807157083877436	0.9816345617500639
QinJ_2012__DLM019__bin.1	0.986728554784283	0.9844186645878062	0.9865475543241362	0.9864053631076125	0.9760654316930487	0.9859285425306688	0.9864189679567492	0.9825005448202608	0.9819128350383839	1.0	0.9869347899289067	0.9874725909809454	0.9671915556140285	0.986783955340004	0.9822206348653263	0.9887838721202882	0.984606043076533	0.9859193674819967	0.9824346466909543	0.9843967584688909	0.9831136456000052	0.9825313982030933	0.986739450286819	0.9854249575813666	0.984485470950943	0.9872075229956607	0.9862219573377928	0.9871891189107149
