	QinJ_2012__NOM015__bin.11	FengQ_2015__SID31236__bin.32	YuJ_2015__SZAXPI015264-87__bin.43	YuJ_2015__SZAXPI015227-13__bin.33	XieH_2016__YSZC12003_37305R1__bin.76	QinJ_2012__NOF013__bin.19	QinJ_2012__CON-036__bin.19	CM_madagascar__A15_02_1FE__bin.12	VogtmannE_2016__MMRS87723283ST-27-0-0__bin.6	QinJ_2012__DLM019__bin.1	QinJ_2012__NOF005__bin.20	YuJ_2015__SZAXPI017586-111__bin.6	FengQ_2015__SID530185__bin.31	HeQ_2017__SZAXPI029577-94__bin.48	NielsenHB_2014__V1_UC35_4__bin.80	HeQ_2017__SZAXPI029579-97__bin.21	LiJ_2014__O2.UC8-2__bin.15	YuJ_2015__SZAXPI015225-18__bin.78	XieH_2016__YSZC12003_37877__bin.35	NielsenHB_2014__O2_UC9_2__bin.44	NielsenHB_2014__O2_UC35_0__bin.28	ZellerG_2014__CCIS77252613ST-4-0__bin.79	XieH_2016__YSZC12003_37323__bin.20	XieH_2016__YSZC12003_37406__bin.47	LiJ_2014__V1.FI25__bin.37	HeQ_2017__SZAXPI029601-32__bin.11	QinJ_2012__T2D-084__bin.27	HeQ_2017__SZAXPI029570-85__bin.18
QinJ_2012__NOM015__bin.11	2753282.0	2117034.0	2164337.0	2092925.0	2121053.0	2392373.0	2281158.0	1247935.0	1437042.0	2075358.0	2729473.0	2248522.0	2058335.0	2284187.0	2156118.0	991978.0	2241338.0	2254057.0	2187457.0	2233091.0	2207049.0	2235067.0	2190046.0	2189386.0	1934192.0	2311278.0	1246073.0	2306630.0
FengQ_2015__SID31236__bin.32	2117034.0	2560971.0	1908008.0	1876840.0	1978000.0	2095527.0	2052734.0	1166266.0	1334968.0	1877952.0	2108670.0	2038280.0	1899838.0	1980438.0	2003686.0	910479.0	2085627.0	1995713.0	1945081.0	2072349.0	2127546.0	2066189.0	1983051.0	2002635.0	1809486.0	2079369.0	1134211.0	2058320.0
YuJ_2015__SZAXPI015264-87__bin.43	2164337.0	1908008.0	2514566.0	1888043.0	1961884.0	2141278.0	2170061.0	1122579.0	1280778.0	1892667.0	2153326.0	2066896.0	1916801.0	2042061.0	2000864.0	980889.0	2055006.0	2036643.0	1986084.0	2045878.0	2008212.0	2086092.0	1996581.0	2000550.0	1760245.0	2106388.0	1124616.0	2064338.0
YuJ_2015__SZAXPI015227-13__bin.33	2092925.0	1876840.0	1888043.0	2583136.0	1918298.0	2068774.0	2035678.0	1151610.0	1361799.0	1840873.0	2087714.0	2013920.0	1829613.0	1954864.0	1935601.0	758575.0	1996806.0	1978246.0	1895963.0	1962121.0	1971063.0	1989054.0	1982381.0	1957179.0	1811112.0	2089909.0	1165859.0	2032218.0
XieH_2016__YSZC12003_37305R1__bin.76	2121053.0	1978000.0	1961884.0	1918298.0	3009592.0	2133628.0	2095562.0	1221710.0	1382521.0	1929218.0	2106464.0	2059722.0	2091171.0	2030935.0	2101228.0	904890.0	2119500.0	2055781.0	2039299.0	2108151.0	2075387.0	2127825.0	2004217.0	2045598.0	1829541.0	2103260.0	1124149.0	2079000.0
QinJ_2012__NOF013__bin.19	2392373.0	2095527.0	2141278.0	2068774.0	2133628.0	3090724.0	2262431.0	1286531.0	1432984.0	2078747.0	2361901.0	2228350.0	2084458.0	2250668.0	2196902.0	984805.0	2233519.0	2369564.0	2156225.0	2243121.0	2207711.0	2259177.0	2184918.0	2168973.0	1931487.0	2317971.0	1258294.0	2296587.0
QinJ_2012__CON-036__bin.19	2281158.0	2052734.0	2170061.0	2035678.0	2095562.0	2262431.0	2843555.0	1247588.0	1440768.0	2048887.0	2278236.0	2181766.0	2043215.0	2180870.0	2152124.0	967165.0	2212726.0	2165876.0	2105752.0	2188206.0	2159408.0	2218717.0	2139081.0	2136956.0	1936797.0	2289102.0	1210768.0	2255284.0
CM_madagascar__A15_02_1FE__bin.12	1247935.0	1166266.0	1122579.0	1151610.0	1221710.0	1286531.0	1247588.0	2617012.0	967598.0	1165522.0	1241256.0	1230163.0	1180063.0	1239013.0	1188295.0	462640.0	1239582.0	1210000.0	1173358.0	1248105.0	1206406.0	1223453.0	1196759.0	1223868.0	1115677.0	1266915.0	729194.0	1223970.0
VogtmannE_2016__MMRS87723283ST-27-0-0__bin.6	1437042.0	1334968.0	1280778.0	1361799.0	1382521.0	1432984.0	1440768.0	967598.0	2421367.0	1354994.0	1431106.0	1398578.0	1303651.0	1375090.0	1411604.0	515616.0	1419120.0	1369210.0	1370837.0	1391949.0	1373552.0	1447558.0	1379859.0	1357222.0	1311901.0	1466331.0	833943.0	1430622.0
QinJ_2012__DLM019__bin.1	2075358.0	1877952.0	1892667.0	1840873.0	1929218.0	2078747.0	2048887.0	1165522.0	1354994.0	2577499.0	2052091.0	2059085.0	1877413.0	1969727.0	1951532.0	870443.0	2019104.0	1981161.0	1920599.0	2008557.0	2000491.0	2014128.0	1981215.0	1944900.0	1769696.0	2068325.0	1124180.0	2040531.0
