	QinJ_2012__NOM015__bin.11	FengQ_2015__SID31236__bin.32	YuJ_2015__SZAXPI015264-87__bin.43	YuJ_2015__SZAXPI015227-13__bin.33	XieH_2016__YSZC12003_37305R1__bin.76	QinJ_2012__NOF013__bin.19	QinJ_2012__CON-036__bin.19	CM_madagascar__A15_02_1FE__bin.12	VogtmannE_2016__MMRS87723283ST-27-0-0__bin.6	QinJ_2012__DLM019__bin.1	QinJ_2012__NOF005__bin.20	YuJ_2015__SZAXPI017586-111__bin.6	FengQ_2015__SID530185__bin.31	HeQ_2017__SZAXPI029577-94__bin.48	NielsenHB_2014__V1_UC35_4__bin.80	HeQ_2017__SZAXPI029579-97__bin.21	LiJ_2014__O2.UC8-2__bin.15	YuJ_2015__SZAXPI015225-18__bin.78	XieH_2016__YSZC12003_37877__bin.35	NielsenHB_2014__O2_UC9_2__bin.44	NielsenHB_2014__O2_UC35_0__bin.28	ZellerG_2014__CCIS77252613ST-4-0__bin.79	XieH_2016__YSZC12003_37323__bin.20	XieH_2016__YSZC12003_37406__bin.47	LiJ_2014__V1.FI25__bin.37	HeQ_2017__SZAXPI029601-32__bin.11	QinJ_2012__T2D-084__bin.27	HeQ_2017__SZAXPI029570-85__bin.18
QinJ_2012__NOM015__bin.11	1.0	0.7580371353170507	0.7779043338096134	0.7516549340024015	0.7526566475936719	0.859028606586612	0.8192538940798654	0.44579342036159025	0.5124030157462984	0.7437723415182317	0.9911916033301347	0.8080269293156314	0.7231416905351504	0.8206834606843759	0.7689706321401149	0.35698159505637267	0.8028505616206404	0.8095589191372333	0.7793553293850758	0.7998871891800404	0.7895529771378305	0.797135200825778	0.7855472123814415	0.7851731133970293	0.6929885859857435	0.8311738499725054	0.4468953779525672	0.8292292616593578
FengQ_2015__SID31236__bin.32	0.8149604193097072	1.0	0.735220351968062	0.7217211752885917	0.7571464104825865	0.8063078418303058	0.7909550713381761	0.4480722351014517	0.5130589139822357	0.7218711184156321	0.8118436327471104	0.7854645757409983	0.7195243522866912	0.7627321824417379	0.7700337098702015	0.35140850872579193	0.8048244201125276	0.7679430965832882	0.748047908390997	0.7996916013496443	0.8273982797930941	0.794344020295427	0.7626677537543377	0.7731040296824915	0.6977861131578609	0.8007939176195279	0.4359362132566124	0.7921604735079
YuJ_2015__SZAXPI015264-87__bin.43	0.851753344314685	0.7487884589229313	1.0	0.7423280995607194	0.7626982151194281	0.8413682520164514	0.8591780848066823	0.4393036412645363	0.5010252266196235	0.7425559718854069	0.8474897855136831	0.8128392732582879	0.7379193864865746	0.802794597556795	0.7824562966332957	0.3863640882760683	0.8067125698828347	0.8004880365041125	0.7768020405907022	0.8029747479286684	0.7875339124127185	0.816150779100648	0.7839591404640005	0.786204060660965	0.6912011854133079	0.8291780768530235	0.4412896698674841	0.8115225450435583
YuJ_2015__SZAXPI015227-13__bin.33	0.8011649405993336	0.7155283345514909	0.7226228119618944	1.0	0.7245185696765483	0.7920155965462136	0.7781073083260037	0.4378383484260991	0.5175449531112569	0.7029622133716538	0.7991077511985432	0.7708982415172875	0.6840758674727153	0.747326505456933	0.7352984898975509	0.29055032332792385	0.7615081048771726	0.7574363099736134	0.7200259684352662	0.7484809162196648	0.7508164494629784	0.7555626184606618	0.7573298502285594	0.7474894856484521	0.6912226069397817	0.7998363229810587	0.4458247649368829	0.7776292072891245
XieH_2016__YSZC12003_37305R1__bin.76	0.6885571200348752	0.6442833447191513	0.6372475073033155	0.6218550554360857	1.0	0.6919074080473366	0.6798389947873333	0.3994953468775834	0.45047800499203877	0.6256804909103959	0.6839408796939918	0.6683484007134521	0.6791933923269333	0.6593013272230921	0.6855288025752329	0.2942521777038216	0.6899526580347103	0.667018984633133	0.6647924369814912	0.6861342002503994	0.6761644103253863	0.6937751030704494	0.6497289333570796	0.6645110034848578	0.5944895520721746	0.6825835528536758	0.3645939383145622	0.674211653938474
QinJ_2012__NOF013__bin.19	0.7652407655940808	0.6681059195191806	0.684524402696585	0.6619432857802897	0.6737447277725219	1.0	0.7229416149743556	0.40907340804290515	0.45479764611786755	0.6631119439975877	0.7556239250091564	0.7126427335472206	0.6519873660669798	0.7193453702109927	0.6975579184682942	0.3153992397897709	0.7120199021329631	0.7627086727899353	0.684501754281521	0.7150761439714449	0.7030433645967741	0.7174665224070477	0.6981273643327583	0.6923345468569824	0.6162526967791365	0.7422461533284758	0.4018511520278097	0.7341768465899899
QinJ_2012__CON-036__bin.19	0.793245426939166	0.7123523195436698	0.7597742966111082	0.7068465354107799	0.7195352296684959	0.7857815305137408	1.0	0.4311620489141233	0.4988604053728519	0.7107515064769276	0.7922966146250029	0.7581784069588948	0.6951333805746679	0.7573544383702795	0.7444357503195823	0.33672603484019126	0.7677674600983628	0.7519566176845534	0.7287599501328442	0.7593558063761734	0.7481793037236839	0.7677449530605176	0.7423316939535194	0.7418147354280117	0.6721304845519077	0.7954894489468289	0.41997886448477345	0.7835656423033843
CM_madagascar__A15_02_1FE__bin.12	0.4690062559896554	0.4384771640328741	0.4221065856786289	0.4321707351743133	0.45942395373043765	0.4831208263469942	0.46848581512045034	1.0	0.3627388793020437	0.4375700226059338	0.4665649221325695	0.46280032342228467	0.4400270231852204	0.4657498704629555	0.44583593808511385	0.17409014555531271	0.46559129266507	0.4544553101017496	0.44005109644128493	0.4689573452471751	0.4534323877765941	0.4589910172364513	0.4495768456545098	0.45973232067716924	0.41887465552316916	0.4762465743374505	0.27368235223988274	0.45974531259314055
VogtmannE_2016__MMRS87723283ST-27-0-0__bin.6	0.5826419539045505	0.5426393438086833	0.5203098084676963	0.5521215908203919	0.5599130573762672	0.580520838022489	0.5858413862912973	0.3920479629895014	1.0	0.5494772167953061	0.5801788824246799	0.5672023282715921	0.5228525869890851	0.5576614367008388	0.5776650131929609	0.209320602783469	0.5773631176108373	0.5549596570862657	0.5606746106641414	0.566108731142367	0.5579472256787179	0.5922881578876725	0.5593976460404392	0.5509854557363671	0.5333198147988306	0.5940751649791213	0.33776829369525563	0.5799814732752201
QinJ_2012__DLM019__bin.1	0.7944969134808588	0.717242179337412	0.7244254992921433	0.7044995943742364	0.730569827573163	0.7951490960811236	0.7841170840415457	0.44427796092258426	0.5161926347983063	1.0	0.7857539420965828	0.7888616057658994	0.7044883431574561	0.7541011655096665	0.7436802109331565	0.33392059511953254	0.7712988443448475	0.7578140670471647	0.7320518844042229	0.7671067961617056	0.7630303639303061	0.7677768255196219	0.7584650857284523	0.743570802549293	0.6759420663208793	0.792188862148928	0.43014216494361396	0.7815289162090849
