	QinJ_2012__NOM015__bin.11	FengQ_2015__SID31236__bin.32	YuJ_2015__SZAXPI015264-87__bin.43	YuJ_2015__SZAXPI015227-13__bin.33	XieH_2016__YSZC12003_37305R1__bin.76	QinJ_2012__NOF013__bin.19	QinJ_2012__CON-036__bin.19	CM_madagascar__A15_02_1FE__bin.12	VogtmannE_2016__MMRS87723283ST-27-0-0__bin.6	QinJ_2012__DLM019__bin.1	QinJ_2012__NOF005__bin.20	YuJ_2015__SZAXPI017586-111__bin.6	FengQ_2015__SID530185__bin.31	HeQ_2017__SZAXPI029577-94__bin.48	NielsenHB_2014__V1_UC35_4__bin.80	HeQ_2017__SZAXPI029579-97__bin.21	LiJ_2014__O2.UC8-2__bin.15	YuJ_2015__SZAXPI015225-18__bin.78	XieH_2016__YSZC12003_37877__bin.35	NielsenHB_2014__O2_UC9_2__bin.44	NielsenHB_2014__O2_UC35_0__bin.28	ZellerG_2014__CCIS77252613ST-4-0__bin.79	XieH_2016__YSZC12003_37323__bin.20	XieH_2016__YSZC12003_37406__bin.47	LiJ_2014__V1.FI25__bin.37	HeQ_2017__SZAXPI029601-32__bin.11	QinJ_2012__T2D-084__bin.27	HeQ_2017__SZAXPI029570-85__bin.18
QinJ_2012__NOM015__bin.11	1.0	0.7689128828794145	0.7860934695392626	0.7601564242238898	0.7703725953244165	0.8689168054707074	0.8285231952266422	0.4532536078759822	0.5219378182111386	0.7537760389237281	0.9913525022137216	0.8166697054642423	0.7475932359997995	0.8296233368031317	0.7831083049248133	0.3602892838437908	0.8140604558486926	0.8186800335018353	0.7944907205291721	0.8110651215531137	0.801606591696746	0.8117828104785488	0.7954310528307671	0.7951913389184253	0.7025041386970169	0.8394628664989637	0.4525773240808606	0.8377746994314422
FengQ_2015__SID31236__bin.32	0.8266528594037184	1.0	0.7450330362975606	0.7328626524861078	0.7723632950158358	0.8182548728587712	0.8015451951623037	0.4553999244817688	0.5212741573411023	0.7332968627914959	0.8233869106678677	0.7959012421460454	0.7418428400790169	0.7733152776817855	0.7823930844980282	0.3555210113663919	0.8143891516147587	0.7792798122274716	0.7595091861641542	0.8092043994250618	0.8307575525064517	0.8067990617621207	0.7743355938040688	0.7819826932831336	0.7065624718124492	0.8119455472162707	0.44288318766592827	0.8037263990884708
YuJ_2015__SZAXPI015264-87__bin.43	0.8607199015655187	0.7587822312080892	1.0	0.7508424913086393	0.7802077972898703	0.8515497306493447	0.8629962387147524	0.4464305172343856	0.5093435606780653	0.7526813772237436	0.8563410147118827	0.82196927819751	0.7622790573005441	0.8120928223796869	0.7957094782956582	0.3900828214491089	0.8172408280395106	0.8099381762101293	0.7898317244407186	0.8136107781621162	0.7986316525396431	0.8296031999160094	0.7940062022631341	0.7955846058524613	0.7000194069274778	0.8376745728686381	0.4472405973834053	0.820952005236689
YuJ_2015__SZAXPI015227-13__bin.33	0.8102264069719907	0.7265742105719559	0.7309111870222861	1.0	0.7426236946099625	0.800876918598169	0.7880645850624977	0.4458185709153525	0.5271882703814278	0.7126504372979201	0.8082090915848024	0.7796414900338193	0.7082913946458878	0.7567793565650435	0.7493221417687648	0.29366436765234194	0.7730162097543452	0.7658311447790592	0.7339772276798434	0.759588732455434	0.7630504162382469	0.7700152063228571	0.7674319122183269	0.7576755540552259	0.7011291701249953	0.8090588339135066	0.4513347342145361	0.7867251279065446
XieH_2016__YSZC12003_37305R1__bin.76	0.7047643002772469	0.6572319437319079	0.6518770650639688	0.6373947033352029	1.0	0.7089426075029439	0.6962943814311043	0.4059387451853939	0.45937156930241707	0.6410231021347744	0.6999167993535337	0.6843857904991772	0.6948353796793718	0.6748207065941164	0.6981770286470724	0.30066866206449244	0.7042482834882602	0.6830763106759986	0.6775998208395025	0.7004773404501341	0.6895908149676102	0.707014439166505	0.6659430912894505	0.679692795568303	0.6079033304182095	0.6988522032222307	0.37352205880398404	0.6907913099184209
QinJ_2012__NOF013__bin.19	0.7740493813100102	0.6780052181948307	0.6928078987318181	0.6693493175061895	0.690332750514119	1.0	0.7320068048780803	0.4162555440084589	0.46364023445639274	0.672576069555224	0.7641902026839019	0.7209799386810339	0.6744238566756527	0.728200900500983	0.7108049764391774	0.31863246281453794	0.7226523623591107	0.7666695570358272	0.697643982445537	0.7257590778083064	0.7143022152738323	0.730953977126395	0.7069275677802354	0.7017685823774623	0.6249302752364818	0.7499767044873629	0.4071194969204627	0.7430579372341238
QinJ_2012__CON-036__bin.19	0.8022204599524188	0.7218900285030534	0.7631507039603594	0.715891902917299	0.7369514568911099	0.795634689675424	1.0	0.43874234892590436	0.5066784359718732	0.7205371445250751	0.8011928730057973	0.7672670301787727	0.7185424582960414	0.7669519316489395	0.7568427549317668	0.340125300899754	0.7781548097364039	0.7616789546887611	0.7405349993230305	0.7695318008619492	0.7594043371765272	0.7802616794821975	0.7522558909534016	0.7515085869624466	0.6811181777739485	0.8050141460249582	0.42579376871556907	0.7931212865585509
CM_madagascar__A15_02_1FE__bin.12	0.4768549016970499	0.445647937418705	0.4289544717410543	0.4400476574047043	0.4668339312162115	0.4916030190155796	0.4767223077311071	1.0	0.36973387970708577	0.44536364372803794	0.47430275443903197	0.47006395079579305	0.45091998049684145	0.4734456701000989	0.4540655526226093	0.17678176485243477	0.4736630936350311	0.4623593625096102	0.4483578982442572	0.47691986127690666	0.460986040568404	0.4674999579673307	0.4572997754691228	0.4676585357652162	0.4263171127988714	0.4841074477304651	0.27863609337672124	0.4676975115131302
VogtmannE_2016__MMRS87723283ST-27-0-0__bin.6	0.5934837635104467	0.5513282373138809	0.5289483172108979	0.5624091680443319	0.5709671437663105	0.5918078506893008	0.5950225637005873	0.3996081552280179	1.0	0.5595987720985708	0.591032255746444	0.5775985218267202	0.5383946341054454	0.5678982161729305	0.5829781276444257	0.21294417574865768	0.586082159375262	0.5654698358406636	0.5661417703305612	0.574860812094986	0.5672630377798987	0.5978267647985621	0.5698677647791516	0.5605189134897767	0.5418018003879627	0.6055798232981617	0.34440999650197596	0.5908323686578697
QinJ_2012__DLM019__bin.1	0.8051828536111945	0.7285946570687322	0.7343036796522521	0.7142090064826407	0.7484844804983436	0.8064976940825195	0.7949128205287374	0.4521910580760652	0.525701076896635	1.0	0.796155885996464	0.7988693691054778	0.7283855396258155	0.7642008784484494	0.7571417098512938	0.33770837544456855	0.7833578208953719	0.768636961643826	0.7451405412766406	0.7792658697442754	0.776136479587383	0.7814272672850697	0.7686579121854169	0.7545686729655375	0.686594252800874	0.802454239555476	0.4361514786232701	0.791670918204042
