	VogtmannE_2016__MMRS62192467ST-27-0-0__bin.22	NielsenHB_2014__V1_UC11_5__bin.65	FengQ_2015__SID31501__bin.38	VogtmannE_2016__MMRS92546335ST-27-0-0__bin.17	VincentC_2016__MM050.4__bin.76	VincentC_2016__MM040.2__bin.6	VogtmannE_2016__MMRS92544445ST-27-0-0__bin.52	NielsenHB_2014__V1_UC11_0__bin.34	VogtmannE_2016__MMRS86178473ST-27-0-0__bin.5	VincentC_2016__MM048.2__bin.19	LiJ_2014__V1.CD2-0-PN__bin.29	GeversD_2014__SKBSTL008__bin.31	FengQ_2015__SID31137__bin.50	LeChatelierE_2013__MH0333__bin.15	LeChatelierE_2013__MH0239__bin.19	VogtmannE_2016__MMRS71238091ST-27-0-0__bin.5	VatanenT_2016__G80352__bin.1	GeversD_2014__SKBSTL027__bin.15	LeChatelierE_2013__MH0233__bin.36	XieH_2016__YSZC12003_37191R1__bin.28	VincentC_2016__MM090.2__bin.4	BackhedF_2015__SID590_12M__bin.22	RaymondF_2016__P12E90__bin.6	FengQ_2015__SID31337__bin.11	BackhedF_2015__SID503_12M__bin.13	BackhedF_2015__SID345_4M__bin.10	GeversD_2014__SKBSTL006__bin.15	BackhedF_2015__SID103_12M__bin.6	VogtmannE_2016__MMRS65945127ST-27-0-0__bin.24	BackhedF_2015__SID9_12M__bin.24	BackhedF_2015__SID172_12M__bin.33	HeQ_2017__SZAXPI029495-96__bin.34	ZellerG_2014__CCIS24254057ST-4-0__bin.27
VogtmannE_2016__MMRS62192467ST-27-0-0__bin.22	0.0	62961.0	7007.0	41439.0	68805.0	3048.0	67307.0	9483.0	63087.0	1831.0	67571.0	57176.0	89398.0	16032.0	61728.0	60697.0	54917.0	69923.0	65871.0	38680.0	62288.0	69237.0	37653.0	68357.0	19419.0	68576.0	2527.0	71983.0	31478.0	71871.0	67235.0	68769.0	3209.0
NielsenHB_2014__V1_UC11_5__bin.65	62961.0	0.0	49430.0	46344.0	7732.0	61601.0	6700.0	57511.0	9778.0	38082.0	65907.0	64373.0	87634.0	37291.0	63139.0	56698.0	60839.0	68782.0	69048.0	60772.0	8146.0	66036.0	40835.0	69615.0	41271.0	7552.0	47219.0	68541.0	36165.0	67750.0	64050.0	64340.0	62327.0
FengQ_2015__SID31501__bin.38	7007.0	49430.0	0.0	35285.0	53499.0	8682.0	52370.0	11383.0	51512.0	4763.0	52956.0	48450.0	67445.0	14939.0	49402.0	48262.0	44616.0	54705.0	52302.0	30219.0	49309.0	53869.0	33063.0	53627.0	19184.0	53609.0	6226.0	54925.0	27168.0	55026.0	52827.0	50762.0	9864.0
VogtmannE_2016__MMRS92546335ST-27-0-0__bin.17	41439.0	46344.0	35285.0	0.0	46341.0	41916.0	48139.0	41546.0	43999.0	27086.0	47455.0	10312.0	62730.0	26575.0	46245.0	43075.0	7517.0	48333.0	46913.0	41066.0	45438.0	46177.0	11423.0	42959.0	28358.0	47925.0	32387.0	48461.0	5340.0	47502.0	47294.0	47466.0	43620.0
VincentC_2016__MM050.4__bin.76	68805.0	7732.0	53499.0	46341.0	0.0	67442.0	7499.0	62358.0	6042.0	42545.0	65145.0	64016.0	84369.0	41093.0	62991.0	56609.0	62347.0	69157.0	70503.0	64426.0	8441.0	66200.0	41342.0	69968.0	44096.0	7850.0	51907.0	67818.0	35795.0	66281.0	63750.0	63778.0	68895.0
VincentC_2016__MM040.2__bin.6	3048.0	61601.0	8682.0	41916.0	67442.0	0.0	66425.0	10823.0	61720.0	3551.0	65922.0	56122.0	87440.0	16449.0	61001.0	59318.0	51807.0	69443.0	64581.0	37402.0	61608.0	67580.0	37298.0	66315.0	19827.0	67187.0	4103.0	70377.0	30617.0	70182.0	66022.0	67036.0	7224.0
VogtmannE_2016__MMRS92544445ST-27-0-0__bin.52	67307.0	6700.0	52370.0	48139.0	7499.0	66425.0	0.0	60785.0	9305.0	41699.0	66004.0	67581.0	87576.0	41167.0	64012.0	56670.0	64383.0	68986.0	68300.0	63069.0	7448.0	69440.0	41695.0	69029.0	43166.0	6809.0	50241.0	69385.0	35357.0	67529.0	64474.0	64161.0	66163.0
NielsenHB_2014__V1_UC11_0__bin.34	9483.0	57511.0	11383.0	41546.0	62358.0	10823.0	60785.0	0.0	58275.0	6359.0	65909.0	58829.0	85957.0	17346.0	61364.0	58832.0	54183.0	67279.0	64324.0	39150.0	56415.0	67270.0	38626.0	66041.0	21678.0	62588.0	7962.0	69748.0	30912.0	69189.0	65594.0	64218.0	10190.0
VogtmannE_2016__MMRS86178473ST-27-0-0__bin.5	63087.0	9778.0	51512.0	43999.0	6042.0	61720.0	9305.0	58275.0	0.0	40290.0	59715.0	59247.0	76863.0	38901.0	58323.0	52463.0	56576.0	64084.0	63080.0	59648.0	10460.0	61649.0	38724.0	65522.0	42041.0	9362.0	47467.0	61989.0	33114.0	61393.0	58822.0	58295.0	63408.0
VincentC_2016__MM048.2__bin.19	1831.0	38082.0	4763.0	27086.0	42545.0	3551.0	41699.0	6359.0	40290.0	0.0	41274.0	34947.0	51858.0	10959.0	38371.0	38121.0	32939.0	43252.0	38539.0	22456.0	38956.0	41228.0	25418.0	39233.0	13011.0	41871.0	2786.0	42075.0	21270.0	42191.0	41162.0	39356.0	4200.0
LiJ_2014__V1.CD2-0-PN__bin.29	67571.0	65907.0	52956.0	47455.0	65145.0	65922.0	66004.0	65909.0	59715.0	41274.0	0.0	62186.0	88175.0	39956.0	20148.0	58941.0	59434.0	69119.0	69680.0	66788.0	62979.0	18033.0	43615.0	68569.0	42886.0	66685.0	50662.0	5017.0	33576.0	8293.0	10085.0	43645.0	66176.0
GeversD_2014__SKBSTL008__bin.31	57176.0	64373.0	48450.0	10312.0	64016.0	56122.0	67581.0	58829.0	59247.0	34947.0	62186.0	0.0	87768.0	33752.0	61471.0	55648.0	5944.0	66315.0	63768.0	57704.0	61875.0	60175.0	10983.0	58099.0	33570.0	66986.0	44152.0	64080.0	5422.0	64571.0	61190.0	63442.0	58165.0
FengQ_2015__SID31137__bin.50	89398.0	87634.0	67445.0	62730.0	84369.0	87440.0	87576.0	85957.0	76863.0	51858.0	88175.0	87768.0	0.0	51185.0	85927.0	75747.0	84670.0	95373.0	89459.0	93576.0	83987.0	87505.0	56717.0	92239.0	56265.0	87396.0	65153.0	94970.0	49685.0	94183.0	85875.0	91230.0	89306.0
LeChatelierE_2013__MH0333__bin.15	16032.0	37291.0	14939.0	26575.0	41093.0	16449.0	41167.0	17346.0	38901.0	10959.0	39956.0	33752.0	51185.0	0.0	37381.0	37164.0	31438.0	40801.0	41669.0	21348.0	37242.0	42270.0	24384.0	40978.0	11937.0	41058.0	12327.0	41409.0	19679.0	41121.0	40732.0	38011.0	15424.0
LeChatelierE_2013__MH0239__bin.19	61728.0	63139.0	49402.0	46245.0	62991.0	61001.0	64012.0	61364.0	58323.0	38371.0	20148.0	61471.0	85927.0	37381.0	0.0	57095.0	59679.0	66141.0	67436.0	62142.0	61725.0	25852.0	44153.0	68723.0	39416.0	64569.0	47334.0	18409.0	34348.0	20173.0	17903.0	42406.0	60429.0
VogtmannE_2016__MMRS71238091ST-27-0-0__bin.5	60697.0	56698.0	48262.0	43075.0	56609.0	59318.0	56670.0	58832.0	52463.0	38121.0	58941.0	55648.0	75747.0	37164.0	57095.0	0.0	54014.0	59647.0	54632.0	60587.0	54342.0	58775.0	38647.0	55719.0	39026.0	57115.0	45773.0	61155.0	31134.0	60466.0	57845.0	59532.0	59098.0
VatanenT_2016__G80352__bin.1	54917.0	60839.0	44616.0	7517.0	62347.0	51807.0	64383.0	54183.0	56576.0	32939.0	59434.0	5944.0	84670.0	31438.0	59679.0	54014.0	0.0	63627.0	60685.0	54492.0	60051.0	58976.0	10516.0	54831.0	32517.0	63022.0	42267.0	62179.0	2826.0	60909.0	60003.0	61500.0	55191.0
GeversD_2014__SKBSTL027__bin.15	69923.0	68782.0	54705.0	48333.0	69157.0	69443.0	68986.0	67279.0	64084.0	43252.0	69119.0	66315.0	95373.0	40801.0	66141.0	59647.0	63627.0	0.0	69343.0	70835.0	66472.0	71642.0	45758.0	73063.0	43223.0	70873.0	52365.0	73590.0	35802.0	73574.0	68288.0	72405.0	71366.0
