	VogtmannE_2016__MMRS62192467ST-27-0-0__bin.22	NielsenHB_2014__V1_UC11_5__bin.65	FengQ_2015__SID31501__bin.38	VogtmannE_2016__MMRS92546335ST-27-0-0__bin.17	VincentC_2016__MM050.4__bin.76	VincentC_2016__MM040.2__bin.6	VogtmannE_2016__MMRS92544445ST-27-0-0__bin.52	NielsenHB_2014__V1_UC11_0__bin.34	VogtmannE_2016__MMRS86178473ST-27-0-0__bin.5	VincentC_2016__MM048.2__bin.19	LiJ_2014__V1.CD2-0-PN__bin.29	GeversD_2014__SKBSTL008__bin.31	FengQ_2015__SID31137__bin.50	LeChatelierE_2013__MH0333__bin.15	LeChatelierE_2013__MH0239__bin.19	VogtmannE_2016__MMRS71238091ST-27-0-0__bin.5	VatanenT_2016__G80352__bin.1	GeversD_2014__SKBSTL027__bin.15	LeChatelierE_2013__MH0233__bin.36	XieH_2016__YSZC12003_37191R1__bin.28	VincentC_2016__MM090.2__bin.4	BackhedF_2015__SID590_12M__bin.22	RaymondF_2016__P12E90__bin.6	FengQ_2015__SID31337__bin.11	BackhedF_2015__SID503_12M__bin.13	BackhedF_2015__SID345_4M__bin.10	GeversD_2014__SKBSTL006__bin.15	BackhedF_2015__SID103_12M__bin.6	VogtmannE_2016__MMRS65945127ST-27-0-0__bin.24	BackhedF_2015__SID9_12M__bin.24	BackhedF_2015__SID172_12M__bin.33	HeQ_2017__SZAXPI029495-96__bin.34	ZellerG_2014__CCIS24254057ST-4-0__bin.27
VogtmannE_2016__MMRS62192467ST-27-0-0__bin.22	6247232.0	5206981.0	4360092.0	3628387.0	5029233.0	5888575.0	5116460.0	5719553.0	4381702.0	3514554.0	5017221.0	5068095.0	4148715.0	3193477.0	4899456.0	4166762.0	4917164.0	5275500.0	5127935.0	5763407.0	4923068.0	4927520.0	3387185.0	5278960.0	3434817.0	5042833.0	4330760.0	5408668.0	2680830.0	5419451.0	4863616.0	5224707.0	5802093.0
NielsenHB_2014__V1_UC11_5__bin.65	5206981.0	5897859.0	3810215.0	3528917.0	5472639.0	5026859.0	5563307.0	5027866.0	4805734.0	3110635.0	5037632.0	4989771.0	4055329.0	2897648.0	4879851.0	4124357.0	4814974.0	5096371.0	5013362.0	5366431.0	5285718.0	4888232.0	3369637.0	5080937.0	3126921.0	5476877.0	3892434.0	5338027.0	2741138.0	5351899.0	4886728.0	5185621.0	5134353.0
FengQ_2015__SID31501__bin.38	4360092.0	3810215.0	5878984.0	2845348.0	3713713.0	4361218.0	3757129.0	4300539.0	3339630.0	2811511.0	3706661.0	3766016.0	3030395.0	2544646.0	3659072.0	3167198.0	3652087.0	3854911.0	3795974.0	4212119.0	3657900.0	3644763.0	2713549.0	3837246.0	2766973.0	3770107.0	3334821.0	3899637.0	2168195.0	3906292.0	3626183.0	3785312.0	4347750.0
VogtmannE_2016__MMRS92546335ST-27-0-0__bin.17	3628387.0	3528917.0	2845348.0	4389817.0	3482074.0	3590145.0	3556482.0	3526418.0	3158794.0	2339926.0	3585660.0	3879310.0	2881703.0	2223283.0	3512263.0	3056800.0	3823695.0	3620198.0	3578893.0	3705321.0	3438782.0	3549756.0	2713053.0	3663470.0	2411438.0	3521523.0	2803599.0	3718230.0	2141927.0	3718085.0	3479278.0	3659777.0	3616555.0
VincentC_2016__MM050.4__bin.76	5029233.0	5472639.0	3713713.0	3482074.0	6031858.0	4897645.0	5618415.0	4857234.0	4922554.0	3069999.0	4964547.0	4856694.0	3923560.0	2850438.0	4775801.0	4073820.0	4725245.0	4984969.0	4882347.0	5313257.0	5227223.0	4828111.0	3317780.0	4952859.0	3073735.0	5513804.0	3794998.0	5253864.0	2659036.0	5292602.0	4838497.0	5111303.0	5012164.0
VincentC_2016__MM040.2__bin.6	5888575.0	5026859.0	4361218.0	3590145.0	4897645.0	6771289.0	5038360.0	5677990.0	4290907.0	3619078.0	4913614.0	4976706.0	4049672.0	3164373.0	4799857.0	4074797.0	4801238.0	5181181.0	4986408.0	5703755.0	4799305.0	4837134.0	3358424.0	5109952.0	3420335.0	4911009.0	4277772.0	5248130.0	2649584.0	5335467.0	4820335.0	5078883.0	5835501.0
VogtmannE_2016__MMRS92544445ST-27-0-0__bin.52	5116460.0	5563307.0	3757129.0	3556482.0	5618415.0	5038360.0	6386402.0	4934996.0	5028480.0	3123773.0	5006465.0	4936344.0	4009177.0	2929106.0	4835908.0	4118076.0	4770798.0	5029303.0	4937485.0	5396136.0	5282577.0	4896247.0	3347636.0	5038707.0	3128535.0	5590953.0	3826858.0	5312836.0	2667308.0	5365918.0	4909588.0	5180406.0	5077689.0
NielsenHB_2014__V1_UC11_0__bin.34	5719553.0	5027866.0	4300539.0	3526418.0	4857234.0	5677990.0	4934996.0	6286338.0	4295225.0	3432089.0	4834265.0	4883018.0	3919825.0	3125848.0	4750301.0	4018205.0	4685911.0	5000291.0	4883119.0	5464540.0	4712422.0	4769947.0	3303725.0	4990137.0	3346565.0	4885938.0	4183599.0	5152204.0	2572124.0	5159528.0	4701367.0	4966138.0	5617756.0
VogtmannE_2016__MMRS86178473ST-27-0-0__bin.5	4381702.0	4805734.0	3339630.0	3158794.0	4922554.0	4290907.0	5028480.0	4295225.0	5746556.0	2774465.0	4360986.0	4247147.0	3430049.0	2645156.0	4225263.0	3648044.0	4137172.0	4369550.0	4275215.0	4620164.0	4616565.0	4283544.0	2981132.0	4355818.0	2796089.0	4938331.0	3335172.0	4590688.0	2335195.0	4610923.0	4261089.0	4445248.0	4367265.0
VincentC_2016__MM048.2__bin.19	3514554.0	3110635.0	2811511.0	2339926.0	3069999.0	3619078.0	3123773.0	3432089.0	2774465.0	4054121.0	3067171.0	3066594.0	2455773.0	2127685.0	3018659.0	2630593.0	2981486.0	3161017.0	3055544.0	3501026.0	3011234.0	2986019.0	2232185.0	3110924.0	2251504.0	3086384.0	2745834.0	3182103.0	1808964.0	3226765.0	3008105.0	3115126.0	3537971.0
