	XieH_2016__YSZC12003_37584__bin.36	RaymondF_2016__P1E0__bin.6	FengQ_2015__SID530623__bin.65	LiJ_2014__MH0339__bin.38	HMP_2012__SRS042628__bin.32	XieH_2016__YSZC12003_36453__bin.3	LiJ_2017__H3M517925__bin.17	ZeeviD_2015__PNP_Main_750__bin.36	XieH_2016__YSZC12003_37265R1__bin.27	Bengtsson-PalmeJ_2015__TRAVELRES9__bin.81	XieH_2016__YSZC12003_35733__bin.124	LiJ_2017__H1M513729__bin.13	QinJ_2012__NOF008__bin.29	YuJ_2015__SZAXPI015264-87__bin.26	Bengtsson-PalmeJ_2015__TRAVELRES6__bin.52	ZeeviD_2015__PNP_Main_527__bin.29	ZeeviD_2015__PNP_Main_632__bin.39	LeChatelierE_2013__MH0197__bin.43	HMP_2012__SRS011134__bin.14	LiuW_2016__SRR3993016__bin.24	ZeeviD_2015__PNP_Main_701__bin.12	CosteaPI_2017__SID713B061-11-0-0__bin.34	VincentC_2016__MM037.1__bin.8	XieH_2016__YSZC12003_37314__bin.79	ZellerG_2014__CCIS20795251ST-4-0__bin.46	KarlssonFH_2013__S195__bin.33	XieH_2016__YSZC12003_36011__bin.52	RaymondF_2016__P13E90__bin.36	ZellerG_2014__CCMD72895164ST-21-0__bin.36	LiJ_2014__V1.FI28__bin.87	XieH_2016__YSZC12003_35999__bin.12	ZeeviD_2015__PNP_Validation_13__bin.40	XieH_2016__YSZC12003_35549__bin.24	KarlssonFH_2013__S488__bin.33	ZellerG_2014__CCMD87156761ST-21-0__bin.36	XieH_2016__YSZC12003_37330__bin.31	BackhedF_2015__SID105_M__bin.46	VincentC_2016__MM050.3__bin.10	Bengtsson-PalmeJ_2015__TRAVELRES63__bin.107	LiJ_2014__MH0399__bin.56	KarlssonFH_2013__S424__bin.7	Bengtsson-PalmeJ_2015__TRAVELRES18__bin.2	LouisS_2016__AS50_6__bin.20	ZeeviD_2015__PNP_Main_58__bin.47	BritoIL_2016__WL.11.ST__bin.9	NielsenHB_2014__O2_UC44_2__bin.7	VincentC_2016__MM050.4__bin.29	RaymondF_2016__P13E0__bin.35	XieH_2016__YSZC12003_35837__bin.36
XieH_2016__YSZC12003_37584__bin.36	1.0	0.8124909372572588	0.7232300615997981	0.5229484513634027	0.8844753569072868	0.7763644645768206	0.8163957893215624	0.8326318302565983	0.8566209408066805	0.8411987768897985	0.7893674559532394	0.8556391131621051	0.753684783038549	0.7770894839961118	0.858760358379296	0.8723633826623202	0.8594077494567237	0.8173043826813611	0.7201351807251268	0.7840252589930481	0.7924970010560384	0.586912252144666	0.7578200789856173	0.8383079755553722	0.781124204858753	0.8561473590984566	0.8419443019088272	0.8609617809796892	0.7281855815363674	0.7997310837062993	0.8265865841625488	0.8476155649219493	0.7302957053950722	0.7668420546415645	0.5572372317245063	0.8148373637415103	0.39434709438092863	0.5606401848238056	0.7219509027590284	0.7874638527776056	0.8779252824768421	0.7038097939626632	0.7888504219027146	0.5674812434790972	0.6881430275346264	0.6831650490840588	0.7953760849049004	0.8706667883983222	0.8537804270144677
RaymondF_2016__P1E0__bin.6	0.8559904533378597	1.0	0.7375614347769059	0.5556306532210983	0.868744197290826	0.7967985762305602	0.8015899101657035	0.8606331350446342	0.8722125778302433	0.853665511911467	0.8165158283761158	0.8712157334752988	0.7674590499116574	0.8067510743852665	0.8639965845993205	0.8862923613843688	0.8789456493504824	0.8364630028264498	0.742251952667896	0.8169026327904184	0.8096310184220746	0.6026397343805857	0.7884725083391843	0.8564641858718659	0.8132830281847712	0.8635670876765246	0.8544905574972932	0.878844833306329	0.7349931974888575	0.8275608432541979	0.8444989674070987	0.8814562774704432	0.7384862676717409	0.8024010678270799	0.56678728586235	0.8225308427655487	0.4139455336177786	0.5849861249347396	0.7383746499085712	0.8162195526545224	0.8869543524498041	0.7628122532643052	0.7997880805602492	0.5828334966450375	0.7117525274736579	0.7181538319098211	0.8226563484531682	0.8815519498388743	0.8767487854495701
FengQ_2015__SID530623__bin.65	0.8404899725725206	0.8135867585530728	1.0	0.5816407238494247	0.8430227873899412	0.7917417981396521	0.7965617492762981	0.8792816428799194	0.8900483754012843	0.8408321068321318	0.802964709673832	0.8464566124963545	0.761299225063065	0.7853439442236049	0.8905312215951967	0.8700655785700263	0.9003294247945776	0.8209094530050509	0.7509682456285681	0.7883567683007786	0.839022710225332	0.61791092707604	0.7780791232284765	0.8829129186038199	0.8260221757469364	0.8814360106804897	0.8628813265050219	0.8624847231095522	0.7197619698762984	0.7899278624381973	0.8661659288746563	0.8615808758864001	0.7503253963480714	0.7888203233424077	0.562709862204434	0.8701563604631238	0.43464327822494164	0.5771390767254517	0.7495049549892027	0.8078113279915754	0.9087778147209649	0.738438074833784	0.8056711448618016	0.5752950695219085	0.6997553427981023	0.7278245367570211	0.8220096160720264	0.869073786387936	0.9040100631728498
LiJ_2014__MH0339__bin.38	0.8695003462207549	0.8768931537585449	0.8321653287311274	1.0	0.8941871442916599	0.8458298866847476	0.8247392385416353	0.8927332606526809	0.8941757794837617	0.88712148086694	0.8834985424633871	0.8914254959723933	0.8303575125033181	0.8645850668047761	0.8949347862969641	0.9069076114177355	0.9085043669274349	0.8587208259292963	0.8136065974333393	0.8241588215668336	0.8448687486453554	0.667354508135173	0.8165663181188321	0.8898920586781267	0.8541521731542131	0.8911218932471123	0.8883975864395112	0.8996300755029131	0.751295791043395	0.8344285490468579	0.8832517637775972	0.9046102966783102	0.7941817054193087	0.8440667179165384	0.6238808708365229	0.8876945918938073	0.5179348845213751	0.6077809969047134	0.8099243996743171	0.8367599582099778	0.9096100003815328	0.8298030722322837	0.85430884514881	0.6342812936073767	0.7504970074025488	0.8218444596155611	0.8618802425250005	0.9122360827780136	0.902631196560035
HMP_2012__SRS042628__bin.32	0.8549050124417963	0.797028126057364	0.7011571602030516	0.5198160322443792	1.0	0.7587806331748831	0.8071099214890327	0.8183176841506191	0.8393963003529383	0.8340614053260232	0.7707675123061234	0.8483082413156356	0.7405990466559104	0.762398263009145	0.8358829616996537	0.8520499823743185	0.8693335321629755	0.8121503472990708	0.7075727195034418	0.7737527883733738	0.7799210690365147	0.5730677699194976	0.7456305062558192	0.8380287173553267	0.7767239072667358	0.837343510139132	0.8283400194519569	0.8474522042011885	0.7176233691525563	0.783561350348998	0.8079400037846844	0.8267393149909842	0.7055727827388185	0.7670182207547	0.5430729656023146	0.8060023585851698	0.386934438599629	0.5565279436657736	0.7005474579142613	0.7721355672095314	0.8738841197564777	0.698305905381944	0.7571992768515577	0.5584160387566792	0.6796127729798067	0.675599214182468	0.7949323924160964	0.8433272756359285	0.862681076152854
XieH_2016__YSZC12003_36453__bin.3	0.9172660480285741	0.8935684442657532	0.8049282617084864	0.6010378445229071	0.9274997072553939	1.0	0.8744699592118796	0.9517158871776709	0.9556533742348983	0.9266263765485901	0.8893240801041536	0.9430114219427512	0.8385186142306759	0.8909034588856785	0.9527824581663632	0.95041685101405	0.9664177231910835	0.9202494472462683	0.8177230757161571	0.8995433184144145	0.8955931409506153	0.6534884485574181	0.875812258125177	0.9361989809603523	0.9038292148157036	0.9429843106196206	0.9358667230428365	0.9453026171656208	0.8062561397052249	0.8653074856670511	0.9272003290276322	0.9542926165484056	0.8596250677062033	0.8820420940785986	0.6489902762643827	0.9106941479343768	0.44877546229132215	0.6522032564736937	0.833649535963747	0.903081634501293	0.9677871334275115	0.8083067940398929	0.893261567161381	0.6281855083632664	0.7830269273122353	0.7832409337139686	0.9245699538472987	0.9599929164457863	0.9570302833479369
LiJ_2017__H3M517925__bin.17	0.7403100329034749	0.6899454028993309	0.6215502707718681	0.4497991790069455	0.7572049401255928	0.6711631502332286	1.0	0.7169743324561435	0.724244796186172	0.738563031936559	0.6741103842516674	0.7569826911429796	0.6680118190415136	0.6854340141885167	0.7304496158900053	0.7826338540984129	0.7394467151423278	0.7047134493396283	0.608977265080169	0.6845901764178777	0.673073517484177	0.5145001965708134	0.6616361066936789	0.7306444157950847	0.6711224193439848	0.7270902029815011	0.7300095451953489	0.7392598843242746	0.6391553121934115	0.6801102213281104	0.7039063579147201	0.7285064868368392	0.6313190432845389	0.6592117333295554	0.4897189922823819	0.6946369815223435	0.34071256034369785	0.49418832192278134	0.6278489486117851	0.6623179063614565	0.7492247849231957	0.6088794224005724	0.6714655328131586	0.4869125454680688	0.6018745949047428	0.5883382151370151	0.6900485583036116	0.7448927006704659	0.7348560782883109
ZeeviD_2015__PNP_Main_750__bin.36	0.8639176270879062	0.8475922812374781	0.7850390593537033	0.5570961582981561	0.8784339987852366	0.8357896240565701	0.8203705382901217	1.0	0.9310583790558178	0.8680943260216195	0.8316458524037168	0.8728388939067814	0.7812422905837602	0.8187479832040473	0.9033538715136975	0.9057788391056545	0.9746059744271539	0.8583361996953467	0.7622290654680461	0.8267396875555648	0.8813397046777508	0.6199264759147072	0.8159324474037346	0.9193666614827306	0.8795018558322066	0.9334114132034343	0.8840453140173461	0.8923191798371569	0.7462243806758401	0.8249048781513307	0.8914438207398304	0.8928237270946436	0.7822594902755609	0.8279934570960064	0.5824532040017284	0.8825564943489187	0.4193420926654735	0.6013610618186902	0.762667251590261	0.8501251489959459	0.9575081039103932	0.7357955509671249	0.8347673586292524	0.5812313485950436	0.7209919520659842	0.724736543760103	0.8615296393652229	0.9029090999353105	0.933040094790043
XieH_2016__YSZC12003_37265R1__bin.27	0.7782233937753625	0.7521207048657452	0.695781920794196	0.4885709254634059	0.7889518872221905	0.7348290595447354	0.7255846714010779	0.8152169140101581	1.0	0.7736579736063448	0.7357711514945064	0.7900195027227078	0.6935779401452259	0.7228621853428412	0.8374110745481264	0.8046960001454831	0.8494959320167997	0.7602251794920244	0.6776395540232516	0.7333023738144566	0.7832199407688517	0.5534355529711602	0.7172442302412403	0.8229594550060167	0.7619079934550336	0.8352235051054375	0.8150346165566007	0.8271607238140353	0.6774834257905211	0.7367252191894017	0.8107943156903995	0.7957913683264606	0.6946140638715278	0.7247060065458536	0.5148488150887292	0.7920207827967978	0.3736450220597661	0.5351694368339324	0.6713922069834561	0.7652572101747704	0.8787996932435064	0.6518149685281853	0.7537454142875962	0.5147760735257525	0.6414479651656623	0.6329380893896229	0.7657211594118046	0.8214066000549111	0.8520307980680906
Bengtsson-PalmeJ_2015__TRAVELRES9__bin.81	0.8601197904914425	0.8285097975003545	0.7397986385538079	0.545547443943681	0.8823201694918639	0.8019278501410768	0.8327890277580867	0.8554761367516589	0.8707504727521062	1.0	0.8087216024249637	0.8854357406582786	0.780830226581548	0.8042601604262057	0.8736658606085174	0.8975755355028345	0.8844258383237718	0.8335802760033627	0.7350261885696827	0.8056055320482995	0.8139922642379755	0.6276340828808824	0.7887082635271001	0.8658946546563336	0.817501213080906	0.8571914231685474	0.8752708215602916	0.8941604381867885	0.7585884131304277	0.8131490981267635	0.854385861567001	0.8694260679604865	0.7480151400484434	0.8026891457713896	0.5741841406894294	0.8288013362859955	0.40933393371685994	0.5816832770556979	0.7608458418781487	0.8090650590765409	0.8919808862379716	0.723465477614414	0.8059529823818719	0.5889857245837086	0.7182052992166392	0.6994659448752074	0.830704325756653	0.8985479970686374	0.8941674271302799
