	XieH_2016__YSZC12003_37584__bin.36	RaymondF_2016__P1E0__bin.6	FengQ_2015__SID530623__bin.65	LiJ_2014__MH0339__bin.38	HMP_2012__SRS042628__bin.32	XieH_2016__YSZC12003_36453__bin.3	LiJ_2017__H3M517925__bin.17	ZeeviD_2015__PNP_Main_750__bin.36	XieH_2016__YSZC12003_37265R1__bin.27	Bengtsson-PalmeJ_2015__TRAVELRES9__bin.81	XieH_2016__YSZC12003_35733__bin.124	LiJ_2017__H1M513729__bin.13	QinJ_2012__NOF008__bin.29	YuJ_2015__SZAXPI015264-87__bin.26	Bengtsson-PalmeJ_2015__TRAVELRES6__bin.52	ZeeviD_2015__PNP_Main_527__bin.29	ZeeviD_2015__PNP_Main_632__bin.39	LeChatelierE_2013__MH0197__bin.43	HMP_2012__SRS011134__bin.14	LiuW_2016__SRR3993016__bin.24	ZeeviD_2015__PNP_Main_701__bin.12	CosteaPI_2017__SID713B061-11-0-0__bin.34	VincentC_2016__MM037.1__bin.8	XieH_2016__YSZC12003_37314__bin.79	ZellerG_2014__CCIS20795251ST-4-0__bin.46	KarlssonFH_2013__S195__bin.33	XieH_2016__YSZC12003_36011__bin.52	RaymondF_2016__P13E90__bin.36	ZellerG_2014__CCMD72895164ST-21-0__bin.36	LiJ_2014__V1.FI28__bin.87	XieH_2016__YSZC12003_35999__bin.12	ZeeviD_2015__PNP_Validation_13__bin.40	XieH_2016__YSZC12003_35549__bin.24	KarlssonFH_2013__S488__bin.33	ZellerG_2014__CCMD87156761ST-21-0__bin.36	XieH_2016__YSZC12003_37330__bin.31	BackhedF_2015__SID105_M__bin.46	VincentC_2016__MM050.3__bin.10	Bengtsson-PalmeJ_2015__TRAVELRES63__bin.107	LiJ_2014__MH0399__bin.56	KarlssonFH_2013__S424__bin.7	Bengtsson-PalmeJ_2015__TRAVELRES18__bin.2	LouisS_2016__AS50_6__bin.20	ZeeviD_2015__PNP_Main_58__bin.47	BritoIL_2016__WL.11.ST__bin.9	NielsenHB_2014__O2_UC44_2__bin.7	VincentC_2016__MM050.4__bin.29	RaymondF_2016__P13E0__bin.35	XieH_2016__YSZC12003_35837__bin.36
XieH_2016__YSZC12003_37584__bin.36	1.0	0.9900418288855465	0.9895715688888739	0.9892476431080165	0.9951656021386608	0.988349015134269	0.9886990411796964	0.9907570830308652	0.9903348381834876	0.9892545449374652	0.9900482372886178	0.988642756961618	0.9872864969071323	0.9891490031420205	0.9897704912813522	0.9899697390800165	0.9905826251507592	0.9882707494534115	0.991749808135073	0.9910620933246236	0.9909290793730198	0.9881243729858601	0.9907562445922936	0.9902087313050366	0.990544497676439	0.9905302241872194	0.9905038480986821	0.9902457696320828	0.9902104278621642	0.9897260483044835	0.990736737403664	0.99080009031717	0.9894277804556336	0.9905950484572748	0.9875121019498925	0.9909800493359066	0.987901598345941	0.9904120385085974	0.9892609461593342	0.9903354206708413	0.9903908663457875	0.9886969514927599	0.9903598351219874	0.9893463715460451	0.9893442140267008	0.9902678033521694	0.9903419421449555	0.9901638406610599	0.9902117592700078
RaymondF_2016__P1E0__bin.6	0.9900418288855465	1.0	0.9894791825758638	0.9889031966606833	0.989728566049086	0.9879573993405135	0.9891998133982376	0.9900853879452804	0.9902105267503254	0.9888048077867443	0.9892573910950935	0.988325979875555	0.9868569559610842	0.9888895477205593	0.9900823110435869	0.9893805946588419	0.9904839040981654	0.9875968286745087	0.9911526931376721	0.9898153156244707	0.9905167112231518	0.9876136574107662	0.9899882379572795	0.9897584623459986	0.9894543909047442	0.9900094764937093	0.9901953053282327	0.9898682717300141	0.9897279495229284	0.9899502141227803	0.9899453046009916	0.9985259705777658	0.9891844980591579	0.9896030451750539	0.9872875395562799	0.9903496380176235	0.9862693006414287	0.9891285615303721	0.9886081504702194	0.9896952498706549	0.9896674648376586	0.9960087929278967	0.9894533139193875	0.988665677645624	0.9889827807620346	0.9896203090128264	0.9895864270283958	0.989618147615669	0.9899355712289339
FengQ_2015__SID530623__bin.65	0.9895715688888739	0.9894791825758638	1.0	0.9889291225824829	0.9895207898241956	0.9888026383492258	0.9882022603964775	0.9913299572047307	0.9912053446209552	0.9891142544424936	0.989046055746263	0.9884184144395117	0.986811391571096	0.9887807753828726	0.9969850866277888	0.9888298430804565	0.9905230652886312	0.9874476871770946	0.9912342205392141	0.9899356005101292	0.9908760715983578	0.9871952266522932	0.9914929798488775	0.9964526792553711	0.9913005311037781	0.9910093395498297	0.9898737439990426	0.9897348858627721	0.9891601159113197	0.9892567343834061	0.9911023799479624	0.9898564840333302	0.9896409847681112	0.9898494464020992	0.987220659899552	0.9907128293105011	0.9878845079394917	0.9901326008564788	0.988353317279559	0.9905699074269179	0.9907054423764898	0.9881672444739495	0.9902117512507325	0.9886472348407891	0.9887593803591193	0.9892342017172266	0.990526407337565	0.9898153244112964	0.9908221180490395
LiJ_2014__MH0339__bin.38	0.9892476431080165	0.9889031966606833	0.9889291225824829	1.0	0.9889861782528767	0.9869101832612733	0.9882231238200978	0.989427443363577	0.9895843073741434	0.9889652559751323	0.9889420576685245	0.9884575771566573	0.9874014439409715	0.9880842281976867	0.9887722391845043	0.989225694708623	0.9893268356145044	0.9879470805938544	0.9897501646279409	0.9890776639261508	0.9892416295227289	0.9865319865319865	0.9889592069239074	0.9889685961209012	0.9888386980888741	0.98913139524609	0.9892497484907159	0.9888263266650424	0.9885705147806432	0.9888132229475343	0.9889830835601909	0.9894962602019984	0.9880449459334315	0.9893073843292303	0.9865875905285593	0.988950432865398	0.986093130417065	0.9886377751569702	0.9878022378934455	0.9888579738489807	0.9888516444092228	0.9882147734520823	0.9886621056632459	0.9877481909608193	0.9887281683300577	0.9891367907009823	0.9891827183447346	0.9888730590811731	0.9891233866971483
HMP_2012__SRS042628__bin.32	0.9951656021386608	0.989728566049086	0.9895207898241956	0.9889861782528767	1.0	0.9881255570129367	0.9883413630197858	0.9897806893608678	0.9897618366290238	0.9893664933078048	0.9901286224031229	0.9884808930909835	0.9870483802829018	0.9889166258658693	0.9895979883610382	0.9893904963083291	0.9892594410088938	0.9875066894208662	0.9915172396314778	0.9904137142801381	0.9903872741959394	0.9875474423342493	0.9907831505638145	0.9900970752416182	0.9896672397975612	0.9897294107767922	0.9902848958701265	0.9901626454498477	0.9899118296144124	0.9900970779062394	0.9900536131802329	0.9903254493936924	0.9890459590838682	0.989896410832534	0.9873949433789129	0.9895894138841773	0.9876442178696002	0.9899272462096802	0.9888872197975489	0.9898668078061028	0.9893213105600493	0.9879838378868963	0.9898831826374399	0.9886928398972046	0.989184422401911	0.9901951607946131	0.98964212251004	0.9902717693292977	0.9890207151879103
XieH_2016__YSZC12003_36453__bin.3	0.988349015134269	0.9879573993405135	0.9888026383492258	0.9869101832612733	0.9881255570129367	1.0	0.986952291429608	0.9914509348513354	0.99163042021737	0.9880359289414234	0.9884019598813278	0.9867206835339901	0.9860489113610567	0.9867636927762641	0.9892676618614222	0.9877224095613352	0.9912043572334552	0.9853385301422019	0.9912676292802125	0.9883759703791485	0.9911560910321694	0.9862633652371869	0.9899525917768666	0.9894891397841512	0.9907305765882599	0.9918850026701315	0.9879087432785261	0.9878292865990956	0.9876506024096385	0.9882127150952842	0.9920591667973134	0.9883858059485419	0.9920475896499893	0.988028921550034	0.986901434113867	0.9918759695028988	0.9863186605552228	0.9911378802552503	0.9878439727402749	0.9912754155659004	0.9919624449187572	0.987618418939894	0.990310948550646	0.9862343873104026	0.9871626947585547	0.9873193889327091	0.9909029540287542	0.9876039290077074	0.9904514553363538
LiJ_2017__H3M517925__bin.17	0.9886990411796964	0.9891998133982376	0.9882022603964775	0.9882231238200978	0.9883413630197858	0.986952291429608	1.0	0.9890228163882799	0.9887008274486023	0.9887652236255202	0.9890472550163139	0.9897603136708117	0.9870836003676956	0.9899283623851819	0.9889089373999552	0.9878535341678749	0.9884355790203502	0.9858056134231629	0.9900997009118047	0.9894153991811436	0.9889810496681554	0.9864307865996166	0.9894550257752653	0.9886652766391145	0.9879687284572753	0.9879619971759102	0.9885462549722753	0.9890752533107516	0.9890945210774148	0.9878263280961135	0.9890007943730962	0.9893011112745199	0.9871667024315943	0.990414243307499	0.985658260874282	0.9886704618749824	0.9856401633624705	0.9884710863373997	0.9874081543430127	0.9886904777820261	0.98760381611953	0.9866850191195622	0.988695539798689	0.9877387132059106	0.9887132568477003	0.9885656966384126	0.9883558145861242	0.9888398880244397	0.9883777954501639
ZeeviD_2015__PNP_Main_750__bin.36	0.9907570830308652	0.9900853879452804	0.9913299572047307	0.989427443363577	0.9897806893608678	0.9914509348513354	0.9890228163882799	1.0	0.9939187781189182	0.9897465014918371	0.989722898347331	0.9891243597742343	0.9873032773119597	0.9894490136717965	0.9918385566234481	0.9896809373339672	0.9969546519134391	0.988391143510726	0.9970086583423939	0.9903212148358204	0.9965542135157598	0.9874567318535273	0.9925472887689678	0.9920121132442876	0.9967486052697362	0.9943226900278845	0.9903549672319868	0.9901633853350591	0.9901872400857522	0.9903715362493637	0.9941906586837236	0.9908895213324891	0.9928080056106104	0.9898819086961257	0.9873220327190183	0.9943439589302769	0.9893694257436267	0.9958268575496055	0.9889269040165628	0.9937933019383418	0.9943565803215167	0.9890230258968189	0.9952823948491083	0.9893792629804651	0.9893815096481909	0.9896991886284969	0.9964097136473217	0.9898377735449972	0.9932226303230692
XieH_2016__YSZC12003_37265R1__bin.27	0.9903348381834876	0.9902105267503254	0.9912053446209552	0.9895843073741434	0.9897618366290238	0.99163042021737	0.9887008274486023	0.9939187781189182	1.0	0.9895296332648419	0.9898139541052231	0.9876332289809246	0.9872527596211832	0.9889626159851853	0.9917764438495734	0.989669463624573	0.993850891560679	0.9879782096663245	0.9940547606096963	0.9904758563624134	0.9929754775984334	0.9876393706441665	0.9926694486564572	0.9918152816979976	0.9935404435414623	0.9970468264669349	0.9899245840367186	0.9901430707911122	0.9900741443933417	0.9893003505742664	0.9977488837417436	0.991058753498161	0.9968960063139868	0.9905079347398327	0.9874443896908567	0.9977470464635966	0.9898611592537547	0.9927339482997257	0.9888055165780093	0.9964719506455629	0.9965916386379879	0.9890524608146417	0.9929767759900481	0.9894726139763156	0.9894874846232941	0.9898682195803069	0.9933681348407808	0.990286774504997	0.9921793985482198
Bengtsson-PalmeJ_2015__TRAVELRES9__bin.81	0.9892545449374652	0.9888048077867443	0.9891142544424936	0.9889652559751323	0.9893664933078048	0.9880359289414234	0.9887652236255202	0.9897465014918371	0.9895296332648419	1.0	0.9890382851379196	0.9882114685175903	0.9866315545181318	0.9884523591537275	0.9894748630932246	0.9893586786585695	0.9896824993649987	0.9873367916358745	0.9906844573879805	0.9897903033908387	0.9897176430183495	0.9873120308227296	0.9896715766447751	0.9896542519611953	0.9891749394994714	0.9892976218555176	0.9894194469777466	0.9890947156854535	0.9897780763988926	0.9887118132743477	0.9895388480696475	0.9895062192704078	0.9889868973309477	0.9891754430263234	0.9869977438412082	0.9895550301916909	0.9864335341960552	0.9895761010704536	0.9880427714997516	0.9892021299569936	0.9891861579239573	0.9874767116103835	0.9892490101929071	0.9886560408870732	0.9889016551943688	0.9893801141209511	0.9893481935798303	0.9890896302596921	0.9886135496247133
