	XieH_2016__YSZC12003_37584__bin.36	RaymondF_2016__P1E0__bin.6	FengQ_2015__SID530623__bin.65	LiJ_2014__MH0339__bin.38	HMP_2012__SRS042628__bin.32	XieH_2016__YSZC12003_36453__bin.3	LiJ_2017__H3M517925__bin.17	ZeeviD_2015__PNP_Main_750__bin.36	XieH_2016__YSZC12003_37265R1__bin.27	Bengtsson-PalmeJ_2015__TRAVELRES9__bin.81	XieH_2016__YSZC12003_35733__bin.124	LiJ_2017__H1M513729__bin.13	QinJ_2012__NOF008__bin.29	YuJ_2015__SZAXPI015264-87__bin.26	Bengtsson-PalmeJ_2015__TRAVELRES6__bin.52	ZeeviD_2015__PNP_Main_527__bin.29	ZeeviD_2015__PNP_Main_632__bin.39	LeChatelierE_2013__MH0197__bin.43	HMP_2012__SRS011134__bin.14	LiuW_2016__SRR3993016__bin.24	ZeeviD_2015__PNP_Main_701__bin.12	CosteaPI_2017__SID713B061-11-0-0__bin.34	VincentC_2016__MM037.1__bin.8	XieH_2016__YSZC12003_37314__bin.79	ZellerG_2014__CCIS20795251ST-4-0__bin.46	KarlssonFH_2013__S195__bin.33	XieH_2016__YSZC12003_36011__bin.52	RaymondF_2016__P13E90__bin.36	ZellerG_2014__CCMD72895164ST-21-0__bin.36	LiJ_2014__V1.FI28__bin.87	XieH_2016__YSZC12003_35999__bin.12	ZeeviD_2015__PNP_Validation_13__bin.40	XieH_2016__YSZC12003_35549__bin.24	KarlssonFH_2013__S488__bin.33	ZellerG_2014__CCMD87156761ST-21-0__bin.36	XieH_2016__YSZC12003_37330__bin.31	BackhedF_2015__SID105_M__bin.46	VincentC_2016__MM050.3__bin.10	Bengtsson-PalmeJ_2015__TRAVELRES63__bin.107	LiJ_2014__MH0399__bin.56	KarlssonFH_2013__S424__bin.7	Bengtsson-PalmeJ_2015__TRAVELRES18__bin.2	LouisS_2016__AS50_6__bin.20	ZeeviD_2015__PNP_Main_58__bin.47	BritoIL_2016__WL.11.ST__bin.9	NielsenHB_2014__O2_UC44_2__bin.7	VincentC_2016__MM050.4__bin.29	RaymondF_2016__P13E0__bin.35	XieH_2016__YSZC12003_35837__bin.36
XieH_2016__YSZC12003_37584__bin.36	2048221.0	1664161.0	1481335.0	1071114.0	1811601.0	1590166.0	1672159.0	1705414.0	1754549.0	1722961.0	1616799.0	1752538.0	1543713.0	1591651.0	1758931.0	1786793.0	1760257.0	1674020.0	1474996.0	1605857.0	1623209.0	1202126.0	1552183.0	1717040.0	1599915.0	1753579.0	1724488.0	1763440.0	1491485.0	1638026.0	1693032.0	1736104.0	1495807.0	1570662.0	1141345.0	1668967.0	807710.0	1148315.0	1478715.0	1612900.0	1798185.0	1441558.0	1615740.0	1162327.0	1409469.0	1399273.0	1629106.0	1783318.0	1748731.0
RaymondF_2016__P1E0__bin.6	1664161.0	1944135.0	1433919.0	1080221.0	1688956.0	1549084.0	1558399.0	1673187.0	1695699.0	1659641.0	1587417.0	1693761.0	1492044.0	1568433.0	1679726.0	1723072.0	1708789.0	1626197.0	1443038.0	1588169.0	1574032.0	1171613.0	1532897.0	1665082.0	1581132.0	1678891.0	1661245.0	1708593.0	1428926.0	1608890.0	1641820.0	1713670.0	1435717.0	1559976.0	1101911.0	1599111.0	804766.0	1137292.0	1435500.0	1586841.0	1724359.0	1483010.0	1554896.0	1133107.0	1383743.0	1396188.0	1599355.0	1713856.0	1704518.0
FengQ_2015__SID530623__bin.65	1481335.0	1433919.0	1762466.0	1025122.0	1485799.0	1395418.0	1403913.0	1549704.0	1568680.0	1481938.0	1415198.0	1491851.0	1341764.0	1384142.0	1569531.0	1533461.0	1586800.0	1446825.0	1323556.0	1389452.0	1478749.0	1089047.0	1371338.0	1556104.0	1455836.0	1553501.0	1520799.0	1520100.0	1268556.0	1392221.0	1526588.0	1518507.0	1322423.0	1390269.0	991757.0	1533621.0	766044.0	1017188.0	1320977.0	1423740.0	1601690.0	1301472.0	1419968.0	1013938.0	1233295.0	1282766.0	1448764.0	1531713.0	1593287.0
LiJ_2014__MH0339__bin.38	1071114.0	1080221.0	1025122.0	1231873.0	1101525.0	1041955.0	1015974.0	1099734.0	1101511.0	1092821.0	1088358.0	1098123.0	1022895.0	1065059.0	1102446.0	1117195.0	1119162.0	1057835.0	1002260.0	1015259.0	1040771.0	822096.0	1005906.0	1096234.0	1052207.0	1097749.0	1094393.0	1108230.0	925501.0	1027910.0	1088054.0	1114365.0	978331.0	1039783.0	768542.0	1093527.0	638030.0	748709.0	997724.0	1030782.0	1120524.0	1022212.0	1052400.0	781354.0	924517.0	1012408.0	1061727.0	1123759.0	1111927.0
HMP_2012__SRS042628__bin.32	1811601.0	1688956.0	1485799.0	1101525.0	2119067.0	1607907.0	1710320.0	1734070.0	1778737.0	1767432.0	1633308.0	1797622.0	1569379.0	1615573.0	1771292.0	1805551.0	1842176.0	1721001.0	1499394.0	1639634.0	1652705.0	1214369.0	1580041.0	1775839.0	1645930.0	1774387.0	1755308.0	1795808.0	1520692.0	1660419.0	1712079.0	1751916.0	1495156.0	1625363.0	1150808.0	1707973.0	819940.0	1179320.0	1484507.0	1636207.0	1851819.0	1479757.0	1604556.0	1183321.0	1440145.0	1431640.0	1684515.0	1787067.0	1828079.0
XieH_2016__YSZC12003_36453__bin.3	1590166.0	1549084.0	1395418.0	1041955.0	1607907.0	1733593.0	1515975.0	1649888.0	1656714.0	1606393.0	1541726.0	1634798.0	1453650.0	1544464.0	1651737.0	1647636.0	1675375.0	1595338.0	1417599.0	1559442.0	1552594.0	1132883.0	1518302.0	1622988.0	1566872.0	1634751.0	1622412.0	1638770.0	1397720.0	1500091.0	1607388.0	1654355.0	1490240.0	1529102.0	1125085.0	1578773.0	777994.0	1130655.0	1445209.0	1565576.0	1677749.0	1401275.0	1548552.0	1089018.0	1357450.0	1357821.0	1602828.0	1664237.0	1659101.0
LiJ_2017__H3M517925__bin.17	1672159.0	1558399.0	1403913.0	1015974.0	1710320.0	1515975.0	2258728.0	1619450.0	1635872.0	1668213.0	1522632.0	1709818.0	1508857.0	1548209.0	1649887.0	1767757.0	1670209.0	1591756.0	1375514.0	1546303.0	1520290.0	1162116.0	1494456.0	1650327.0	1515883.0	1642299.0	1648893.0	1669787.0	1443678.0	1536184.0	1589933.0	1645498.0	1425978.0	1488980.0	1106142.0	1568996.0	769577.0	1116237.0	1418140.0	1495996.0	1692295.0	1375293.0	1516658.0	1099803.0	1359471.0	1328896.0	1558632.0	1682510.0	1659840.0
ZeeviD_2015__PNP_Main_750__bin.36	1705414.0	1673187.0	1549704.0	1099734.0	1734070.0	1649888.0	1619450.0	1974047.0	1837953.0	1713659.0	1641708.0	1723025.0	1542209.0	1616247.0	1783263.0	1788050.0	1923918.0	1694396.0	1504676.0	1632023.0	1739806.0	1223764.0	1610689.0	1814873.0	1736178.0	1842598.0	1745147.0	1761480.0	1473082.0	1628401.0	1759752.0	1762476.0	1544217.0	1634498.0	1149790.0	1742208.0	827801.0	1187115.0	1505541.0	1678187.0	1890166.0	1452495.0	1647870.0	1147378.0	1423272.0	1430664.0	1700700.0	1782385.0	1841865.0
XieH_2016__YSZC12003_37265R1__bin.27	1754549.0	1695699.0	1568680.0	1101511.0	1778737.0	1656714.0	1635872.0	1837953.0	2254557.0	1744256.0	1658838.0	1781144.0	1563711.0	1629734.0	1887991.0	1814233.0	1915237.0	1713971.0	1527777.0	1653272.0	1765814.0	1247752.0	1617068.0	1855409.0	1717765.0	1883059.0	1837542.0	1864881.0	1527425.0	1660989.0	1827982.0	1794157.0	1566047.0	1633891.0	1160756.0	1785656.0	842404.0	1206570.0	1513692.0	1725316.0	1981304.0	1469554.0	1699362.0	1160592.0	1446181.0	1426995.0	1726362.0	1851908.0	1920952.0
Bengtsson-PalmeJ_2015__TRAVELRES9__bin.81	1722961.0	1659641.0	1481938.0	1092821.0	1767432.0	1606393.0	1668213.0	1713659.0	1744256.0	2003164.0	1620002.0	1773673.0	1564131.0	1611065.0	1750096.0	1797991.0	1771650.0	1669798.0	1472378.0	1613760.0	1630560.0	1257254.0	1579912.0	1734529.0	1637589.0	1717095.0	1753311.0	1791150.0	1519577.0	1628871.0	1711475.0	1741603.0	1498397.0	1607918.0	1150185.0	1660225.0	819963.0	1165207.0	1524099.0	1620690.0	1786784.0	1449220.0	1614456.0	1179835.0	1438683.0	1401145.0	1664037.0	1799939.0	1791164.0
