	ZeeviD_2015__PNP_Main_74__bin.26	VogtmannE_2016__MMRS51307502ST-27-0-0__bin.2	CosteaPI_2017__SID713A028-11-0-0__bin.27	LeChatelierE_2013__MH0012__bin.43	Obregon-TitoAJ_2015__SM33__bin.2	CM_madagascar__A32_01_1FE__bin.33	LeChatelierE_2013__MH0126__bin.25	CM_madagascar__A81_01_1FE__bin.49	CosteaPI_2017__SID713B046-11-0-0__bin.58	SmitsSA_2017__TZ_12739__bin.4	XieH_2016__YSZC12003_37331__bin.27	Obregon-TitoAJ_2015__SM44__bin.22	Obregon-TitoAJ_2015__SM43__bin.46	Obregon-TitoAJ_2015__SM32__bin.23	VatanenT_2016__G78741__bin.11	CM_madagascar__A94_02_1FE__bin.50	BritoIL_2016__W1.51.ST__bin.59	Obregon-TitoAJ_2015__SM31__bin.9	Obregon-TitoAJ_2015__SM39__bin.44	RampelliS_2015__H16__bin.32	Obregon-TitoAJ_2015__SM25__bin.5	CM_madagascar__A89_02_1FE__bin.31	ZeeviD_2015__PNP_Main_301__bin.19	RampelliS_2015__H8__bin.8	NielsenHB_2014__MH0126__bin.53	CM_madagascar__A53_01_1FE__bin.21	ZellerG_2014__CCIS31434951ST-20-0__bin.24	Obregon-TitoAJ_2015__SM02__bin.18	CM_madagascar__V07_01_2FE__bin.26	RampelliS_2015__H2__bin.18	BritoIL_2016__W3.18.ST__bin.41	Obregon-TitoAJ_2015__SM01__bin.23	ZellerG_2014__CCIS59132091ST-4-0__bin.40	LiuW_2016__SRR3992967__bin.11	BritoIL_2016__W2.61.ST__bin.113	Obregon-TitoAJ_2015__SM40__bin.28	VogtmannE_2016__MMRS65742083ST-27-0-0__bin.7	RampelliS_2015__H17__bin.74	CM_madagascar__A72_01_1FE__bin.2	Obregon-TitoAJ_2015__SM18__bin.25	Obregon-TitoAJ_2015__SM34__bin.32	NielsenHB_2014__MH0012__bin.23	BritoIL_2016__W2.6.ST__bin.33	SmitsSA_2017__TZ_65642__bin.12	BritoIL_2016__WL.43.ST__bin.16
ZeeviD_2015__PNP_Main_74__bin.26	1818590.0	1176776.0	1594962.0	1663549.0	1564608.0	1655121.0	1601309.0	1088308.0	1609735.0	1434455.0	1565982.0	1305295.0	1524838.0	1553638.0	1504160.0	1568337.0	1648757.0	1573462.0	770914.0	1375600.0	1574948.0	1523386.0	1530525.0	1347864.0	1509661.0	1583118.0	1524013.0	1434431.0	1648649.0	1346253.0	985934.0	849612.0	1590641.0	1239646.0	1628084.0	1439008.0	1561686.0	1451449.0	1300596.0	1160863.0	1249694.0	1212437.0	1375219.0	1540529.0	1632746.0
VogtmannE_2016__MMRS51307502ST-27-0-0__bin.2	1176776.0	1258919.0	1176699.0	1199267.0	1157118.0	1205034.0	1181949.0	890345.0	1175315.0	1091987.0	1153954.0	1054658.0	1122092.0	1159781.0	1080521.0	1182911.0	1205117.0	1163915.0	462382.0	1087127.0	1159776.0	1164547.0	1129547.0	1044784.0	1137683.0	1177659.0	1122723.0	1029191.0	1198227.0	1083358.0	825005.0	491622.0	1173937.0	982122.0	1184005.0	1083293.0	1163338.0	1145438.0	1024937.0	808236.0	952076.0	1000813.0	1078651.0	1153158.0	1194332.0
CosteaPI_2017__SID713A028-11-0-0__bin.27	1594962.0	1176699.0	1956907.0	1616538.0	1575175.0	1601420.0	1681400.0	1104817.0	1690123.0	1484191.0	1648711.0	1311752.0	1530306.0	1559926.0	1486341.0	1548245.0	1617792.0	1577052.0	800331.0	1345721.0	1577381.0	1493309.0	1626444.0	1336266.0	1579141.0	1636215.0	1606019.0	1421017.0	1594622.0	1349716.0	970792.0	800377.0	1675051.0	1222366.0	1589292.0	1446377.0	1645920.0	1491085.0	1273905.0	1159963.0	1264769.0	1199044.0	1340855.0	1515008.0	1602091.0
LeChatelierE_2013__MH0012__bin.43	1663549.0	1199267.0	1616538.0	1846836.0	1584010.0	1669607.0	1615831.0	1119992.0	1609638.0	1459050.0	1576789.0	1327941.0	1543986.0	1580113.0	1506808.0	1582284.0	1674541.0	1591204.0	779745.0	1441132.0	1602626.0	1537592.0	1555228.0	1370218.0	1525245.0	1616858.0	1537529.0	1436475.0	1656120.0	1379157.0	1014760.0	884200.0	1607367.0	1264702.0	1669285.0	1464755.0	1575573.0	1476694.0	1303782.0	1175275.0	1272512.0	1281627.0	1406662.0	1557888.0	1668478.0
Obregon-TitoAJ_2015__SM33__bin.2	1564608.0	1157118.0	1575175.0	1584010.0	1716509.0	1576861.0	1575730.0	1094777.0	1565550.0	1429155.0	1536638.0	1386247.0	1511103.0	1586959.0	1476493.0	1535867.0	1586180.0	1661785.0	752808.0	1321462.0	1555226.0	1479782.0	1516957.0	1324125.0	1474325.0	1547446.0	1501091.0	1403897.0	1565535.0	1326045.0	954491.0	778991.0	1559255.0	1209138.0	1550178.0	1479868.0	1524262.0	1441284.0	1249552.0	1187075.0	1254617.0	1180889.0	1310989.0	1492068.0	1573349.0
CM_madagascar__A32_01_1FE__bin.33	1655121.0	1205034.0	1601420.0	1669607.0	1576861.0	1819599.0	1607605.0	1120864.0	1606839.0	1447869.0	1575496.0	1321075.0	1534643.0	1569508.0	1497737.0	1594853.0	1666334.0	1581848.0	768414.0	1395167.0	1591375.0	1585197.0	1542814.0	1364646.0	1519924.0	1606660.0	1538362.0	1426240.0	1750817.0	1373602.0	999298.0	841903.0	1603591.0	1247537.0	1634984.0	1458103.0	1572447.0	1476848.0	1335418.0	1175593.0	1266985.0	1232343.0	1382756.0	1554484.0	1640544.0
LeChatelierE_2013__MH0126__bin.25	1601309.0	1181949.0	1681400.0	1615831.0	1575730.0	1607605.0	1868908.0	1102236.0	1704733.0	1486582.0	1632212.0	1311946.0	1534979.0	1562451.0	1490680.0	1551125.0	1620698.0	1575969.0	820260.0	1359741.0	1584221.0	1491574.0	1618084.0	1363041.0	1717246.0	1664051.0	1590512.0	1429343.0	1610860.0	1357517.0	979995.0	807830.0	1672125.0	1223782.0	1596387.0	1445972.0	1627253.0	1491452.0	1271516.0	1164349.0	1265084.0	1198989.0	1350664.0	1543811.0	1602177.0
CM_madagascar__A81_01_1FE__bin.49	1088308.0	890345.0	1104817.0	1119992.0	1094777.0	1120864.0	1102236.0	1193821.0	1107330.0	1027156.0	1090349.0	953874.0	1117726.0	1092031.0	1015699.0	1099448.0	1120258.0	1096585.0	464764.0	965545.0	1156519.0	1083144.0	1068980.0	966090.0	1052539.0	1109838.0	1065904.0	998276.0	1115429.0	967656.0	741485.0	494593.0	1101383.0	894026.0	1099357.0	1023845.0	1093872.0	1048818.0	938959.0	764630.0	926317.0	881945.0	963140.0	1064236.0	1108244.0
CosteaPI_2017__SID713B046-11-0-0__bin.58	1609735.0	1175315.0	1690123.0	1609638.0	1565550.0	1606839.0	1704733.0	1107330.0	1857870.0	1478004.0	1647443.0	1306296.0	1541467.0	1554504.0	1481633.0	1554322.0	1620534.0	1568284.0	820298.0	1346802.0	1618482.0	1497477.0	1624074.0	1337074.0	1606429.0	1635859.0	1598874.0	1415141.0	1610583.0	1350584.0	973556.0	812271.0	1666335.0	1221054.0	1593245.0	1442560.0	1643298.0	1487374.0	1276643.0	1170079.0	1263688.0	1203688.0	1343202.0	1513086.0	1593534.0
SmitsSA_2017__TZ_12739__bin.4	1434455.0	1091987.0	1484191.0	1459050.0	1429155.0	1447869.0	1486582.0	1027156.0	1478004.0	1578573.0	1459234.0	1217923.0	1381768.0	1425224.0	1363821.0	1395266.0	1459621.0	1432787.0	722715.0	1232126.0	1420175.0	1368367.0	1426188.0	1228844.0	1407921.0	1476791.0	1427145.0	1291555.0	1448707.0	1239915.0	892001.0	709825.0	1473668.0	1116598.0	1424893.0	1338191.0	1455885.0	1376402.0	1188097.0	1041252.0	1169572.0	1104263.0	1221497.0	1399542.0	1455074.0
