	ZeeviD_2015__PNP_Main_74__bin.26	VogtmannE_2016__MMRS51307502ST-27-0-0__bin.2	CosteaPI_2017__SID713A028-11-0-0__bin.27	LeChatelierE_2013__MH0012__bin.43	Obregon-TitoAJ_2015__SM33__bin.2	CM_madagascar__A32_01_1FE__bin.33	LeChatelierE_2013__MH0126__bin.25	CM_madagascar__A81_01_1FE__bin.49	CosteaPI_2017__SID713B046-11-0-0__bin.58	SmitsSA_2017__TZ_12739__bin.4	XieH_2016__YSZC12003_37331__bin.27	Obregon-TitoAJ_2015__SM44__bin.22	Obregon-TitoAJ_2015__SM43__bin.46	Obregon-TitoAJ_2015__SM32__bin.23	VatanenT_2016__G78741__bin.11	CM_madagascar__A94_02_1FE__bin.50	BritoIL_2016__W1.51.ST__bin.59	Obregon-TitoAJ_2015__SM31__bin.9	Obregon-TitoAJ_2015__SM39__bin.44	RampelliS_2015__H16__bin.32	Obregon-TitoAJ_2015__SM25__bin.5	CM_madagascar__A89_02_1FE__bin.31	ZeeviD_2015__PNP_Main_301__bin.19	RampelliS_2015__H8__bin.8	NielsenHB_2014__MH0126__bin.53	CM_madagascar__A53_01_1FE__bin.21	ZellerG_2014__CCIS31434951ST-20-0__bin.24	Obregon-TitoAJ_2015__SM02__bin.18	CM_madagascar__V07_01_2FE__bin.26	RampelliS_2015__H2__bin.18	BritoIL_2016__W3.18.ST__bin.41	Obregon-TitoAJ_2015__SM01__bin.23	ZellerG_2014__CCIS59132091ST-4-0__bin.40	LiuW_2016__SRR3992967__bin.11	BritoIL_2016__W2.61.ST__bin.113	Obregon-TitoAJ_2015__SM40__bin.28	VogtmannE_2016__MMRS65742083ST-27-0-0__bin.7	RampelliS_2015__H17__bin.74	CM_madagascar__A72_01_1FE__bin.2	Obregon-TitoAJ_2015__SM18__bin.25	Obregon-TitoAJ_2015__SM34__bin.32	NielsenHB_2014__MH0012__bin.23	BritoIL_2016__W2.6.ST__bin.33	SmitsSA_2017__TZ_65642__bin.12	BritoIL_2016__WL.43.ST__bin.16
ZeeviD_2015__PNP_Main_74__bin.26	1.0	0.6470815301964709	0.8770322062696925	0.9147465893906818	0.8603412533886142	0.9101122298044089	0.8805222727497677	0.5984350513309762	0.8851555325829351	0.78877317042324	0.8610967837720431	0.7177511148747107	0.8384726628871818	0.8543091076053426	0.8271023155301634	0.8623917430536845	0.9066128154229376	0.8652098603863433	0.42390753275889564	0.7564101859132625	0.8660269769436761	0.8376742421326412	0.8415998108424658	0.7411588098471893	0.8301271864466427	0.8705194683793488	0.8380190147311929	0.7887599733859748	0.9065534287552445	0.7402729587207671	0.5421419891234418	0.4671817177043754	0.8746561896854156	0.6816522690655947	0.8952452174486828	0.7912767583677465	0.8587345141015842	0.7981177725600602	0.7151672449535079	0.6383313446131343	0.6871774286672642	0.6666906779428018	0.7562006829466784	0.8471007758758159	0.8978087419374351
VogtmannE_2016__MMRS51307502ST-27-0-0__bin.2	0.9347511634982076	1.0	0.9346899999126235	0.9526164908147386	0.9191361795318047	0.9571974050753067	0.9388602443842694	0.7072297741157294	0.9335906440366696	0.8674005237827056	0.9166229121968927	0.8377488940908827	0.8913138970815437	0.9212514863942796	0.858292709856631	0.9396243920379309	0.9572633346545727	0.9245352560410955	0.36728494843592	0.863540068900382	0.9212475147328779	0.9250372740422537	0.897235644231281	0.8299056571550671	0.9036983316639117	0.9354525589017244	0.8918151207504216	0.8175196339081386	0.9517903852432126	0.8605462305358804	0.6553281029200448	0.39051122431228696	0.9324960541543975	0.7801312078060622	0.9404933915525939	0.86049459893766	0.9240769263153547	0.9098583784977429	0.814140544387685	0.6420079449114677	0.7562647001117625	0.7949780724574019	0.8568073084924447	0.9159906237017632	0.9486964610113915
CosteaPI_2017__SID713A028-11-0-0__bin.27	0.8150423091133099	0.6013055295933838	1.0	0.8260678713909245	0.804930944597776	0.8183424148413798	0.8592130336290892	0.5645730737331922	0.8636705781112746	0.7584371664059661	0.8425086118042401	0.6703190289574313	0.7820024150355638	0.7971385456743729	0.7595358389540229	0.7911694321702565	0.8267086785422098	0.8058901112827539	0.40897753444593943	0.6876775442062397	0.8060582337331309	0.7630965600307015	0.8311299412797849	0.6828459400472275	0.806957612191075	0.836123024752837	0.8206925520732462	0.726154589870648	0.8148685655475707	0.6897190311036754	0.4960848931502621	0.409001040928363	0.8559686280441533	0.6246418455245957	0.812144879649365	0.7391138158328423	0.8410823815337162	0.7619600727065722	0.6509788150382211	0.5927532580751155	0.6463102232247112	0.6127240589358616	0.6851909671742193	0.7741849765982747	0.818685302878471
LeChatelierE_2013__MH0012__bin.43	0.9007562122462417	0.6493630186979245	0.8753013261599839	1.0	0.8576885007656337	0.9040364168772972	0.8749185092774886	0.6064382543983331	0.8715652066561406	0.7900268350844363	0.8537785704848725	0.7190356913120602	0.8360168417769634	0.8555784054458544	0.8158861967169797	0.8567539294230782	0.9067080130558426	0.8615838114483365	0.42220586993106046	0.7803248366395283	0.8677684428936842	0.8325547043700686	0.8421040092352542	0.7419272745387246	0.8258692163245681	0.875474595470307	0.8325205919745987	0.7778032267077315	0.8967336569137704	0.7467674444292833	0.5494586416985591	0.4787647630867061	0.8703355360194408	0.6847938853260387	0.9038620646337845	0.7931159020075416	0.8531201471056444	0.79958047168238	0.7059543998492557	0.6363721521564448	0.6890227394311136	0.69395820744235	0.7616604831181545	0.8435443103773156	0.9034251010918133
Obregon-TitoAJ_2015__SM33__bin.2	0.9115058528676517	0.6741112339055606	0.9176619522530904	0.9228090269261623	1.0	0.9186441783876461	0.9179852829201595	0.6377927526159198	0.9120546411350013	0.832593945036117	0.8952111524029295	0.8075966977161203	0.8803350288288614	0.9245270487949669	0.8601720119148807	0.8947619849357038	0.9240732207055133	0.9681190136492148	0.43856921227910833	0.7698543963358188	0.9060401081497388	0.8620881102283763	0.8837454391442165	0.7714058009599717	0.8589089832910868	0.9015076530329873	0.8745022601104917	0.8178791955066941	0.9120459024683238	0.772524350294697	0.5560652463808812	0.4538228462536462	0.9083873140193265	0.7044169299432744	0.9030992555238568	0.8621382119173275	0.8880011698161793	0.8396600309115769	0.727961228283685	0.691563516416168	0.7309119847318016	0.6879596902783498	0.7637530592615593	0.8692456608150613	0.9165981652295444
CM_madagascar__A32_01_1FE__bin.33	0.9096075563901717	0.6622525072831981	0.8800950099444987	0.9175686511148885	0.8665980801264455	1.0	0.8834941105155586	0.6159950626484187	0.8830731386420855	0.7957077356054824	0.8658479148427758	0.7260253495413	0.8433962647814162	0.8625570798840844	0.82311377396888	0.8764859730083386	0.9157699031489905	0.8693387938771124	0.42229853940346196	0.766744211224561	0.8745745628569811	0.871179309287376	0.8478868146223426	0.7499707353103623	0.8353071198654209	0.882974765319172	0.8454401216971431	0.7838210506820459	0.9621993637059594	0.7548926988858534	0.5491858370992729	0.462686009389981	0.8812881299670972	0.685610950544598	0.8985408323482261	0.8013320517322773	0.8641722709234287	0.8116337720563707	0.7339078555220133	0.6460725687362985	0.6962990197290722	0.6772607591013184	0.7599234776453493	0.8543003156189908	0.9015964506465436
LeChatelierE_2013__MH0126__bin.25	0.8568153167518144	0.6324275994323958	0.8996697536743382	0.8645856296832161	0.8431287147360919	0.8601841289137828	1.0	0.5897754196568263	0.9121545843883166	0.7954281323639258	0.8733506411230515	0.7019853304710558	0.8213240031076972	0.836023496073643	0.7976208566713824	0.8299632726704578	0.8671898242182066	0.843256596900436	0.4388980088907533	0.7275590879807888	0.8476720095371201	0.7980992108760838	0.8657911464876816	0.7293248249780085	0.9188499380386835	0.8903867927153183	0.8510381463400017	0.7648011566112404	0.8619257876792223	0.7263690882590261	0.5243677056334501	0.43224706620122555	0.8947069625685159	0.6548112587671517	0.8541816932668703	0.7736988658617759	0.8706972199808658	0.7980339321143683	0.680352376896027	0.6230103354472237	0.6769107949669004	0.6415452231998579	0.7227022410947997	0.826049757398438	0.857279759089265
CM_madagascar__A81_01_1FE__bin.49	0.911617403279051	0.7457943862605868	0.9254461095926442	0.9381573954554326	0.91703613858359	0.9388878232163783	0.9232841439378265	1.0	0.9275511152844522	0.8603936436031867	0.9133270398158518	0.7990092317022401	0.9362592884527915	0.9147359612538228	0.8507967274825958	0.9209487854544358	0.9383802094283816	0.9185506034824317	0.38930794482589937	0.8087854041770081	0.9687541097032135	0.9072917966763862	0.895427371440107	0.8092419215275992	0.8816556250895234	0.9296519327436861	0.8928507707604406	0.8362024122544335	0.9343352144081901	0.8105536759698481	0.6211023260606071	0.41429410271724154	0.9225696314606628	0.748877763081735	0.9208725596215848	0.8576201959925316	0.9162780684876544	0.8785387424077814	0.7865157339333116	0.6404896546467184	0.7759262066926281	0.7387581555358802	0.8067708643088034	0.8914535763736775	0.9283167241990214
CosteaPI_2017__SID713B046-11-0-0__bin.58	0.866441139584578	0.6326142302744541	0.9097100442980403	0.8663889292576983	0.8426585283146829	0.8648823652892829	0.9175738883775506	0.5960212501412908	1.0	0.795536824427974	0.8867375004709694	0.7031148573366274	0.8296958344771163	0.8367130100599073	0.7974901365542261	0.8366150484156588	0.8722537098935879	0.844130105981581	0.44152604864710665	0.7249172439406417	0.8711492192672253	0.8060181821117731	0.8741591176993008	0.719681140230479	0.8646616824643274	0.8805024032897888	0.8605951977264287	0.7617007648543762	0.8668975762566811	0.7269529084381576	0.5240172886154575	0.4372055095351128	0.896906134444283	0.6572332832760096	0.8575653840150279	0.7764590633359708	0.884506450935749	0.8005802343543951	0.687154106584422	0.6297959491245351	0.680181067566622	0.6478860200121644	0.7229795410873743	0.8144197387330653	0.8577209384940819
SmitsSA_2017__TZ_12739__bin.4	0.9087036202950386	0.69175578196257	0.9402105572564589	0.9242841477714366	0.9053461575739608	0.9172011683970269	0.9417252163821376	0.6506864110814007	0.9362911946422496	1.0	0.9244007087413759	0.7715341640836376	0.8753272734298636	0.9028559338085727	0.8639581444760552	0.8838780341485633	0.9246458668683678	0.9076469697631975	0.4578280510308994	0.7805315306925938	0.8996574754540968	0.8668379606137948	0.9034666119336895	0.7784524377396548	0.8918947682495519	0.9355227791175954	0.9040728556740804	0.8181788235323929	0.9177320275970766	0.7854657339255138	0.5650679442762546	0.4496624482998252	0.9335444100462886	0.7073464451754844	0.9026462507593884	0.8477219615437487	0.922279172391774	0.8719280007956554	0.752639884249889	0.6596159949524032	0.7409046018144235	0.699532425804825	0.7737982342280021	0.8865868097325876	0.9217654172470959
