	ZeeviD_2015__PNP_Main_74__bin.26	VogtmannE_2016__MMRS51307502ST-27-0-0__bin.2	CosteaPI_2017__SID713A028-11-0-0__bin.27	LeChatelierE_2013__MH0012__bin.43	Obregon-TitoAJ_2015__SM33__bin.2	CM_madagascar__A32_01_1FE__bin.33	LeChatelierE_2013__MH0126__bin.25	CM_madagascar__A81_01_1FE__bin.49	CosteaPI_2017__SID713B046-11-0-0__bin.58	SmitsSA_2017__TZ_12739__bin.4	XieH_2016__YSZC12003_37331__bin.27	Obregon-TitoAJ_2015__SM44__bin.22	Obregon-TitoAJ_2015__SM43__bin.46	Obregon-TitoAJ_2015__SM32__bin.23	VatanenT_2016__G78741__bin.11	CM_madagascar__A94_02_1FE__bin.50	BritoIL_2016__W1.51.ST__bin.59	Obregon-TitoAJ_2015__SM31__bin.9	Obregon-TitoAJ_2015__SM39__bin.44	RampelliS_2015__H16__bin.32	Obregon-TitoAJ_2015__SM25__bin.5	CM_madagascar__A89_02_1FE__bin.31	ZeeviD_2015__PNP_Main_301__bin.19	RampelliS_2015__H8__bin.8	NielsenHB_2014__MH0126__bin.53	CM_madagascar__A53_01_1FE__bin.21	ZellerG_2014__CCIS31434951ST-20-0__bin.24	Obregon-TitoAJ_2015__SM02__bin.18	CM_madagascar__V07_01_2FE__bin.26	RampelliS_2015__H2__bin.18	BritoIL_2016__W3.18.ST__bin.41	Obregon-TitoAJ_2015__SM01__bin.23	ZellerG_2014__CCIS59132091ST-4-0__bin.40	LiuW_2016__SRR3992967__bin.11	BritoIL_2016__W2.61.ST__bin.113	Obregon-TitoAJ_2015__SM40__bin.28	VogtmannE_2016__MMRS65742083ST-27-0-0__bin.7	RampelliS_2015__H17__bin.74	CM_madagascar__A72_01_1FE__bin.2	Obregon-TitoAJ_2015__SM18__bin.25	Obregon-TitoAJ_2015__SM34__bin.32	NielsenHB_2014__MH0012__bin.23	BritoIL_2016__W2.6.ST__bin.33	SmitsSA_2017__TZ_65642__bin.12	BritoIL_2016__WL.43.ST__bin.16
ZeeviD_2015__PNP_Main_74__bin.26	1.0	0.6289257061789628	0.8449045689242766	0.8907406287288503	0.831080122512496	0.8887418274597353	0.8483649420705052	0.5715427886439495	0.8525868942422427	0.759988232641772	0.8296542926113087	0.6931870295118746	0.8020944797892873	0.8253014698200254	0.792976426792185	0.83828790436547	0.8819695478365107	0.8358579998790272	0.4084785465662959	0.7358382043231294	0.8282416597473867	0.8181085346339747	0.8106214154922219	0.710210107830792	0.799694268636691	0.8383643372062971	0.8071428964197538	0.7542310251348572	0.88544421777311	0.7104311582049829	0.5272925728174025	0.45457579773340884	0.841962729367257	0.663699349496038	0.8708548930765043	0.7645214149423455	0.827143556271617	0.7685954503214028	0.6982651394761876	0.6162026625022682	0.6595367839919938	0.6490308425758416	0.7359558779054102	0.8126416619468929	0.8738115793004472
VogtmannE_2016__MMRS51307502ST-27-0-0__bin.2	0.9085239002668163	1.0	0.8992357729131104	0.9265425337134477	0.8874971304746374	0.930675444567919	0.9032884562072699	0.6756526829764266	0.8982587442083249	0.8342450944024198	0.882013060411353	0.8087835674892506	0.851613964043755	0.8892843781053428	0.8225668212172508	0.9161423411673031	0.935107024359788	0.892692857920168	0.35345085744198	0.8397418737821893	0.8800693293214257	0.8993485680969148	0.862643267755908	0.7949764837928414	0.8695483982686734	0.8997044289584953	0.8574785192693096	0.7811995847230838	0.9254312628532891	0.825334274881863	0.6391904483131956	0.37996487462656453	0.8965413978182869	0.759116352998088	0.9176325085251712	0.8308183449451474	0.8890262201142408	0.8750586812972081	0.7916498202028883	0.6192614457324102	0.724589906101981	0.7733396668093817	0.8361038319383535	0.8785855166218002	0.9261827011904658
CosteaPI_2017__SID713A028-11-0-0__bin.27	0.7851854993620034	0.5784970874957266	1.0	0.7964962054916253	0.780615532572575	0.788361940552106	0.8442557566608939	0.5444254632437822	0.8487638911813387	0.7414711072115333	0.8284425371261895	0.6498397726616544	0.7550532549579515	0.7732677127732692	0.7246711264255277	0.7611772046397709	0.7962039074927935	0.7816482847677483	0.401858136334532	0.6624024544855733	0.7781003389532563	0.7352204269288218	0.816970862693015	0.6517637271469722	0.79300140476783	0.8181880896741643	0.8069714094742366	0.7016838306572566	0.7849621877789797	0.6593721622948868	0.4777140661257791	0.3947259629609378	0.8402862271942406	0.6023306166312451	0.7823478581250922	0.7172676064830878	0.8272477946064887	0.7446562355799228	0.6270870307071312	0.5753385316726854	0.6260394592078213	0.590413852063486	0.659794767968023	0.7402814747967073	0.788354275394794
LeChatelierE_2013__MH0012__bin.43	0.8771174051188086	0.6315893777249306	0.8439671957878231	1.0	0.8299101815212612	0.8804902005375681	0.8436986283568222	0.5796080431613851	0.8406046882343641	0.76172708350931	0.8234336995813379	0.695787281599449	0.7998907320411776	0.8276078655603422	0.7832487562512318	0.8330328193732416	0.8835251208011973	0.8337600090100041	0.4071926256581526	0.7634641083452998	0.830048255502925	0.811001085099056	0.8119020855127363	0.7124731161835701	0.7963527893110163	0.8439303760593794	0.8027946173888748	0.7444353478056525	0.8733477146860902	0.7179186457270705	0.5356414971334759	0.4685007223164374	0.8388763268638905	0.6710763706143913	0.8817772666333122	0.7674660879471702	0.822721129542634	0.7706748189877173	0.6876073457524111	0.6154877855965554	0.6616001637394983	0.6938639922548618	0.743277150759461	0.8107076102046961	0.8811610776484756
Obregon-TitoAJ_2015__SM33__bin.2	0.8805045589624056	0.6509065784100171	0.8899411538185934	0.8929216217334135	1.0	0.8873941237709794	0.8902318601300664	0.6124389676954796	0.8847218395009873	0.8070881073154874	0.868654344369881	0.8074900859826544	0.8468239898538253	0.9067461924172842	0.8247046767596324	0.8639080832084189	0.8927946197777	0.9679098682267324	0.4255241306628745	0.7440834857259705	0.8713307066843226	0.8330337912588864	0.8572323244445558	0.7389748611862799	0.8329504826365606	0.8742016499767842	0.8483410223890465	0.7869408200015263	0.8811139353187196	0.7410470903444142	0.5375870444023305	0.43863329583474364	0.8805395136291159	0.6813998644924087	0.8727428752194134	0.8456232970523312	0.8615288355610137	0.8138891203017287	0.7033141102085686	0.678058198354917	0.7064279884346659	0.665555496650469	0.7381044899851966	0.8337206504597413	0.8858217463468004
CM_madagascar__A32_01_1FE__bin.33	0.8882490043135878	0.6439028599158385	0.8478521916092502	0.8936699789349192	0.8371185079789558	1.0	0.8511358821366686	0.5883290769010096	0.8505308037650054	0.7667249762172875	0.8341914894435533	0.7012605524623832	0.8063606322052277	0.8329884771314998	0.789694872331761	0.8528280132051073	0.8917453790642884	0.839894943885988	0.4066736682093142	0.7457247448476285	0.8358292129199895	0.8694333201985712	0.8166200355133192	0.7190875572035376	0.8046377251251512	0.8501570950522616	0.8142486339023048	0.7498196031103557	0.9621207749619559	0.7247800202132448	0.5344820479677115	0.45087516535236616	0.8487677779554725	0.6674184806652455	0.8749043058388138	0.7741046241507058	0.8325356301031162	0.7815287873866714	0.7322250671713932	0.6235593666516633	0.6680966520645483	0.6594222133557998	0.7400685535659229	0.8197877664254597	0.8779274994105845
LeChatelierE_2013__MH0126__bin.25	0.8255237818019935	0.6084660133083062	0.8840082015808162	0.8337344588390654	0.8176384284298639	0.8286796353806608	1.0	0.5688337788697999	0.8966947543699316	0.7777306320054278	0.8584504962256033	0.6803909020668754	0.7932113298246891	0.8108638841505307	0.7613092779312839	0.7985561622080914	0.8352064414085658	0.817920946349419	0.4311571249093053	0.7006096608286765	0.8185271827184645	0.7689880935819206	0.8506817885096538	0.6959962716195768	0.9188124830114698	0.8713002459190073	0.8367442378115991	0.7388421473930231	0.8302024497728085	0.6943669779357786	0.5048846706204907	0.41679151675737924	0.877853270465962	0.6309748794483195	0.8229474110015046	0.7506881023570983	0.8558741254251145	0.7797200290222953	0.6553896714016956	0.604397327209258	0.6556047702722659	0.6184274453317123	0.6959475800841989	0.7896092263503608	0.8254932827084052
CM_madagascar__A81_01_1FE__bin.49	0.8706514628239912	0.7124954243559126	0.8924202204518098	0.8966511729982971	0.880581762257491	0.8967198600125144	0.8905003346397827	1.0	0.8948912776706056	0.8294484684052299	0.8808908538214691	0.7670412901096563	0.9148582576449903	0.878764069320275	0.8062523611161138	0.8794383747647261	0.8958696487999457	0.8822252247196188	0.3757280195272156	0.7722832819995626	0.9463721948265277	0.8662085857092479	0.8632139994186733	0.7673311158037931	0.8502673348852131	0.8963437567273487	0.8608886926934607	0.8160988958981288	0.8920876747854158	0.7694763285283137	0.5933670123075403	0.39543784202154264	0.8892279495837315	0.715660052889001	0.8793906289133797	0.8242986176319566	0.8839281600843008	0.8467726736252755	0.7514543637614014	0.6155621320114154	0.75709256245283	0.7053452737051871	0.7701255045773194	0.846628598424722	0.8869177204957862
CosteaPI_2017__SID713B046-11-0-0__bin.58	0.8345610833911953	0.6086728350207495	0.8940087304278556	0.8356122871890929	0.8174054158794749	0.8330103828577887	0.9020222082277016	0.5750348517388192	1.0	0.777662592108167	0.8717940437167294	0.6818017407030632	0.8011373239247095	0.8115180287102972	0.7612491724394064	0.8048329538665245	0.840075462761119	0.8190556928095076	0.4333650901300952	0.6983502613207598	0.840362350433561	0.7765500277199158	0.8589869043582167	0.6869565685435473	0.8502354847217513	0.861550592883248	0.8464897974562268	0.7363243929876686	0.8349599272284929	0.6949716610957709	0.5047102326858176	0.42188258597210787	0.8802095948586285	0.633424835968071	0.8260050487924343	0.7534811370009743	0.8701286957645045	0.7821925107784721	0.6618369423048976	0.6105341062614714	0.6588711804378132	0.6244075204400739	0.6964222469817587	0.7786906511219838	0.826016890309871
SmitsSA_2017__TZ_12739__bin.4	0.8755420243473061	0.6653141793252514	0.9191782705012692	0.8911751309568832	0.877611615047261	0.883793147355238	0.9207727485520151	0.6272836289484236	0.915254473502334	1.0	0.9038543038554442	0.7474700251429615	0.8450321904656928	0.8749541516293513	0.8253650607225639	0.8508716416662391	0.8902635481539339	0.879990345710968	0.4477246221745842	0.7518575320875246	0.8684153346091692	0.8349464991482813	0.8832812926611566	0.7440023362872671	0.871997683984206	0.9169230691263565	0.8838583961590627	0.7899793040930005	0.8840573099881982	0.7516820571490834	0.5440445262905169	0.4337740478267397	0.9126698606906364	0.681398326209811	0.869739315191632	0.8214488655260163	0.901848061508717	0.8563614099569675	0.7246475139255518	0.6393616259748519	0.7169867975697037	0.6739815010138903	0.7451647785689987	0.848529019563872	0.8878981206444048
