	ZeeviD_2015__PNP_Main_74__bin.26	VogtmannE_2016__MMRS51307502ST-27-0-0__bin.2	CosteaPI_2017__SID713A028-11-0-0__bin.27	LeChatelierE_2013__MH0012__bin.43	Obregon-TitoAJ_2015__SM33__bin.2	CM_madagascar__A32_01_1FE__bin.33	LeChatelierE_2013__MH0126__bin.25	CM_madagascar__A81_01_1FE__bin.49	CosteaPI_2017__SID713B046-11-0-0__bin.58	SmitsSA_2017__TZ_12739__bin.4	XieH_2016__YSZC12003_37331__bin.27	Obregon-TitoAJ_2015__SM44__bin.22	Obregon-TitoAJ_2015__SM43__bin.46	Obregon-TitoAJ_2015__SM32__bin.23	VatanenT_2016__G78741__bin.11	CM_madagascar__A94_02_1FE__bin.50	BritoIL_2016__W1.51.ST__bin.59	Obregon-TitoAJ_2015__SM31__bin.9	Obregon-TitoAJ_2015__SM39__bin.44	RampelliS_2015__H16__bin.32	Obregon-TitoAJ_2015__SM25__bin.5	CM_madagascar__A89_02_1FE__bin.31	ZeeviD_2015__PNP_Main_301__bin.19	RampelliS_2015__H8__bin.8	NielsenHB_2014__MH0126__bin.53	CM_madagascar__A53_01_1FE__bin.21	ZellerG_2014__CCIS31434951ST-20-0__bin.24	Obregon-TitoAJ_2015__SM02__bin.18	CM_madagascar__V07_01_2FE__bin.26	RampelliS_2015__H2__bin.18	BritoIL_2016__W3.18.ST__bin.41	Obregon-TitoAJ_2015__SM01__bin.23	ZellerG_2014__CCIS59132091ST-4-0__bin.40	LiuW_2016__SRR3992967__bin.11	BritoIL_2016__W2.61.ST__bin.113	Obregon-TitoAJ_2015__SM40__bin.28	VogtmannE_2016__MMRS65742083ST-27-0-0__bin.7	RampelliS_2015__H17__bin.74	CM_madagascar__A72_01_1FE__bin.2	Obregon-TitoAJ_2015__SM18__bin.25	Obregon-TitoAJ_2015__SM34__bin.32	NielsenHB_2014__MH0012__bin.23	BritoIL_2016__W2.6.ST__bin.33	SmitsSA_2017__TZ_65642__bin.12	BritoIL_2016__WL.43.ST__bin.16
ZeeviD_2015__PNP_Main_74__bin.26	0.0	33018.0	58427.0	43657.0	53214.0	38864.0	58481.0	48906.0	59229.0	52348.0	57181.0	44672.0	66157.0	52753.0	62061.0	43835.0	44816.0	53379.0	28059.0	37412.0	68716.0	35582.0	56337.0	56283.0	55345.0	58477.0	56151.0	62794.0	38389.0	54270.0	27005.0	22925.0	59456.0	32649.0	44356.0	48657.0	57451.0	53689.0	30738.0	40243.0	50267.0	32116.0	36817.0	62667.0	43641.0
VogtmannE_2016__MMRS51307502ST-27-0-0__bin.2	33018.0	0.0	44634.0	32825.0	39831.0	33389.0	44782.0	39753.0	44480.0	41740.0	43571.0	36465.0	49979.0	40244.0	44976.0	29562.0	27893.0	40087.0	17416.0	29960.0	51840.0	32340.0	43549.0	43973.0	42992.0	45004.0	43227.0	45724.0	33184.0	44329.0	20316.0	13277.0	45264.0	26456.0	28780.0	37360.0	44126.0	43810.0	28314.0	28636.0	39876.0	27241.0	26064.0	47090.0	28343.0
CosteaPI_2017__SID713A028-11-0-0__bin.27	58427.0	44634.0	0.0	57869.0	47583.0	58669.0	29270.0	39427.0	29171.0	33201.0	27526.0	40076.0	52737.0	46713.0	68227.0	58692.0	59695.0	47439.0	13932.0	49461.0	54711.0	54551.0	27708.0	60825.0	27311.0	35097.0	26851.0	47887.0	58524.0	59386.0	35950.0	27935.0	30689.0	43661.0	58310.0	42751.0	27073.0	33862.0	46754.0	34079.0	39668.0	43659.0	49698.0	66346.0	59355.0
LeChatelierE_2013__MH0012__bin.43	43657.0	32825.0	57869.0	0.0	51302.0	43486.0	57658.0	49551.0	57179.0	52265.0	56042.0	42936.0	66719.0	51657.0	60276.0	43809.0	42815.0	51386.0	27727.0	31139.0	69663.0	39806.0	55778.0	54397.0	54512.0	58257.0	54899.0	61625.0	43190.0	53279.0	25518.0	18956.0	58100.0	25334.0	40787.0	47371.0	56142.0	53384.0	33884.0	38570.0	50645.0	174.0	33951.0	60644.0	41118.0
Obregon-TitoAJ_2015__SM33__bin.2	53214.0	39831.0	47583.0	51302.0	0.0	53641.0	47639.0	43520.0	46917.0	43781.0	45585.0	183.0	57522.0	30521.0	60880.0	52961.0	53690.0	359.0	22392.0	44236.0	59579.0	49872.0	45510.0	55668.0	44558.0	46871.0	44906.0	53106.0	53095.0	54031.0	31718.0	26073.0	47801.0	39509.0	52107.0	28348.0	45440.0	44236.0	42307.0	23182.0	42027.0	38457.0	44026.0	60979.0	52828.0
CM_madagascar__A32_01_1FE__bin.33	38864.0	33389.0	58669.0	43486.0	53641.0	0.0	58879.0	50341.0	59214.0	52737.0	57602.0	45062.0	67390.0	53803.0	60809.0	43048.0	43715.0	53576.0	28431.0	38247.0	70501.0	3177.0	56893.0	56195.0	55806.0	59715.0	56756.0	61869.0	143.0	54793.0	26755.0	21491.0	59174.0	33103.0	43009.0	49543.0	57566.0	54779.0	3062.0	40965.0	51317.0	32459.0	36128.0	62799.0	43068.0
LeChatelierE_2013__MH0126__bin.25	58481.0	44782.0	29270.0	57658.0	47639.0	58879.0	0.0	39138.0	28893.0	33075.0	27847.0	40358.0	52540.0	47021.0	67863.0	58697.0	59774.0	47350.0	14467.0	50366.0	54469.0	54406.0	28238.0	62288.0	70.0	35671.0	26714.0	48515.0	59288.0	59809.0	36412.0	28885.0	31498.0	44548.0	58374.0	43005.0	27703.0	34227.0	46653.0	34786.0	39819.0	43205.0	50002.0	68104.0	59406.0
CM_madagascar__A81_01_1FE__bin.49	48906.0	39753.0	39427.0	49551.0	43520.0	50341.0	39138.0	0.0	38990.0	36943.0	38723.0	38164.0	25549.0	42944.0	53178.0	49556.0	50750.0	43366.0	16212.0	43577.0	26720.0	49046.0	38457.0	50034.0	37472.0	39764.0	38157.0	24000.0	50436.0	49039.0	33111.0	22511.0	39804.0	39656.0	49522.0	39780.0	38620.0	37923.0	41857.0	29759.0	22484.0	39889.0	43748.0	53513.0	49423.0
CosteaPI_2017__SID713B046-11-0-0__bin.58	59229.0	44480.0	29171.0	57179.0	46917.0	59214.0	28893.0	38990.0	0.0	33208.0	27763.0	39597.0	53058.0	46809.0	67331.0	59047.0	59783.0	46585.0	15162.0	49358.0	57198.0	54748.0	28188.0	60798.0	26802.0	35210.0	26206.0	47146.0	59336.0	59417.0	35870.0	28468.0	31020.0	44233.0	58635.0	42690.0	26712.0	34162.0	47036.0	35786.0	39591.0	43620.0	49340.0	66380.0	58902.0
SmitsSA_2017__TZ_12739__bin.4	52348.0	41740.0	33201.0	52265.0	43781.0	52737.0	33075.0	36943.0	33208.0	0.0	32434.0	37987.0	47823.0	44045.0	60922.0	52103.0	54275.0	43658.0	15949.0	45264.0	49318.0	50343.0	31864.0	54382.0	31409.0	29361.0	31910.0	44515.0	53158.0	53330.0	33187.0	25081.0	32952.0	40961.0	51946.0	41474.0	32252.0	24573.0	44188.0	31973.0	37756.0	40334.0	45200.0	60077.0	53462.0
