	KosticAD_2015__PRJNA231909.3101439__bin.12	LeChatelierE_2013__MH0444__bin.43	LiJ_2014__MH0351__bin.3	LiJ_2014__V1.FI22__bin.44	FerrettiP_2018__CA_C10007MS2098FE_t0M15__bin.1	LouisS_2016__AS51_12__bin.16	CosteaPI_2017__alien-11-637-0__bin.39	VatanenT_2016__G78586__bin.10	LiJ_2014__V1.FI26__bin.33	BackhedF_2015__SID42_12M__bin.25	VatanenT_2016__G80580__bin.6	HMP_2012__SRS023604__bin.26	LouisS_2016__AS51_0__bin.3	VogtmannE_2016__MMRS62192467ST-27-0-0__bin.13	LeChatelierE_2013__MH0068__bin.19	LouisS_2016__AS53_18__bin.34	VatanenT_2016__G80450__bin.9	WenC_2017__RA087__bin.28	BackhedF_2015__SID526_12M__bin.34	LiJ_2014__V1.UC59-0__bin.21	WenC_2017__RA001__bin.1	CosteaPI_2017__alien-11-632-0__bin.37	VatanenT_2016__G78682__bin.17	WenC_2017__RA134__bin.8	KosticAD_2015__PRJNA231909.3107649__bin.17	CosteaPI_2017__alien-11-600-0__bin.37	GeversD_2014__SKBSTL065__bin.15	CosteaPI_2017__alien-11-895-0__bin.1	GeversD_2014__SKBSTL021__bin.3	HMP_2012__SRS054590__bin.17	BackhedF_2015__SID10_M__bin.51	QinN_2014__LD-71__bin.14	LiJ_2014__MH0270__bin.37	LiJ_2017__H3M615846__bin.20	LouisS_2016__AS51_6__bin.7	GeversD_2014__SKBSTL038__bin.7	Bengtsson-PalmeJ_2015__TRAVELRES37__bin.58
KosticAD_2015__PRJNA231909.3101439__bin.12	0.0	1238.0	1693.0	3869.0	1717.0	585.0	1395.0	3850.0	1023.0	3617.0	1055.0	938.0	440.0	1473.0	2181.0	2078.0	2404.0	546.0	1275.0	2078.0	648.0	1414.0	726.0	2069.0	144.0	1331.0	676.0	1160.0	836.0	270.0	1090.0	9842.0	691.0	782.0	787.0	398.0	233.0
LeChatelierE_2013__MH0444__bin.43	1238.0	0.0	2082.0	3121.0	2154.0	1526.0	1863.0	3182.0	1684.0	2909.0	1516.0	1397.0	1287.0	2138.0	2752.0	1904.0	2700.0	1460.0	1789.0	2738.0	1479.0	1977.0	1465.0	2452.0	1318.0	2112.0	1617.0	1916.0	1589.0	1332.0	1835.0	7321.0	1482.0	1608.0	1373.0	1472.0	1326.0
LiJ_2014__MH0351__bin.3	1693.0	2082.0	0.0	4822.0	2524.0	2307.0	2365.0	5330.0	2054.0	4428.0	2735.0	1494.0	1608.0	2605.0	2553.0	2675.0	3029.0	2488.0	2075.0	2816.0	2284.0	2926.0	2414.0	2692.0	2081.0	2042.0	2087.0	1772.0	2432.0	2173.0	2577.0	11215.0	1147.0	1648.0	2046.0	1890.0	2089.0
LiJ_2014__V1.FI22__bin.44	3869.0	3121.0	4822.0	0.0	3367.0	3088.0	3261.0	374.0	3237.0	750.0	4519.0	1698.0	2776.0	3397.0	5321.0	2401.0	305.0	4899.0	2579.0	3182.0	4916.0	3410.0	4525.0	3666.0	4296.0	2688.0	3170.0	2427.0	4662.0	4781.0	4311.0	10400.0	2384.0	3113.0	2602.0	3990.0	4711.0
FerrettiP_2018__CA_C10007MS2098FE_t0M15__bin.1	1717.0	2154.0	2524.0	3367.0	0.0	1589.0	1492.0	4389.0	1617.0	3533.0	2489.0	271.0	1364.0	1637.0	2954.0	534.0	2683.0	2367.0	970.0	1444.0	2430.0	1435.0	2399.0	2639.0	2158.0	1238.0	1857.0	1010.0	1988.0	2329.0	2827.0	10873.0	1252.0	1258.0	1480.0	1627.0	2292.0
LouisS_2016__AS51_12__bin.16	585.0	1526.0	2307.0	3088.0	1589.0	0.0	1473.0	3259.0	1154.0	2928.0	1527.0	926.0	308.0	1660.0	2376.0	1508.0	2231.0	731.0	1243.0	2301.0	865.0	1945.0	866.0	2272.0	564.0	1474.0	841.0	1453.0	459.0	598.0	1214.0	8609.0	748.0	1040.0	223.0	939.0	618.0
CosteaPI_2017__alien-11-637-0__bin.39	1395.0	1863.0	2365.0	3261.0	1492.0	1473.0	0.0	3905.0	1769.0	2585.0	2671.0	632.0	1198.0	1808.0	2543.0	1752.0	2529.0	1573.0	948.0	2105.0	1649.0	346.0	1703.0	2753.0	1438.0	619.0	1905.0	448.0	1408.0	1678.0	2090.0	9525.0	1920.0	1416.0	1034.0	1254.0	1592.0
VatanenT_2016__G78586__bin.10	3850.0	3182.0	5330.0	374.0	4389.0	3259.0	3905.0	0.0	3539.0	826.0	4517.0	1764.0	3003.0	4067.0	5097.0	3223.0	227.0	4944.0	2730.0	3889.0	4896.0	3622.0	4794.0	3686.0	4485.0	3000.0	3940.0	2691.0	5181.0	4820.0	4892.0	10711.0	2502.0	3062.0	3162.0	3775.0	4696.0
LiJ_2014__V1.FI26__bin.33	1023.0	1684.0	2054.0	3237.0	1617.0	1154.0	1769.0	3539.0	0.0	3058.0	1384.0	1207.0	1084.0	1991.0	2426.0	1797.0	2697.0	1087.0	1522.0	2264.0	1148.0	1766.0	1336.0	2250.0	1016.0	1684.0	1155.0	1743.0	1132.0	1024.0	1547.0	7317.0	1089.0	1325.0	881.0	1138.0	1005.0
BackhedF_2015__SID42_12M__bin.25	3617.0	2909.0	4428.0	750.0	3533.0	2928.0	2585.0	826.0	3058.0	0.0	4321.0	1698.0	2557.0	3229.0	5189.0	2442.0	660.0	4665.0	2279.0	3376.0	4608.0	2740.0	4417.0	3598.0	4143.0	2475.0	2848.0	2080.0	4890.0	4640.0	3972.0	11144.0	2198.0	2791.0	3110.0	3874.0	4588.0
VatanenT_2016__G80580__bin.6	1055.0	1516.0	2735.0	4519.0	2489.0	1527.0	2671.0	4517.0	1384.0	4321.0	0.0	1345.0	1035.0	2220.0	2760.0	3165.0	2871.0	1421.0	1696.0	2981.0	1377.0	2777.0	1495.0	2173.0	1217.0	2138.0	1324.0	1509.0	1391.0	1236.0	1731.0	10114.0	1350.0	1226.0	1207.0	934.0	1186.0
