	KosticAD_2015__PRJNA231909.3101439__bin.12	LeChatelierE_2013__MH0444__bin.43	LiJ_2014__MH0351__bin.3	LiJ_2014__V1.FI22__bin.44	FerrettiP_2018__CA_C10007MS2098FE_t0M15__bin.1	LouisS_2016__AS51_12__bin.16	CosteaPI_2017__alien-11-637-0__bin.39	VatanenT_2016__G78586__bin.10	LiJ_2014__V1.FI26__bin.33	BackhedF_2015__SID42_12M__bin.25	VatanenT_2016__G80580__bin.6	HMP_2012__SRS023604__bin.26	LouisS_2016__AS51_0__bin.3	VogtmannE_2016__MMRS62192467ST-27-0-0__bin.13	LeChatelierE_2013__MH0068__bin.19	LouisS_2016__AS53_18__bin.34	VatanenT_2016__G80450__bin.9	WenC_2017__RA087__bin.28	BackhedF_2015__SID526_12M__bin.34	LiJ_2014__V1.UC59-0__bin.21	WenC_2017__RA001__bin.1	CosteaPI_2017__alien-11-632-0__bin.37	VatanenT_2016__G78682__bin.17	WenC_2017__RA134__bin.8	KosticAD_2015__PRJNA231909.3107649__bin.17	CosteaPI_2017__alien-11-600-0__bin.37	GeversD_2014__SKBSTL065__bin.15	CosteaPI_2017__alien-11-895-0__bin.1	GeversD_2014__SKBSTL021__bin.3	HMP_2012__SRS054590__bin.17	BackhedF_2015__SID10_M__bin.51	QinN_2014__LD-71__bin.14	LiJ_2014__MH0270__bin.37	LiJ_2017__H3M615846__bin.20	LouisS_2016__AS51_6__bin.7	GeversD_2014__SKBSTL038__bin.7	Bengtsson-PalmeJ_2015__TRAVELRES37__bin.58
KosticAD_2015__PRJNA231909.3101439__bin.12	1.0	0.9986484996490248	0.9990008179954273	0.9972518515729936	0.9990521395038665	0.9995477530283153	0.9989665847589402	0.9978669603797586	0.9990788713067061	0.9973210443557138	0.9992770981967882	0.9989999808098663	0.9996077102762077	0.9991480319132323	0.9984077060892649	0.9981557544366619	0.9979290876183732	0.9997025536261491	0.998991418753441	0.9980814417808062	0.9996301232637056	0.9989276724957096	0.9995725129350167	0.9971826536434184	0.9999192265946437	0.9988738052690006	0.9996230989075444	0.9989459940048866	0.9995370926650783	0.9998556458511548	0.9993980753874683	0.9886633147306645	0.9993572128899746	0.99942796281612	0.9993914170471276	0.9996967108366437	0.9998752903647088
LeChatelierE_2013__MH0444__bin.43	0.9986484996490248	1.0	0.9977255297811396	0.9968233450044784	0.9978097892455975	0.9983613968286693	0.9979285568946366	0.9967708085968341	0.9979970836395987	0.9970081435268321	0.9981207784142394	0.9981776177015024	0.9984543232710219	0.9977892737381644	0.9970727483723013	0.9976791497691948	0.9970256619279219	0.9985206905740632	0.998019166145346	0.9967635742528029	0.9984111808181506	0.99786265648987	0.9983944730419421	0.9959577309220397	0.9986488509081813	0.9976281388976237	0.9983195565375175	0.9978071882110043	0.9983470180267618	0.9986590788515997	0.9980853226153137	0.9879657695924043	0.998199117786446	0.9982748465546819	0.9981482530460091	0.9983164540313034	0.9986651459128398
LiJ_2014__MH0351__bin.3	0.9990008179954273	0.9977255297811396	1.0	0.9965045331609038	0.9986063487330694	0.9982199074074074	0.9982470600268908	0.9970869748425026	0.9981279910901855	0.9966999749591596	0.9981216626890785	0.9984058694733607	0.9985665957987351	0.998529306323757	0.9981373080489743	0.9975650473700691	0.9973506956501204	0.9986487770835201	0.99831586978224	0.997411000855951	0.9986752823579974	0.9978080919312913	0.9985535876598378	0.9963349915726589	0.9988216955240851	0.9982459350274405	0.9988586428952297	0.9983780439136373	0.9986440851840103	0.9988349168919893	0.9985602660239542	0.9876990068168232	0.9989374779413195	0.9987688160836846	0.9984163093816253	0.9985266500934291	0.9988798789475688
LiJ_2014__V1.FI22__bin.44	0.9972518515729936	0.9968233450044784	0.9965045331609038	1.0	0.9978047284076751	0.9977327093389173	0.9976760858472844	0.999754586090412	0.9972763163208982	0.9994941135047412	0.9963585201683509	0.9983256964185877	0.9976322559074191	0.997672492173695	0.9962633138317782	0.9979437067234196	0.9997574784116029	0.9967939195070267	0.9981444160882507	0.9972572819508982	0.9966062754909026	0.9976394114450471	0.9967678248211054	0.9953131292469173	0.9970550229476506	0.9979306044205616	0.9979188796350883	0.9979685446677437	0.99689854819857	0.9969771882349966	0.9971477908776945	0.9879106597757428	0.9979486861782406	0.997750829801469	0.9976065353909893	0.9968468717648825	0.9970236741419134
FerrettiP_2018__CA_C10007MS2098FE_t0M15__bin.1	0.9990521395038665	0.9978097892455975	0.9986063487330694	0.9978047284076751	1.0	0.998869807355143	0.9989999048166782	0.9977491649755916	0.9986419239830178	0.9975475768698946	0.9983771208598325	0.9997309503409783	0.9988609850642074	0.9991384650362587	0.9980183048523356	0.9995565741617258	0.9978437745116949	0.9987928261129001	0.9993010530320607	0.9987745618040079	0.9986892617091272	0.9990291104486659	0.9986651858891398	0.9966651249661963	0.9988530811883525	0.9990610428340427	0.9990534603745483	0.9991683567140374	0.9989612181128448	0.9988369805237932	0.9985456554607886	0.9884665239611597	0.9989213582270989	0.9991503266649511	0.9989218069641072	0.998829842399118	0.9988562680205153
LouisS_2016__AS51_12__bin.16	0.9995477530283153	0.9983613968286693	0.9982199074074074	0.9977327093389173	0.998869807355143	1.0	0.9988438507853259	0.9976433002185316	0.9989696824139788	0.9977222711010812	0.9986799096425382	0.9990552427903598	0.9997203536255517	0.9987848984841242	0.9981822883276288	0.9986194976729198	0.9980742056637861	0.9994759458424798	0.9990341902854928	0.9978560786831235	0.9993546760249834	0.9985329689766308	0.9993223214481349	0.996999424185275	0.9995785669932773	0.9987515542049077	0.9993909799863423	0.9987029368259712	0.9996621012297601	0.999577990288131	0.999108613990208	0.9893906755264611	0.999343907417267	0.9992086271812214	0.9997926219926702	0.9992100899858085	0.9995642670803074
CosteaPI_2017__alien-11-637-0__bin.39	0.9989665847589402	0.9979285568946366	0.9982470600268908	0.9976760858472844	0.9989999048166782	0.9988438507853259	1.0	0.9973451700450879	0.9983979627229743	0.9980227343480492	0.997796640929189	0.9993393509541256	0.9989303590529303	0.9987346733105649	0.9981045077384981	0.9984280721902463	0.9978269368746214	0.9989332316975993	0.999280949328924	0.9980728331732701	0.9988234748516858	0.9997708721559341	0.9987258430160785	0.9962392251683674	0.998986373133108	0.9995144583936338	0.998724779246234	0.9996186416150528	0.9990257059998657	0.9988724504983594	0.9985591473461425	0.9889539090984998	0.9982738050820257	0.9989070785189987	0.999005059378903	0.9989507277130047	0.9989303476235845
VatanenT_2016__G78586__bin.10	0.9978669603797586	0.9967708085968341	0.9970869748425026	0.999754586090412	0.9977491649755916	0.9976433002185316	0.9973451700450879	1.0	0.9970467504658523	0.9994380635097083	0.9970379104185944	0.9982616288065057	0.9975117349496423	0.9978408378419846	0.9965584250726532	0.9973047805649842	0.9998192617599286	0.997455874028714	0.9979889710161368	0.9966642421164951	0.9973474628612294	0.9974829777859934	0.9973218296026655	0.9953394395189229	0.9976119113707629	0.9976485397823959	0.9979592523819513	0.9977432259038418	0.9972997032331636	0.9975539625299538	0.9974441815947638	0.9883933118775939	0.9978537293382846	0.9978979092366362	0.99766100905046	0.997280008531046	0.9976186576348747
LiJ_2014__V1.FI26__bin.33	0.9990788713067061	0.9979970836395987	0.9981279910901855	0.9972763163208982	0.9986419239830178	0.9989696824139788	0.9983979627229743	0.9970467504658523	1.0	0.9972899320710573	0.9985750659186449	0.9986141935513501	0.9988905787208087	0.9982862651597966	0.9978433715232589	0.9981515958814635	0.997397833360992	0.9990911447228702	0.9986140655049828	0.9976559215934764	0.9990000078396598	0.9984442420216749	0.9987949470759878	0.9966988080496264	0.9991233852514746	0.9984039609065198	0.9990107193483595	0.998292559162874	0.9990371398630902	0.9991495666444092	0.9986694224330045	0.9894161602807314	0.998890957381804	0.9988326032331164	0.999025314172994	0.9988837304199155	0.9991653205210725
BackhedF_2015__SID42_12M__bin.25	0.9973210443557138	0.9970081435268321	0.9966999749591596	0.9994941135047412	0.9975475768698946	0.9977222711010812	0.9980227343480492	0.9994380635097083	0.9972899320710573	1.0	0.9963572630492769	0.9983216683683909	0.9977688757734113	0.9976698303284319	0.9962381131552944	0.9978129998441695	0.9994651847422069	0.996830523721135	0.9982572881905467	0.9970466844308832	0.9966541293330041	0.9979654361763269	0.9967348429294602	0.9953161226660349	0.9971188270016607	0.997970913974131	0.9980050643906095	0.9982224212502703	0.9966326210190557	0.9969059117091237	0.9972289583618205	0.9869634440652904	0.9980159965916302	0.9978409346718352	0.9970108110601913	0.9968707567615159	0.9969434301402571
