	KosticAD_2015__PRJNA231909.3101439__bin.12	LeChatelierE_2013__MH0444__bin.43	LiJ_2014__MH0351__bin.3	LiJ_2014__V1.FI22__bin.44	FerrettiP_2018__CA_C10007MS2098FE_t0M15__bin.1	LouisS_2016__AS51_12__bin.16	CosteaPI_2017__alien-11-637-0__bin.39	VatanenT_2016__G78586__bin.10	LiJ_2014__V1.FI26__bin.33	BackhedF_2015__SID42_12M__bin.25	VatanenT_2016__G80580__bin.6	HMP_2012__SRS023604__bin.26	LouisS_2016__AS51_0__bin.3	VogtmannE_2016__MMRS62192467ST-27-0-0__bin.13	LeChatelierE_2013__MH0068__bin.19	LouisS_2016__AS53_18__bin.34	VatanenT_2016__G80450__bin.9	WenC_2017__RA087__bin.28	BackhedF_2015__SID526_12M__bin.34	LiJ_2014__V1.UC59-0__bin.21	WenC_2017__RA001__bin.1	CosteaPI_2017__alien-11-632-0__bin.37	VatanenT_2016__G78682__bin.17	WenC_2017__RA134__bin.8	KosticAD_2015__PRJNA231909.3107649__bin.17	CosteaPI_2017__alien-11-600-0__bin.37	GeversD_2014__SKBSTL065__bin.15	CosteaPI_2017__alien-11-895-0__bin.1	GeversD_2014__SKBSTL021__bin.3	HMP_2012__SRS054590__bin.17	BackhedF_2015__SID10_M__bin.51	QinN_2014__LD-71__bin.14	LiJ_2014__MH0270__bin.37	LiJ_2017__H3M615846__bin.20	LouisS_2016__AS51_6__bin.7	GeversD_2014__SKBSTL038__bin.7	Bengtsson-PalmeJ_2015__TRAVELRES37__bin.58
KosticAD_2015__PRJNA231909.3101439__bin.12	1894133.0	916019.0	1694386.0	1407857.0	1811448.0	1293541.0	1349893.0	1804936.0	1110594.0	1350153.0	1459396.0	937982.0	1121620.0	1728938.0	1369722.0	1126748.0	1160841.0	1835625.0	1264152.0	1083105.0	1751935.0	1318627.0	1698297.0	734379.0	1782765.0	1181856.0	1793574.0	1100563.0	1805977.0	1870400.0	1810858.0	868155.0	1075006.0	1367044.0	1293168.0	1312279.0	1868340.0
LeChatelierE_2013__MH0444__bin.43	916019.0	993701.0	915378.0	982480.0	983467.0	931281.0	899373.0	985386.0	840774.0	972306.0	806717.0	766579.0	832645.0	967103.0	940131.0	820389.0	907765.0	986947.0	903155.0	845995.0	930880.0	924980.0	912473.0	606590.0	975466.0	890440.0	962246.0	873764.0	961293.0	993347.0	958386.0	608348.0	822930.0	932091.0	741462.0	874345.0	993367.0
LiJ_2014__MH0351__bin.3	1694386.0	915378.0	1923913.0	1379501.0	1811070.0	1296000.0	1349162.0	1829713.0	1097217.0	1341808.0	1456075.0	937188.0	1121805.0	1771273.0	1370597.0	1098584.0	1143319.0	1841295.0	1232090.0	1087679.0	1724141.0	1334910.0	1668957.0	734514.0	1766097.0	1164153.0	1828525.0	1092508.0	1793623.0	1865103.0	1789914.0	911715.0	1079507.0	1338549.0	1291919.0	1282791.0	1864977.0
LiJ_2014__V1.FI22__bin.44	1407857.0	982480.0	1379501.0	1612999.0	1533751.0	1361978.0	1403236.0	1523956.0	1188464.0	1482546.0	1240979.0	1014153.0	1172424.0	1459501.0	1423989.0	1167635.0	1257620.0	1528034.0	1389859.0	1160163.0	1448556.0	1444555.0	1399986.0	782185.0	1458755.0	1298930.0	1523218.0	1194710.0	1503167.0	1581640.0	1511460.0	860262.0	1162182.0	1384066.0	1087127.0	1265410.0	1582824.0
FerrettiP_2018__CA_C10007MS2098FE_t0M15__bin.1	1811448.0	983467.0	1811070.0	1533751.0	2055274.0	1405955.0	1491858.0	1949943.0	1190655.0	1440616.0	1533694.0	1007249.0	1197526.0	1900097.0	1490643.0	1204260.0	1244304.0	1960778.0	1387802.0	1178354.0	1853917.0	1478026.0	1797254.0	791334.0	1881563.0	1318484.0	1961883.0	1214463.0	1913780.0	2002546.0	1943831.0	942734.0	1160719.0	1480569.0	1372667.0	1390411.0	2003966.0
LouisS_2016__AS51_12__bin.16	1293541.0	931281.0	1296000.0	1361978.0	1405955.0	1449226.0	1274057.0	1382866.0	1120043.0	1285491.0	1156739.0	980146.0	1101391.0	1366141.0	1307138.0	1092356.0	1158483.0	1394894.0	1287003.0	1073267.0	1340412.0	1325807.0	1277892.0	757188.0	1338291.0	1180668.0	1380907.0	1120223.0	1358395.0	1417029.0	1361924.0	811456.0	1140083.0	1314172.0	1075331.0	1188743.0	1418300.0
CosteaPI_2017__alien-11-637-0__bin.39	1349893.0	899373.0	1349162.0	1403236.0	1491858.0	1274057.0	1551359.0	1470904.0	1104219.0	1307361.0	1212240.0	956635.0	1120002.0	1428880.0	1341604.0	1114555.0	1163795.0	1474547.0	1318405.0	1092277.0	1401585.0	1510074.0	1336570.0	732030.0	1418668.0	1274865.0	1493859.0	1174748.0	1445149.0	1488183.0	1450530.0	862296.0	1112273.0	1295610.0	1039258.0	1195114.0	1488334.0
VatanenT_2016__G78586__bin.10	1804936.0	985386.0	1829713.0	1523956.0	1949943.0	1382866.0	1470904.0	2004219.0	1198341.0	1469917.0	1524937.0	1014743.0	1206865.0	1883601.0	1481008.0	1195821.0	1255960.0	1943300.0	1357514.0	1165852.0	1845780.0	1439002.0	1790028.0	790892.0	1878071.0	1275803.0	1930665.0	1192410.0	1918678.0	1970534.0	1914064.0	922830.0	1165743.0	1456645.0	1351865.0	1387872.0	1971997.0
LiJ_2014__V1.FI26__bin.33	1110594.0	840774.0	1097217.0	1188464.0	1190655.0	1120043.0	1104219.0	1198341.0	1208424.0	1128385.0	971273.0	870973.0	977086.0	1161790.0	1124904.0	972190.0	1036444.0	1196010.0	1098176.0	965838.0	1148009.0	1135138.0	1108665.0	681572.0	1159004.0	1055112.0	1167515.0	1020826.0	1175664.0	1204092.0	1162653.0	691337.0	981928.0	1135004.0	903881.0	1019467.0	1204055.0
BackhedF_2015__SID42_12M__bin.25	1350153.0	972306.0	1341808.0	1482546.0	1440616.0	1285491.0	1307361.0	1469917.0	1128385.0	1537049.0	1186196.0	1011719.0	1146059.0	1385736.0	1379361.0	1116598.0	1234071.0	1471852.0	1307732.0	1143122.0	1377220.0	1346726.0	1352768.0	768167.0	1437956.0	1219761.0	1427615.0	1170131.0	1452168.0	1499634.0	1433396.0	854827.0	1107861.0	1292689.0	1040416.0	1237999.0	1501029.0
