	KosticAD_2015__PRJNA231909.3101439__bin.12	LeChatelierE_2013__MH0444__bin.43	LiJ_2014__MH0351__bin.3	LiJ_2014__V1.FI22__bin.44	FerrettiP_2018__CA_C10007MS2098FE_t0M15__bin.1	LouisS_2016__AS51_12__bin.16	CosteaPI_2017__alien-11-637-0__bin.39	VatanenT_2016__G78586__bin.10	LiJ_2014__V1.FI26__bin.33	BackhedF_2015__SID42_12M__bin.25	VatanenT_2016__G80580__bin.6	HMP_2012__SRS023604__bin.26	LouisS_2016__AS51_0__bin.3	VogtmannE_2016__MMRS62192467ST-27-0-0__bin.13	LeChatelierE_2013__MH0068__bin.19	LouisS_2016__AS53_18__bin.34	VatanenT_2016__G80450__bin.9	WenC_2017__RA087__bin.28	BackhedF_2015__SID526_12M__bin.34	LiJ_2014__V1.UC59-0__bin.21	WenC_2017__RA001__bin.1	CosteaPI_2017__alien-11-632-0__bin.37	VatanenT_2016__G78682__bin.17	WenC_2017__RA134__bin.8	KosticAD_2015__PRJNA231909.3107649__bin.17	CosteaPI_2017__alien-11-600-0__bin.37	GeversD_2014__SKBSTL065__bin.15	CosteaPI_2017__alien-11-895-0__bin.1	GeversD_2014__SKBSTL021__bin.3	HMP_2012__SRS054590__bin.17	BackhedF_2015__SID10_M__bin.51	QinN_2014__LD-71__bin.14	LiJ_2014__MH0270__bin.37	LiJ_2017__H3M615846__bin.20	LouisS_2016__AS51_6__bin.7	GeversD_2014__SKBSTL038__bin.7	Bengtsson-PalmeJ_2015__TRAVELRES37__bin.58
KosticAD_2015__PRJNA231909.3101439__bin.12	1.0	0.48295499840824274	0.8936505514660269	0.7412298925154674	0.9554402990708678	0.6826109887742835	0.7119341672416879	0.9508762056307556	0.5857936058344372	0.7108983371283853	0.7699253431517217	0.49470866090184795	0.5919225313111592	0.9120082908644747	0.7219878435146846	0.5937650629602039	0.6115922165972505	0.9688226750708636	0.6667309001004681	0.5707239143185827	0.9245850212207907	0.6954173756541911	0.8962258722064396	0.3866201581409542	0.9411276821638185	0.6232534885353879	0.9465533835269224	0.5804254505887391	0.9530170267874537	0.9873277114120286	0.9554598330740238	0.4531429419159056	0.567180340556867	0.7213126005407223	0.6823074198063177	0.6926023674155932	0.9862596765908203
LeChatelierE_2013__MH0444__bin.43	0.9205797317301684	1.0	0.9190853184207322	0.9855670870815265	0.987533473348623	0.9356486508517149	0.903199252088908	0.9884301213342847	0.8444089318617974	0.975541938671693	0.8103051118998571	0.7700324343036788	0.8366279192634405	0.9710818445387497	0.9433209788457494	0.8236733182315404	0.9108021426968474	0.9917339320379068	0.9070796949987974	0.8486023461785789	0.9352924068708797	0.9288538504036928	0.9167828149513787	0.6079675878357775	0.9803230549229597	0.8939590480436269	0.9667183589429819	0.8773745824951369	0.9657874954337371	0.9983033125658523	0.9626145087908737	0.6048368674279284	0.8266551004779104	0.9363812655919638	0.7447803715604593	0.8784060798972729	0.998329477378004
LiJ_2014__MH0351__bin.3	0.8798178503913638	0.47470753615158273	1.0	0.7145224342264956	0.9400352302832821	0.6724280151961134	0.7000300949159344	0.9482668914862574	0.5692372784008425	0.6951353829409126	0.7554083786532967	0.4863494347197612	0.5822493012937695	0.9193076817922641	0.7110737335835872	0.5696250298220346	0.5926931207388275	0.9557641119946693	0.6393298449566067	0.5638836059634713	0.8949765399994698	0.6923306823125578	0.8662257596887176	0.38038206509338	0.9168896930370553	0.6040351096957087	0.9493350271036164	0.566936238800819	0.9310145521133233	0.9683026207526015	0.929011343028505	0.4680565077526894	0.5605035154916048	0.6948864111838736	0.6704424784280786	0.6657790658933123	0.9682807902436337
LiJ_2014__V1.FI22__bin.44	0.8704208744084777	0.6071665264516592	0.852250373372829	1.0	0.9487817413401993	0.842461774619823	0.8679329621407081	0.9445647517450414	0.734797107747742	0.9186589700303596	0.7665596816861014	0.6276848280749089	0.725138701263919	0.9027308758405926	0.8795219339875598	0.7224021837583284	0.7794890139423521	0.9442876282006374	0.860062529486999	0.7172856275794343	0.8950036546829849	0.8934568465324528	0.865134448316459	0.482653120057731	0.9017110363986587	0.8036223209065846	0.9423738018436465	0.7391715679922926	0.9290179349150247	0.9775945304367827	0.934376896699874	0.5268831536783346	0.719032063876047	0.8561400224054696	0.6723655749321605	0.7820339628232875	0.9783719642727614
FerrettiP_2018__CA_C10007MS2098FE_t0M15__bin.1	0.88053028452654	0.4774609127542118	0.8799537190661683	0.7446131270088563	1.0	0.6832986745319602	0.7251422438078815	0.9466153904540222	0.578530161915151	0.6992172333226616	0.7450125871295019	0.4899482988642877	0.5819963664212168	0.9237016572972752	0.7238397410758858	0.5856766543049735	0.6041145852085902	0.9528710040607724	0.6747674519309834	0.5726292455409838	0.9008467970693932	0.7184399744267674	0.8732923201480679	0.3837420217450325	0.914430387383872	0.6409101657491897	0.9536567873675238	0.5904093566113326	0.9301883836413053	0.9732118442601814	0.9444015737074473	0.45339988731429487	0.5641422992749385	0.7197633989434011	0.6671553281946835	0.6757172036429206	0.9739207521722164
LouisS_2016__AS51_12__bin.16	0.8921700273111303	0.6415528012884119	0.892678574632252	0.937666036905217	0.9690455456912862	1.0	0.8781128685243019	0.9519612538003045	0.7720597063535984	0.8849986130527606	0.7971234300240266	0.675684813824759	0.7597731478734167	0.9415239583060199	0.9003164447781091	0.7527107573283947	0.7978410544663151	0.9620052358983346	0.8872046181892955	0.7389917100576445	0.924318912302153	0.9134958936701383	0.8811779529210765	0.5209097821871812	0.9230630695281482	0.8136715736537986	0.9522779745878145	0.7719775935568365	0.9370077544841177	0.977370679245335	0.9389218796792219	0.5539832986711528	0.7861679268795895	0.9060919414915273	0.741849787403759	0.8196126760077448	0.9782338986465879
CosteaPI_2017__alien-11-637-0__bin.39	0.8692365854711902	0.5785314682159319	0.8681401274624377	0.9024184602016683	0.9606841485433094	0.8203027152322576	1.0	0.9456218708886853	0.7106349980887725	0.8410535536906673	0.7796834904106658	0.6162358293599354	0.7211767231182467	0.9198850814028217	0.8631535318388588	0.7173085017716725	0.748547563781175	0.9494733327360075	0.8492276771527416	0.7027206468651034	0.9023933209527905	0.9731648187170087	0.8604500956902948	0.4700891283062141	0.913540966339835	0.821374033992132	0.9617077671899283	0.7569492296754007	0.9306298542116943	0.9581953629043954	0.9336588114034212	0.549692882176208	0.7157292412652391	0.8342324374951252	0.669235167359715	0.7695575298818648	0.9583481321860382
VatanenT_2016__G78586__bin.10	0.8986473035132388	0.4900682011297169	0.910271282729083	0.7601873847119501	0.970729246654183	0.6883514226738695	0.7319554399993214	1.0	0.5961434354229752	0.7329992381072128	0.7586097128108256	0.5054233095285495	0.6006638995039963	0.9377887346642259	0.7364020598547364	0.5950437551984089	0.6265448037365178	0.9671378227628817	0.6759660496183301	0.5797584994454198	0.9185044149366911	0.716179219935546	0.890737988213863	0.3927744423139387	0.9348209951108137	0.635061837054733	0.96133456473569	0.5936072854313825	0.9547344875984111	0.9807880276556604	0.9525765397893143	0.45509946767294396	0.5803961543124777	0.7252615607376239	0.6729319500513666	0.6905916968155675	0.9815798572910445
LiJ_2014__V1.FI26__bin.33	0.9181967587535501	0.6943672088604661	0.906273791318279	0.9808039231263198	0.9839576175249747	0.925907628448293	0.912303959537381	0.9887274665183744	1.0	0.9312352286945642	0.8026065354544432	0.7197523385831464	0.8076651903636473	0.9597616399541884	0.9288776124936281	0.8030236076079257	0.8554505703296194	0.9888275969361747	0.9075076297723316	0.7973807206742005	0.9490551329665746	0.937892660192118	0.916341449689844	0.562155336206497	0.9582629937836389	0.8717370724182902	0.9651910256664878	0.8433157567211508	0.9719535527265265	0.9955677808451339	0.9608432139712552	0.5660430444943165	0.81166792450332	0.9381467100951323	0.7472542749895732	0.8426918035391552	0.9955528854110809
BackhedF_2015__SID42_12M__bin.25	0.8760527478304205	0.6306871153749816	0.8700958785308732	0.9640525448440485	0.9349623857144437	0.8344320838177574	0.8488838026634153	0.9557867055637133	0.7321347595294619	1.0	0.7689247382484228	0.6571169819569838	0.7439593662921612	0.8994553849617025	0.8940326560831828	0.7248669365778189	0.8024539230694663	0.9545479682170185	0.8493242570666257	0.7415157226607609	0.8930177242234958	0.8743937245982399	0.8772335820133256	0.4974265621980822	0.9328349323931767	0.791963040865971	0.9269496288016843	0.759930880537966	0.9415952256564365	0.9726391286159387	0.9299794606417883	0.5488979206258225	0.7193414133186385	0.839204215350324	0.6748685305413165	0.8029184495744768	0.9735805429755329
