	LeChatelierE_2013__MH0430__bin.81	NielsenHB_2014__MH0181__bin.46	LeChatelierE_2013__MH0224__bin.21	ZellerG_2014__CCIS21278152ST-4-0__bin.12	XieH_2016__YSZC12003_37270__bin.104	CosteaPI_2017__SID713B044-11-90-0__bin.13	LeChatelierE_2013__MH0415__bin.106	SchirmerM_2016__G88820__bin.19	LeChatelierE_2013__MH0443__bin.25	KarlssonFH_2013__S384__bin.11	ZellerG_2014__CCIS96387239ST-4-0__bin.9	NielsenHB_2014__MH0117__bin.40	LeChatelierE_2013__MH0152__bin.1	LiJ_2014__MH0328__bin.60	ZellerG_2014__CCIS51595129ST-4-0__bin.55	CosteaPI_2017__SID713B044-11-0-0__bin.60	ZeeviD_2015__PNP_Main_85__bin.45	LeChatelierE_2013__MH0096__bin.63	ZellerG_2014__CCIS62605362ST-3-0__bin.54	YuJ_2015__SZAXPI015263-84__bin.29	LiJ_2014__MH0264__bin.15	LiJ_2014__O2.UC13-1__bin.12	NielsenHB_2014__MH0152__bin.14	LiJ_2014__MH0265__bin.20	ZeeviD_2015__PNP_Main_215__bin.1	LeChatelierE_2013__MH0181__bin.38	SchirmerM_2016__G88826__bin.7	NielsenHB_2014__O2_UC13_2__bin.58	NielsenHB_2014__MH0096__bin.49	ZeeviD_2015__PNP_Main_568__bin.27	ZellerG_2014__CCIS83445808ST-4-0__bin.18	LeChatelierE_2013__MH0117__bin.15	KarlssonFH_2013__S187__bin.8	XieH_2016__YSZC12003_36008__bin.37	LiJ_2014__MH0192__bin.71	ZellerG_2014__CCIS09568613ST-4-0__bin.97	XieH_2016__YSZC12003_35989__bin.62
LeChatelierE_2013__MH0430__bin.81	0.0	41390.0	42110.0	37008.0	41685.0	40464.0	40401.0	40481.0	41338.0	34234.0	38471.0	40003.0	41176.0	40593.0	42581.0	39373.0	31980.0	36150.0	38443.0	39147.0	49265.0	42636.0	40215.0	41395.0	40654.0	43888.0	35631.0	39770.0	30567.0	41658.0	37525.0	41691.0	39495.0	41600.0	41378.0	42897.0	63025.0
NielsenHB_2014__MH0181__bin.46	41390.0	0.0	47855.0	41439.0	47790.0	44982.0	46277.0	46219.0	40383.0	38808.0	42415.0	45112.0	44814.0	46927.0	46491.0	43800.0	35357.0	40952.0	42715.0	45688.0	56790.0	46099.0	46462.0	48657.0	47367.0	377.0	41918.0	46034.0	35566.0	45756.0	40647.0	46003.0	47528.0	42977.0	46722.0	47528.0	67588.0
LeChatelierE_2013__MH0224__bin.21	42110.0	47855.0	0.0	43653.0	48829.0	45663.0	47375.0	45738.0	43688.0	39725.0	43494.0	44344.0	49880.0	46433.0	41985.0	45348.0	36295.0	42432.0	44034.0	46923.0	57949.0	49550.0	47950.0	50388.0	46573.0	49795.0	41199.0	48505.0	36361.0	46923.0	42651.0	46081.0	46997.0	46156.0	47578.0	42530.0	71780.0
ZellerG_2014__CCIS21278152ST-4-0__bin.12	37008.0	41439.0	43653.0	0.0	43235.0	41835.0	43429.0	40451.0	38706.0	35215.0	38684.0	40133.0	42294.0	41092.0	43754.0	41004.0	32719.0	39256.0	38769.0	41262.0	51108.0	42723.0	43172.0	43505.0	42238.0	43402.0	36523.0	42590.0	34573.0	41224.0	39001.0	40962.0	40438.0	40607.0	43149.0	45045.0	64555.0
XieH_2016__YSZC12003_37270__bin.104	41685.0	47790.0	48829.0	43235.0	0.0	44676.0	46644.0	45510.0	43985.0	39091.0	42164.0	44916.0	45102.0	46618.0	48762.0	44166.0	35466.0	42297.0	44095.0	45976.0	57265.0	48347.0	45899.0	48039.0	48473.0	49863.0	40299.0	46934.0	35892.0	46116.0	42040.0	46253.0	44735.0	44862.0	47978.0	50200.0	69129.0
CosteaPI_2017__SID713B044-11-90-0__bin.13	40464.0	44982.0	45663.0	41835.0	44676.0	0.0	45468.0	44815.0	41679.0	38442.0	41539.0	43296.0	42964.0	45164.0	45869.0	967.0	33980.0	40925.0	42136.0	42325.0	50994.0	43195.0	42512.0	45221.0	44087.0	46071.0	41044.0	41855.0	35419.0	43349.0	42545.0	44216.0	40437.0	40693.0	44036.0	46841.0	65855.0
LeChatelierE_2013__MH0415__bin.106	40401.0	46277.0	47375.0	43429.0	46644.0	45468.0	0.0	46257.0	41088.0	38817.0	41817.0	44046.0	46293.0	44696.0	47272.0	44599.0	35532.0	41609.0	42485.0	43851.0	56052.0	46917.0	46937.0	46213.0	45514.0	47922.0	39748.0	46266.0	35452.0	44514.0	41260.0	45215.0	46481.0	43748.0	46082.0	48505.0	68895.0
SchirmerM_2016__G88820__bin.19	40481.0	46219.0	45738.0	40451.0	45510.0	44815.0	46257.0	0.0	42367.0	38321.0	42292.0	42690.0	44711.0	47189.0	46065.0	43658.0	35411.0	40069.0	42888.0	41201.0	52115.0	44885.0	45430.0	47024.0	43717.0	47860.0	796.0	42945.0	34221.0	43950.0	42374.0	45043.0	43484.0	43079.0	46160.0	46949.0	68295.0
LeChatelierE_2013__MH0443__bin.25	41338.0	40383.0	43688.0	38706.0	43985.0	41679.0	41088.0	42367.0	0.0	36521.0	38610.0	38818.0	42078.0	41347.0	42879.0	39837.0	33364.0	37707.0	38292.0	39875.0	50442.0	45690.0	41963.0	44589.0	41748.0	42316.0	36880.0	42726.0	31876.0	42848.0	38226.0	39955.0	39956.0	42866.0	41808.0	43702.0	60718.0
KarlssonFH_2013__S384__bin.11	34234.0	38808.0	39725.0	35215.0	39091.0	38442.0	38817.0	38321.0	36521.0	0.0	36238.0	36878.0	39229.0	37634.0	39386.0	37674.0	31192.0	35341.0	36168.0	30288.0	45754.0	39189.0	39270.0	37737.0	36580.0	39579.0	34403.0	38249.0	30954.0	37577.0	35610.0	37754.0	36554.0	36988.0	38551.0	40211.0	58521.0
