	LeChatelierE_2013__MH0430__bin.81	NielsenHB_2014__MH0181__bin.46	LeChatelierE_2013__MH0224__bin.21	ZellerG_2014__CCIS21278152ST-4-0__bin.12	XieH_2016__YSZC12003_37270__bin.104	CosteaPI_2017__SID713B044-11-90-0__bin.13	LeChatelierE_2013__MH0415__bin.106	SchirmerM_2016__G88820__bin.19	LeChatelierE_2013__MH0443__bin.25	KarlssonFH_2013__S384__bin.11	ZellerG_2014__CCIS96387239ST-4-0__bin.9	NielsenHB_2014__MH0117__bin.40	LeChatelierE_2013__MH0152__bin.1	LiJ_2014__MH0328__bin.60	ZellerG_2014__CCIS51595129ST-4-0__bin.55	CosteaPI_2017__SID713B044-11-0-0__bin.60	ZeeviD_2015__PNP_Main_85__bin.45	LeChatelierE_2013__MH0096__bin.63	ZellerG_2014__CCIS62605362ST-3-0__bin.54	YuJ_2015__SZAXPI015263-84__bin.29	LiJ_2014__MH0264__bin.15	LiJ_2014__O2.UC13-1__bin.12	NielsenHB_2014__MH0152__bin.14	LiJ_2014__MH0265__bin.20	ZeeviD_2015__PNP_Main_215__bin.1	LeChatelierE_2013__MH0181__bin.38	SchirmerM_2016__G88826__bin.7	NielsenHB_2014__O2_UC13_2__bin.58	NielsenHB_2014__MH0096__bin.49	ZeeviD_2015__PNP_Main_568__bin.27	ZellerG_2014__CCIS83445808ST-4-0__bin.18	LeChatelierE_2013__MH0117__bin.15	KarlssonFH_2013__S187__bin.8	XieH_2016__YSZC12003_36008__bin.37	LiJ_2014__MH0192__bin.71	ZellerG_2014__CCIS09568613ST-4-0__bin.97	XieH_2016__YSZC12003_35989__bin.62
LeChatelierE_2013__MH0430__bin.81	2068450.0	1819058.0	1941217.0	1749017.0	1892633.0	1801426.0	1886224.0	1843082.0	1839706.0	1642454.0	1779285.0	1798428.0	1860539.0	1903127.0	1940607.0	1781426.0	1454125.0	1611428.0	1819733.0	1795992.0	1909067.0	1880877.0	1774255.0	1939357.0	1842561.0	1877752.0	1680311.0	1766156.0	1381786.0	1837344.0	1813028.0	1842795.0	1763431.0	1824879.0	1942168.0	1948474.0	1721429.0
NielsenHB_2014__MH0181__bin.46	1819058.0	2507769.0	2236666.0	1999170.0	2182172.0	2001033.0	2180396.0	2026793.0	1866719.0	1822023.0	1963876.0	2043236.0	2031604.0	2135048.0	2200933.0	2024235.0	1593858.0	1807138.0	2017715.0	2098553.0	2163414.0	2064975.0	2074278.0	2217529.0	2109257.0	2501249.0	1832669.0	2068661.0	1578613.0	1996993.0	1945315.0	2061416.0	2011553.0	1853384.0	2194449.0	2256871.0	1906582.0
LeChatelierE_2013__MH0224__bin.21	1941217.0	2236666.0	2760067.0	2103021.0	2322372.0	2129466.0	2298706.0	2116257.0	1989739.0	1911254.0	2073398.0	2187583.0	2225473.0	2277972.0	2455597.0	2144954.0	1685787.0	1896036.0	2104624.0	2202574.0	2309863.0	2197093.0	2190112.0	2378553.0	2220673.0	2302800.0	1943092.0	2184111.0	1666731.0	2092630.0	2090038.0	2212766.0	2065303.0	2001625.0	2339893.0	2508701.0	2014426.0
ZellerG_2014__CCIS21278152ST-4-0__bin.12	1749017.0	1999170.0	2103021.0	2306596.0	2047233.0	1944000.0	2048592.0	1923536.0	1804972.0	1724573.0	1870648.0	1938407.0	1962710.0	1996031.0	2071609.0	1945001.0	1547288.0	1741506.0	1927264.0	1946810.0	2039544.0	1951807.0	1991235.0	2082053.0	1974869.0	2060948.0	1771274.0	1954441.0	1521348.0	1876370.0	1873514.0	1966849.0	1896137.0	1778924.0	2062480.0	2122755.0	1807860.0
XieH_2016__YSZC12003_37270__bin.104	1892633.0	2182172.0	2322372.0	2047233.0	2688031.0	2080683.0	2243839.0	2076085.0	1962692.0	1877162.0	2018565.0	2131806.0	2119559.0	2193373.0	2292832.0	2086817.0	1648220.0	1876334.0	2104489.0	2146089.0	2239399.0	2148042.0	2137020.0	2298402.0	2205400.0	2243439.0	1893287.0	2129931.0	1627282.0	2072312.0	2035957.0	2152649.0	2034746.0	1951738.0	2258065.0	2370895.0	1966426.0
CosteaPI_2017__SID713B044-11-90-0__bin.13	1801426.0	2001033.0	2129466.0	1944000.0	2080683.0	2362990.0	2072049.0	1981722.0	1840041.0	1819046.0	1992901.0	1947020.0	1991130.0	2062779.0	2090993.0	2168832.0	1585365.0	1758870.0	1937109.0	1993443.0	2058078.0	1995001.0	2005633.0	2121788.0	2034288.0	2051303.0	1841553.0	1987072.0	1548980.0	1924118.0	1983528.0	1985422.0	1935814.0	1856269.0	2086886.0	2132546.0	1843119.0
LeChatelierE_2013__MH0415__bin.106	1886224.0	2180396.0	2298706.0	2048592.0	2243839.0	2072049.0	2539390.0	2105178.0	1932486.0	1880138.0	2016502.0	2103875.0	2112454.0	2190363.0	2251729.0	2077442.0	1663866.0	1852230.0	2056684.0	2122009.0	2236791.0	2094479.0	2121881.0	2280772.0	2149904.0	2238044.0	1888040.0	2084224.0	1610549.0	2020310.0	2014684.0	2139050.0	2033633.0	1922998.0	2240086.0	2303322.0	1959378.0
SchirmerM_2016__G88820__bin.19	1843082.0	2026793.0	2116257.0	1923536.0	2076085.0	1981722.0	2105178.0	2346134.0	1859051.0	1818475.0	1936915.0	1968684.0	1967105.0	2096188.0	2108088.0	1980135.0	1587364.0	1784856.0	1981813.0	2003596.0	2098430.0	2006691.0	1981431.0	2141596.0	2024848.0	2086219.0	1915636.0	1945519.0	1540035.0	1976787.0	1946603.0	2027739.0	1971586.0	1842142.0	2118155.0	2133029.0	1882531.0
LeChatelierE_2013__MH0443__bin.25	1839706.0	1866719.0	1989739.0	1804972.0	1962692.0	1840041.0	1932486.0	1859051.0	2176645.0	1693269.0	1800970.0	1839198.0	1859036.0	1919225.0	1980540.0	1829008.0	1496827.0	1599099.0	1814513.0	1842682.0	1911781.0	1941162.0	1829159.0	1998476.0	1889401.0	1929636.0	1709757.0	1838720.0	1378210.0	1871017.0	1834720.0	1867086.0	1787463.0	1889568.0	1967598.0	2005483.0	1734800.0
KarlssonFH_2013__S384__bin.11	1642454.0	1822023.0	1911254.0	1724573.0	1877162.0	1819046.0	1880138.0	1818475.0	1693269.0	2048337.0	1764726.0	1776770.0	1806576.0	1853688.0	1900441.0	1816704.0	1467732.0	1610289.0	1802827.0	1838385.0	1850637.0	1827372.0	1828261.0	1913338.0	1819189.0	1862341.0	1651193.0	1786292.0	1413543.0	1790849.0	1782878.0	1796568.0	1764610.0	1672576.0	1886280.0	1921710.0	1681231.0
