	LeChatelierE_2013__MH0430__bin.81	NielsenHB_2014__MH0181__bin.46	LeChatelierE_2013__MH0224__bin.21	ZellerG_2014__CCIS21278152ST-4-0__bin.12	XieH_2016__YSZC12003_37270__bin.104	CosteaPI_2017__SID713B044-11-90-0__bin.13	LeChatelierE_2013__MH0415__bin.106	SchirmerM_2016__G88820__bin.19	LeChatelierE_2013__MH0443__bin.25	KarlssonFH_2013__S384__bin.11	ZellerG_2014__CCIS96387239ST-4-0__bin.9	NielsenHB_2014__MH0117__bin.40	LeChatelierE_2013__MH0152__bin.1	LiJ_2014__MH0328__bin.60	ZellerG_2014__CCIS51595129ST-4-0__bin.55	CosteaPI_2017__SID713B044-11-0-0__bin.60	ZeeviD_2015__PNP_Main_85__bin.45	LeChatelierE_2013__MH0096__bin.63	ZellerG_2014__CCIS62605362ST-3-0__bin.54	YuJ_2015__SZAXPI015263-84__bin.29	LiJ_2014__MH0264__bin.15	LiJ_2014__O2.UC13-1__bin.12	NielsenHB_2014__MH0152__bin.14	LiJ_2014__MH0265__bin.20	ZeeviD_2015__PNP_Main_215__bin.1	LeChatelierE_2013__MH0181__bin.38	SchirmerM_2016__G88826__bin.7	NielsenHB_2014__O2_UC13_2__bin.58	NielsenHB_2014__MH0096__bin.49	ZeeviD_2015__PNP_Main_568__bin.27	ZellerG_2014__CCIS83445808ST-4-0__bin.18	LeChatelierE_2013__MH0117__bin.15	KarlssonFH_2013__S187__bin.8	XieH_2016__YSZC12003_36008__bin.37	LiJ_2014__MH0192__bin.71	ZellerG_2014__CCIS09568613ST-4-0__bin.97	XieH_2016__YSZC12003_35989__bin.62
LeChatelierE_2013__MH0430__bin.81	1.0	0.8594203389011096	0.9181304841789747	0.82767724624719	0.8948478329183689	0.8513437598201552	0.8923701322246126	0.8714742923445091	0.8694278324349151	0.7775000604317243	0.8416031327805845	0.8501172375450217	0.8795779448379221	0.9004491285745365	0.9176078706277648	0.8422021320312311	0.687541395731103	0.7615741255529502	0.8611714085426285	0.8493533805506539	0.8991283328095916	0.8887045855592351	0.8383282167806811	0.9175769295849548	0.8711387754115401	0.8865885083033189	0.7951267857574512	0.8346278614421426	0.6532519519446929	0.8681312093596655	0.8583736614373081	0.8707505620150354	0.8334433996470787	0.8621329981387028	0.9189441369141145	0.9212584302255312	0.8017617056249849
NielsenHB_2014__MH0181__bin.46	0.7088643331981535	1.0	0.8728120492756709	0.7806664010919666	0.8511078970989753	0.7799964829296478	0.8510030230057074	0.7897752942954475	0.728271224343231	0.7110762594162381	0.7662033464804774	0.7967735465268133	0.7922539914960269	0.8326608232257436	0.8591070389657102	0.7897198665427319	0.6214691225547488	0.7042857615673533	0.7875526015354684	0.818602112076511	0.840039094509901	0.8050486308746938	0.8086135525241759	0.8648611574670554	0.82220092839492	0.9972497466871949	0.7140813208872109	0.8065443826763948	0.615306672983038	0.7780768483859558	0.7595069561829659	0.8036677221865332	0.7831762016357966	0.7219193633863407	0.8564293601204896	0.8809994062451526	0.7333187386876542
LeChatelierE_2013__MH0224__bin.21	0.6880655433364481	0.793028212720923	1.0	0.746129713517824	0.8237274674853908	0.754982759476491	0.8156798367575859	0.7501698328337681	0.7050738261063952	0.6780737569051766	0.7354546103409808	0.7765170193332264	0.7882391985411948	0.8085089963395815	0.8744758732306136	0.7607083451235062	0.5976275213608945	0.6715793493418819	0.7465724563932687	0.7810140116163847	0.815891063514038	0.7780764017685079	0.7761268114143607	0.8435175667837049	0.7876982696434542	0.8162863437735388	0.6890749391228547	0.7737515067569012	0.5906994286732895	0.741180195987996	0.741788876864221	0.7850117406570204	0.7312525384347554	0.7084860621137096	0.8305287516571156	0.8935185269053251	0.7038401604019033
ZellerG_2014__CCIS21278152ST-4-0__bin.12	0.742223172154985	0.848753314407898	0.8928169475712262	1.0	0.8688118768956505	0.824663270030816	0.869316950172462	0.8163913403127379	0.7657457135970062	0.7324030736201745	0.7942283780948203	0.8229763686401953	0.8325757956746652	0.8475428727007244	0.8791548238183019	0.8254575140163254	0.6566251740660264	0.7379922621906914	0.8187367878900336	0.8261299334603892	0.8620651384117548	0.8276629284018527	0.8445618565193037	0.8837906594826315	0.83787147814355	0.8746854672426381	0.7520827227654951	0.8288625316266915	0.6445753829452578	0.79560790012642	0.7953334697536977	0.8349476891488583	0.8045184332236768	0.7536287238857606	0.8754593348813576	0.9007689252907748	0.7557912178812415
XieH_2016__YSZC12003_37270__bin.104	0.6885887848763649	0.7940317652586596	0.8458023735589358	0.7455263722777007	1.0	0.7574343450652169	0.8173994273131522	0.7554135350373564	0.7137964554724258	0.683798289528655	0.7352597496085423	0.7763638142566064	0.7717384955753858	0.798634762768733	0.8348378422719083	0.759906042750251	0.5999759675390648	0.6822975627885243	0.7665067850779994	0.7812830283579318	0.811796441335684	0.7811275241989397	0.7779378288420037	0.8371789611057313	0.8024189453172229	0.8160530886734565	0.68934770469537	0.7749155422686718	0.5920281425325824	0.7537844615631293	0.7417760435054506	0.7836204269965636	0.7403229352637674	0.7093950925417155	0.822195502953649	0.8633438379244882	0.7058315175680637
CosteaPI_2017__SID713B044-11-90-0__bin.13	0.7452261753117871	0.827786406205697	0.8818501136272265	0.8049822470683329	0.8616231977283019	1.0	0.8576341838094956	0.8196848061142875	0.7610535804214152	0.7535385253428919	0.8258020558698937	0.8056420044096675	0.8244495321605254	0.8538398385096847	0.8654814451182612	0.9174245341706906	0.6565347293048214	0.7270216970871649	0.8019386455296045	0.8256987968632961	0.8493831967126395	0.8259899534064892	0.8307783782411267	0.8787878916118985	0.8422384352028575	0.8485994439248579	0.7619621750409439	0.8232015370357048	0.6405278905115976	0.7959276171291456	0.8214097393556469	0.8215041113165946	0.8021096153602004	0.7683384186983441	0.8645191050321839	0.8826550260475076	0.7521250618919251
LeChatelierE_2013__MH0415__bin.106	0.7268765333406841	0.8404061605346166	0.8865637023064594	0.7896238860513746	0.8652451966810927	0.7980581950783455	1.0	0.8107935370305468	0.7448237568864963	0.7251036666285998	0.7776217910600578	0.8111511032177019	0.8136446154391409	0.8449537093553964	0.8681049385876135	0.8005241416245634	0.6412303742237309	0.7130141490672958	0.793182220927073	0.8183689783766969	0.8587649002319455	0.8063204155328642	0.8171033200886827	0.8799589665234564	0.8286990182681668	0.8624598820976691	0.7278488140852725	0.8025384048925135	0.6202658906272767	0.7780592977053544	0.7771252151107156	0.824542508240168	0.7825312378169561	0.7400399308495347	0.8639885956863655	0.8879364729324758	0.744463434131819
SchirmerM_2016__G88820__bin.19	0.7683282370060703	0.8441862229523123	0.8825237603649237	0.8026331829298753	0.8654983048709068	0.8255739015759543	0.8775803087121196	1.0	0.774330877946443	0.7587605823026307	0.8075510605958569	0.8209224196060412	0.8193879803966867	0.8733512237578928	0.8789024838308468	0.8253906213370592	0.6614937595209822	0.7436859957700627	0.8264340399994203	0.836437731178185	0.8722072140806961	0.8361866798742101	0.8251877343749334	0.8927759454489812	0.8444236347966484	0.8688161034280224	0.8161682154557243	0.810940040082962	0.6418277898875342	0.8238391328031562	0.8116454558861514	0.845090689619604	0.8218209190097411	0.7668202242497657	0.8831528804407592	0.889156373847359	0.7732874592840818
LeChatelierE_2013__MH0443__bin.25	0.8262109806606038	0.8390601131557971	0.8940598949300415	0.8114625949569176	0.8814974421644319	0.8262082241247424	0.8689510691913471	0.834625765800119	1.0	0.7611475458790937	0.8096680901111573	0.8271353390194542	0.8347516476044554	0.8627396750503642	0.8902053389505409	0.8219856706077472	0.6723480402178582	0.7173388402794207	0.8160361473735956	0.8282503577753837	0.855141283948462	0.8708227570412264	0.8210783108867087	0.8976599307650077	0.8488536256486473	0.8670775436508938	0.7685575736971347	0.8251203113047832	0.6185363253998699	0.8399022348614495	0.8253500226265652	0.8394253541574304	0.8028442855863037	0.8484167147146181	0.8847515327487945	0.9012866131133006	0.7691111779826293
KarlssonFH_2013__S384__bin.11	0.7851344773833603	0.8705671967064014	0.9136821724159647	0.8247461233185751	0.8973479461631558	0.8692925041143132	0.8989345991406688	0.8690728137020421	0.8088258914426678	1.0	0.8438494251678312	0.8494168684156953	0.8628204245688087	0.8865992265921087	0.9085687560201274	0.8685240758722808	0.7013201440973824	0.7688910565009567	0.8624845423384921	0.8827146119022407	0.8811455341577095	0.8729925788578735	0.873387045198129	0.9156701265465595	0.8702713469512097	0.8898740783376954	0.789318359234833	0.8533961940832979	0.6749812164697508	0.8559489966738872	0.8530178383732755	0.8586546061512338	0.8436385223720512	0.798495560056768	0.9020629906114083	0.9185495355500584	0.7922085086584874
