	WenC_2017__RA123__bin.6	Bengtsson-PalmeJ_2015__TRAVELRES26__bin.89	NielsenHB_2014__V1_UC54_0__bin.97	LeChatelierE_2013__MH0151__bin.16	XieH_2016__YSZC12003_37264__bin.82	LeChatelierE_2013__MH0436__bin.17	HMP_2012__SRS015663__bin.27	LeChatelierE_2013__MH0157__bin.32	Bengtsson-PalmeJ_2015__TRAVELRES17__bin.14	LeChatelierE_2013__MH0454__bin.24	Bengtsson-PalmeJ_2015__TRAVELRES55__bin.37	LeChatelierE_2013__MH0438__bin.16	Bengtsson-PalmeJ_2015__TRAVELRES18__bin.150	LeChatelierE_2013__MH0250__bin.4	XieH_2016__YSZC12003_36051__bin.26	LiJ_2014__V1.CD43-0__bin.36	CosteaPI_2017__SID713A051-11-0-0__bin.14	Bengtsson-PalmeJ_2015__TRAVELRES66__bin.11	NielsenHB_2014__MH0157__bin.26	LiJ_2017__nHM410727__bin.64	Bengtsson-PalmeJ_2015__TRAVELRES56__bin.61	HMP_2012__SRS051031__bin.1	WenC_2017__N244__bin.55	LeChatelierE_2013__MH0447__bin.102	VogtmannE_2016__MMRS18295921ST-27-0-0__bin.76	LeChatelierE_2013__MH0006__bin.78	CosteaPI_2017__SID713B014-11-0-0__bin.68	LeChatelierE_2013__MH0417__bin.59	LeChatelierE_2013__MH0288__bin.27	ZeeviD_2015__PNP_Main_548__bin.50	LiJ_2014__MH0361__bin.10	Bengtsson-PalmeJ_2015__TRAVELRES63__bin.21	Bengtsson-PalmeJ_2015__TRAVELRES25__bin.119
WenC_2017__RA123__bin.6	1.0	0.8302368069275745	0.5863804339625298	0.4377579962363008	0.7034449796346548	0.5071514255380671	0.7392867598723101	0.5229751345325717	0.705097238521999	0.5781169735757705	0.73956544544387	0.5411149661010769	0.7117885801728211	0.6487901183583399	0.49700647655160546	0.6524068939301778	0.4577035081531774	0.807452095502513	0.40158663060119193	0.7973482995667739	0.8065745247454378	0.7328769917264317	0.8188836188115648	0.7047824537831386	0.6493095853757942	0.48195312378729355	0.44139209940844293	0.6392476644741235	0.4427880542079536	0.40721593475003315	0.6466447448456706	0.8295097696981424	0.7882895745243844
Bengtsson-PalmeJ_2015__TRAVELRES26__bin.89	0.5750065879249211	1.0	0.6245185314452782	0.4359976218466091	0.7653491150179187	0.5247508464295948	0.8307520835093863	0.5491739217179509	0.7878315651359513	0.618411387534496	0.8576690696549928	0.5658234956154672	0.7992718030312955	0.6855724694242779	0.525132121021806	0.6915446046269985	0.4777320637181098	0.9266512690068509	0.4167498803672837	0.8762935209321001	0.9382912697869012	0.8080476190714301	0.9295342049562197	0.7619626465907051	0.6964819230840389	0.5149377134825196	0.44962800100606487	0.6837511019460756	0.47271023981046784	0.41382944199900895	0.6862880155770047	0.9751306459266623	0.8801995228692251
NielsenHB_2014__V1_UC54_0__bin.97	0.48798849996319865	0.7504203611936845	1.0	0.49329479959803946	0.8161231837797809	0.5925931711772066	0.8717295268251577	0.6220183045256611	0.825126438818933	0.6720077147582303	0.6688893662211954	0.6204173720252892	0.8501239979150925	0.7263670188077274	0.5954741887562205	0.742803839954817	0.412925224225182	0.7255685052806138	0.47030614191490033	0.7032834287413798	0.7330546447020371	0.864603890124779	0.7197797328374419	0.8193496831331292	0.7748194857729103	0.5855603639274969	0.37833859316817303	0.7309402962431111	0.5348730805107723	0.4134506569411044	0.7652265083659163	0.7484709427296364	0.7054897053941722
LeChatelierE_2013__MH0151__bin.16	0.5672430995746568	0.8157337228921467	0.7680890147501898	1.0	0.887702936145192	0.6725661812617907	0.9231322998424082	0.7012844495025969	0.886458668081203	0.7554863567877864	0.727683514336915	0.7255584354592074	0.9175274803150711	0.8576861385263282	0.652820208410223	0.8610671797167466	0.47409419857676316	0.7991929097302231	0.5889186234653053	0.7951041326071673	0.8000943024216918	0.9095085000816258	0.7985099656048757	0.9140332387970267	0.8228625369128961	0.6396576298190245	0.465347836072828	0.858250736854612	0.6026205408075487	0.5431520116680536	0.8471753477752627	0.8170177514017896	0.7870458596980171
XieH_2016__YSZC12003_37264__bin.82	0.5091081334152653	0.7997765160540584	0.7097501598926524	0.4958067368104237	1.0	0.5980816016854567	0.9237304209879484	0.6161387596510368	0.893142590804396	0.6996547154746826	0.7138229810678739	0.6353290130965669	0.9019777049029567	0.7782568461226554	0.5990231917499572	0.781506690410203	0.4161483218586842	0.7766161175973881	0.4560869983237398	0.7488825802702918	0.7706802335059756	0.8967312925596619	0.7728061265012143	0.8762997809575167	0.7856667732617683	0.5883751771359778	0.40711360320704953	0.781371878958127	0.5416603963665702	0.4579717460277649	0.7925868332058373	0.8108289650242662	0.7429759575793297
LeChatelierE_2013__MH0436__bin.17	0.535492352499698	0.8000146367289654	0.751868946388025	0.5480441099172606	0.8725617363124668	1.0	0.9059799804614915	0.6660405399275863	0.8705895895502903	0.7398134655619494	0.7217184282135148	0.7040590622506944	0.8919683617955455	0.8214277138077335	0.62420503312894	0.823892325513229	0.4440638725506825	0.7760130693792389	0.5080458175356398	0.7678786310236906	0.784087283693731	0.890330115412895	0.7811149604522444	0.8872198105077229	0.8208593970658695	0.6342860802039384	0.4477855658220181	0.8181874317000294	0.5875156325220494	0.4856432365924323	0.822055873425837	0.8046690403070359	0.7587908994612997
HMP_2012__SRS015663__bin.27	0.5081410683469616	0.8244645176657994	0.7199842689464289	0.4896662609841337	0.8772769397393955	0.5897586871269612	1.0	0.625933659119979	0.9109711692465347	0.702243163877134	0.7312741533082977	0.6354966013232446	0.9223429344866131	0.7755689790571044	0.6007840714398257	0.7770527598198125	0.41972237419809466	0.7880148725449693	0.4605779549382234	0.7621032964497195	0.7953523917280463	0.9393170886633443	0.7890011649415855	0.8736702111161977	0.7940251771294301	0.5909357867821932	0.407830293195575	0.7678994701314684	0.5389610309050691	0.4537088936280549	0.7731428238233655	0.8239866310857032	0.7521302054837857
LeChatelierE_2013__MH0157__bin.32	0.5355997296709765	0.8120791821511861	0.7654773717748699	0.5542661853587553	0.8718824541971243	0.6460176009630102	0.9326447435941041	1.0	0.8797080209933852	0.7340878539750049	0.7213285606754085	0.6874298482874479	0.9024368061542739	0.8045146277873984	0.6490299654103071	0.7990899317226968	0.4806754676411131	0.7797084646405793	0.6721413962760254	0.7683599694179202	0.7924936373598259	0.925121226595762	0.7857498303049483	0.8923704513222904	0.8280124014178963	0.6347082945758216	0.4228741535581244	0.8004711533200337	0.5890348159529616	0.44528868862325927	0.8197816368511105	0.8095918002167957	0.7655583373877758
Bengtsson-PalmeJ_2015__TRAVELRES17__bin.14	0.47640898395492365	0.7685877683945924	0.6699174879697903	0.4622259101287426	0.8338190784282592	0.5570943784548208	0.8954971197986676	0.5803769713653083	1.0	0.6646436840820248	0.6919249237844848	0.5882886528336025	0.8823555380916597	0.7318916350621372	0.5597990871455725	0.7325231158809986	0.39418891301150494	0.7345339030075707	0.4333995058888208	0.7156404554564553	0.7351627008256569	0.8683161267615424	0.7334850936135556	0.8270352329222732	0.7537373591028241	0.5529654841706612	0.3773250335923892	0.7275205389807085	0.5020209093567701	0.4297506248342942	0.7236418954961442	0.7771323941367165	0.7116810780394679
LeChatelierE_2013__MH0454__bin.24	0.5248238455208539	0.8105960429842819	0.7330641490364717	0.52928468877491	0.877610283141637	0.6360693193805811	0.9275001548448749	0.6507086324133418	0.8930089095610894	1.0	0.7303208549665552	0.6712363109756997	0.9063629282034291	0.8172814090129876	0.618203661810928	0.8120569920899667	0.43096851618628707	0.777325532428777	0.5060713938103342	0.7779891533213324	0.7862085486824094	0.9082721900898624	0.7799957462720072	0.8825771168441401	0.8211490898890066	0.6202885784126253	0.4380576258888833	0.8000911700406463	0.5828803506277854	0.45677042420286024	0.804781413109413	0.8120471606693362	0.7656638289909588
