	WenC_2017__RA123__bin.6	Bengtsson-PalmeJ_2015__TRAVELRES26__bin.89	NielsenHB_2014__V1_UC54_0__bin.97	LeChatelierE_2013__MH0151__bin.16	XieH_2016__YSZC12003_37264__bin.82	LeChatelierE_2013__MH0436__bin.17	HMP_2012__SRS015663__bin.27	LeChatelierE_2013__MH0157__bin.32	Bengtsson-PalmeJ_2015__TRAVELRES17__bin.14	LeChatelierE_2013__MH0454__bin.24	Bengtsson-PalmeJ_2015__TRAVELRES55__bin.37	LeChatelierE_2013__MH0438__bin.16	Bengtsson-PalmeJ_2015__TRAVELRES18__bin.150	LeChatelierE_2013__MH0250__bin.4	XieH_2016__YSZC12003_36051__bin.26	LiJ_2014__V1.CD43-0__bin.36	CosteaPI_2017__SID713A051-11-0-0__bin.14	Bengtsson-PalmeJ_2015__TRAVELRES66__bin.11	NielsenHB_2014__MH0157__bin.26	LiJ_2017__nHM410727__bin.64	Bengtsson-PalmeJ_2015__TRAVELRES56__bin.61	HMP_2012__SRS051031__bin.1	WenC_2017__N244__bin.55	LeChatelierE_2013__MH0447__bin.102	VogtmannE_2016__MMRS18295921ST-27-0-0__bin.76	LeChatelierE_2013__MH0006__bin.78	CosteaPI_2017__SID713B014-11-0-0__bin.68	LeChatelierE_2013__MH0417__bin.59	LeChatelierE_2013__MH0288__bin.27	ZeeviD_2015__PNP_Main_548__bin.50	LiJ_2014__MH0361__bin.10	Bengtsson-PalmeJ_2015__TRAVELRES63__bin.21	Bengtsson-PalmeJ_2015__TRAVELRES25__bin.119
WenC_2017__RA123__bin.6	2770147.0	2313825.0	1657452.0	1237836.0	1991032.0	1434904.0	2088022.0	1478604.0	1993584.0	1637841.0	2062685.0	1531290.0	2011617.0	1834840.0	1404595.0	1845883.0	1276632.0	2251065.0	1135981.0	2222839.0	2247426.0	2070874.0	2281765.0	1992729.0	1837618.0	1362178.0	1231900.0	1806961.0	1252707.0	1152812.0	1829636.0	2311616.0	2197015.0
Bengtsson-PalmeJ_2015__TRAVELRES26__bin.89	2313825.0	3999742.0	2536741.0	1771608.0	3110995.0	2134520.0	3370563.0	2229829.0	3199411.0	2519579.0	3437263.0	2300036.0	3243214.0	2784332.0	2132979.0	2810326.0	1913312.0	3709058.0	1692741.0	3509940.0	3755210.0	3279160.0	3720797.0	3093818.0	2832617.0	2090220.0	1801944.0	2776349.0	1921758.0	1679562.0	2788046.0	3902350.0	3522735.0
NielsenHB_2014__V1_UC54_0__bin.97	1657452.0	2536741.0	3328685.0	1646102.0	2726472.0	1979554.0	2907152.0	2075745.0	2752528.0	2251046.0	2263607.0	2072563.0	2834244.0	2423272.0	1987881.0	2478604.0	1396840.0	2453660.0	1570001.0	2378770.0	2478037.0	2883589.0	2434204.0	2732620.0	2588182.0	1953726.0	1281250.0	2438426.0	1786856.0	1379264.0	2555720.0	2530615.0	2386133.0
LeChatelierE_2013__MH0151__bin.16	1237836.0	1771608.0	1646102.0	2137803.0	1905136.0	1443657.0	1977647.0	1503359.0	1899374.0	1625482.0	1582164.0	1556309.0	1965217.0	1837991.0	1399816.0	1846119.0	1029940.0	1735834.0	1262706.0	1727685.0	1737792.0	1948623.0	1734467.0	1958477.0	1766636.0	1371333.0	1011910.0	1839124.0	1294201.0	1164849.0	1817054.0	1774510.0	1709813.0
XieH_2016__YSZC12003_37264__bin.82	1991032.0	3110995.0	2726472.0	1905136.0	3827568.0	2299567.0	3544672.0	2366638.0	3429283.0	2694396.0	2780044.0	2442392.0	3461230.0	2987662.0	2300670.0	3001601.0	1619568.0	3022221.0	1752392.0	2914203.0	2997903.0	3441882.0	3007401.0	3363896.0	3022795.0	2259535.0	1586108.0	3000745.0	2081583.0	1759813.0	3039906.0	3154294.0	2890791.0
LeChatelierE_2013__MH0436__bin.17	1434904.0	2134520.0	1979554.0	1443657.0	2299567.0	2623537.0	2384040.0	1754325.0	2291273.0	1954447.0	1927056.0	1854811.0	2346092.0	2162188.0	1643710.0	2169887.0	1185840.0	2070536.0	1338586.0	2049508.0	2091654.0	2342596.0	2084056.0	2334982.0	2164742.0	1669725.0	1196063.0	2153440.0	1548195.0	1278218.0	2165749.0	2147188.0	2025204.0
HMP_2012__SRS015663__bin.27	2088022.0	3370563.0	2907152.0	1977647.0	3544672.0	2384040.0	4030245.0	2527589.0	3676368.0	2845617.0	2993190.0	2568192.0	3719860.0	3130198.0	2426673.0	3137250.0	1717239.0	3222599.0	1860384.0	3117029.0	3252048.0	3786745.0	3226442.0	3524822.0	3209852.0	2385972.0	1669869.0	3099130.0	2178535.0	1831042.0	3123630.0	3369231.0	3076245.0
LeChatelierE_2013__MH0157__bin.32	1478604.0	2229829.0	2075745.0	1503359.0	2366638.0	1754325.0	2527589.0	2704852.0	2385690.0	1997218.0	1982951.0	1865630.0	2445819.0	2182189.0	1759917.0	2168042.0	1320861.0	2141487.0	1819343.0	2111201.0	2176530.0	2507443.0	2158198.0	2419028.0	2249184.0	1721447.0	1163224.0	2170904.0	1599711.0	1207734.0	2224297.0	2223714.0	2103221.0
Bengtsson-PalmeJ_2015__TRAVELRES17__bin.14	1993584.0	3199411.0	2752528.0	1899374.0	3429283.0	2291273.0	3676368.0	2385690.0	4099887.0	2741015.0	2884196.0	2418799.0	3620965.0	3006124.0	2300055.0	3010392.0	1641987.0	3058309.0	1781541.0	2979598.0	3060495.0	3565360.0	3054089.0	3396767.0	3100504.0	2271387.0	1572540.0	2988948.0	2065169.0	1765571.0	2975897.0	3235532.0	2963645.0
LeChatelierE_2013__MH0454__bin.24	1637841.0	2519579.0	2251046.0	1625482.0	2694396.0	1954447.0	2845617.0	1997218.0	2741015.0	3051441.0	2272920.0	2061932.0	2780567.0	2508006.0	1897747.0	2493663.0	1339879.0	2417003.0	1553100.0	2419762.0	2444518.0	2787166.0	2425635.0	2708713.0	2525514.0	1904727.0	1363768.0	2455776.0	1790655.0	1403618.0	2470046.0	2525219.0	2381121.0
