	SchirmerM_2016__G89134__bin.13	NielsenHB_2014__V1_CD15_3__bin.32	CM_madagascar__V30_01_1FE__bin.35	ZeeviD_2015__PNP_DietIntervention_37__bin.2	FengQ_2015__SID31871__bin.44	SchirmerM_2016__G89263__bin.22	FengQ_2015__SID530119__bin.73	SchirmerM_2016__G89024__bin.26	WenC_2017__RA042__bin.75	VogtmannE_2016__MMRS42780924ST-27-0-0__bin.56	HeQ_2017__SZAXPI029555-35__bin.82	SchirmerM_2016__G88746__bin.15	BackhedF_2015__SID565_M__bin.29	LiJ_2014__V1.UC47-4__bin.64	SchirmerM_2016__G88880__bin.14	ZeeviD_2015__PNP_Main_23__bin.48	FengQ_2015__SID31233__bin.63	ZellerG_2014__CCIS02856720ST-4-0__bin.42	ZeeviD_2015__PNP_Main_325__bin.11	ZeeviD_2015__PNP_Main_45__bin.58	ZeeviD_2015__PNP_DietIntervention_36__bin.11	SmitsSA_2017__TZ_21460__bin.6	FengQ_2015__SID31137__bin.19	BackhedF_2015__SID345_M__bin.45	LiuW_2016__SRR3992967__bin.42	NielsenHB_2014__V1_UC47_0__bin.5	FengQ_2015__SID31009__bin.90	ZeeviD_2015__PNP_Main_162__bin.27	VogtmannE_2016__MMRS65742083ST-27-0-0__bin.59	ZeeviD_2015__PNP_Main_404__bin.3
SchirmerM_2016__G89134__bin.13	0.0	15841.0	24441.0	14498.0	16742.0	13335.0	9269.0	15395.0	24265.0	16113.0	21629.0	13751.0	13251.0	14673.0	12056.0	12285.0	8264.0	13441.0	14677.0	14200.0	15571.0	14396.0	30678.0	12544.0	15327.0	13706.0	15486.0	7091.0	10213.0	17796.0
NielsenHB_2014__V1_CD15_3__bin.32	15841.0	0.0	42170.0	24814.0	27935.0	25888.0	23525.0	24283.0	42214.0	26665.0	38934.0	23140.0	22841.0	26598.0	20627.0	11669.0	18076.0	25041.0	27318.0	15829.0	26518.0	27295.0	51614.0	24965.0	23842.0	26981.0	25566.0	16565.0	18947.0	32661.0
CM_madagascar__V30_01_1FE__bin.35	24441.0	42170.0	0.0	41940.0	40314.0	41295.0	32212.0	16815.0	34189.0	44181.0	42623.0	32347.0	40227.0	41932.0	30771.0	18597.0	33495.0	42233.0	39975.0	24703.0	46345.0	19484.0	30355.0	42826.0	35473.0	40551.0	43098.0	30019.0	31756.0	22869.0
ZeeviD_2015__PNP_DietIntervention_37__bin.2	14498.0	24814.0	41940.0	0.0	26838.0	22745.0	22029.0	23854.0	41936.0	24136.0	36379.0	22142.0	18650.0	27929.0	18837.0	5300.0	17394.0	24830.0	25796.0	13186.0	1482.0	26426.0	49308.0	22671.0	20359.0	25394.0	14587.0	14678.0	18029.0	32190.0
FengQ_2015__SID31871__bin.44	16742.0	27935.0	40314.0	26838.0	0.0	27061.0	9304.0	23395.0	40003.0	25839.0	25511.0	9844.0	24184.0	28447.0	21688.0	13706.0	20987.0	27163.0	14839.0	14200.0	29336.0	26928.0	49861.0	26387.0	23904.0	25497.0	27538.0	17646.0	19298.0	30861.0
SchirmerM_2016__G89263__bin.22	13335.0	25888.0	41295.0	22745.0	27061.0	0.0	23342.0	24346.0	40552.0	25381.0	37917.0	21260.0	21573.0	25766.0	7763.0	10904.0	17017.0	23148.0	28366.0	16254.0	24846.0	26685.0	50987.0	4606.0	22031.0	24255.0	23576.0	15347.0	18453.0	32500.0
FengQ_2015__SID530119__bin.73	9269.0	23525.0	32212.0	22029.0	9304.0	23342.0	0.0	18021.0	29015.0	22885.0	19054.0	5998.0	22048.0	23605.0	17489.0	7801.0	21184.0	24225.0	9408.0	8052.0	25136.0	21510.0	36361.0	23278.0	21197.0	22841.0	23557.0	17460.0	17157.0	25544.0
SchirmerM_2016__G89024__bin.26	15395.0	24283.0	16815.0	23854.0	23395.0	24346.0	18021.0	0.0	21807.0	25788.0	24505.0	21349.0	23964.0	23982.0	20235.0	12288.0	20163.0	23668.0	22393.0	14470.0	26268.0	11378.0	19489.0	24544.0	22525.0	23410.0	24596.0	18427.0	19815.0	16321.0
WenC_2017__RA042__bin.75	24265.0	42214.0	34189.0	41936.0	40003.0	40552.0	29015.0	21807.0	0.0	43322.0	35145.0	32396.0	36168.0	42556.0	29978.0	17860.0	32396.0	41458.0	37687.0	24886.0	43936.0	21725.0	34414.0	42157.0	37028.0	41205.0	41297.0	28496.0	30724.0	28366.0
VogtmannE_2016__MMRS42780924ST-27-0-0__bin.56	16113.0	26665.0	44181.0	24136.0	25839.0	25381.0	22885.0	25788.0	43322.0	0.0	38301.0	22206.0	22793.0	28228.0	19629.0	12275.0	19563.0	25087.0	26512.0	15450.0	26429.0	28167.0	52171.0	23280.0	24496.0	26380.0	25919.0	16351.0	18934.0	33490.0
HeQ_2017__SZAXPI029555-35__bin.82	21629.0	38934.0	42623.0	36379.0	25511.0	37917.0	19054.0	24505.0	35145.0	38301.0	0.0	18364.0	32700.0	39996.0	28209.0	15842.0	28559.0	35519.0	25333.0	19506.0	39380.0	27951.0	48953.0	36262.0	33235.0	37577.0	36804.0	25442.0	26519.0	30800.0
SchirmerM_2016__G88746__bin.15	13751.0	23140.0	32347.0	22142.0	9844.0	21260.0	5998.0	21349.0	32396.0	22206.0	18364.0	0.0	22013.0	23356.0	18523.0	11462.0	18477.0	22202.0	11983.0	12032.0	23710.0	21087.0	37720.0	22503.0	22784.0	22471.0	23133.0	16008.0	17201.0	26399.0
