	SchirmerM_2016__G89134__bin.13	NielsenHB_2014__V1_CD15_3__bin.32	CM_madagascar__V30_01_1FE__bin.35	ZeeviD_2015__PNP_DietIntervention_37__bin.2	FengQ_2015__SID31871__bin.44	SchirmerM_2016__G89263__bin.22	FengQ_2015__SID530119__bin.73	SchirmerM_2016__G89024__bin.26	WenC_2017__RA042__bin.75	VogtmannE_2016__MMRS42780924ST-27-0-0__bin.56	HeQ_2017__SZAXPI029555-35__bin.82	SchirmerM_2016__G88746__bin.15	BackhedF_2015__SID565_M__bin.29	LiJ_2014__V1.UC47-4__bin.64	SchirmerM_2016__G88880__bin.14	ZeeviD_2015__PNP_Main_23__bin.48	FengQ_2015__SID31233__bin.63	ZellerG_2014__CCIS02856720ST-4-0__bin.42	ZeeviD_2015__PNP_Main_325__bin.11	ZeeviD_2015__PNP_Main_45__bin.58	ZeeviD_2015__PNP_DietIntervention_36__bin.11	SmitsSA_2017__TZ_21460__bin.6	FengQ_2015__SID31137__bin.19	BackhedF_2015__SID345_M__bin.45	LiuW_2016__SRR3992967__bin.42	NielsenHB_2014__V1_UC47_0__bin.5	FengQ_2015__SID31009__bin.90	ZeeviD_2015__PNP_Main_162__bin.27	VogtmannE_2016__MMRS65742083ST-27-0-0__bin.59	ZeeviD_2015__PNP_Main_404__bin.3
SchirmerM_2016__G89134__bin.13	1.0	0.907457156761118	0.7687010835710749	0.860967742519054	0.9312542324639559	0.9026233286478487	0.4846576008268644	0.5234138549236482	0.687546319663417	0.9225321154691545	0.9194030318763707	0.7464284486704259	0.7277033949561994	0.8893073864825277	0.5479351606120195	0.7087660773328075	0.5474943511870196	0.8283960868665927	0.8727863798933011	0.8679489336452166	0.9265277423502076	0.5095883587718363	0.9057819603416244	0.8926963727595455	0.7672224724765471	0.8040056370540423	0.8366291526388564	0.48786628338558524	0.6445556417877687	0.5910717699252191
NielsenHB_2014__V1_CD15_3__bin.32	0.545561724308698	1.0	0.6919204479786074	0.7748375294469947	0.7988022532343657	0.7919042788685684	0.557743662325176	0.45312662008319476	0.6255912057443119	0.8307395083865476	0.8231603286897293	0.646964158956128	0.675962333949403	0.7901612053020179	0.4943447993833986	0.4490687535211319	0.6077544296473321	0.7809270483108355	0.7983472704294531	0.5816688696776982	0.838444125573804	0.48306340103815837	0.8106202050069136	0.8112368789122177	0.6786788169431972	0.7457135544271821	0.7640035006485771	0.5325590045628794	0.598059851809744	0.5856458906895654
CM_madagascar__V30_01_1FE__bin.35	0.5241860139975163	0.784813270500769	1.0	0.7779333514264802	0.7941571472041976	0.7840389660589014	0.5806613045158849	0.5047256009803196	0.6682716110302402	0.8110236609015322	0.835643910422475	0.6545586505802143	0.7082463628662835	0.8024076221493014	0.5142717919617082	0.4229906326844473	0.6183912725239117	0.7890799634847401	0.8058329838066336	0.5407330191705115	0.8442048473185133	0.5562980599212125	0.8833826782791773	0.8032242810030182	0.6847585798524587	0.7547872821626244	0.7859889138355004	0.5477827671000798	0.6182362471523855	0.6369441497454623
ZeeviD_2015__PNP_DietIntervention_37__bin.2	0.5470850059086164	0.81895646629483	0.7249071557866891	1.0	0.8327715932726071	0.8107625717119048	0.6061765350524265	0.4780725955149692	0.6651416152057593	0.8670706903501795	0.8649643567118357	0.6813010298312326	0.74163559086931	0.8505756111318027	0.5211005047230615	0.44392638676224677	0.6508858326551069	0.8254812342034556	0.8448049390209323	0.5552398162581215	0.9229400693093739	0.5099572832319442	0.8286750291599035	0.851697941716978	0.71834062139333	0.7859103637592595	0.8555971687687853	0.5792919469619289	0.6268176084434206	0.6373485102776206
FengQ_2015__SID31871__bin.44	0.5881872816404073	0.839206594597765	0.7355731747680385	0.8277617239557683	1.0	0.8483989788017183	0.627931060355896	0.4836092952962492	0.6705515773308607	0.8949363998228176	0.8928278836035061	0.7027513927595168	0.7286066158505117	0.8618799996800662	0.5239674231197128	0.48013725160852444	0.644262920089292	0.8469859377660164	0.8835943650513437	0.6211313240727727	0.9059432658311061	0.513632418132173	0.8665396072355318	0.8871182075479244	0.7105547309642234	0.7933551269204122	0.8333350472645087	0.5592622173775101	0.6244567314266039	0.6292835424900678
SchirmerM_2016__G89263__bin.22	0.5844657570832938	0.8529183225785291	0.7444957606834137	0.8261868485521037	0.8697717243011199	1.0	0.5978908453096532	0.4977013118960916	0.6787471115092154	0.8976269666922553	0.8805830163379833	0.7002857448538203	0.7369327761608042	0.8635429706687867	0.5526605352698488	0.46735175667876855	0.6367487093063484	0.8364717890407986	0.8586328291864277	0.5918303836040713	0.9058732711030657	0.5275698099121212	0.868559710053705	0.8974313419699761	0.7263987167642968	0.8106321450856024	0.8369454273404486	0.571367100529241	0.6450125847999981	0.6321446951339034
FengQ_2015__SID530119__bin.73	0.40974729886050737	0.7843284202240443	0.7199063771516202	0.8065146493451141	0.8405153845016562	0.7806393822645777	1.0	0.4778119865183914	0.6458207472188192	0.8427952874528355	0.8559664173150269	0.6643796262733325	0.7491158493530674	0.8075149108813875	0.5074400187204912	0.3130614681616549	0.7212461770075458	0.8719889553180826	0.8737998263562287	0.42628985050627405	0.8789127840255887	0.5302293617036463	0.8020654737961557	0.8418607923478463	0.680180393752291	0.7759822012585349	0.8266356085969471	0.6328020527283637	0.6397233323493859	0.6861819629699304
SchirmerM_2016__G89024__bin.26	0.5250266298657347	0.7560280882327145	0.7424436810852041	0.7546785997499423	0.7680392010979791	0.7709964620537266	0.5669073486331817	1.0	0.6898051619295448	0.8012671037533442	0.8038384509251345	0.6903997594994977	0.7194600352403402	0.7699276381411053	0.5305618916792028	0.4441147845506252	0.6364081225778315	0.7617720338321783	0.7857029226013009	0.5320269123449465	0.8137972041211721	0.5175460722384633	0.8136133204372802	0.7955467484949059	0.7351518461861375	0.7480884262762526	0.7818480189255024	0.5702045524519135	0.645669448512266	0.6752541556805239
WenC_2017__RA042__bin.75	0.5117193495832791	0.7744667004770859	0.7293818527810566	0.7790692560062115	0.7901593727419203	0.7801630081100125	0.5685397040541087	0.5118234737064148	1.0	0.816365888578212	0.8374249924824178	0.6841583225244714	0.6984830192405224	0.7910008931336423	0.5069462459214311	0.42044109132852503	0.6182899408018455	0.7617065584733248	0.8013913137143138	0.5270053991948334	0.824500136887317	0.5004133548164139	0.8275978295506058	0.8077424364147192	0.7189855976590025	0.7512214387979049	0.784933418906607	0.5510513394760582	0.62156087446311	0.6370004173941143
VogtmannE_2016__MMRS42780924ST-27-0-0__bin.56	0.5593737751048656	0.8378527697986929	0.721150977283497	0.827384121263887	0.8591429097950659	0.8405508298573126	0.6044517442506714	0.48435278734942927	0.6650825908396858	1.0	0.8743191776895041	0.6927078153428536	0.734288069009495	0.8564452153767851	0.5215215903307143	0.4508147929305634	0.6444959428548027	0.827918687438938	0.8472047527393773	0.5730132566561168	0.8958012788636484	0.5064721996337747	0.8426817817507445	0.8669412869369869	0.7183578507368384	0.8084048282075433	0.8330610531611801	0.5723759455459156	0.6331980220320242	0.6264153937507678
