	SchirmerM_2016__G89134__bin.13	NielsenHB_2014__V1_CD15_3__bin.32	CM_madagascar__V30_01_1FE__bin.35	ZeeviD_2015__PNP_DietIntervention_37__bin.2	FengQ_2015__SID31871__bin.44	SchirmerM_2016__G89263__bin.22	FengQ_2015__SID530119__bin.73	SchirmerM_2016__G89024__bin.26	WenC_2017__RA042__bin.75	VogtmannE_2016__MMRS42780924ST-27-0-0__bin.56	HeQ_2017__SZAXPI029555-35__bin.82	SchirmerM_2016__G88746__bin.15	BackhedF_2015__SID565_M__bin.29	LiJ_2014__V1.UC47-4__bin.64	SchirmerM_2016__G88880__bin.14	ZeeviD_2015__PNP_Main_23__bin.48	FengQ_2015__SID31233__bin.63	ZellerG_2014__CCIS02856720ST-4-0__bin.42	ZeeviD_2015__PNP_Main_325__bin.11	ZeeviD_2015__PNP_Main_45__bin.58	ZeeviD_2015__PNP_DietIntervention_36__bin.11	SmitsSA_2017__TZ_21460__bin.6	FengQ_2015__SID31137__bin.19	BackhedF_2015__SID345_M__bin.45	LiuW_2016__SRR3992967__bin.42	NielsenHB_2014__V1_UC47_0__bin.5	FengQ_2015__SID31009__bin.90	ZeeviD_2015__PNP_Main_162__bin.27	VogtmannE_2016__MMRS65742083ST-27-0-0__bin.59	ZeeviD_2015__PNP_Main_404__bin.3
SchirmerM_2016__G89134__bin.13	1.0	0.9170096356960357	0.7834395557412864	0.8697103622778088	0.9413500346436409	0.9106646332749004	0.4902470160940667	0.5326973858372936	0.7021786598790457	0.9322486165157	0.932445804863135	0.7547206106446732	0.7356940456958366	0.8981555351733961	0.5552051995009386	0.7161742083671779	0.5524777288726556	0.8365013118753818	0.8816369406740464	0.8765118527081438	0.9359174052184358	0.5182694702387306	0.9242814836523624	0.9002606866134439	0.7764649978622854	0.8122706630171747	0.8459675585972009	0.49214231571482586	0.6507143102659149	0.6018031577874623
NielsenHB_2014__V1_CD15_3__bin.32	0.5513046586613862	1.0	0.7072085952958765	0.7838335002207845	0.8089296991747953	0.8012896134132557	0.5662723240666689	0.461930084188133	0.6408953046499605	0.8404065334805714	0.8372753091889125	0.6553532442993011	0.684243020998816	0.799803940477373	0.5018228315084474	0.4532991872665721	0.6143076321824745	0.7900053147792191	0.8082510315964713	0.5874074535971919	0.8480578578611965	0.4929588238748873	0.829332143248164	0.8202875926370369	0.6873224026282417	0.755495140928658	0.7732720985692151	0.5385644150516288	0.6049288232875789	0.5974866822363837
CM_madagascar__V30_01_1FE__bin.35	0.5342363458422771	0.8021539068860872	1.0	0.7951794099989309	0.8107345817604632	0.8010197955474411	0.5939071328119218	0.5116400615166992	0.6823303973090556	0.8291912363376182	0.853170823978354	0.6678599919403255	0.7247880223368122	0.8196503910586959	0.526925069699736	0.4306378656666091	0.6321646805325964	0.8064465059666264	0.82227101889089	0.5508910874803649	0.863262276611318	0.5643100342947374	0.8958648935382794	0.8208346697589499	0.699345357051804	0.7714621729869318	0.803711151135345	0.5601268165108189	0.6312945646542153	0.6463480627996677
ZeeviD_2015__PNP_DietIntervention_37__bin.2	0.5526403315569166	0.8284646640212006	0.7409776729400693	1.0	0.8430553448072381	0.8194779725858589	0.6146175799349209	0.4872129416326787	0.6812105996441036	0.8763190928779331	0.878904016786295	0.6897853739134966	0.7487818747250692	0.8612774106925266	0.5283184430067578	0.44595723418506306	0.6575508439895347	0.8349955627899706	0.8546894182886624	0.5602924113745849	0.9235079402302444	0.5200831651178581	0.8475688074097576	0.8603849873627645	0.7261417577482577	0.7956408051658628	0.8611865973266384	0.584916244786853	0.6337259382898273	0.649683034530537
FengQ_2015__SID31871__bin.44	0.594563867360009	0.8498462984609279	0.7509277128578736	0.837983609485733	1.0	0.858705799143263	0.6314747082793921	0.4925198330402511	0.6857876637327973	0.904777792631848	0.9025443498735309	0.7065007124240585	0.7378176628605968	0.8727147108236277	0.532227809637854	0.48535750509513653	0.6522563142176685	0.8573316072142029	0.8892461483205569	0.626539729115082	0.9171165736002038	0.5238885822856453	0.8855303455323337	0.8971683190867565	0.7196591333678405	0.8030662609601138	0.8438235443106435	0.5659831128265658	0.6318068300538212	0.6410376824908219
SchirmerM_2016__G89263__bin.22	0.589672654631386	0.8630267713018142	0.7606201577024209	0.8350680547561797	0.8803381925837536	1.0	0.6070051612127327	0.5072076581807448	0.6945813904271179	0.9075374478822159	0.8953884107385087	0.7085871053241943	0.7453563532740394	0.8736037822341515	0.5556917422939087	0.4716094252850225	0.6433933118992154	0.8455103540534146	0.8697088588714055	0.5981770587256826	0.9155748516414906	0.5379894620359185	0.8884685278478235	0.8992298399157213	0.7350011284539868	0.8201029587360691	0.8461511128742933	0.5773596207145105	0.6522179001696976	0.6448349216290659
FengQ_2015__SID530119__bin.73	0.41447279538431814	0.7963218721306845	0.7363286119153479	0.8177454145757784	0.845258724630854	0.7925395376059081	1.0	0.48699940402358005	0.6606130960847562	0.8544624562895395	0.8656804760877844	0.667437510419391	0.7603563011123704	0.8195491481717697	0.5163562134237953	0.31703855289379945	0.732046146622435	0.8843392793324656	0.8785961874842912	0.4303948993799092	0.8917275515973341	0.5411955317572842	0.8206029405242043	0.853728319382183	0.6909869909920382	0.7876269381341808	0.8386453746570841	0.6417034627300614	0.6484702677101607	0.6992047359987601
SchirmerM_2016__G89024__bin.26	0.5343387657654551	0.7707164023641151	0.7526147473504721	0.7691074201300614	0.782190381310643	0.7857228836590917	0.5778079008286259	1.0	0.7029957918460894	0.8168657630961174	0.8186610485362193	0.7033133541291263	0.7339553924797622	0.7844338832302314	0.542801649388254	0.45154755661530627	0.6486043288880663	0.7760883464320214	0.7992480125137686	0.5407795337459829	0.8296862061227218	0.524428403012547	0.8254018372641495	0.8103929364470164	0.7487767803297688	0.7622486796970033	0.7967256606656469	0.5813506861462395	0.6576551563948878	0.6851264109594676
WenC_2017__RA042__bin.75	0.5226097454793525	0.7934128027790369	0.7447262478064368	0.7978905888847498	0.8081131541979525	0.798363186736741	0.5815619516092114	0.5216106924702999	1.0	0.8358092733303113	0.8531984507048574	0.6986979996499275	0.7147156109886855	0.8101004887550435	0.5204006983497224	0.4284568535664756	0.6328296179273016	0.7803133597533335	0.8183056491824909	0.5381745066446451	0.8442190915170257	0.510163771088501	0.8430432070229926	0.8266629564967618	0.7356041667601689	0.7697146909263906	0.8034679616356464	0.5638406541867322	0.6353501398045878	0.6497313866909623
VogtmannE_2016__MMRS42780924ST-27-0-0__bin.56	0.5652653378809241	0.8476025694277874	0.7373053330837228	0.8362092164766312	0.8685906905044667	0.8498311472916289	0.6128194233998117	0.4937819204015608	0.6809228615890437	1.0	0.8883235682986901	0.7008272247020763	0.742622109247483	0.8667665108551303	0.5286987445373333	0.45530302808702827	0.6516489647990733	0.8370915066137025	0.8568986093966642	0.5786623998876753	0.9054647873728303	0.5167711910514646	0.8617576038564818	0.8754533940198791	0.727314576471483	0.8180504203401333	0.8425380850976698	0.5783545307225638	0.6401210562033077	0.6386606886908905
HeQ_2017__SZAXPI029555-35__bin.82	0.549250568418555	0.820346702461969	0.7369787661347929	0.8147426158868768	0.8417208740769525	0.8145277161988543	0.6031474101745945	0.4807451655562332	0.6752538924372005	0.8629735652071366	1.0	0.6847098339162857	0.7197835942381309	0.8384675414445593	0.5130774452298841	0.4387821830043118	0.628721538667558	0.8179323666281031	0.8471398982760783	0.5662180532077419	0.8816431976079001	0.5134539636915433	0.8581271332346098	0.8406897107805406	0.7055089268619993	0.7825176084541893	0.8189184187503352	0.5557955959416994	0.6189146535657186	0.6234133387703547
SchirmerM_2016__G88746__bin.15	0.595722816011119	0.8604303363058476	0.7730641173012711	0.8568485636020495	0.8829238688856998	0.8637712615693638	0.6231427735058296	0.5534402867322096	0.7409990408940866	0.9123224880587744	0.9175245071790149	1.0	0.7879338288317234	0.8784805668006559	0.5655212133760766	0.48502152633495405	0.6860491738123627	0.8680503494905791	0.8934868854760902	0.6107172351094642	0.9171046900993138	0.5392388554510773	0.8794744194791317	0.9030717568297623	0.782207752336482	0.8350742414614585	0.8633790515085094	0.6116615855472497	0.6909318082835336	0.6911921710302416
BackhedF_2015__SID565_M__bin.29	0.5371686535857005	0.831009586172523	0.7760621313603278	0.860400812262129	0.8529333547024729	0.8404751169872331	0.6566735118360963	0.5342529988710754	0.7011594812934905	0.8942535800647062	0.8922127978837507	0.7288617234680704	1.0	0.8687946572454592	0.5510829574654322	0.4322922629038195	0.7085234687749319	0.8524626759211479	0.8759486224830353	0.5355866621345304	0.9272248708605364	0.5621934423746515	0.866448748408322	0.874528220473162	0.7606173509194307	0.827221260415254	0.8690495899062517	0.6168401735127167	0.6906024512281678	0.6955311493368228
LiJ_2014__V1.UC47-4__bin.64	0.5677885788350107	0.8410094541018603	0.7598639066788655	0.856860704483074	0.8734942055504727	0.8528979871912168	0.6128145013723696	0.49437366575175357	0.6880882128697774	0.9036840500152485	0.8998589508996645	0.7035731168039037	0.7522095150960659	1.0	0.5335083104605063	0.4611817627325404	0.6543881518755719	0.8578480481854224	0.8682216376944191	0.5867394784995426	0.9226425739554742	0.5281732235437634	0.8696881671241232	0.8831598810612992	0.7258310460506252	0.8422243824336688	0.8562381823726746	0.5833245654162854	0.6404502134797194	0.6426688777066178
SchirmerM_2016__G88880__bin.14	0.5175209913516419	0.7780492685487779	0.7202700742974122	0.7750010398714832	0.785461022806349	0.7999371580368575	0.5693020944697949	0.5044051204396015	0.6517520991351642	0.8127596165628481	0.8119147912443946	0.667829074356994	0.7035225224921391	0.786648162575194	1.0	0.4048658116112612	0.623761007180172	0.7696993815856186	0.7928632214881292	0.5337851434404345	0.827357725907864	0.4803143896853742	0.8049914955375461	0.816240656614201	0.672241502001612	0.7650812280151496	0.7641565855342073	0.5649897193246344	0.6202316271571713	0.6045885874947866
ZeeviD_2015__PNP_Main_23__bin.48	0.887316356659574	0.9341723049704737	0.7824274690989074	0.8695310445406077	0.9520816398498577	0.9023806392999737	0.4646124214024434	0.5577340892246635	0.7132421940373443	0.9303358177732087	0.9229153716498912	0.7613122205752265	0.7335400877423673	0.9038509814234824	0.5381414815788844	1.0	0.5987617149209841	0.8608016353073373	0.9090233282329596	0.9059010925956917	0.9624188622181844	0.5244272539268894	0.9357083940995051	0.9265038133263204	0.7839530984770603	0.8149423518301575	0.8843898677887488	0.5183217479140269	0.6671281409137638	0.6366842888564803
FengQ_2015__SID31233__bin.63	0.4576141236972312	0.8463554439828139	0.7678686487366652	0.8571287289931182	0.8553730566480294	0.8230167395741034	0.717202891789647	0.5355849560607407	0.704273850921191	0.8901798228044605	0.8840891631811284	0.7199160673738638	0.8037582876225849	0.8574029435357793	0.5542789955656162	0.40029379416027916	1.0	0.9089233108334224	0.8780993985261343	0.47518732998948093	0.9237234039365021	0.5809732068916258	0.85811120623431	0.9088803555498726	0.7505861398284386	0.8347819919463838	0.8896338911193448	0.6717477106332308	0.6792424086525927	0.7783377504018317
ZellerG_2014__CCIS02856720ST-4-0__bin.42	0.5095922728413207	0.8005131258910732	0.7204499843689098	0.800520473054462	0.8269089124398129	0.7954678287919904	0.6372268278732276	0.4713366951503946	0.6386977299836636	0.8410242827423581	0.8459149220521068	0.6699510936069025	0.711243253926416	0.8266686601969995	0.5030404398893664	0.42325244963611336	0.6684959878977524	1.0	0.828528594608872	0.5383880103110091	0.8680471496863312	0.5102255983254346	0.8157919195162334	0.8360642127385853	0.6760503412941073	0.7727426850722906	0.8077203258173077	0.56036521279773	0.6090280474288785	0.6301081612658281
ZeeviD_2015__PNP_Main_325__bin.11	0.5155437482082401	0.7861478846743132	0.7051196111003953	0.7865315372656079	0.8232853144628917	0.7854112575941526	0.6076926576016988	0.4659305567652445	0.6429266345522179	0.826389092136215	0.840976706152088	0.6619206114181077	0.7015214575695397	0.803103001905216	0.4973928902263445	0.42903326246809215	0.6199187629742808	0.7952927801730597	1.0	0.5393277405154415	0.8594435133268146	0.5044075970265514	0.8165981933771266	0.8230335424498545	0.6770417423187497	0.7554475670677976	0.7898408934873915	0.5489282234663505	0.6044591150813199	0.6140680609570369
ZeeviD_2015__PNP_Main_45__bin.58	0.8072450012690165	0.8998482178509802	0.7440213216987382	0.8120717069299408	0.9135846967161629	0.8507947597671229	0.4688496712497508	0.4965142310343123	0.6659487606123935	0.8789258289010317	0.8852875724686176	0.7125735932382802	0.6755599639454917	0.8547867469136796	0.5273993714341886	0.6733929169441194	0.5283573817051694	0.8139294138032341	0.849424110869279	1.0	0.8879061338759652	0.4724895549112049	0.8942273355596196	0.8507986473450342	0.7236981751153917	0.7710994125869776	0.7883047216855205	0.4715348768498623	0.6076917395078437	0.5789042250752108
ZeeviD_2015__PNP_DietIntervention_36__bin.11	0.5453612054670911	0.8219671028612731	0.7376690194072106	0.8468752075353289	0.8461042741824119	0.823925709292066	0.6146074652631979	0.48197495274782926	0.6609551772883174	0.87015711368737	0.8721529666703093	0.6770295242174622	0.7399772514925853	0.850442794742333	0.5172084341654892	0.4526380221940257	0.6498363787074813	0.8302976807696403	0.856422974657235	0.5617799073123063	1.0	0.5196828702052531	0.847316544040007	0.8520247190608528	0.7065207117183626	0.7938203050633174	0.841231652120014	0.5654346373960303	0.624315462835847	0.6324907296494151
SmitsSA_2017__TZ_21460__bin.6	0.4573499815347153	0.7235789446797098	0.7302690184450634	0.7222672176806963	0.731955372546432	0.733186214148346	0.5648929705268513	0.461363387225003	0.6048849458440339	0.7520915792980212	0.7692148050076575	0.6028596180719262	0.6794623462512279	0.737283165939585	0.45472014184744375	0.3735239745381284	0.6189627299247233	0.7390929766996842	0.7612002328648011	0.4527283389438709	0.7870181066218533	1.0	0.8192982978945318	0.7408485091012036	0.6254048260910748	0.7129137793595367	0.7442850741963876	0.5175436169182451	0.5838542104574176	0.6227260294529273
FengQ_2015__SID31137__bin.19	0.4752490351602578	0.7092963514531275	0.6755096744427463	0.6858419166630234	0.7208967529232001	0.7055154385210969	0.4990786466477342	0.423103194986151	0.5824208943034225	0.7307713415853603	0.7490688021352205	0.5729044288523903	0.6101638157888617	0.7073680672539887	0.4440520075519038	0.38832710571022033	0.5326916881618109	0.6885574517998715	0.718041689262536	0.4992491815101761	0.7476803382915569	0.47738196119432696	1.0	0.7084455375212355	0.5979138315245786	0.6616740260211394	0.6923470465067174	0.46475276940865023	0.5332808085957013	0.5391841054066683
BackhedF_2015__SID345_M__bin.45	0.5695634176536679	0.8632213661534706	0.7615554974810723	0.8566406793951521	0.8986702426983525	0.8786016088327474	0.6388698875114215	0.5111323061780016	0.7027039606585647	0.9134530388321179	0.90294774631794	0.7238324326489658	0.7577644206466233	0.8838489139329799	0.5540099688877613	0.4731089920283234	0.694218006947319	0.8682748635620556	0.8904624106548449	0.5844576150590103	0.9250799742861449	0.531141424295778	0.871692440927759	1.0	0.7446301344254728	0.8282585348825232	0.865167073294025	0.5997485841165441	0.6563808702652075	0.6674580480742268
LiuW_2016__SRR3992967__bin.42	0.5944483095953564	0.8752557039701692	0.7851560353985243	0.8748743697713703	0.872311674689612	0.8690158576857077	0.625721407206293	0.5714897748420071	0.7566700014173074	0.9183196919410603	0.9169545524424548	0.7586759301022723	0.7975263136755399	0.8790076446888595	0.552132216784337	0.48442046665887994	0.6937581685617191	0.8496010533318499	0.8864044201527276	0.6015920933631691	0.9282616192668873	0.5425757786304193	0.8902537719076729	0.9010710135687572	1.0	0.8368914522508182	0.8896443758514809	0.6166677207987336	0.6997962678184868	0.7030791582393809
NielsenHB_2014__V1_UC47_0__bin.5	0.4923133995599512	0.7616488673494002	0.6856896413090356	0.7589095268378617	0.7706282025978962	0.7676385020796328	0.5646513599847957	0.4605761569556223	0.6268170288663261	0.8177119653808762	0.8051709392337887	0.6412213182459449	0.6866717104157073	0.8074833885221815	0.4974781254797044	0.398664868460487	0.6108425984810275	0.7688109909870398	0.7830138958940959	0.5074621901566486	0.8256887641352895	0.4896489843058997	0.7799521940308326	0.7934745583064698	0.6625487014173665	1.0	0.7766510968326718	0.5413390057235586	0.5924826209951536	0.5919892107629219
FengQ_2015__SID31009__bin.90	0.5418851969534386	0.8238879579865626	0.7549629454522138	0.8681262906130282	0.8557715557965858	0.837045354642885	0.6354053442291395	0.5087755891916446	0.6915001278542199	0.8900666155249787	0.8905274314898377	0.7006434427780907	0.762403211265386	0.8675870625435033	0.5251235473481645	0.4572329565689644	0.6879870338052738	0.8492946386978801	0.8652018667488642	0.548277135416546	0.9247460104461919	0.540256311015626	0.8625026362690362	0.8759508916190207	0.7443510451985912	0.820802460981287	1.0	0.5983805389654083	0.6461945408179426	0.6721435397309885
ZeeviD_2015__PNP_Main_162__bin.27	0.46769398280802293	0.8513163323782235	0.7806017191977077	0.8747759312320917	0.8515833810888253	0.8473541547277937	0.7213140401146132	0.5507736389684814	0.7199421203438395	0.906451575931232	0.8966836676217765	0.73641776504298	0.8028424068767909	0.8768922636103151	0.5760194842406877	0.39756733524355303	0.7707128939828081	0.8741501432664757	0.8920945558739255	0.4865610315186246	0.9221610315186246	0.5573461318051576	0.8589661891117478	0.9008790830945559	0.76547335243553	0.8487885386819485	0.8877587392550144	1.0	0.674574212034384	0.7291432664756446
