	SchirmerM_2016__G89134__bin.13	NielsenHB_2014__V1_CD15_3__bin.32	CM_madagascar__V30_01_1FE__bin.35	ZeeviD_2015__PNP_DietIntervention_37__bin.2	FengQ_2015__SID31871__bin.44	SchirmerM_2016__G89263__bin.22	FengQ_2015__SID530119__bin.73	SchirmerM_2016__G89024__bin.26	WenC_2017__RA042__bin.75	VogtmannE_2016__MMRS42780924ST-27-0-0__bin.56	HeQ_2017__SZAXPI029555-35__bin.82	SchirmerM_2016__G88746__bin.15	BackhedF_2015__SID565_M__bin.29	LiJ_2014__V1.UC47-4__bin.64	SchirmerM_2016__G88880__bin.14	ZeeviD_2015__PNP_Main_23__bin.48	FengQ_2015__SID31233__bin.63	ZellerG_2014__CCIS02856720ST-4-0__bin.42	ZeeviD_2015__PNP_Main_325__bin.11	ZeeviD_2015__PNP_Main_45__bin.58	ZeeviD_2015__PNP_DietIntervention_36__bin.11	SmitsSA_2017__TZ_21460__bin.6	FengQ_2015__SID31137__bin.19	BackhedF_2015__SID345_M__bin.45	LiuW_2016__SRR3992967__bin.42	NielsenHB_2014__V1_UC47_0__bin.5	FengQ_2015__SID31009__bin.90	ZeeviD_2015__PNP_Main_162__bin.27	VogtmannE_2016__MMRS65742083ST-27-0-0__bin.59	ZeeviD_2015__PNP_Main_404__bin.3
SchirmerM_2016__G89134__bin.13	1658313.0	1520689.0	1299188.0	1442252.0	1561053.0	1510167.0	812983.0	883379.0	1164432.0	1545960.0	1546287.0	1251563.0	1220011.0	1489423.0	920704.0	1187641.0	916181.0	1387181.0	1462030.0	1453531.0	1552044.0	859453.0	1532748.0	1492914.0	1287622.0	1346999.0	1402879.0	816126.0	1079088.0	997978.0
NielsenHB_2014__V1_CD15_3__bin.32	1520689.0	2758346.0	1950726.0	2162084.0	2231308.0	2210234.0	1561975.0	1274163.0	1767811.0	2318132.0	2309495.0	1807691.0	1887379.0	2206136.0	1384201.0	1250356.0	1694473.0	2179108.0	2229436.0	1620273.0	2339237.0	1359751.0	2287585.0	2262637.0	1895873.0	2083917.0	2132952.0	1485547.0	1668603.0	1648075.0
CM_madagascar__V30_01_1FE__bin.35	1299188.0	1950726.0	2431860.0	1933765.0	1971593.0	1947968.0	1444299.0	1244237.0	1659332.0	2016477.0	2074792.0	1624142.0	1762583.0	1993275.0	1281408.0	1047251.0	1537336.0	1961165.0	1999648.0	1339690.0	2099333.0	1372323.0	2178618.0	1996155.0	1700710.0	1876088.0	1954513.0	1362150.0	1535220.0	1571828.0
ZeeviD_2015__PNP_DietIntervention_37__bin.2	1442252.0	2162084.0	1933765.0	2609748.0	2200162.0	2138631.0	1603997.0	1271503.0	1777788.0	2286972.0	2293718.0	1800166.0	1954132.0	2247717.0	1378778.0	1163836.0	1716042.0	2179128.0	2230524.0	1462222.0	2410123.0	1357286.0	2211941.0	2245388.0	1895047.0	2076422.0	2247480.0	1526484.0	1653865.0	1695509.0
FengQ_2015__SID31871__bin.44	1561053.0	2231308.0	1971593.0	2200162.0	2625543.0	2254569.0	1657964.0	1293132.0	1800565.0	2375533.0	2369669.0	1854948.0	1937172.0	2291350.0	1397387.0	1274327.0	1712527.0	2250961.0	2334754.0	1645007.0	2407929.0	1375492.0	2324998.0	2355554.0	1889496.0	2108485.0	2215495.0	1486013.0	1658836.0	1683072.0
SchirmerM_2016__G89263__bin.22	1510167.0	2210234.0	1947968.0	2138631.0	2254569.0	2561026.0	1554556.0	1298972.0	1778841.0	2324227.0	2293113.0	1814710.0	1908877.0	2237322.0	1423141.0	1207804.0	1647747.0	2165374.0	2227347.0	1531947.0	2344811.0	1377805.0	2275391.0	2302951.0	1882357.0	2100305.0	2167015.0	1478633.0	1670347.0	1651439.0
FengQ_2015__SID530119__bin.73	812983.0	1561975.0	1444299.0	1603997.0	1657964.0	1554556.0	1961487.0	955243.0	1295784.0	1676017.0	1698021.0	1309170.0	1491429.0	1607535.0	1012826.0	621867.0	1435899.0	1734620.0	1723355.0	844214.0	1749112.0	1061548.0	1609602.0	1674577.0	1355362.0	1544920.0	1644992.0	1258693.0	1271966.0	1371481.0
SchirmerM_2016__G89024__bin.26	883379.0	1274163.0	1244237.0	1271503.0	1293132.0	1298972.0	955243.0	1653219.0	1162206.0	1350458.0	1353426.0	1162731.0	1213389.0	1296841.0	897370.0	746507.0	1072285.0	1283044.0	1321332.0	894027.0	1371653.0	866995.0	1364570.0	1339757.0	1237892.0	1260164.0	1317162.0	961100.0	1087248.0	1132664.0
WenC_2017__RA042__bin.75	1164432.0	1767811.0	1659332.0	1777788.0	1800565.0	1778841.0	1295784.0	1162206.0	2228110.0	1862275.0	1901020.0	1556776.0	1592465.0	1804993.0	1159510.0	954649.0	1410014.0	1738624.0	1823275.0	1199112.0	1881013.0	1136701.0	1878393.0	1841896.0	1639007.0	1715009.0	1790215.0	1256299.0	1415630.0	1447673.0
VogtmannE_2016__MMRS42780924ST-27-0-0__bin.56	1545960.0	2318132.0	2016477.0	2286972.0	2375533.0	2324227.0	1676017.0	1350458.0	1862275.0	2734928.0	2429501.0	1916712.0	2031018.0	2370544.0	1445953.0	1245221.0	1782213.0	2289385.0	2343556.0	1582600.0	2476381.0	1413332.0	2356845.0	2394302.0	1989153.0	2237309.0	2304281.0	1581758.0	1750685.0	1746691.0
HeQ_2017__SZAXPI029555-35__bin.82	1546287.0	2309495.0	2074792.0	2293718.0	2369669.0	2293113.0	1698021.0	1353426.0	1901020.0	2429501.0	2815267.0	1927641.0	2026383.0	2360510.0	1444450.0	1235289.0	1770019.0	2302698.0	2384925.0	1594055.0	2482061.0	1445510.0	2415857.0	2366766.0	1986196.0	2202996.0	2305474.0	1564713.0	1742410.0	1755075.0
SchirmerM_2016__G88746__bin.15	1251563.0	1807691.0	1624142.0	1800166.0	1854948.0	1814710.0	1309170.0	1162731.0	1556776.0	1916712.0	1927641.0	2100915.0	1655382.0	1845613.0	1188112.0	1018989.0	1441331.0	1823700.0	1877140.0	1283065.0	1926759.0	1132895.0	1847701.0	1897277.0	1643352.0	1754420.0	1813886.0	1285049.0	1451589.0	1452136.0
BackhedF_2015__SID565_M__bin.29	1220011.0	1887379.0	1762583.0	1954132.0	1937172.0	1908877.0	1491429.0	1213389.0	1592465.0	2031018.0	2026383.0	1655382.0	2271188.0	1973196.0	1251613.0	981817.0	1609190.0	1936103.0	1989444.0	1216418.0	2105902.0	1276847.0	1967868.0	1986218.0	1727505.0	1878775.0	1973775.0	1400960.0	1568488.0	1579682.0
LiJ_2014__V1.UC47-4__bin.64	1489423.0	2206136.0	1993275.0	2247717.0	2291350.0	2237322.0	1607535.0	1296841.0	1804993.0	2370544.0	2360510.0	1845613.0	1973196.0	2623200.0	1399499.0	1209772.0	1716591.0	2250307.0	2277519.0	1539135.0	2420276.0	1385504.0	2281366.0	2316705.0	1904000.0	2209323.0	2246084.0	1530177.0	1680029.0	1685849.0
SchirmerM_2016__G88880__bin.14	920704.0	1384201.0	1281408.0	1378778.0	1397387.0	1423141.0	1012826.0	897370.0	1159510.0	1445953.0	1444450.0	1188112.0	1251613.0	1399499.0	1779066.0	720283.0	1109712.0	1369346.0	1410556.0	949639.0	1471924.0	854511.0	1432133.0	1452146.0	1195962.0	1361130.0	1359485.0	1005154.0	1103433.0	1075603.0
ZeeviD_2015__PNP_Main_23__bin.48	1187641.0	1250356.0	1047251.0	1163836.0	1274327.0	1207804.0	621867.0	746507.0	954649.0	1245221.0	1235289.0	1018989.0	981817.0	1209772.0	720283.0	1338464.0	801421.0	1152152.0	1216695.0	1212516.0	1288163.0	701927.0	1252412.0	1240092.0	1049293.0	1090771.0	1183724.0	693755.0	892927.0	852179.0
FengQ_2015__SID31233__bin.63	916181.0	1694473.0	1537336.0	1716042.0	1712527.0	1647747.0	1435899.0	1072285.0	1410014.0	1782213.0	1770019.0	1441331.0	1609190.0	1716591.0	1109712.0	801421.0	2002082.0	1819739.0	1758027.0	951364.0	1849370.0	1163156.0	1718009.0	1819653.0	1502735.0	1671302.0	1781120.0	1344894.0	1359899.0	1558296.0
ZellerG_2014__CCIS02856720ST-4-0__bin.42	1387181.0	2179108.0	1961165.0	2179128.0	2250961.0	2165374.0	1734620.0	1283044.0	1738624.0	2289385.0	2302698.0	1823700.0	1936103.0	2250307.0	1369346.0	1152152.0	1819739.0	2722139.0	2255370.0	1465567.0	2362945.0	1388905.0	2220699.0	2275883.0	1840303.0	2103513.0	2198727.0	1525392.0	1657859.0	1715242.0
ZeeviD_2015__PNP_Main_325__bin.11	1462030.0	2229436.0	1999648.0	2230524.0	2334754.0	2227347.0	1723355.0	1321332.0	1823275.0	2343556.0	2384925.0	1877140.0	1989444.0	2277519.0	1410556.0	1216695.0	1758027.0	2255370.0	2835899.0	1529479.0	2437295.0	1430449.0	2315790.0	2334040.0	1920022.0	2142373.0	2239909.0	1556705.0	1714185.0	1741435.0
ZeeviD_2015__PNP_Main_45__bin.58	1453531.0	1620273.0	1339690.0	1462222.0	1645007.0	1531947.0	844214.0	894027.0	1199112.0	1582600.0	1594055.0	1283065.0	1216418.0	1539135.0	949639.0	1212516.0	951364.0	1465567.0	1529479.0	1800607.0	1598770.0	850768.0	1610152.0	1531954.0	1303096.0	1388447.0	1419427.0	849049.0	1094214.0	1042379.0
ZeeviD_2015__PNP_DietIntervention_36__bin.11	1552044.0	2339237.0	2099333.0	2410123.0	2407929.0	2344811.0	1749112.0	1371653.0	1881013.0	2476381.0	2482061.0	1926759.0	2105902.0	2420276.0	1471924.0	1288163.0	1849370.0	2362945.0	2437295.0	1598770.0	2845901.0	1478966.0	2411379.0	2424778.0	2010688.0	2259134.0	2394062.0	1609171.0	1776740.0	1800006.0
SmitsSA_2017__TZ_21460__bin.6	859453.0	1359751.0	1372323.0	1357286.0	1375492.0	1377805.0	1061548.0	866995.0	1136701.0	1413332.0	1445510.0	1132895.0	1276847.0	1385504.0	854511.0	701927.0	1163156.0	1388905.0	1430449.0	850768.0	1478966.0	1879202.0	1539627.0	1392204.0	1175262.0	1339709.0	1398662.0	972569.0	1097180.0	1170228.0
FengQ_2015__SID31137__bin.19	1532748.0	2287585.0	2178618.0	2211941.0	2324998.0	2275391.0	1609602.0	1364570.0	1878393.0	2356845.0	2415857.0	1847701.0	1967868.0	2281366.0	1432133.0	1252412.0	1718009.0	2220699.0	2315790.0	1610152.0	2411379.0	1539627.0	3225147.0	2284841.0	1928360.0	2133996.0	2232921.0	1498896.0	1719909.0	1738948.0
BackhedF_2015__SID345_M__bin.45	1492914.0	2262637.0	1996155.0	2245388.0	2355554.0	2302951.0	1674577.0	1339757.0	1841896.0	2394302.0	2366766.0	1897277.0	1986218.0	2316705.0	1452146.0	1240092.0	1819653.0	2275883.0	2334040.0	1531954.0	2424778.0	1392204.0	2284841.0	2621155.0	1951791.0	2170994.0	2267737.0	1572034.0	1720476.0	1749511.0
LiuW_2016__SRR3992967__bin.42	1287622.0	1895873.0	1700710.0	1895047.0	1889496.0	1882357.0	1355362.0	1237892.0	1639007.0	1989153.0	1986196.0	1643352.0	1727505.0	1904000.0	1195962.0	1049293.0	1502735.0	1840303.0	1920022.0	1303096.0	2010688.0	1175262.0	1928360.0	1951791.0	2166079.0	1812773.0	1927040.0	1335751.0	1515814.0	1522925.0
NielsenHB_2014__V1_UC47_0__bin.5	1346999.0	2083917.0	1876088.0	2076422.0	2108485.0	2100305.0	1544920.0	1260164.0	1715009.0	2237309.0	2202996.0	1754420.0	1878775.0	2209323.0	1361130.0	1090771.0	1671302.0	2103513.0	2142373.0	1388447.0	2259134.0	1339709.0	2133996.0	2170994.0	1812773.0	2736060.0	2124964.0	1481136.0	1621068.0	1619718.0
FengQ_2015__SID31009__bin.90	1402879.0	2132952.0	1954513.0	2247480.0	2215495.0	2167015.0	1644992.0	1317162.0	1790215.0	2304281.0	2305474.0	1813886.0	1973775.0	2246084.0	1359485.0	1183724.0	1781120.0	2198727.0	2239909.0	1419427.0	2394062.0	1398662.0	2232921.0	2267737.0	1927040.0	2124964.0	2588886.0	1549139.0	1672924.0	1740103.0
ZeeviD_2015__PNP_Main_162__bin.27	816126.0	1485547.0	1362150.0	1526484.0	1486013.0	1478633.0	1258693.0	961100.0	1256299.0	1581758.0	1564713.0	1285049.0	1400960.0	1530177.0	1005154.0	693755.0	1344894.0	1525392.0	1556705.0	849049.0	1609171.0	972569.0	1498896.0	1572034.0	1335751.0	1481136.0	1549139.0	1745000.0	1177132.0	1272355.0
VogtmannE_2016__MMRS65742083ST-27-0-0__bin.59	1079088.0	1668603.0	1535220.0	1653865.0	1658836.0	1670347.0	1271966.0	1087248.0	1415630.0	1750685.0	1742410.0	1451589.0	1568488.0	1680029.0	1103433.0	892927.0	1359899.0	1657859.0	1714185.0	1094214.0	1776740.0	1097180.0	1719909.0	1720476.0	1515814.0	1621068.0	1672924.0	1177132.0	1989511.0	1342330.0
ZeeviD_2015__PNP_Main_404__bin.3	997978.0	1648075.0	1571828.0	1695509.0	1683072.0	1651439.0	1371481.0	1132664.0	1447673.0	1746691.0	1755075.0	1452136.0	1579682.0	1685849.0	1075603.0	852179.0	1558296.0	1715242.0	1741435.0	1042379.0	1800006.0	1170228.0	1738948.0	1749511.0	1522925.0	1619718.0	1740103.0	1272355.0	1342330.0	1970512.0
