	FengQ_2015__SID31749__bin.26	CM_cf__CF_FIFC001SS_t6M17__bin.13	ZellerG_2014__CCIS76845094ST-20-0__bin.95	HeQ_2017__SZAXPI029570-85__bin.62	LiSS_2016__FAT_023-22-42-0__bin.80	XieH_2016__YSZC12003_35999__bin.80	YuJ_2015__SZAXPI015221-142__bin.17	XieH_2016__YSZC12003_37223__bin.31	FengQ_2015__SID31871__bin.16	LiSS_2016__FAT_023-22-14-0__bin.38	FengQ_2015__SID530163__bin.12	FengQ_2015__SID530705__bin.35	XieH_2016__YSZC12003_37284__bin.33	FengQ_2015__SID31766__bin.42	XieH_2016__YSZC12003_36588__bin.61	LoombaR_2017__SID5639_uuc__bin.12	KarlssonFH_2013__S536__bin.20	ZellerG_2014__CCIS78100604ST-4-0__bin.36	ZeeviD_2015__PNP_Main_461__bin.10	FengQ_2015__SID530295__bin.20	FengQ_2015__SID530373__bin.21	FengQ_2015__SID530215__bin.26	FengQ_2015__SID31549__bin.37	FengQ_2015__SID530398__bin.32	FengQ_2015__SID31884__bin.20	XieH_2016__YSZC12003_36116__bin.66	XieH_2016__YSZC12003_36695__bin.14	XieH_2016__YSZC12003_37269__bin.15	NielsenHB_2014__V1_UC5_3__bin.38	QinN_2014__LD-35__bin.71	YuJ_2015__SZAXPI003415-12__bin.22	YuJ_2015__SZAXPI015223-158__bin.39	LiSS_2016__FAT_015-22-42-0__bin.16	FengQ_2015__SID31723__bin.18	YuJ_2015__SZAXPI017592-142__bin.63	XieH_2016__YSZC12003_37393__bin.23
FengQ_2015__SID31749__bin.26	2133070.0	1424967.0	1659361.0	1471105.0	1664201.0	1836260.0	1747709.0	1950201.0	1021527.0	1078854.0	1775959.0	1448050.0	1758269.0	1566921.0	1286757.0	1647974.0	1280840.0	1584004.0	1918924.0	1616781.0	1609157.0	1789806.0	1730885.0	1378435.0	1635334.0	1970091.0	1582135.0	1176649.0	1560773.0	1682098.0	1676478.0	1572931.0	1619049.0	1781399.0	1678763.0	1859231.0
CM_cf__CF_FIFC001SS_t6M17__bin.13	1424967.0	1661057.0	1372828.0	1137812.0	1273174.0	1438566.0	1422169.0	1521201.0	792764.0	779464.0	1353627.0	1214530.0	1335335.0	1285175.0	1006638.0	1373907.0	1005456.0	1249465.0	1511203.0	1310127.0	1274488.0	1433487.0	1350589.0	1147124.0	1279227.0	1484247.0	1236811.0	889227.0	1291238.0	1273205.0	1234700.0	1223514.0	1280912.0	1384452.0	1302018.0	1442692.0
ZellerG_2014__CCIS76845094ST-20-0__bin.95	1659361.0	1372828.0	1943040.0	1306674.0	1487656.0	1655779.0	1622452.0	1768238.0	927114.0	947055.0	1577420.0	1367722.0	1510587.0	1442714.0	1176587.0	1556896.0	1168969.0	1435436.0	1766605.0	1506688.0	1473318.0	1670091.0	1546195.0	1280663.0	1484998.0	1715852.0	1435893.0	1041392.0	1485019.0	1476436.0	1476031.0	1391008.0	1473368.0	1583872.0	1490187.0	1679697.0
HeQ_2017__SZAXPI029570-85__bin.62	1471105.0	1137812.0	1306674.0	1630825.0	1336072.0	1474364.0	1366662.0	1539975.0	855010.0	890369.0	1418988.0	1174624.0	1375023.0	1212421.0	1051906.0	1321601.0	1065690.0	1283935.0	1517398.0	1303733.0	1331454.0	1439793.0	1400482.0	1115639.0	1321399.0	1487649.0	1275827.0	966398.0	1281165.0	1356109.0	1347104.0	1271894.0	1269365.0	1439933.0	1339614.0	1449368.0
LiSS_2016__FAT_023-22-42-0__bin.80	1664201.0	1273174.0	1487656.0	1336072.0	1888329.0	1653005.0	1552430.0	1769518.0	968681.0	1058266.0	1631001.0	1305182.0	1606181.0	1413963.0	1204798.0	1485714.0	1202999.0	1483334.0	1722798.0	1469642.0	1475943.0	1602215.0	1603846.0	1252316.0	1489607.0	1687299.0	1426782.0	1103592.0	1383184.0	1565896.0	1552770.0	1483626.0	1488277.0	1656745.0	1551073.0	1643393.0
XieH_2016__YSZC12003_35999__bin.80	1836260.0	1438566.0	1655779.0	1474364.0	1653005.0	2066448.0	1749863.0	1950294.0	1016643.0	1069222.0	1763019.0	1461823.0	1739526.0	1544429.0	1303173.0	1643238.0	1287285.0	1600246.0	1920922.0	1600681.0	1640206.0	1785596.0	1746046.0	1385435.0	1643405.0	1888256.0	1619541.0	1170352.0	1558537.0	1694610.0	1662348.0	1578774.0	1605993.0	1787730.0	1702239.0	1840740.0
YuJ_2015__SZAXPI015221-142__bin.17	1747709.0	1422169.0	1622452.0	1366662.0	1552430.0	1749863.0	2021988.0	1882780.0	947744.0	959160.0	1647467.0	1479234.0	1605345.0	1568184.0	1221864.0	1614450.0	1206949.0	1501197.0	1842642.0	1539946.0	1534025.0	1714798.0	1608424.0	1386172.0	1560213.0	1805548.0	1495588.0	1081115.0	1553443.0	1540848.0	1539744.0	1511075.0	1532385.0	1677756.0	1560463.0	1764790.0
XieH_2016__YSZC12003_37223__bin.31	1950201.0	1521201.0	1768238.0	1539975.0	1769518.0	1950294.0	1882780.0	2377635.0	1052685.0	1148077.0	1864037.0	1514564.0	1837598.0	1609365.0	1354550.0	1769309.0	1347576.0	1701656.0	2114174.0	1708675.0	1695395.0	1910318.0	1830457.0	1436215.0	1736785.0	2044858.0	1673194.0	1206236.0	1640975.0	1784334.0	1764883.0	1694943.0	1682303.0	1935942.0	1780089.0	1996403.0
FengQ_2015__SID31871__bin.16	1021527.0	792764.0	927114.0	855010.0	968681.0	1016643.0	947744.0	1052685.0	1094559.0	693904.0	1001292.0	795202.0	1027349.0	886040.0	771687.0	889734.0	790317.0	898939.0	1038138.0	930379.0	919503.0	1003883.0	1006537.0	764965.0	920776.0	1024080.0	874112.0	768944.0	838561.0	1020705.0	1009855.0	973934.0	905731.0	1010839.0	1022720.0	990182.0
LiSS_2016__FAT_023-22-14-0__bin.38	1078854.0	779464.0	947055.0	890369.0	1058266.0	1069222.0	959160.0	1148077.0	693904.0	1272128.0	1061571.0	780852.0	1061058.0	858971.0	815407.0	933263.0	819630.0	964556.0	1115566.0	952022.0	961978.0	1030826.0	1043410.0	763917.0	966152.0	1100256.0	929937.0	788214.0	862134.0	1063355.0	1063387.0	1003087.0	938560.0	1076636.0	1035670.0	1056947.0
FengQ_2015__SID530163__bin.12	1775959.0	1353627.0	1577420.0	1418988.0	1631001.0	1763019.0	1647467.0	1864037.0	1001292.0	1061571.0	1964130.0	1405065.0	1670198.0	1470189.0	1271248.0	1566592.0	1259227.0	1543091.0	1836731.0	1545874.0	1566873.0	1729535.0	1685310.0	1322467.0	1579453.0	1791613.0	1505105.0	1149531.0	1477950.0	1619310.0	1616400.0	1528018.0	1542026.0	1752628.0	1626399.0	1747139.0
FengQ_2015__SID530705__bin.35	1448050.0	1214530.0	1367722.0	1174624.0	1305182.0	1461823.0	1479234.0	1514564.0	795202.0	780852.0	1405065.0	1698574.0	1338237.0	1360961.0	1031114.0	1394834.0	1037308.0	1289646.0	1507131.0	1308616.0	1312353.0	1450263.0	1352267.0	1220193.0	1306651.0	1488347.0	1242021.0	940647.0	1327147.0	1322388.0	1287373.0	1259250.0	1307277.0	1414634.0	1323256.0	1489509.0
XieH_2016__YSZC12003_37284__bin.33	1758269.0	1335335.0	1510587.0	1375023.0	1606181.0	1739526.0	1605345.0	1837598.0	1027349.0	1061058.0	1670198.0	1338237.0	2071448.0	1485851.0	1228846.0	1558018.0	1266287.0	1508789.0	1792475.0	1537950.0	1538637.0	1721722.0	1729141.0	1279860.0	1509221.0	1795309.0	1492479.0	1142427.0	1408584.0	1731787.0	1667055.0	1567808.0	1572248.0	1703839.0	1721082.0	1720909.0
FengQ_2015__SID31766__bin.42	1566921.0	1285175.0	1442714.0	1212421.0	1413963.0	1544429.0	1568184.0	1609365.0	886040.0	858971.0	1470189.0	1360961.0	1485851.0	1729425.0	1060369.0	1466488.0	1111556.0	1352322.0	1610219.0	1388826.0	1348739.0	1536874.0	1492854.0	1277886.0	1360631.0	1560549.0	1314320.0	1006079.0	1359633.0	1440422.0	1422193.0	1369437.0	1392864.0	1516469.0	1473740.0	1542154.0
XieH_2016__YSZC12003_36588__bin.61	1286757.0	1006638.0	1176587.0	1051906.0	1204798.0	1303173.0	1221864.0	1354550.0	771687.0	815407.0	1271248.0	1031114.0	1228846.0	1060369.0	1476053.0	1174826.0	956256.0	1136176.0	1342799.0	1155203.0	1166607.0	1264606.0	1233156.0	954985.0	1158005.0	1320641.0	1122361.0	886084.0	1101667.0	1224974.0	1184182.0	1136389.0	1146372.0	1257323.0	1203758.0	1310779.0
LoombaR_2017__SID5639_uuc__bin.12	1647974.0	1373907.0	1556896.0	1321601.0	1485714.0	1643238.0	1614450.0	1769309.0	889734.0	933263.0	1566592.0	1394834.0	1558018.0	1466488.0	1174826.0	1945898.0	1160606.0	1445968.0	1766662.0	1499519.0	1455505.0	1644572.0	1544361.0	1271548.0	1466640.0	1718487.0	1438242.0	1060814.0	1458298.0	1529560.0	1479256.0	1397085.0	1451345.0	1597828.0	1507113.0	1666062.0
KarlssonFH_2013__S536__bin.20	1280840.0	1005456.0	1168969.0	1065690.0	1202999.0	1287285.0	1206949.0	1347576.0	790317.0	819630.0	1259227.0	1037308.0	1266287.0	1111556.0	956256.0	1160606.0	1451620.0	1106424.0	1338813.0	1184108.0	1157566.0	1283479.0	1256727.0	969210.0	1157394.0	1298646.0	1107252.0	915935.0	1075849.0	1229648.0	1194186.0	1153442.0	1166936.0	1262437.0	1233276.0	1275052.0
ZellerG_2014__CCIS78100604ST-4-0__bin.36	1584004.0	1249465.0	1435436.0	1283935.0	1483334.0	1600246.0	1501197.0	1701656.0	898939.0	964556.0	1543091.0	1289646.0	1508789.0	1352322.0	1136176.0	1445968.0	1106424.0	1776887.0	1656162.0	1390163.0	1415816.0	1553102.0	1511135.0	1228730.0	1439288.0	1605777.0	1358503.0	1022142.0	1349290.0	1460157.0	1459429.0	1440367.0	1395991.0	1606431.0	1469176.0	1562161.0
ZeeviD_2015__PNP_Main_461__bin.10	1918924.0	1511203.0	1766605.0	1517398.0	1722798.0	1920922.0	1842642.0	2114174.0	1038138.0	1115566.0	1836731.0	1507131.0	1792475.0	1610219.0	1342799.0	1766662.0	1338813.0	1656162.0	2293648.0	1702069.0	1675049.0	1901074.0	1817091.0	1431703.0	1706178.0	2000461.0	1662128.0	1193269.0	1647001.0	1755460.0	1730501.0	1627837.0	1663835.0	1872826.0	1764629.0	1925508.0
FengQ_2015__SID530295__bin.20	1616781.0	1310127.0	1506688.0	1303733.0	1469642.0	1600681.0	1539946.0	1708675.0	930379.0	952022.0	1545874.0	1308616.0	1537950.0	1388826.0	1155203.0	1499519.0	1184108.0	1390163.0	1702069.0	1906552.0	1455911.0	1647468.0	1541309.0	1235808.0	1469712.0	1653668.0	1424128.0	1030680.0	1421814.0	1474960.0	1444925.0	1366128.0	1457085.0	1566298.0	1468001.0	1619066.0
FengQ_2015__SID530373__bin.21	1609157.0	1274488.0	1473318.0	1331454.0	1475943.0	1640206.0	1534025.0	1695395.0	919503.0	961978.0	1566873.0	1312353.0	1538637.0	1348739.0	1166607.0	1455505.0	1157566.0	1415816.0	1675049.0	1455911.0	1863732.0	1590495.0	1542242.0	1263261.0	1448923.0	1640088.0	1393782.0	1050786.0	1404747.0	1491142.0	1486479.0	1387532.0	1445265.0	1574587.0	1490150.0	1621890.0
FengQ_2015__SID530215__bin.26	1789806.0	1433487.0	1670091.0	1439793.0	1602215.0	1785596.0	1714798.0	1910318.0	1003883.0	1030826.0	1729535.0	1450263.0	1721722.0	1536874.0	1264606.0	1644572.0	1283479.0	1553102.0	1901074.0	1647468.0	1590495.0	2126868.0	1721522.0	1369573.0	1609989.0	1844653.0	1547347.0	1131380.0	1529976.0	1638243.0	1611358.0	1528731.0	1598211.0	1747139.0	1644798.0	1776674.0
FengQ_2015__SID31549__bin.37	1730885.0	1350589.0	1546195.0	1400482.0	1603846.0	1746046.0	1608424.0	1830457.0	1006537.0	1043410.0	1685310.0	1352267.0	1729141.0	1492854.0	1233156.0	1544361.0	1256727.0	1511135.0	1817091.0	1541309.0	1542242.0	1721522.0	1952018.0	1301544.0	1523287.0	1753817.0	1477849.0	1144579.0	1429587.0	1666418.0	1625561.0	1531798.0	1558572.0	1699263.0	1674362.0	1695319.0
FengQ_2015__SID530398__bin.32	1378435.0	1147124.0	1280663.0	1115639.0	1252316.0	1385435.0	1386172.0	1436215.0	764965.0	763917.0	1322467.0	1220193.0	1279860.0	1277886.0	954985.0	1271548.0	969210.0	1228730.0	1431703.0	1235808.0	1263261.0	1369573.0	1301544.0	1532036.0	1255515.0	1401087.0	1186621.0	878242.0	1253018.0	1233634.0	1223404.0	1204857.0	1228791.0	1356236.0	1249590.0	1390404.0
FengQ_2015__SID31884__bin.20	1635334.0	1279227.0	1484998.0	1321399.0	1489607.0	1643405.0	1560213.0	1736785.0	920776.0	966152.0	1579453.0	1306651.0	1509221.0	1360631.0	1158005.0	1466640.0	1157394.0	1439288.0	1706178.0	1469712.0	1448923.0	1609989.0	1523287.0	1255515.0	1831673.0	1686850.0	1413445.0	1036959.0	1427540.0	1473266.0	1468964.0	1413585.0	1413860.0	1633439.0	1463465.0	1622198.0
