	FengQ_2015__SID31749__bin.26	CM_cf__CF_FIFC001SS_t6M17__bin.13	ZellerG_2014__CCIS76845094ST-20-0__bin.95	HeQ_2017__SZAXPI029570-85__bin.62	LiSS_2016__FAT_023-22-42-0__bin.80	XieH_2016__YSZC12003_35999__bin.80	YuJ_2015__SZAXPI015221-142__bin.17	XieH_2016__YSZC12003_37223__bin.31	FengQ_2015__SID31871__bin.16	LiSS_2016__FAT_023-22-14-0__bin.38	FengQ_2015__SID530163__bin.12	FengQ_2015__SID530705__bin.35	XieH_2016__YSZC12003_37284__bin.33	FengQ_2015__SID31766__bin.42	XieH_2016__YSZC12003_36588__bin.61	LoombaR_2017__SID5639_uuc__bin.12	KarlssonFH_2013__S536__bin.20	ZellerG_2014__CCIS78100604ST-4-0__bin.36	ZeeviD_2015__PNP_Main_461__bin.10	FengQ_2015__SID530295__bin.20	FengQ_2015__SID530373__bin.21	FengQ_2015__SID530215__bin.26	FengQ_2015__SID31549__bin.37	FengQ_2015__SID530398__bin.32	FengQ_2015__SID31884__bin.20	XieH_2016__YSZC12003_36116__bin.66	XieH_2016__YSZC12003_36695__bin.14	XieH_2016__YSZC12003_37269__bin.15	NielsenHB_2014__V1_UC5_3__bin.38	QinN_2014__LD-35__bin.71	YuJ_2015__SZAXPI003415-12__bin.22	YuJ_2015__SZAXPI015223-158__bin.39	LiSS_2016__FAT_015-22-42-0__bin.16	FengQ_2015__SID31723__bin.18	YuJ_2015__SZAXPI017592-142__bin.63	XieH_2016__YSZC12003_37393__bin.23
FengQ_2015__SID31749__bin.26	0.0	23430.0	27505.0	26049.0	27598.0	29794.0	29417.0	33303.0	17406.0	18903.0	28745.0	23757.0	35310.0	28023.0	22619.0	27174.0	24027.0	26947.0	31346.0	26985.0	26861.0	32440.0	29924.0	22576.0	28404.0	10172.0	26930.0	20731.0	26402.0	28134.0	27330.0	25704.0	31755.0	29767.0	27468.0	32095.0
CM_cf__CF_FIFC001SS_t6M17__bin.13	23430.0	0.0	23977.0	21604.0	22205.0	26027.0	25054.0	25894.0	14756.0	14321.0	23277.0	21910.0	27490.0	24022.0	19100.0	23688.0	20259.0	22128.0	26711.0	23381.0	22580.0	27176.0	23796.0	19996.0	22549.0	25331.0	22579.0	16364.0	23172.0	21267.0	21427.0	21658.0	25670.0	24057.0	22142.0	26179.0
ZellerG_2014__CCIS76845094ST-20-0__bin.95	27505.0	23977.0	0.0	23044.0	24782.0	28453.0	26659.0	29186.0	9107.0	16519.0	26423.0	23200.0	31485.0	26657.0	21258.0	26079.0	21390.0	24561.0	30294.0	24919.0	24851.0	29862.0	26207.0	21059.0	25105.0	29914.0	25427.0	18660.0	24827.0	25136.0	24716.0	23455.0	29268.0	27016.0	25458.0	28903.0
HeQ_2017__SZAXPI029570-85__bin.62	26049.0	21604.0	23044.0	0.0	23391.0	26923.0	18381.0	26767.0	15257.0	16238.0	25425.0	20170.0	28866.0	22257.0	19985.0	22388.0	21030.0	22391.0	26334.0	22361.0	19048.0	27094.0	24768.0	19198.0	23220.0	26786.0	23817.0	18753.0	11630.0	24675.0	24060.0	22394.0	25200.0	25085.0	24233.0	26106.0
LiSS_2016__FAT_023-22-42-0__bin.80	27598.0	22205.0	24782.0	23391.0	0.0	26952.0	25064.0	17596.0	17475.0	3029.0	27381.0	22399.0	32670.0	24551.0	21344.0	24954.0	23129.0	14548.0	29372.0	23530.0	25118.0	29711.0	26879.0	20659.0	14422.0	28575.0	24333.0	20258.0	22625.0	26311.0	25602.0	11818.0	29120.0	16581.0	26147.0	28291.0
XieH_2016__YSZC12003_35999__bin.80	29794.0	26027.0	28453.0	26923.0	26952.0	0.0	29784.0	32287.0	18730.0	18389.0	29112.0	24802.0	35591.0	27271.0	23489.0	28146.0	25181.0	26647.0	32948.0	27282.0	28534.0	32814.0	29654.0	22268.0	28485.0	31015.0	4655.0	21380.0	26909.0	28802.0	28105.0	27014.0	31975.0	30799.0	29612.0	31386.0
YuJ_2015__SZAXPI015221-142__bin.17	29417.0	25054.0	26659.0	18381.0	25064.0	29784.0	0.0	30990.0	16538.0	17173.0	26775.0	24678.0	31941.0	28036.0	21485.0	26201.0	21812.0	24530.0	30441.0	23303.0	18400.0	31378.0	26637.0	21554.0	26934.0	30528.0	26718.0	19603.0	18241.0	26342.0	26312.0	25242.0	29509.0	27809.0	26215.0	30121.0
XieH_2016__YSZC12003_37223__bin.31	33303.0	25894.0	29186.0	26767.0	17596.0	32287.0	30990.0	0.0	18490.0	12876.0	31010.0	26041.0	37669.0	29479.0	23952.0	30450.0	25762.0	20143.0	34939.0	28210.0	28744.0	35014.0	30816.0	23805.0	20468.0	35074.0	29308.0	21945.0	26986.0	31136.0	30265.0	17879.0	32649.0	23202.0	30685.0	36186.0
FengQ_2015__SID31871__bin.16	17406.0	14756.0	9107.0	15257.0	17475.0	18730.0	16538.0	18490.0	0.0	12536.0	17993.0	13712.0	22985.0	16722.0	14344.0	15610.0	15652.0	16174.0	18309.0	16368.0	16440.0	19579.0	18271.0	13620.0	17610.0	17676.0	16438.0	14189.0	14896.0	17707.0	18170.0	17531.0	18201.0	18484.0	18468.0	18240.0
LiSS_2016__FAT_023-22-14-0__bin.38	18903.0	14321.0	16519.0	16238.0	3029.0	18389.0	17173.0	12876.0	12536.0	0.0	18857.0	14005.0	22553.0	15974.0	15332.0	16937.0	16351.0	10643.0	19632.0	16476.0	17245.0	20303.0	19277.0	13875.0	10684.0	19062.0	16733.0	15272.0	14765.0	19365.0	18323.0	9096.0	19594.0	11670.0	18728.0	19708.0
