	CM_periimplantitis__SP_287SPI_T016__bin.4	HMP_2012__SRS013252__bin.46	HMP_2012__SRS022536__bin.17	HMP_2012__SRS051930__bin.9	CM_periimplantitis__SP_105SPI_T016__bin.1	HMP_2012__SRS049318__bin.30	HMP_2012__SRS016043__bin.21	CM_periimplantitis__SP_163SPI_T016__bin.9	CM_periimplantitis__SP_304SPI_T016__bin.11	HMP_2012__SRS047634__bin.61	CM_periimplantitis__SP_189SPI_T016__bin.33	CM_periimplantitis__SP_344SPT_T016__bin.52	HMP_2012__SRS021960__bin.22	HMP_2012__SRS063603__bin.34	HMP_2012__SRS022149__bin.6	HMP_2012__SRS017691__bin.9	HMP_2012__SRS014476__bin.22	CM_periimplantitis__SP_143SPI_T016__bin.12	HMP_2012__SRS055378__bin.11	HMP_2012__SRS051941__bin.4	HMP_2012__SRS012285__bin.4	HMP_2012__SRS011126__bin.25	HMP_2012__SRS021477__bin.23	CM_periimplantitis__SP_305SPI_T016__bin.12	HMP_2012__SRS020226__bin.63	HMP_2012__SRS024561__bin.27	HMP_2012__SRS024355__bin.23	HMP_2012__SRS017139__bin.25	HMP_2012__SRS019128__bin.27	HMP_2012__SRS058053__bin.33	HMP_2012__SRS065099__bin.13	HMP_2012__SRS019029__bin.3	HMP_2012__SRS019980__bin.47	HMP_2012__SRS011343__bin.38	HMP_2012__SRS023595__bin.38
CM_periimplantitis__SP_287SPI_T016__bin.4	843164.0	582041.0	540603.0	691430.0	628852.0	686519.0	677424.0	543683.0	668388.0	691218.0	749299.0	613667.0	669298.0	701326.0	553150.0	647910.0	664696.0	675546.0	646215.0	661863.0	723226.0	595561.0	638223.0	692131.0	611522.0	702303.0	650168.0	682323.0	601555.0	696808.0	598481.0	622659.0	719535.0	641174.0	703313.0
HMP_2012__SRS013252__bin.46	582041.0	673305.0	461096.0	571411.0	501496.0	555774.0	561186.0	474022.0	537049.0	536711.0	587033.0	528198.0	546284.0	573085.0	463429.0	537183.0	552654.0	553298.0	534258.0	537903.0	572362.0	498973.0	523549.0	564943.0	512424.0	648845.0	543392.0	549452.0	510649.0	574282.0	496197.0	505960.0	579011.0	538902.0	582305.0
HMP_2012__SRS022536__bin.17	540603.0	461096.0	593516.0	525842.0	484345.0	507327.0	522785.0	423821.0	497586.0	516556.0	546686.0	477995.0	521607.0	531472.0	443251.0	483104.0	508945.0	511282.0	508518.0	507584.0	526450.0	495161.0	524483.0	523871.0	466195.0	529874.0	506322.0	505606.0	474535.0	526870.0	500408.0	485028.0	530001.0	505651.0	532120.0
HMP_2012__SRS051930__bin.9	691430.0	571411.0	525842.0	796880.0	587981.0	628883.0	641885.0	552867.0	646662.0	628838.0	690021.0	616155.0	639997.0	667009.0	557450.0	622886.0	656680.0	646900.0	715702.0	646510.0	686619.0	588009.0	625502.0	675279.0	603391.0	688395.0	650877.0	647022.0	653009.0	668210.0	568756.0	616051.0	698020.0	620614.0	660815.0
CM_periimplantitis__SP_105SPI_T016__bin.1	628852.0	501496.0	484345.0	587981.0	701765.0	587915.0	590573.0	466158.0	581097.0	579176.0	671311.0	571944.0	601787.0	586192.0	516747.0	548167.0	583466.0	569655.0	558435.0	593301.0	613629.0	493875.0	526931.0	604214.0	529384.0	608273.0	554032.0	573381.0	529679.0	602891.0	508423.0	578314.0	615678.0	577868.0	604647.0
HMP_2012__SRS049318__bin.30	686519.0	555774.0	507327.0	628883.0	587915.0	831118.0	617561.0	508965.0	624726.0	637657.0	700501.0	580470.0	636653.0	674667.0	536438.0	595673.0	627410.0	642521.0	598372.0	624334.0	660760.0	557266.0	590073.0	650099.0	578635.0	663319.0	609005.0	629679.0	558439.0	662982.0	565774.0	608476.0	654696.0	613921.0	672281.0
HMP_2012__SRS016043__bin.21	677424.0	561186.0	522785.0	641885.0	590573.0	617561.0	759238.0	513212.0	622765.0	619554.0	672704.0	607866.0	628960.0	649870.0	532701.0	604946.0	628268.0	638307.0	610735.0	614925.0	657903.0	550643.0	584245.0	648029.0	577748.0	668790.0	596861.0	624203.0	574755.0	669038.0	568466.0	601340.0	668335.0	609415.0	657943.0
CM_periimplantitis__SP_163SPI_T016__bin.9	543683.0	474022.0	423821.0	552867.0	466158.0	508965.0	513212.0	659387.0	541105.0	495283.0	556762.0	468083.0	506816.0	543380.0	434432.0	539819.0	540634.0	551760.0	540027.0	539888.0	569463.0	508935.0	546856.0	560585.0	532308.0	548492.0	534061.0	521398.0	504139.0	524546.0	451097.0	499190.0	554504.0	508697.0	544312.0
CM_periimplantitis__SP_304SPI_T016__bin.11	668388.0	537049.0	497586.0	646662.0	581097.0	624726.0	622765.0	541105.0	781600.0	615874.0	684553.0	581835.0	632523.0	632448.0	543064.0	593868.0	709349.0	618924.0	599120.0	607295.0	685113.0	542961.0	583556.0	697615.0	600194.0	661289.0	608529.0	641813.0	562182.0	648732.0	551110.0	622307.0	687778.0	614856.0	650887.0
HMP_2012__SRS047634__bin.61	691218.0	536711.0	516556.0	628838.0	579176.0	637657.0	619554.0	495283.0	615874.0	783832.0	707327.0	564875.0	633019.0	660284.0	515278.0	592011.0	620624.0	643049.0	593062.0	617462.0	655716.0	561107.0	628334.0	636842.0	560184.0	643623.0	611745.0	642092.0	552836.0	658854.0	572218.0	573634.0	674976.0	604393.0	672715.0
