	CM_periimplantitis__SP_287SPI_T016__bin.4	HMP_2012__SRS013252__bin.46	HMP_2012__SRS022536__bin.17	HMP_2012__SRS051930__bin.9	CM_periimplantitis__SP_105SPI_T016__bin.1	HMP_2012__SRS049318__bin.30	HMP_2012__SRS016043__bin.21	CM_periimplantitis__SP_163SPI_T016__bin.9	CM_periimplantitis__SP_304SPI_T016__bin.11	HMP_2012__SRS047634__bin.61	CM_periimplantitis__SP_189SPI_T016__bin.33	CM_periimplantitis__SP_344SPT_T016__bin.52	HMP_2012__SRS021960__bin.22	HMP_2012__SRS063603__bin.34	HMP_2012__SRS022149__bin.6	HMP_2012__SRS017691__bin.9	HMP_2012__SRS014476__bin.22	CM_periimplantitis__SP_143SPI_T016__bin.12	HMP_2012__SRS055378__bin.11	HMP_2012__SRS051941__bin.4	HMP_2012__SRS012285__bin.4	HMP_2012__SRS011126__bin.25	HMP_2012__SRS021477__bin.23	CM_periimplantitis__SP_305SPI_T016__bin.12	HMP_2012__SRS020226__bin.63	HMP_2012__SRS024561__bin.27	HMP_2012__SRS024355__bin.23	HMP_2012__SRS017139__bin.25	HMP_2012__SRS019128__bin.27	HMP_2012__SRS058053__bin.33	HMP_2012__SRS065099__bin.13	HMP_2012__SRS019029__bin.3	HMP_2012__SRS019980__bin.47	HMP_2012__SRS011343__bin.38	HMP_2012__SRS023595__bin.38
CM_periimplantitis__SP_287SPI_T016__bin.4	0.0	29630.0	27290.0	36847.0	34156.0	35307.0	36586.0	30176.0	37530.0	36557.0	40468.0	34173.0	37443.0	37276.0	29076.0	34973.0	36407.0	36836.0	33879.0	34405.0	40867.0	31789.0	35034.0	38329.0	33490.0	37602.0	35533.0	37438.0	30331.0	37256.0	30655.0	34163.0	40747.0	33616.0	37001.0
HMP_2012__SRS013252__bin.46	29630.0	0.0	21000.0	28075.0	25412.0	27486.0	24917.0	24520.0	27202.0	26025.0	29801.0	25528.0	27993.0	28451.0	22839.0	24860.0	28145.0	26440.0	25965.0	27240.0	29948.0	23313.0	25126.0	29296.0	25915.0	840.0	26730.0	27107.0	24332.0	27506.0	22509.0	25951.0	29458.0	25486.0	28879.0
HMP_2012__SRS022536__bin.17	27290.0	21000.0	0.0	24105.0	24100.0	22861.0	25039.0	21021.0	24650.0	20783.0	27285.0	22561.0	24965.0	24849.0	20481.0	22173.0	25568.0	24224.0	23308.0	25694.0	25922.0	1661.0	1898.0	26104.0	22708.0	24944.0	24455.0	24722.0	21325.0	24181.0	3265.0	23699.0	25868.0	23585.0	23653.0
HMP_2012__SRS051930__bin.9	36847.0	28075.0	24105.0	0.0	30838.0	32153.0	32859.0	30287.0	35153.0	30820.0	36574.0	33289.0	34042.0	35715.0	28497.0	33168.0	34811.0	33710.0	10530.0	34659.0	37083.0	29051.0	31563.0	36520.0	32733.0	35274.0	34147.0	34085.0	6416.0	32601.0	26526.0	32552.0	37087.0	32031.0	34417.0
CM_periimplantitis__SP_105SPI_T016__bin.1	34156.0	25412.0	24100.0	30838.0	0.0	29969.0	32131.0	25928.0	31112.0	30688.0	27093.0	30517.0	31611.0	30706.0	27106.0	29060.0	31533.0	29858.0	29210.0	29845.0	34308.0	26436.0	28624.0	33425.0	29066.0	32303.0	30062.0	31204.0	26559.0	31023.0	25493.0	31231.0	32483.0	29440.0	32217.0
HMP_2012__SRS049318__bin.30	35307.0	27486.0	22861.0	32153.0	29969.0	0.0	31899.0	27340.0	33421.0	30507.0	37065.0	29857.0	33165.0	20658.0	26673.0	28843.0	33320.0	31091.0	30568.0	33378.0	35898.0	27661.0	30100.0	34241.0	31139.0	33391.0	32730.0	33663.0	27481.0	33502.0	26376.0	31708.0	34387.0	31114.0	34600.0
HMP_2012__SRS016043__bin.21	36586.0	24917.0	25039.0	32859.0	32131.0	31899.0	0.0	28161.0	33438.0	30290.0	37165.0	25469.0	34667.0	34050.0	26137.0	29859.0	33571.0	31696.0	31140.0	33442.0	36501.0	27373.0	29899.0	35499.0	30932.0	30932.0	32303.0	33618.0	28134.0	29791.0	27569.0	32250.0	35870.0	32178.0	34597.0
CM_periimplantitis__SP_163SPI_T016__bin.9	30176.0	24520.0	21021.0	30287.0	25928.0	27340.0	28161.0	0.0	28113.0	26364.0	30447.0	26126.0	28796.0	30008.0	23699.0	29826.0	27074.0	30483.0	28965.0	30158.0	29904.0	26990.0	30013.0	28276.0	28519.0	29730.0	28700.0	28202.0	26287.0	28484.0	22586.0	26857.0	30319.0	26078.0	29933.0
CM_periimplantitis__SP_304SPI_T016__bin.11	37530.0	27202.0	24650.0	35153.0	31112.0	33421.0	33438.0	28113.0	0.0	32876.0	37698.0	31413.0	34507.0	34344.0	27992.0	32100.0	18199.0	33270.0	31495.0	33923.0	36513.0	29087.0	32315.0	35329.0	30713.0	34614.0	32583.0	34622.0	28684.0	34641.0	27538.0	31902.0	37322.0	32422.0	34522.0
HMP_2012__SRS047634__bin.61	36557.0	26025.0	20783.0	30820.0	30688.0	30507.0	30290.0	26364.0	32876.0	0.0	37731.0	28924.0	32696.0	32551.0	24845.0	28706.0	32868.0	31041.0	29478.0	32428.0	35530.0	22718.0	26013.0	33522.0	29198.0	32433.0	32032.0	33686.0	25813.0	31518.0	23252.0	29844.0	34468.0	31036.0	33406.0
