	CM_periimplantitis__SP_287SPI_T016__bin.4	HMP_2012__SRS013252__bin.46	HMP_2012__SRS022536__bin.17	HMP_2012__SRS051930__bin.9	CM_periimplantitis__SP_105SPI_T016__bin.1	HMP_2012__SRS049318__bin.30	HMP_2012__SRS016043__bin.21	CM_periimplantitis__SP_163SPI_T016__bin.9	CM_periimplantitis__SP_304SPI_T016__bin.11	HMP_2012__SRS047634__bin.61	CM_periimplantitis__SP_189SPI_T016__bin.33	CM_periimplantitis__SP_344SPT_T016__bin.52	HMP_2012__SRS021960__bin.22	HMP_2012__SRS063603__bin.34	HMP_2012__SRS022149__bin.6	HMP_2012__SRS017691__bin.9	HMP_2012__SRS014476__bin.22	CM_periimplantitis__SP_143SPI_T016__bin.12	HMP_2012__SRS055378__bin.11	HMP_2012__SRS051941__bin.4	HMP_2012__SRS012285__bin.4	HMP_2012__SRS011126__bin.25	HMP_2012__SRS021477__bin.23	CM_periimplantitis__SP_305SPI_T016__bin.12	HMP_2012__SRS020226__bin.63	HMP_2012__SRS024561__bin.27	HMP_2012__SRS024355__bin.23	HMP_2012__SRS017139__bin.25	HMP_2012__SRS019128__bin.27	HMP_2012__SRS058053__bin.33	HMP_2012__SRS065099__bin.13	HMP_2012__SRS019029__bin.3	HMP_2012__SRS019980__bin.47	HMP_2012__SRS011343__bin.38	HMP_2012__SRS023595__bin.38
CM_periimplantitis__SP_287SPI_T016__bin.4	1.0	0.6903058005322807	0.6411599641350911	0.8200421270357843	0.7458240626971739	0.8142176373754098	0.8034308865179254	0.644812871517285	0.79271411018497	0.8197906931510358	0.8886752755098652	0.7278145176976246	0.7937933782751635	0.8317788710144172	0.6560408176819693	0.7684270201289429	0.7883353653618987	0.8012035618218994	0.766416735059846	0.7849754021756147	0.857752465712483	0.7063406407294429	0.7569381520083874	0.8208735192679004	0.7252705286278825	0.8329376017002623	0.7711050282032914	0.809241144071616	0.7134495780180369	0.8264204828479395	0.709803786689185	0.7384791096394059	0.8533749068983021	0.7604380642437296	0.8341354706794882
HMP_2012__SRS013252__bin.46	0.8644537022597486	1.0	0.6848248564914861	0.8486659092090508	0.7448273813502053	0.8254416646245015	0.8334796266179517	0.7040226940242535	0.7976310884368897	0.7971290871150519	0.8718678756284299	0.7844854857753916	0.8113470121267479	0.8511521524420582	0.688289853780976	0.7978301067124112	0.8208078062690757	0.8217642821603879	0.7934858645041994	0.7988994586405863	0.850078344880849	0.7410801939685581	0.7775807397836048	0.8390595643876104	0.7610577672822866	0.9636717386622704	0.8070517818819108	0.8160521606107187	0.7584215177371325	0.8529299500226495	0.7369572482010381	0.7514573633048915	0.8599535128953446	0.8003831844409295	0.8648457979667461
HMP_2012__SRS022536__bin.17	0.9108482332405529	0.776888912851549	1.0	0.8859778000930051	0.8160605611306182	0.8547823479063749	0.880827138611259	0.7140852142149495	0.8383699849709191	0.8703320550751791	0.9210973250931735	0.8053616077746851	0.8788423563981426	0.8954636437770843	0.7468223266095606	0.8139696318212146	0.8575084749189575	0.8614460267288497	0.8567890334885664	0.855215360664245	0.8870022038159039	0.8342841642011336	0.883688055587381	0.8826569123663052	0.7854800881526361	0.8927712142553865	0.8530890489894123	0.8518826788157354	0.7995319418516097	0.8877098511244853	0.8431247009347684	0.8172113304443351	0.8929851933225053	0.8519584981702263	0.8965554424817528
HMP_2012__SRS051930__bin.9	0.8676714185322759	0.7170602851119365	0.6598760164642105	1.0	0.7378538801325168	0.7891815580764984	0.80549769099488	0.6937895291637386	0.8114923200481879	0.7891250878425861	0.8659032727637788	0.773209266137938	0.8031284509587391	0.8370256500351371	0.6995407087641803	0.7816559582371247	0.8240638490111435	0.8117909848408794	0.8981302078104608	0.8113015761469732	0.8616341230800121	0.7378890171669511	0.7849387611685573	0.8474036241341231	0.7571917980122478	0.8638628149784158	0.8167816986246361	0.811944081919486	0.8194571328179902	0.8385327778335508	0.7137285413111133	0.7730787571528963	0.8759411705652043	0.7788048388715992	0.8292528360606365
CM_periimplantitis__SP_105SPI_T016__bin.1	0.8961005464792345	0.7146209913575057	0.6901811860095616	0.837860252363683	1.0	0.8377662037861677	0.841553796498828	0.6642651029903173	0.8280507007331515	0.8253133171360784	0.9566037063689412	0.8150078730059208	0.8575335048057399	0.8353109659216404	0.7363533376557679	0.7811261604668229	0.8314264746745705	0.8117460973402777	0.7957578391626826	0.8454411377027923	0.8744080995774939	0.703761230611387	0.7508653181620628	0.8609919274970966	0.7543607902930468	0.8667759150142854	0.7894836590596567	0.8170555670345486	0.7547811589349711	0.8591066810114497	0.724491817061267	0.8240849857145911	0.8773278804158087	0.8234494453271394	0.8616089431647347
HMP_2012__SRS049318__bin.30	0.8260186880803929	0.6687064893312382	0.6104151275751458	0.756671134544072	0.7073784949910843	1.0	0.7430485201860626	0.6123859668542855	0.7516694380340698	0.7672279989123085	0.8428418106694837	0.6984206815398054	0.7660199875348627	0.8117583784733335	0.6454414415281584	0.7167129095988777	0.754898823031146	0.7730803568205719	0.7199603425747005	0.7511977841894893	0.7950254957779762	0.6705016616172432	0.709974997533443	0.7821981956834048	0.6962128121397925	0.7981044809521632	0.7327539531089449	0.7576288806162302	0.6719130135552353	0.797699003029654	0.6807384751623716	0.7321174610584779	0.7877292995699768	0.73866887734353	0.8088875466540251
HMP_2012__SRS016043__bin.21	0.8922419583845909	0.7391437204144156	0.6885653773915426	0.845433184324283	0.7778496334482732	0.8133957994726292	1.0	0.6759566828846817	0.8202500401718565	0.8160207998019067	0.8860251989494731	0.8006264175396911	0.8284095369304487	0.8559503080720406	0.7016258406454893	0.7967804561942369	0.827498096775978	0.8407205645660517	0.8044052062726049	0.8099238973813218	0.8665306531021894	0.725257429159236	0.7695149610530558	0.8535255084703347	0.7609576970594201	0.8808700302145045	0.786131621441498	0.8221440444234878	0.7570155866803295	0.8811966735068582	0.7487322815770548	0.7920309573546108	0.8802707451418396	0.8026666210068516	0.8665833375041818
CM_periimplantitis__SP_163SPI_T016__bin.9	0.8245279327617924	0.7188828411843121	0.6427500087202205	0.8384560205160247	0.7069566127327351	0.7718759999818012	0.7783168306320871	1.0	0.8206182408813034	0.751126424997763	0.8443630220189358	0.7098759908824408	0.7686169123746752	0.8240684150582284	0.6588422277054294	0.8186679446212922	0.8199039410846741	0.8367771885099342	0.8189833891174682	0.8187725872666582	0.8636248515666823	0.7718305031794682	0.8293399778885541	0.8501608311962474	0.8072770618771677	0.8318210701757844	0.8099355916934972	0.7907313914287057	0.7645570810464871	0.7955055225535232	0.6841157014014532	0.7570516252216073	0.840938629363333	0.7714695618809592	0.8254818490507092
CM_periimplantitis__SP_304SPI_T016__bin.11	0.8551535312180143	0.6871148925281474	0.6366248720573183	0.82735670419652	0.7434710849539407	0.7992911975435005	0.796782241555783	0.6923042476970317	1.0	0.7879657113613101	0.8758354657113613	0.7444153019447287	0.8092668884339815	0.8091709314227227	0.6948106448311157	0.7598106448311157	0.907560133060389	0.7918679631525076	0.7665301944728762	0.7769895087001023	0.8765519447287615	0.6946788638689867	0.7466171954964176	0.892547338792221	0.7679042988741044	0.8460708802456499	0.7785683213920164	0.8211527635619242	0.7192707267144319	0.8300051177072671	0.7051049129989765	0.796196264073695	0.8799616171954964	0.7866632548618219	0.8327622824974411
HMP_2012__SRS047634__bin.61	0.8818445789403851	0.6847270843752232	0.6590136661937762	0.8022611988283204	0.7389032343665479	0.8135123342757121	0.7904168240133089	0.6318739219628696	0.7857219404158033	1.0	0.9023961767317487	0.7206582532991763	0.8075952500025516	0.8423794894824401	0.6573832147705121	0.755277916696435	0.7917819124506271	0.8203913593729268	0.7566187652456139	0.7877478847508139	0.836551710060319	0.7158511007460783	0.8016182039008359	0.812472570652895	0.714673552495943	0.8211236591514508	0.7804542299880587	0.8191704344808581	0.7052990947039671	0.8405551189540615	0.7300263321732208	0.7318328417313914	0.8611233019320467	0.7710746690617377	0.8582387552434705
