	CM_periimplantitis__SP_287SPI_T016__bin.4	HMP_2012__SRS013252__bin.46	HMP_2012__SRS022536__bin.17	HMP_2012__SRS051930__bin.9	CM_periimplantitis__SP_105SPI_T016__bin.1	HMP_2012__SRS049318__bin.30	HMP_2012__SRS016043__bin.21	CM_periimplantitis__SP_163SPI_T016__bin.9	CM_periimplantitis__SP_304SPI_T016__bin.11	HMP_2012__SRS047634__bin.61	CM_periimplantitis__SP_189SPI_T016__bin.33	CM_periimplantitis__SP_344SPT_T016__bin.52	HMP_2012__SRS021960__bin.22	HMP_2012__SRS063603__bin.34	HMP_2012__SRS022149__bin.6	HMP_2012__SRS017691__bin.9	HMP_2012__SRS014476__bin.22	CM_periimplantitis__SP_143SPI_T016__bin.12	HMP_2012__SRS055378__bin.11	HMP_2012__SRS051941__bin.4	HMP_2012__SRS012285__bin.4	HMP_2012__SRS011126__bin.25	HMP_2012__SRS021477__bin.23	CM_periimplantitis__SP_305SPI_T016__bin.12	HMP_2012__SRS020226__bin.63	HMP_2012__SRS024561__bin.27	HMP_2012__SRS024355__bin.23	HMP_2012__SRS017139__bin.25	HMP_2012__SRS019128__bin.27	HMP_2012__SRS058053__bin.33	HMP_2012__SRS065099__bin.13	HMP_2012__SRS019029__bin.3	HMP_2012__SRS019980__bin.47	HMP_2012__SRS011343__bin.38	HMP_2012__SRS023595__bin.38
CM_periimplantitis__SP_287SPI_T016__bin.4	1.0	0.9490929333156942	0.9495193330410671	0.9467089944029041	0.945685153263407	0.9485709790989033	0.9459924655754741	0.9444970690641421	0.9438499793533097	0.9471121990457424	0.9459921873644567	0.9443134468693933	0.9440563097454348	0.9468492541271819	0.9474355961312483	0.946021824018768	0.945227592764211	0.9454722550351864	0.9475731761101182	0.9480179432903788	0.9434934584763269	0.9466234357185914	0.9451069610465308	0.9446217551301704	0.9452350038101655	0.9464590070097949	0.9453479716011861	0.9451315579278435	0.9495790077382783	0.9465333348641233	0.9487786579690918	0.9451336927596004	0.9433703711424739	0.94757117412746	0.9473904221875609
HMP_2012__SRS013252__bin.46	0.9490929333156942	1.0	0.9544563388101394	0.9508672391676044	0.9493276117855377	0.9505446458452537	0.9555993912891626	0.9482724430511664	0.9493491282918318	0.9515102168578621	0.9492345404772815	0.9516696390368763	0.948757422878942	0.9503546594309744	0.9507173698667973	0.9537215436825067	0.9490730185613422	0.9522138160629534	0.9513998854486034	0.9493588992810972	0.947676470485462	0.9532780330799462	0.9520083124979706	0.9481434410197135	0.9494266466832154	0.9987053918886637	0.9508089924032742	0.9506653902433697	0.9523508319804798	0.9521036703222459	0.9546369687845755	0.9487093841410388	0.9491235917797762	0.9527075423731959	0.95040571521797
HMP_2012__SRS022536__bin.17	0.9495193330410671	0.9544563388101394	1.0	0.9541592341425752	0.9502420795094406	0.9549383336585674	0.9521045936666125	0.9504012307082471	0.9504608248624359	0.9597662208937656	0.9500901797375458	0.9528007615142418	0.9521382956900502	0.9532449498750639	0.9537936744643554	0.9541030502748891	0.9497627445008793	0.9526210584374181	0.9541648476553436	0.9493798070861178	0.9507607560072182	0.9966455354924963	0.9963811982466543	0.950170939028883	0.9512907688842651	0.9529246575600991	0.9517006963947844	0.9511042194910662	0.9550612705069172	0.9541044280372768	0.9934753241355054	0.9511389033210453	0.9511925449197266	0.9533571574069862	0.9555495001127565
HMP_2012__SRS051930__bin.9	0.9467089944029041	0.9508672391676044	0.9541592341425752	1.0	0.947552727043901	0.9488728428022383	0.948808587207989	0.9452182893896723	0.9456392984279268	0.9509889669517427	0.946995816069366	0.9459730100380586	0.9468091256677765	0.9464549953598826	0.9488797201542739	0.9467510908898258	0.9469894012304318	0.9478899366208069	0.9852871725941803	0.946390620408037	0.945991881960738	0.9505942936247574	0.9495397296891137	0.9459186499209956	0.9457515939084276	0.948759070010677	0.947536938622812	0.9473201838577359	0.9901747142841829	0.951211445503659	0.9533613711327881	0.9471602188779825	0.9468682845763732	0.9483882090961532	0.9479173444912722
CM_periimplantitis__SP_105SPI_T016__bin.1	0.945685153263407	0.9493276117855377	0.9502420795094406	0.947552727043901	1.0	0.9490249440820526	0.9455935168048658	0.9443793735171336	0.9464598853547687	0.9470143790488557	0.9596416564006847	0.9466433776733386	0.9474714475387471	0.9476178453475994	0.9475449301108666	0.9469869583539323	0.9459557197848718	0.9475858194872335	0.9476931066283453	0.949696696954834	0.9440899957466157	0.9464722854973424	0.9456778971060728	0.944680196089465	0.9450946760763453	0.9468939111221442	0.9457395962688075	0.9455789431460059	0.949858310410645	0.9485429372805366	0.9498586806655088	0.9459964655878986	0.9472402781973694	0.9490541092429413	0.9467176716332009
HMP_2012__SRS049318__bin.30	0.9485709790989033	0.9505446458452537	0.9549383336585674	0.9488728428022383	0.9490249440820526	1.0	0.948346802987883	0.9462831432416767	0.9465029468919174	0.9521576647006149	0.947087869967352	0.9485640946129861	0.9479072587422034	0.9693804499108449	0.9502775716858239	0.9515791382184521	0.9468927814347875	0.9516109201100041	0.9489147219455456	0.9465382311391018	0.9456716508263212	0.9503630223268601	0.948989362333135	0.9473295605746201	0.9461854191329595	0.9496607213120686	0.9462565988784986	0.9465394272319706	0.9507896117570586	0.9494677080222389	0.9533806785041377	0.947889481261381	0.9474763859867786	0.9493192120810332	0.9485334257550042
HMP_2012__SRS016043__bin.21	0.9459924655754741	0.9555993912891626	0.9521045936666125	0.948808587207989	0.9455935168048658	0.948346802987883	1.0	0.9451279393311146	0.9463071945276308	0.9511099920265224	0.9447528184758824	0.9581009630411966	0.9448820274739252	0.9476049055965039	0.9509349522527647	0.9506418754731827	0.9465657967618915	0.9503436434192324	0.9490122557246596	0.9456161320486238	0.9445191768391389	0.9502890257389996	0.9488245513440423	0.9452200441646902	0.9464610868406295	0.9537493084525785	0.9458785211297103	0.9461425209427061	0.9510504475820132	0.9554718864997205	0.9515028163513737	0.9463697741710181	0.946329310899474	0.9471985428648786	0.9474164175316099
CM_periimplantitis__SP_163SPI_T016__bin.9	0.9444970690641421	0.9482724430511664	0.9504012307082471	0.9452182893896723	0.9443793735171336	0.9462831432416767	0.9451279393311146	1.0	0.948045203795936	0.9467698265436124	0.9453141557793097	0.9441851124693698	0.9431825356736961	0.9447752953734035	0.9454483095167944	0.9447481470641085	0.9499217585279505	0.9447531535450195	0.946363792921465	0.9441402661292713	0.9474873696798563	0.9469676874257027	0.9451171789282736	0.9495598348154161	0.9464238748994943	0.9457968393340286	0.946260820393176	0.9459108013456131	0.9478576345015958	0.9456978034338266	0.9499309461158021	0.9461988421242413	0.945322306060912	0.9487356913840655	0.9450076426755243
CM_periimplantitis__SP_304SPI_T016__bin.11	0.9438499793533097	0.9493491282918318	0.9504608248624359	0.9456392984279268	0.9464598853547687	0.9465029468919174	0.9463071945276308	0.948045203795936	1.0	0.9466189512789954	0.9449304874859945	0.9460104668849416	0.9454454620622491	0.9456967213114754	0.948455430667472	0.9459475843116653	0.9743440816861658	0.9462454194699188	0.9474312324742956	0.9441408211824567	0.946705142071454	0.9464289332014638	0.9446239949550685	0.9493574536097991	0.948828212211385	0.9476567733623272	0.9464561261665426	0.9460559384119673	0.948977377432931	0.9466019866447162	0.9500317540962784	0.948735913303241	0.9457353971775776	0.9472689540315131	0.946961607775236
HMP_2012__SRS047634__bin.61	0.9471121990457424	0.9515102168578621	0.9597662208937656	0.9509889669517427	0.9470143790488557	0.9521576647006149	0.9511099920265224	0.9467698265436124	0.9466189512789954	1.0	0.9466569210563148	0.9487957512724055	0.9483491016857314	0.9507015163172211	0.9517833092039637	0.9515110361125046	0.9470403980509938	0.9517284063889377	0.9502952473771713	0.9474817883529675	0.9458149564750593	0.9595121786040809	0.9586000439256829	0.9473621400598579	0.9478778401382403	0.9496086995026591	0.9476383133495165	0.9475371130616796	0.9533080334855183	0.952162391060842	0.9593651370631473	0.9479737951376662	0.9489344806333855	0.9486493059979185	0.9503415265008213
