	HMP_2012__SRS022143__bin.6	HMP_2012__SRS015057__bin.68	HMP_2012__SRS051791__bin.48	HMP_2012__SRS015893__bin.63	HMP_2012__SRS016342__bin.32	HMP_2012__SRS018591__bin.18	Castro-NallarE_2015__ES_116__bin.6	HMP_2012__SRS064423__bin.23	HMP_2012__SRS047824__bin.33	HMP_2012__SRS023352__bin.16	HMP_2012__SRS019027__bin.31	Castro-NallarE_2015__ES_114__bin.10	HMP_2012__SRS020334__bin.42	HMP_2012__SRS015209__bin.39	HMP_2012__SRS048411__bin.61	HMP_2012__SRS053854__bin.49	HMP_2012__SRS014470__bin.76	HMP_2012__SRS019219__bin.12	HMP_2012__SRS045715__bin.22	HMP_2012__SRS018791__bin.9	HMP_2012__SRS053603__bin.33	HMP_2012__SRS013234__bin.31	HMP_2012__SRS024580__bin.33	HMP_2012__SRS065278__bin.62	HMP_2012__SRS015038__bin.5	HMP_2012__SRS019122__bin.29	HMP_2012__SRS064774__bin.72	HMP_2012__SRS017120__bin.38	CM_cf__CF_TNFC017SA_t1M16__bin.13	HMP_2012__SRS015941__bin.23	HMP_2012__SRS044373__bin.19	HMP_2012__SRS057791__bin.78	HMP_2012__SRS024637__bin.6	HMP_2012__SRS017076__bin.33	Castro-NallarE_2015__ES_080__bin.8	HMP_2012__SRS024318__bin.42	HMP_2012__SRS056323__bin.31	HMP_2012__SRS015272__bin.10	HMP_2012__SRS047210__bin.52	HMP_2012__SRS016319__bin.59	HMP_2012__SRS047219__bin.38	HMP_2012__SRS019026__bin.7	HMP_2012__SRS020220__bin.48	QinN_2014__LD-57__bin.28	HMP_2012__SRS048791__bin.19	HMP_2012__SRS019894__bin.4	HMP_2012__SRS018739__bin.9	HMP_2012__SRS014684__bin.47	HMP_2012__SRS042643__bin.19
HMP_2012__SRS022143__bin.6	1.0	0.6069745415921438	0.8324990334874849	0.7770740555935323	0.679366663411515	0.8405388123333686	0.7683065496774055	0.6717549593128329	0.6629011695804734	0.653643384305442	0.683441399911442	0.4389157401746812	0.6602537948157472	0.8262732213828687	0.7302279631802208	0.7469302358558083	0.625267379500303	0.7825427104890352	0.6978882537627101	0.8317452206123341	0.8271340529448198	0.6956642716776383	0.6761306858693864	0.6497392088376032	0.6780503335638695	0.6202876662301197	0.7073326528728497	0.7947080597110763	0.7162165416108721	0.7001068849134419	0.651747815815489	0.6733869942865398	0.6847691004945601	0.7697780566209118	0.7809735489938237	0.7785796747434561	0.79794805045396	0.8160449103919158	0.7146533999167929	0.7981808160977508	0.8163980720583572	0.7423973256030169	0.5521843182842765	0.7816925807957642	0.8827603597433158	0.7719746151674909	0.7957762399787033	0.7414007140821877	0.6711971244078856
HMP_2012__SRS015057__bin.68	0.5671183154942359	1.0	0.8951177305443222	0.8689368472824516	0.7152943779188907	0.8925479505817314	0.8089357348777011	0.7059770507150325	0.7421652021045698	0.7270971173093304	0.7747567864501602	0.4789527396716656	0.7317398447757911	0.8983874505745446	0.8332342793148337	0.8353709713605773	0.7650888642659973	0.8531819462958484	0.7439850462804122	0.9032595334024524	0.8822550819086116	0.7640102066260576	0.7300956105633455	0.7247866901396568	0.7384855171775917	0.704679661803958	0.7296156516598267	0.8581627698128348	0.7770322166164522	0.755845905694325	0.7223556482976146	0.7317698422072609	0.7367912872460296	0.8103606128725228	0.8856179189656886	0.8804096149267219	0.8943646700251291	0.8671413760196784	0.7896261382619113	0.8904693785594608	0.8710016704819651	0.8301257954787621	0.6006654430214413	0.9161015588040273	0.8408861241256218	0.8485842149765926	0.8491022956159379	0.8198916717756042	0.6969959447222331
HMP_2012__SRS051791__bin.48	0.44434658463102705	0.5113462444025635	1.0	0.7262945907244367	0.539518446416159	0.9366129024772417	0.6942977638100447	0.5612716476161337	0.5586369298183294	0.5359290896764403	0.6316089736060541	0.3569139386210715	0.5896116433106193	0.7779064989348671	0.6462648591122143	0.6731379096263235	0.5422759749080616	0.7180223622565608	0.5943891221141718	0.7476208105577212	0.7230761651218343	0.635391471582712	0.6078383211492511	0.5528469768041301	0.568171180971197	0.521798719698514	0.6069711491260984	0.7053528683258725	0.6468649892772698	0.5976478896017542	0.557221393765715	0.5696170626895042	0.6278146943709504	0.6919318729094961	0.7343975974800959	0.7046938318685897	0.7496475440181731	0.7378280857347167	0.6514518258987048	0.7643983936075606	0.7271574786536092	0.6569036924963023	0.4469495287318118	0.7516871297605655	0.6797793263190814	0.7043718108044137	0.7070086706492081	0.6881925728804713	0.5517284712674743
HMP_2012__SRS015893__bin.63	0.4504277364763354	0.5390731891713757	0.7887464500683331	1.0	0.5703075476635877	0.7697131945992576	0.7084033303932307	0.5776472070640005	0.602266916090762	0.5745157069331498	0.6588789485417414	0.37272838297583627	0.6100028108673949	0.8069589322580958	0.6722206821684388	0.7345242364617964	0.5742636981322271	0.7378837076310203	0.628700313072472	0.7914836533522016	0.768010390516715	0.6513845945081467	0.634354615153483	0.586889726764304	0.5908206763528512	0.552264105223367	0.633892082077328	0.7203105523839063	0.6753052698917332	0.6371697473127138	0.5883095055781179	0.616601564393095	0.6544800379951731	0.7063562435180428	0.7549605993932403	0.7648335288016981	0.7928018532339515	0.7566347132430625	0.6577181572341065	0.7778348566942261	0.7913917670663269	0.687321437225577	0.4709272954609338	0.7657116825464519	0.7016626765273187	0.7418809549195025	0.7771319459925755	0.7154184799992247	0.5829486968237197
HMP_2012__SRS016342__bin.32	0.5689002453831725	0.6410818815809152	0.8464476010868329	0.8239071879178053	1.0	0.8402847363377135	0.7956928840000201	0.6625737731821565	0.679853094958975	0.6676886764711649	0.729433266251104	0.4508928396394923	0.6907774350541147	0.8678946840740664	0.766903909607583	0.8042619713213669	0.6620887199355204	0.8233274764740773	0.7109491528651468	0.8740284232240806	0.8604508530719945	0.7149219966046273	0.7109575544802733	0.6684806687237554	0.7014116393735531	0.6353497396339471	0.7134147468509346	0.8106018300958175	0.744226830165831	0.7245239224788573	0.680687095287198	0.6961970369183772	0.7147158769801907	0.7707255242747867	0.8179325193475194	0.8350779753899891	0.8313252539668227	0.8240701792512592	0.7376080377691807	0.8412638045537874	0.8277377643078105	0.7688715678702074	0.5573261803849172	0.8340288937145276	0.8380700705903702	0.8131463992637944	0.8145253843598893	0.7702191869364966	0.6730365845530144
HMP_2012__SRS018591__bin.18	0.4693325873774859	0.5333978948657895	0.9798169893436125	0.7414624344876601	0.5602960020526234	1.0	0.7090958932964438	0.5824737474458918	0.5848654870555123	0.5557702211985663	0.6443187407588059	0.36400118167772094	0.6046496254597021	0.7977131324207326	0.6727212088368877	0.6890488278645881	0.5587311380669411	0.7469420727687897	0.6068150386790307	0.7710372433893834	0.742808441600882	0.6488034392647902	0.6253002279323365	0.5750490467214606	0.5801219697566692	0.5483148954510263	0.6285438660506306	0.736866066690096	0.6663104951580717	0.6159144053012662	0.5774206186329363	0.5800315885909091	0.6462111431013962	0.7146382755273574	0.7590916169974853	0.7261263939520808	0.7702783403777111	0.7598662059966036	0.6661547557112867	0.7891605345037569	0.7539417579286131	0.6742726276904736	0.4653808389687733	0.7717576783842238	0.7211221904809212	0.7221350570988617	0.7286660300147635	0.7052729940703233	0.5731260193557616
Castro-NallarE_2015__ES_116__bin.6	0.4529350089528745	0.5104017772471202	0.7668475117081359	0.7204755255895273	0.5601636714001302	0.7486578574535194	1.0	0.5625370407684055	0.5753261854918876	0.5471529228246841	0.6280753942044678	0.3637678490664839	0.5783087682966116	0.7621311350651818	0.658789214911179	0.6899079949701445	0.5420895508263419	0.7358844852461913	0.5955911085594685	0.7801417712614503	0.7533580672674156	0.6722400166873221	0.6329696059670583	0.563202246637201	0.5746507274875919	0.5208814312927509	0.5976387754691633	0.6940892890025737	0.6492160862315003	0.6134349503974084	0.5531981339536138	0.6000685315826892	0.6177574084494157	0.6803301345356197	0.6984499954062547	0.7149389781065646	0.7530516861411238	0.74778129986826	0.6579761417034397	0.7557795428099604	0.7453720480257343	0.6604133897621386	0.44826042947772865	0.714895998000045	0.6828773958944929	0.7048627061615729	0.7203485568344875	0.6700669582742028	0.563671084679879
HMP_2012__SRS064423__bin.23	0.5262879885552886	0.5919703611319994	0.8238489130406302	0.7807509805822445	0.6198904263207401	0.8172708241083055	0.7475880427919017	1.0	0.6281930823427073	0.6202205622266881	0.698248969635357	0.4054346658422003	0.6388931538721535	0.8147240614052784	0.7108570170910835	0.7402459250486688	0.6077927794561141	0.783787706891718	0.6525948420194886	0.7978719334697546	0.7998988631272255	0.712655995765876	0.6977542898016827	0.7293954582731795	0.7348516091505289	0.6008976552490299	0.6822352820958913	0.7582844461446152	0.7084313042202374	0.6829699654929374	0.6482884025352341	0.6444567299252478	0.6576249603705907	0.7327293068980063	0.7817073266589983	0.7773631573569215	0.8049530866397143	0.7922009322409155	0.7060632341266203	0.7984457411158069	0.7912587348458449	0.7335598869153516	0.5168985041699309	0.7812493285926516	0.7509632894112839	0.7592617532312708	0.7582676773366941	0.7346372828242864	0.5985374455341258
HMP_2012__SRS047824__bin.33	0.5534817354785745	0.6632112720104097	0.8738684150271133	0.8675226037763245	0.6778563969105845	0.874555882566471	0.8148305345046157	0.6694761061749217	1.0	0.7174759721438824	0.7429960404997125	0.46163026420868636	0.7096262209389991	0.8819761759827547	0.8455699949179898	0.8205921938088829	0.6753784980705115	0.8627968927137377	0.7316905223301295	0.8874496685524089	0.8829529271820533	0.738913119963365	0.7289339506207313	0.6970144585983704	0.7073521609712783	0.7337294695163155	0.714744531254363	0.8431585531349302	0.7566264387394381	0.7363302301424639	0.7045062352356434	0.7371238055879774	0.7300709806045916	0.8020277779329062	0.8565711509357041	0.8644488252737863	0.8851923624646074	0.8753399641466969	0.7731161658187341	0.8895249158117534	0.8912366038768478	0.79676315039958	0.5776855073354071	0.8700049703177094	0.8549432322702066	0.8317363162685759	0.8769762597521543	0.7968564136644645	0.6968971814389349
HMP_2012__SRS023352__bin.16	0.5852623181835331	0.6967852015904206	0.8990397946515251	0.8874601960656314	0.7139237261692939	0.8912140581776761	0.8310306890804415	0.7088319368143796	0.7694183609852271	1.0	0.7853022044657064	0.49547326630920735	0.7410733482377869	0.9169125622025373	0.8544270479300158	0.8452430218470223	0.7289751082050154	0.8754721523679935	0.785632194577981	0.9161609513297524	0.9113344716295343	0.7684978622509877	0.7730638234415154	0.7247241647986192	0.7537674869306547	0.7233970176320126	0.7406020193478413	0.8652897714444164	0.8085099119806773	0.7658771059328149	0.736614588916764	0.7629431285098881	0.7582382241141922	0.8316541368243213	0.8798296987507689	0.8938941049152956	0.9017222369616474	0.8991787378566932	0.7851470911461437	0.9126388608573635	0.9022121315384907	0.8411178459970283	0.6221313767894178	0.8944319109421967	0.8539413456050526	0.8518571975275296	0.878842722879574	0.8298400895465001	0.711065808173334
