	HMP_2012__SRS022143__bin.6	HMP_2012__SRS015057__bin.68	HMP_2012__SRS051791__bin.48	HMP_2012__SRS015893__bin.63	HMP_2012__SRS016342__bin.32	HMP_2012__SRS018591__bin.18	Castro-NallarE_2015__ES_116__bin.6	HMP_2012__SRS064423__bin.23	HMP_2012__SRS047824__bin.33	HMP_2012__SRS023352__bin.16	HMP_2012__SRS019027__bin.31	Castro-NallarE_2015__ES_114__bin.10	HMP_2012__SRS020334__bin.42	HMP_2012__SRS015209__bin.39	HMP_2012__SRS048411__bin.61	HMP_2012__SRS053854__bin.49	HMP_2012__SRS014470__bin.76	HMP_2012__SRS019219__bin.12	HMP_2012__SRS045715__bin.22	HMP_2012__SRS018791__bin.9	HMP_2012__SRS053603__bin.33	HMP_2012__SRS013234__bin.31	HMP_2012__SRS024580__bin.33	HMP_2012__SRS065278__bin.62	HMP_2012__SRS015038__bin.5	HMP_2012__SRS019122__bin.29	HMP_2012__SRS064774__bin.72	HMP_2012__SRS017120__bin.38	CM_cf__CF_TNFC017SA_t1M16__bin.13	HMP_2012__SRS015941__bin.23	HMP_2012__SRS044373__bin.19	HMP_2012__SRS057791__bin.78	HMP_2012__SRS024637__bin.6	HMP_2012__SRS017076__bin.33	Castro-NallarE_2015__ES_080__bin.8	HMP_2012__SRS024318__bin.42	HMP_2012__SRS056323__bin.31	HMP_2012__SRS015272__bin.10	HMP_2012__SRS047210__bin.52	HMP_2012__SRS016319__bin.59	HMP_2012__SRS047219__bin.38	HMP_2012__SRS019026__bin.7	HMP_2012__SRS020220__bin.48	QinN_2014__LD-57__bin.28	HMP_2012__SRS048791__bin.19	HMP_2012__SRS019894__bin.4	HMP_2012__SRS018739__bin.9	HMP_2012__SRS014684__bin.47	HMP_2012__SRS042643__bin.19
HMP_2012__SRS022143__bin.6	0.0	25120.0	41918.0	36752.0	23189.0	41931.0	37669.0	33535.0	32267.0	24450.0	35280.0	19426.0	38524.0	36793.0	37108.0	33821.0	29174.0	35588.0	31659.0	34976.0	39250.0	34597.0	32156.0	31655.0	32976.0	30849.0	30153.0	38150.0	30891.0	32210.0	29460.0	26066.0	32803.0	36299.0	40915.0	35538.0	42269.0	38236.0	31329.0	38550.0	36383.0	37754.0	23835.0	43095.0	13354.0	37619.0	38667.0	38664.0	26782.0
HMP_2012__SRS015057__bin.68	25120.0	0.0	46655.0	45072.0	31804.0	46698.0	41046.0	33407.0	38595.0	29262.0	41094.0	21686.0	41614.0	46031.0	44120.0	41737.0	14144.0	42439.0	33413.0	46407.0	45426.0	38338.0	35823.0	34015.0	34965.0	35983.0	33293.0	44366.0	37683.0	36863.0	35161.0	33403.0	38066.0	41822.0	46076.0	45010.0	47277.0	43941.0	37897.0	45502.0	44781.0	43351.0	28068.0	42651.0	41388.0	43708.0	43633.0	44058.0	35128.0
HMP_2012__SRS051791__bin.48	41918.0	46655.0	0.0	80664.0	52739.0	656.0	74377.0	55573.0	61106.0	47117.0	67558.0	35144.0	68249.0	86142.0	71511.0	73689.0	53517.0	79319.0	56664.0	82360.0	80664.0	67010.0	63031.0	55396.0	55974.0	55045.0	63361.0	78243.0	67250.0	61370.0	56113.0	58044.0	67249.0	72646.0	79198.0	76341.0	81133.0	79903.0	64882.0	87389.0	81149.0	69883.0	41888.0	85965.0	71211.0	76049.0	78713.0	74539.0	58092.0
HMP_2012__SRS015893__bin.63	36752.0	45072.0	80664.0	0.0	44421.0	77882.0	64689.0	52579.0	59038.0	43605.0	65581.0	34376.0	70736.0	75378.0	68279.0	65436.0	54359.0	66316.0	58239.0	75123.0	72606.0	61757.0	58180.0	53459.0	54326.0	53411.0	56815.0	69066.0	55933.0	57025.0	53421.0	49924.0	64993.0	69557.0	75656.0	69091.0	81158.0	68037.0	57705.0	74070.0	68852.0	67781.0	39160.0	85680.0	61047.0	67358.0	70558.0	71505.0	55139.0
HMP_2012__SRS016342__bin.32	23189.0	31804.0	52739.0	44421.0	0.0	52813.0	44840.0	38512.0	40745.0	29320.0	45260.0	24205.0	50744.0	47638.0	48304.0	43324.0	37535.0	38286.0	40114.0	47768.0	48230.0	41104.0	39647.0	38359.0	40728.0	39097.0	34009.0	47860.0	35971.0	40107.0	37523.0	34066.0	41384.0	44916.0	51878.0	45291.0	54121.0	44559.0	37269.0	47049.0	44891.0	46941.0	28506.0	56085.0	33589.0	45472.0	44395.0	47142.0	37087.0
HMP_2012__SRS018591__bin.18	41931.0	46698.0	656.0	77882.0	52813.0	0.0	71522.0	55052.0	60989.0	46548.0	66007.0	33629.0	66865.0	83898.0	71402.0	72156.0	53659.0	78440.0	55278.0	81122.0	78731.0	65126.0	61803.0	55043.0	55590.0	55254.0	62665.0	78642.0	66072.0	60752.0	55397.0	56166.0	66245.0	72176.0	78183.0	75512.0	79833.0	78421.0	63759.0	86065.0	79940.0	68546.0	41944.0	84010.0	71870.0	74286.0	80016.0	72957.0	57781.0
Castro-NallarE_2015__ES_116__bin.6	37669.0	41046.0	74377.0	64689.0	44840.0	71522.0	0.0	51281.0	53167.0	39508.0	61890.0	32790.0	65836.0	68635.0	66756.0	62772.0	49835.0	64658.0	52743.0	69938.0	68767.0	62944.0	58836.0	51913.0	53319.0	50319.0	50146.0	65868.0	53011.0	53103.0	49584.0	47299.0	59232.0	64661.0	70355.0	65834.0	79017.0	66560.0	56353.0	70460.0	66140.0	65113.0	37418.0	80582.0	59044.0	65760.0	66075.0	65762.0	48702.0
HMP_2012__SRS064423__bin.23	33535.0	33407.0	55573.0	52579.0	38512.0	55052.0	51281.0	0.0	42500.0	34581.0	48059.0	22464.0	46945.0	55949.0	48570.0	51766.0	38186.0	53870.0	40953.0	54249.0	56492.0	43938.0	40330.0	7087.0	15356.0	39192.0	43038.0	51323.0	46340.0	43394.0	40518.0	39521.0	41374.0	46320.0	53645.0	52930.0	54379.0	51624.0	44897.0	55334.0	54710.0	49579.0	32068.0	56456.0	50607.0	50029.0	51754.0	50413.0	39347.0
HMP_2012__SRS047824__bin.33	32267.0	38595.0	61106.0	59038.0	40745.0	60989.0	53167.0	42500.0	0.0	40392.0	52252.0	28680.0	54102.0	59326.0	59114.0	52929.0	44295.0	56707.0	47089.0	59899.0	60399.0	49556.0	47789.0	44443.0	45331.0	49434.0	39310.0	57301.0	49540.0	48333.0	46877.0	44306.0	48723.0	54788.0	61592.0	56945.0	61778.0	56313.0	47941.0	60540.0	59162.0	56436.0	36019.0	65110.0	54447.0	55434.0	58041.0	57141.0	44361.0
HMP_2012__SRS023352__bin.16	24450.0	29262.0	47117.0	43605.0	29320.0	46548.0	39508.0	34581.0	40392.0	0.0	42534.0	23131.0	45448.0	42174.0	45400.0	39187.0	35119.0	41596.0	30673.0	43400.0	45963.0	38887.0	37458.0	34537.0	35773.0	39317.0	31448.0	45075.0	36995.0	36110.0	34472.0	32862.0	38977.0	42315.0	47972.0	42690.0	49590.0	42979.0	35402.0	43671.0	44063.0	45106.0	27920.0	52350.0	39904.0	41744.0	44052.0	44763.0	33508.0
