	BackhedF_2015__SID637_12M__bin.4	LeChatelierE_2013__MH0275__bin.50	HMP_2012__SRS050299__bin.13	FengQ_2015__SID31379__bin.19	BackhedF_2015__SID82_12M__bin.20	LeChatelierE_2013__MH0446__bin.94	NielsenHB_2014__V1_UC32_0__bin.45	BackhedF_2015__SID511_12M__bin.15	ZeeviD_2015__PNP_Main_123__bin.4	LiJ_2014__O2.UC48-1__bin.33	Bengtsson-PalmeJ_2015__TRAVELRES52__bin.21	CosteaPI_2017__donald1-11-7-0__bin.10	ZeeviD_2015__PNP_Main_269__bin.12	CosteaPI_2017__donald4-11-0-0__bin.41	NielsenHB_2014__V1_CD28_0__bin.2	ZeeviD_2015__PNP_Main_481__bin.36	LeChatelierE_2013__MH0419__bin.80	ZeeviD_2015__PNP_Main_565__bin.20	CosteaPI_2017__mickey4-11-7-0__bin.60	HMP_2012__SRS021484__bin.33	LiJ_2014__V1.CD54-0__bin.51	HMP_2012__SRS052697__bin.59	LiuW_2016__SRR3993035__bin.45	Bengtsson-PalmeJ_2015__TRAVELRES18__bin.24	CosteaPI_2017__donald3-11-7-0__bin.24	HMP_2012__SRS011084__bin.6	ZellerG_2014__CCMD95433940ST-21-0__bin.78	LeChatelierE_2013__MH0302__bin.17	BackhedF_2015__SID281_12M__bin.21	LeChatelierE_2013__MH0067__bin.7	CosteaPI_2017__SID713B029-11-0-0__bin.42	HMP_2012__SRS024075__bin.36	ZeeviD_2015__PNP_Validation_41__bin.27	LeChatelierE_2013__MH0212__bin.16	LiJ_2014__V1.FI20__bin.90	LouisS_2016__AS60_0__bin.11	VogtmannE_2016__MMRS31306426ST-27-0-0__bin.20	LeChatelierE_2013__MH0411__bin.47	Bengtsson-PalmeJ_2015__TRAVELRES46__bin.34	FengQ_2015__SID530119__bin.66	LiJ_2014__V1.FI18__bin.2	XieH_2016__YSZC12003_36006__bin.40	KosticAD_2015__PRJNA231909.3112359__bin.1	HMP_2012__SRS024435__bin.11
BackhedF_2015__SID637_12M__bin.4	1.0	0.9926126858322556	0.9863467301597998	0.985411652004467	0.992514174795426	0.9856722212958291	0.9849789963883587	0.9972260997519135	0.9842644587148066	0.985065094168436	0.9878883107152198	0.9847668357392237	0.993501916747708	0.9849530729172296	0.9854885851169611	0.9850347139330599	0.9854403213487968	0.986138677401476	0.9858002291316974	0.9789787198646256	0.9741144562820023	0.9924541300204377	0.9924538270789088	0.9905452988609424	0.9849132836722326	0.979022743875064	0.9858150640502904	0.9857405908505696	0.9918583114393345	0.98993917824498	0.985784967021391	0.9946049077474954	0.9936577754462425	0.9834920167989978	0.9945057510752517	0.9851522230455275	0.9879112077148089	0.9850310285239979	0.9907292507469696	0.9838736125560662	0.9824080827244294	0.9849427942829925	0.9934735942389217	0.9853761289512255
LeChatelierE_2013__MH0275__bin.50	0.9926126858322556	1.0	0.9867340037545272	0.9860566505074051	0.9953432069023241	0.985059794993244	0.9844784503985263	0.9931855500409879	0.9847719108733486	0.9845390801369079	0.9886557276018797	0.9845293994733386	0.9958820802074909	0.9843610003715023	0.9854226596531602	0.9845497017697316	0.9854014844861245	0.9866115015360869	0.9852790801806572	0.977897261072042	0.9732340917691328	0.9945272333576785	0.9949223107256759	0.9906600061865767	0.9844832714258107	0.9778416001310757	0.9861178143110357	0.9856825464216925	0.9943917666266974	0.989978613520153	0.9863969369618608	0.9923173250993905	0.9960737245719896	0.98427445863695	0.9966660342537815	0.9843387324087501	0.988384704368178	0.984538547644705	0.9905449802997055	0.983063913367845	0.9829161032999965	0.9844612199205477	0.9959300012262048	0.9846498583806561
HMP_2012__SRS050299__bin.13	0.9863467301597998	0.9867340037545272	1.0	0.9813900141572156	0.9858277522269094	0.9916935917166466	0.9917182414566434	0.9866453642030724	0.981881155552962	0.9919146914413862	0.9828074661409388	0.9909232276056024	0.9871883300802747	0.9908004642299483	0.9840416139427107	0.9913764265404064	0.9914590251087231	0.9824526110837157	0.9842983356209106	0.9822564728740213	0.9756527459460244	0.9864147012294108	0.9853692279711022	0.9883309356902406	0.9910647375302989	0.9820293924768961	0.9821824125392548	0.9845678400241815	0.9858166620930411	0.9881623305263509	0.9811794778210997	0.9854139603132446	0.9863760053153038	0.982357700789567	0.9875531511735849	0.9918248112801678	0.9863292693623367	0.991532541316344	0.9877777151502753	0.9903435979819148	0.9810032438784207	0.9909962660032052	0.9865059537001591	0.9917763788673208
FengQ_2015__SID31379__bin.19	0.985411652004467	0.9860566505074051	0.9813900141572156	1.0	0.9848308102513726	0.9816840798815114	0.9809709701023481	0.9854802133200202	0.9868041674582543	0.981053520192224	0.987620532965473	0.9810167954433592	0.9859603889273711	0.9811802629737165	0.9865332824395106	0.9812867873576027	0.9829559624420754	0.9906477077133095	0.9863733488840963	0.9755835692088118	0.9717653177794908	0.9856626289287901	0.9849326217926128	0.9849452735282171	0.9810735700421188	0.9757550225889394	0.992424860814318	0.986012295248272	0.9843532611679836	0.9848499902564342	0.9949843537786217	0.9860852480900478	0.98583508788403	0.9838648228924182	0.986244664705141	0.9814275504053026	0.9829048570989853	0.9815197522911909	0.9855781139969907	0.9796431007863272	0.982781365441129	0.9807872486997385	0.9853574731972269	0.9814666230479175
BackhedF_2015__SID82_12M__bin.20	0.992514174795426	0.9953432069023241	0.9858277522269094	0.9848308102513726	1.0	0.9843545942182832	0.9833608203970124	0.992554196700953	0.9846705505308045	0.9840899737689087	0.9874052933488863	0.9838732459675981	0.9966460505248531	0.9839396460514783	0.9847031593078278	0.9836295959623708	0.9849782921702864	0.9860780844274202	0.9845710879231095	0.9770949957256337	0.9719223367018609	0.9960468311534465	0.99695832032892	0.990188045108605	0.9841899491448995	0.9768405575347556	0.9848154458476176	0.9850145519448151	0.9959052675416393	0.9895970649723913	0.9847954402200734	0.9916392289398871	0.9971713967855705	0.983904321356921	0.9979896436883856	0.9838591363012442	0.9884618299862018	0.9838062109302489	0.9905995460334089	0.9827491316866583	0.9823822690474856	0.9833283634687847	0.9975965270082917	0.9840381788546989
LeChatelierE_2013__MH0446__bin.94	0.9856722212958291	0.985059794993244	0.9916935917166466	0.9816840798815114	0.9843545942182832	1.0	0.9928716664667604	0.9858531394035198	0.9817246284794724	0.9936309180417625	0.9831554963605122	0.9918194598441255	0.9853356326125929	0.9920395892087479	0.9846275353507344	0.9929907844873992	0.9939323338735818	0.9826290745516406	0.9846265909061598	0.9831092127587814	0.9768346074869003	0.9851405298823342	0.9841099483991169	0.9871307875974688	0.9922238883569087	0.9827354224968308	0.9824056063755293	0.9849585823121534	0.9844978403435701	0.9875490138945545	0.9815844045388795	0.984628842994924	0.9849619178334196	0.9819649135287324	0.9864803278420635	0.9935467889081837	0.985982391102873	0.9939196806249604	0.9867667933759738	0.9910273268022569	0.9803124684301598	0.9927568287630186	0.9852020163858335	0.993150228638877
NielsenHB_2014__V1_UC32_0__bin.45	0.9849789963883587	0.9844784503985263	0.9917182414566434	0.9809709701023481	0.9833608203970124	0.9928716664667604	1.0	0.9851535868911504	0.9808772628629508	0.9940249546343316	0.9823889900526411	0.9919177203696097	0.9847684583011808	0.99213148258537	0.9838674545768283	0.9928365330741082	0.9943349596372015	0.9816999227604531	0.9839783816938776	0.9823021045984711	0.9751255866487288	0.9844528760475407	0.9832765894973801	0.9868374634314232	0.9924143489388176	0.9820818178295684	0.9816115763551081	0.9840677700359728	0.9837918215613383	0.9870615097613128	0.9805367563665177	0.9839086090247602	0.9842987214978866	0.9809047305666276	0.9858116643375421	0.9939029805638644	0.9852236814704463	0.9941671320701602	0.9863034183676938	0.9915199578697602	0.9796050913987606	0.9938909214573414	0.9842457391384878	0.9929869452519676
BackhedF_2015__SID511_12M__bin.15	0.9972260997519135	0.9931855500409879	0.9866453642030724	0.9854802133200202	0.992554196700953	0.9858531394035198	0.9851535868911504	1.0	0.9841122847480274	0.9853043600110025	0.9880187608048528	0.9848595969709275	0.9938040072580884	0.985215011678951	0.9852566730266942	0.9855081371533818	0.9860095290192742	0.9863107781344914	0.9855242765382856	0.9791821653677772	0.9743726460825359	0.992453711870124	0.992258518702394	0.9910751356001448	0.9851405281045966	0.9793929373573442	0.9859286759059592	0.9856206109181899	0.9918462869438549	0.9901064488217344	0.9857927074420378	0.9955715554975998	0.993785559842286	0.9834837770493197	0.9945781816816766	0.9850605730595077	0.9882453205837733	0.985161867020708	0.9909087977848602	0.9840151097645746	0.9825865718016842	0.9852930467610045	0.9934024491324417	0.9856112305197299
ZeeviD_2015__PNP_Main_123__bin.4	0.9842644587148066	0.9847719108733486	0.981881155552962	0.9868041674582543	0.9846705505308045	0.9817246284794724	0.9808772628629508	0.9841122847480274	1.0	0.9811915147448086	0.9856624272022146	0.9816710508860653	0.9854747131553367	0.9817236369197828	0.9853388806064539	0.9810639052872673	0.9822490936184932	0.9866437112857441	0.9850597415633836	0.9756589325912403	0.9718684302918272	0.984923757739259	0.9847947176839076	0.9844953646148815	0.9817315080182863	0.9757410095196064	0.9871017579745914	0.9850458824561072	0.9839737117893872	0.9843238036155842	0.9876842503219908	0.9844774331651637	0.98494487461079	0.9901318284362981	0.9860315195827111	0.9819012375687829	0.9821960069833222	0.9815535903746537	0.9850104452389242	0.9802804104978422	0.99010181995657	0.9809624250688139	0.9849899028462922	0.9820115361170116
LiJ_2014__O2.UC48-1__bin.33	0.985065094168436	0.9845390801369079	0.9919146914413862	0.981053520192224	0.9840899737689087	0.9936309180417625	0.9940249546343316	0.9853043600110025	0.9811915147448086	1.0	0.9823612114433078	0.992174832967728	0.9850392991524797	0.9922552405391305	0.9842130002267022	0.9926885902742729	0.9942099322980299	0.9817974698722945	0.9840447921602913	0.9830448042520207	0.9767993679516416	0.9848368505787599	0.9839274631063352	0.9870855510945709	0.9925926928802891	0.9829161812339167	0.9819922875205404	0.9843361481080283	0.9839784968040357	0.9874199013667988	0.9808600857638409	0.9840607836395593	0.9847904744032032	0.9818727561650286	0.9857272282097543	0.9941923946242631	0.9859200624754161	0.994400782886695	0.9868908983107222	0.9913782002910394	0.9803745488388986	0.9935177522534693	0.9844883182891598	0.9934313779923402
