	BackhedF_2015__SID637_12M__bin.4	LeChatelierE_2013__MH0275__bin.50	HMP_2012__SRS050299__bin.13	FengQ_2015__SID31379__bin.19	BackhedF_2015__SID82_12M__bin.20	LeChatelierE_2013__MH0446__bin.94	NielsenHB_2014__V1_UC32_0__bin.45	BackhedF_2015__SID511_12M__bin.15	ZeeviD_2015__PNP_Main_123__bin.4	LiJ_2014__O2.UC48-1__bin.33	Bengtsson-PalmeJ_2015__TRAVELRES52__bin.21	CosteaPI_2017__donald1-11-7-0__bin.10	ZeeviD_2015__PNP_Main_269__bin.12	CosteaPI_2017__donald4-11-0-0__bin.41	NielsenHB_2014__V1_CD28_0__bin.2	ZeeviD_2015__PNP_Main_481__bin.36	LeChatelierE_2013__MH0419__bin.80	ZeeviD_2015__PNP_Main_565__bin.20	CosteaPI_2017__mickey4-11-7-0__bin.60	HMP_2012__SRS021484__bin.33	LiJ_2014__V1.CD54-0__bin.51	HMP_2012__SRS052697__bin.59	LiuW_2016__SRR3993035__bin.45	Bengtsson-PalmeJ_2015__TRAVELRES18__bin.24	CosteaPI_2017__donald3-11-7-0__bin.24	HMP_2012__SRS011084__bin.6	ZellerG_2014__CCMD95433940ST-21-0__bin.78	LeChatelierE_2013__MH0302__bin.17	BackhedF_2015__SID281_12M__bin.21	LeChatelierE_2013__MH0067__bin.7	CosteaPI_2017__SID713B029-11-0-0__bin.42	HMP_2012__SRS024075__bin.36	ZeeviD_2015__PNP_Validation_41__bin.27	LeChatelierE_2013__MH0212__bin.16	LiJ_2014__V1.FI20__bin.90	LouisS_2016__AS60_0__bin.11	VogtmannE_2016__MMRS31306426ST-27-0-0__bin.20	LeChatelierE_2013__MH0411__bin.47	Bengtsson-PalmeJ_2015__TRAVELRES46__bin.34	FengQ_2015__SID530119__bin.66	LiJ_2014__V1.FI18__bin.2	XieH_2016__YSZC12003_36006__bin.40	KosticAD_2015__PRJNA231909.3112359__bin.1	HMP_2012__SRS024435__bin.11
BackhedF_2015__SID637_12M__bin.4	1.0	0.9419184775801382	0.741587186318262	0.8763296568541217	0.7774179641302854	0.8679432310702603	0.8204759766923322	0.9658557020611646	0.8796603959638948	0.9015184886513276	0.9178663191439156	0.7498586781469269	0.5362818349463963	0.5985582121718342	0.9205806369592886	0.8923425369629946	0.5623146103574728	0.7929462451545956	0.8678695795152978	0.739834560781063	0.8795234134540281	0.9123541804763333	0.5833475241584137	0.7011501370528777	0.9050190485438806	0.8971749233812726	0.8705182207848441	0.8415515802480603	0.6303090691334777	0.9128885060884504	0.8990664079010762	0.9141321383954939	0.5544714234312337	0.87831074294716	0.559500839486991	0.5719413846210861	0.6567115096739207	0.897429185437258	0.9322203973524845	0.6699026439031759	0.5149918443803629	0.8556040154640118	0.9487652574825524	0.8354474144316703
LeChatelierE_2013__MH0275__bin.50	0.9645728225580973	1.0	0.749955082499277	0.880318160025442	0.802657002278062	0.8724112386949616	0.8297641134630481	0.9527914665395846	0.8829137670458312	0.9092728937535369	0.9248013781746105	0.7628048505135968	0.5489538305740697	0.6059039370789885	0.9215735633365585	0.8905910566613855	0.5611190270533062	0.7946866680053843	0.8794947525790332	0.7499228956271011	0.8772176514728617	0.9282597855297431	0.6084548667991934	0.712343040958035	0.9079628400158725	0.8945303454948468	0.8843881179519156	0.8520960379401555	0.6477905874056131	0.9273133954075579	0.9078067096657657	0.9105843886944331	0.5673282109767803	0.8911459199056109	0.5552062505944964	0.5787901002789209	0.6707009147797313	0.9059067234052365	0.9333457917346034	0.6843010692767177	0.5228051195382001	0.8592958088849219	0.9559515448257442	0.8475576889633618
HMP_2012__SRS050299__bin.13	0.9265331385095276	0.9149814466077858	1.0	0.8560701037477794	0.7831963881401302	0.8773512636879255	0.8454532613352699	0.9211678643876267	0.867836312836392	0.9006093811999717	0.8952534848785897	0.7608016143883594	0.5519726496447865	0.5939429958673205	0.9047649190549287	0.9032316486700813	0.5334139824177963	0.7928901033140561	0.8658605274895569	0.7496730957350349	0.8675368093323182	0.894633963931807	0.5810989258315618	0.7223872129001024	0.8991440998688867	0.8838389433094376	0.8685320284123911	0.8438291435078952	0.6421923656498201	0.9033277711254006	0.8792209626663899	0.8785387276786368	0.5734173349814817	0.8709866676982247	0.499443486150454	0.5985867654617951	0.6590917482974896	0.9050673531216646	0.9141608890623782	0.6940979054096428	0.5558568173972266	0.8600539106307333	0.9183351825183732	0.8487941027701437
FengQ_2015__SID31379__bin.19	0.9363790798498415	0.918548620346203	0.7321410937679358	1.0	0.7879783875040915	0.8714654000061154	0.8386631892316476	0.9340617366690108	0.9138908758434393	0.8982704890381096	0.9398919375204579	0.761304128359659	0.5394046087208897	0.6008410206335274	0.9327910325886724	0.9005367032973643	0.5472699411566264	0.8199194268347639	0.893645827955189	0.7551751742017497	0.8915946559249147	0.8981171022733823	0.5883951383413276	0.7111235981527422	0.9095559453161146	0.9090872635350035	0.9202474038287541	0.8769737894099973	0.6380172605224073	0.8993256496255307	0.9687326594006789	0.8916187165938915	0.5473336016766276	0.9164994533716767	0.541366555770375	0.5802546120041685	0.6770281264207699	0.8944277996969358	0.9134337231328795	0.6838252654067231	0.5347578920247404	0.872095488774946	0.9361013796287339	0.8572004308864803
BackhedF_2015__SID82_12M__bin.20	0.9688920174672898	0.976852742375016	0.7812548782534113	0.9190749282184195	1.0	0.8994239349110177	0.8920858724611888	0.9672806956513605	0.9128863065124646	0.9199197613185711	0.9373543101396926	0.8063414517214423	0.5837498545659282	0.6209266035896929	0.92976659804712	0.9211376072338762	0.5219489978057725	0.8223804181134555	0.8970601562093479	0.7958842303862788	0.9088001206737383	0.9595889141526791	0.6461809743585847	0.7503258015536743	0.9366404407865543	0.9174624370833204	0.9202161837281052	0.8953921224136853	0.7004707094317869	0.9348619063293493	0.9426922521496471	0.918117840477971	0.5911259198887743	0.9135335246729268	0.5096600379911798	0.621057567336706	0.7090833297766542	0.9264849037971886	0.9486733197029695	0.71200253508396	0.604687098960066	0.8907335548413614	0.9806354898891895	0.8919800490763256
LeChatelierE_2013__MH0446__bin.94	0.9099927305206973	0.8931947246598642	0.7362433219651399	0.8550914390322837	0.7566416382789729	1.0	0.8509235386526772	0.903050820447796	0.8692570867586287	0.9479484624411876	0.8960420193610138	0.7554184180471956	0.524972973079318	0.5960289362656518	0.8976892105778301	0.9109193678012235	0.5791246917357136	0.780559110506906	0.8636431600495387	0.7512382215253316	0.8853729026470152	0.8777738867318723	0.5705080470873389	0.6978729641277265	0.9076835150047364	0.8948640489327441	0.8694459555037041	0.8420993351229958	0.6276816656649409	0.8751661208818989	0.8821247537082706	0.8829904021231996	0.5372145204652072	0.8690298540497099	0.5344464129201961	0.5858870781316553	0.6530313925430291	0.9188867761384014	0.9022953454674945	0.6880149009570333	0.5202325643162017	0.8775137003617033	0.8978161067659277	0.8578934839299258
NielsenHB_2014__V1_UC32_0__bin.45	0.9080315474085946	0.8967430327441168	0.7489036231963063	0.8686372634684186	0.7921746186758126	0.8982123100517778	1.0	0.9065736920446682	0.8898369102188496	0.9171851969532484	0.8982605937230189	0.7684974484935235	0.5373344402235172	0.6048749894217226	0.9028683096613549	0.9337833579164713	0.5253471102741941	0.7964594051140197	0.8828523916252232	0.7696879265382113	0.8982522868548484	0.8848891318647829	0.5841737547615228	0.714537590395599	0.9109846390432149	0.9079682075387944	0.8793089931712352	0.8667858702249136	0.6491942078284964	0.8831690909742244	0.8891884553222884	0.8801365649127234	0.5493586319003466	0.8860479399745705	0.5032155367508827	0.5984454734577391	0.6705605111215985	0.9094125642419438	0.9040073889592377	0.6959769318270904	0.5552004369412659	0.9225343008758035	0.9049227019957771	0.8836784058289293
BackhedF_2015__SID511_12M__bin.15	0.9859619986505053	0.9497823233433372	0.7526411641858088	0.8923584024243016	0.792281733118985	0.8792523090582318	0.8362111858648811	1.0	0.8860007403544411	0.9091677046474241	0.9250671275444895	0.7607611188450853	0.5471204953191499	0.6027347141470433	0.9196562188575843	0.9060549595845969	0.5593454423905116	0.7963790633893771	0.8727490662962021	0.7551165148365402	0.8812454236661528	0.9214697520195729	0.5953302119683611	0.714451613335766	0.9211230401079595	0.8998141451755564	0.8847781498705337	0.8541291042142258	0.6423570854936981	0.9238933832138758	0.9158639376033492	0.9213481155201948	0.5612619355815015	0.8864729198362792	0.558264122644071	0.57913819103539	0.6691372284788397	0.9135969014298992	0.9418884018640075	0.680626131063807	0.5224694699569818	0.86177735827552	0.9705496006348084	0.8480860688376388
ZeeviD_2015__PNP_Main_123__bin.4	0.9048901543027422	0.8869056207699453	0.7145290689958861	0.8798142093643306	0.7534886414361375	0.8528692588883929	0.8270964784229511	0.8928263098843031	1.0	0.8890419717936036	0.9106636586278035	0.7320590186876424	0.5234861079274693	0.582355680488364	0.9172908347307845	0.8952367624172085	0.5385245328089372	0.8039382789031113	0.8789296529093125	0.7437536947001412	0.886994414216603	0.8749170577519333	0.5613956013463789	0.6886452967221224	0.8749542158790672	0.9090272533146738	0.8793340491500682	0.8564871092666095	0.6184709671970949	0.8698273594807514	0.8925961225253048	0.8868674974966522	0.5306166077525365	0.9134804376937833	0.5336577833005586	0.5653208507763394	0.6540274342795788	0.8728033876630192	0.8955929013499982	0.6643805571306205	0.540395468638782	0.8734886414361375	0.8989086609803473	0.8372724969537574
LiJ_2014__O2.UC48-1__bin.33	0.9023007205803708	0.8886877755819649	0.7214635477044677	0.8413943772475586	0.7387641438606524	0.9049295923441095	0.8294660887750134	0.8914002228366742	0.8650039839215781	1.0	0.8907001607184862	0.7424287882821528	0.5185887386251644	0.5911468200699499	0.8887483443366571	0.906887982079161	0.581526248103705	0.7688663454175042	0.8550772815052603	0.7365888334692609	0.8684315181018409	0.8719844155185601	0.5575062763785144	0.6825718338387773	0.8949977251502599	0.9011902934110115	0.8504637265935804	0.8260080354547893	0.6151672613203707	0.8655373645830545	0.8656190619731047	0.888270367652341	0.5272740163329046	0.8616398356473884	0.5358893347813491	0.573731659757603	0.6449267094591962	0.9117424034339197	0.897182895571485	0.6723713982132687	0.5069515557953265	0.8770843985686992	0.8868960673036246	0.8485043978080684
