	BackhedF_2015__SID637_12M__bin.4	LeChatelierE_2013__MH0275__bin.50	HMP_2012__SRS050299__bin.13	FengQ_2015__SID31379__bin.19	BackhedF_2015__SID82_12M__bin.20	LeChatelierE_2013__MH0446__bin.94	NielsenHB_2014__V1_UC32_0__bin.45	BackhedF_2015__SID511_12M__bin.15	ZeeviD_2015__PNP_Main_123__bin.4	LiJ_2014__O2.UC48-1__bin.33	Bengtsson-PalmeJ_2015__TRAVELRES52__bin.21	CosteaPI_2017__donald1-11-7-0__bin.10	ZeeviD_2015__PNP_Main_269__bin.12	CosteaPI_2017__donald4-11-0-0__bin.41	NielsenHB_2014__V1_CD28_0__bin.2	ZeeviD_2015__PNP_Main_481__bin.36	LeChatelierE_2013__MH0419__bin.80	ZeeviD_2015__PNP_Main_565__bin.20	CosteaPI_2017__mickey4-11-7-0__bin.60	HMP_2012__SRS021484__bin.33	LiJ_2014__V1.CD54-0__bin.51	HMP_2012__SRS052697__bin.59	LiuW_2016__SRR3993035__bin.45	Bengtsson-PalmeJ_2015__TRAVELRES18__bin.24	CosteaPI_2017__donald3-11-7-0__bin.24	HMP_2012__SRS011084__bin.6	ZellerG_2014__CCMD95433940ST-21-0__bin.78	LeChatelierE_2013__MH0302__bin.17	BackhedF_2015__SID281_12M__bin.21	LeChatelierE_2013__MH0067__bin.7	CosteaPI_2017__SID713B029-11-0-0__bin.42	HMP_2012__SRS024075__bin.36	ZeeviD_2015__PNP_Validation_41__bin.27	LeChatelierE_2013__MH0212__bin.16	LiJ_2014__V1.FI20__bin.90	LouisS_2016__AS60_0__bin.11	VogtmannE_2016__MMRS31306426ST-27-0-0__bin.20	LeChatelierE_2013__MH0411__bin.47	Bengtsson-PalmeJ_2015__TRAVELRES46__bin.34	FengQ_2015__SID530119__bin.66	LiJ_2014__V1.FI18__bin.2	XieH_2016__YSZC12003_36006__bin.40	KosticAD_2015__PRJNA231909.3112359__bin.1	HMP_2012__SRS024435__bin.11
BackhedF_2015__SID637_12M__bin.4	0.0	14943.0	21882.0	27655.0	12499.0	26894.0	26672.0	5727.0	29978.0	29136.0	23988.0	24726.0	7477.0	19492.0	28896.0	28899.0	17710.0	23759.0	26648.0	33864.0	49821.0	14787.0	9455.0	14266.0	29551.0	40978.0	26701.0	25950.0	11029.0	19777.0	27636.0	10570.0	7544.0	31426.0	6589.0	18375.0	17130.0	29071.0	18595.0	23406.0	19658.0	27882.0	13286.0	26430.0
LeChatelierE_2013__MH0275__bin.50	14943.0	0.0	20988.0	25912.0	7817.0	27543.0	27232.0	13608.0	28420.0	29723.0	22089.0	24951.0	4725.0	20038.0	28378.0	29092.0	17304.0	22448.0	27353.0	35283.0	50219.0	10633.0	6464.0	13980.0	29789.0	42195.0	25916.0	25764.0	7605.0	19540.0	26060.0	14675.0	4655.0	29637.0	3866.0	19169.0	16407.0	29614.0	18545.0	24540.0	18915.0	28233.0	8132.0	27504.0
HMP_2012__SRS050299__bin.13	21882.0	20988.0	0.0	27697.0	19210.0	12538.0	12046.0	21273.0	27323.0	12525.0	26720.0	11890.0	12222.0	9409.0	25034.0	13405.0	7840.0	24162.0	23566.0	23105.0	36937.0	21022.0	14721.0	14552.0	13831.0	27595.0	26882.0	22566.0	15764.0	18463.0	28774.0	22187.0	13513.0	26688.0	10740.0	8418.0	15586.0	13187.0	19299.0	11547.0	18365.0	13332.0	21432.0	12008.0
FengQ_2015__SID31379__bin.19	27655.0	25912.0	27697.0	0.0	24213.0	32437.0	32455.0	27455.0	24380.0	34608.0	23503.0	29389.0	15323.0	22991.0	25402.0	34260.0	18931.0	15442.0	24629.0	37705.0	51680.0	26062.0	17957.0	21684.0	35005.0	45063.0	14013.0	24819.0	20232.0	27599.0	9742.0	25100.0	15689.0	29985.0	15063.0	21906.0	23491.0	33596.0	26665.0	28348.0	18691.0	34081.0	27751.0	32292.0
BackhedF_2015__SID82_12M__bin.20	12499.0	7817.0	19210.0	24213.0	0.0	24451.0	25818.0	12411.0	24308.0	25438.0	20450.0	22606.0	3360.0	17335.0	24704.0	26221.0	13615.0	19859.0	24044.0	31911.0	44905.0	6514.0	3372.0	12717.0	25735.0	37204.0	24268.0	23299.0	4926.0	16809.0	24894.0	13240.0	2868.0	25561.0	1756.0	17427.0	14157.0	26084.0	15398.0	21377.0	18548.0	25830.0	4041.0	24747.0
LeChatelierE_2013__MH0446__bin.94	26894.0	27543.0	12538.0	32437.0	24451.0	0.0	12421.0	26347.0	32900.0	12354.0	31213.0	12668.0	15885.0	9724.0	28495.0	13073.0	7188.0	28055.0	27416.0	26242.0	42689.0	26919.0	18729.0	18498.0	14463.0	31963.0	31659.0	26146.0	20095.0	22434.0	33648.0	28026.0	16676.0	32451.0	14892.0	7737.0	18876.0	11429.0	24602.0	12665.0	21242.0	13017.0	27418.0	12030.0
NielsenHB_2014__V1_UC32_0__bin.45	26672.0	27232.0	12046.0	32455.0	25818.0	12421.0	0.0	26315.0	33414.0	10619.0	31016.0	12061.0	16008.0	9240.0	28515.0	12977.0	5765.0	28597.0	27688.0	26710.0	44134.0	26917.0	19137.0	18357.0	13412.0	31908.0	31727.0	27030.0	20601.0	22298.0	33996.0	27725.0	16879.0	33223.0	13950.0	7071.0	19371.0	10277.0	24180.0	11465.0	22264.0	10922.0	27899.0	12021.0
BackhedF_2015__SID511_12M__bin.15	5727.0	13608.0	21273.0	27455.0	12411.0	26347.0	26315.0	0.0	29869.0	28316.0	23425.0	24422.0	7123.0	18888.0	28737.0	27822.0	16573.0	23081.0	26769.0	33524.0	48400.0	14631.0	9699.0	13435.0	29013.0	39535.0	26369.0	26021.0	11027.0	19278.0	27563.0	8558.0	7329.0	31087.0	6355.0	18341.0	16620.0	28734.0	18045.0	23088.0	19335.0	26861.0	13460.0	25854.0
ZeeviD_2015__PNP_Main_123__bin.4	29978.0	28420.0	27323.0	24380.0	24308.0	32900.0	33414.0	29869.0	0.0	35315.0	27450.0	28324.0	15989.0	22466.0	28283.0	35807.0	20167.0	22552.0	27624.0	38451.0	53204.0	27752.0	17962.0	22474.0	33739.0	46833.0	23810.0	26944.0	20874.0	28706.0	23064.0	28977.0	16807.0	18866.0	15666.0	21593.0	24567.0	33990.0	28242.0	27695.0	11195.0	35128.0	28386.0	31782.0
LiJ_2014__O2.UC48-1__bin.33	29136.0	29723.0	12525.0	34608.0	25438.0	12354.0	10619.0	28316.0	35315.0	0.0	34062.0	12471.0	16775.0	9827.0	30362.0	14226.0	7213.0	30360.0	29528.0	27058.0	43931.0	28594.0	19396.0	19020.0	14225.0	33360.0	33216.0	27995.0	21333.0	23486.0	35975.0	30643.0	17344.0	33880.0	16526.0	7138.0	19616.0	10934.0	25382.0	12454.0	21614.0	12188.0	29762.0	11949.0
