	BackhedF_2015__SID637_12M__bin.4	LeChatelierE_2013__MH0275__bin.50	HMP_2012__SRS050299__bin.13	FengQ_2015__SID31379__bin.19	BackhedF_2015__SID82_12M__bin.20	LeChatelierE_2013__MH0446__bin.94	NielsenHB_2014__V1_UC32_0__bin.45	BackhedF_2015__SID511_12M__bin.15	ZeeviD_2015__PNP_Main_123__bin.4	LiJ_2014__O2.UC48-1__bin.33	Bengtsson-PalmeJ_2015__TRAVELRES52__bin.21	CosteaPI_2017__donald1-11-7-0__bin.10	ZeeviD_2015__PNP_Main_269__bin.12	CosteaPI_2017__donald4-11-0-0__bin.41	NielsenHB_2014__V1_CD28_0__bin.2	ZeeviD_2015__PNP_Main_481__bin.36	LeChatelierE_2013__MH0419__bin.80	ZeeviD_2015__PNP_Main_565__bin.20	CosteaPI_2017__mickey4-11-7-0__bin.60	HMP_2012__SRS021484__bin.33	LiJ_2014__V1.CD54-0__bin.51	HMP_2012__SRS052697__bin.59	LiuW_2016__SRR3993035__bin.45	Bengtsson-PalmeJ_2015__TRAVELRES18__bin.24	CosteaPI_2017__donald3-11-7-0__bin.24	HMP_2012__SRS011084__bin.6	ZellerG_2014__CCMD95433940ST-21-0__bin.78	LeChatelierE_2013__MH0302__bin.17	BackhedF_2015__SID281_12M__bin.21	LeChatelierE_2013__MH0067__bin.7	CosteaPI_2017__SID713B029-11-0-0__bin.42	HMP_2012__SRS024075__bin.36	ZeeviD_2015__PNP_Validation_41__bin.27	LeChatelierE_2013__MH0212__bin.16	LiJ_2014__V1.FI20__bin.90	LouisS_2016__AS60_0__bin.11	VogtmannE_2016__MMRS31306426ST-27-0-0__bin.20	LeChatelierE_2013__MH0411__bin.47	Bengtsson-PalmeJ_2015__TRAVELRES46__bin.34	FengQ_2015__SID530119__bin.66	LiJ_2014__V1.FI18__bin.2	XieH_2016__YSZC12003_36006__bin.40	KosticAD_2015__PRJNA231909.3112359__bin.1	HMP_2012__SRS024435__bin.11
BackhedF_2015__SID637_12M__bin.4	2131659.0	2022792.0	1602693.0	1895691.0	1669689.0	1877053.0	1775647.0	2064602.0	1905114.0	1950866.0	1980566.0	1623169.0	1150647.0	1295414.0	1991260.0	1931069.0	1216373.0	1714050.0	1876650.0	1610939.0	1924665.0	1959615.0	1252953.0	1508879.0	1958743.0	1953449.0	1882349.0	1819851.0	1354633.0	1965744.0	1944139.0	1959188.0	1189488.0	1903685.0	1199254.0	1237559.0	1417015.0	1942084.0	2005771.0	1451410.0	1117445.0	1851738.0	2035730.0	1807319.0
LeChatelierE_2013__MH0275__bin.50	2022792.0	2081594.0	1582090.0	1858377.0	1678623.0	1843549.0	1754464.0	1996933.0	1866288.0	1922460.0	1947150.0	1612801.0	1147424.0	1281284.0	1946720.0	1882941.0	1185326.0	1676663.0	1858104.0	1596318.0	1876230.0	1942893.0	1273020.0	1496789.0	1919799.0	1904244.0	1866853.0	1799482.0	1356042.0	1949830.0	1915745.0	1910142.0	1185602.0	1884641.0	1159580.0	1223975.0	1412534.0	1915344.0	1961392.0	1448977.0	1107183.0	1816938.0	1998035.0	1791775.0
HMP_2012__SRS050299__bin.13	1602693.0	1582090.0	1706157.0	1488287.0	1355466.0	1509437.0	1454522.0	1592930.0	1507988.0	1549106.0	1554163.0	1309937.0	953974.0	1022769.0	1568705.0	1554460.0	917928.0	1376957.0	1500860.0	1302165.0	1517091.0	1547408.0	1006167.0	1247058.0	1547912.0	1535563.0	1508734.0	1462271.0	1111445.0	1559682.0	1528863.0	1521112.0	991853.0	1512728.0	862869.0	1029701.0	1140100.0	1557374.0	1579001.0	1195787.0	966744.0	1480719.0	1588256.0	1460184.0
FengQ_2015__SID31379__bin.19	1895691.0	1858377.0	1488287.0	1994957.0	1596196.0	1770973.0	1705552.0	1890868.0	1847553.0	1826619.0	1898547.0	1548158.0	1091412.0	1221643.0	1886280.0	1830792.0	1110711.0	1651146.0	1807414.0	1544247.0	1830373.0	1817767.0	1191780.0	1440345.0	1849530.0	1858653.0	1849867.0	1774344.0	1293049.0	1821715.0	1942322.0	1803841.0	1107596.0	1858362.0	1095066.0	1179489.0	1374133.0	1817941.0	1848926.0	1392550.0	1085510.0	1773874.0	1895233.0	1742370.0
BackhedF_2015__SID82_12M__bin.20	1669689.0	1678623.0	1355466.0	1596196.0	1710397.0	1562823.0	1551639.0	1666845.0	1585706.0	1598866.0	1623698.0	1401770.0	1001804.0	1079366.0	1614974.0	1601732.0	906355.0	1426456.0	1558373.0	1393189.0	1599314.0	1647792.0	1108598.0	1296072.0	1627762.0	1606429.0	1598203.0	1554775.0	1203009.0	1615794.0	1637272.0	1583586.0	1013928.0	1588066.0	873477.0	1079682.0	1226971.0	1610741.0	1638006.0	1239184.0	1052803.0	1549338.0	1681317.0	1550387.0
LeChatelierE_2013__MH0446__bin.94	1877053.0	1843549.0	1509437.0	1770973.0	1562823.0	2033158.0	1742483.0	1862392.0	1800237.0	1939683.0	1853008.0	1548553.0	1083238.0	1221545.0	1853639.0	1865116.0	1184640.0	1615055.0	1783339.0	1553628.0	1842792.0	1811572.0	1178662.0	1437384.0	1859927.0	1851363.0	1799380.0	1738267.0	1296271.0	1801785.0	1827147.0	1823285.0	1108918.0	1799326.0	1101506.0	1198938.0	1346592.0	1879671.0	1859111.0	1411508.0	1078957.0	1797141.0	1852820.0	1756263.0
NielsenHB_2014__V1_UC32_0__bin.45	1775647.0	1754464.0	1454522.0	1705552.0	1551639.0	1742483.0	1926117.0	1772482.0	1747344.0	1777225.0	1761171.0	1492277.0	1050977.0	1174300.0	1767545.0	1811553.0	1017645.0	1562671.0	1728165.0	1509219.0	1774273.0	1731317.0	1144324.0	1394640.0	1768075.0	1780761.0	1725379.0	1696561.0	1271025.0	1723385.0	1746677.0	1722971.0	1075008.0	1739855.0	983202.0	1159747.0	1310949.0	1761912.0	1765404.0	1351998.0	1091645.0	1787831.0	1770886.0	1714089.0
BackhedF_2015__SID511_12M__bin.15	2064602.0	1996933.0	1592930.0	1890868.0	1666845.0	1862392.0	1772482.0	2088189.0	1880006.0	1926830.0	1955140.0	1613035.0	1149614.0	1277512.0	1949153.0	1919836.0	1184592.0	1686071.0	1849234.0	1610350.0	1888607.0	1938834.0	1252861.0	1505345.0	1952492.0	1918517.0	1873953.0	1809604.0	1352390.0	1948542.0	1940060.0	1932507.0	1179350.0	1882210.0	1172116.0	1227691.0	1413905.0	1936497.0	1984886.0	1444364.0	1110350.0	1826415.0	2040151.0	1796818.0
ZeeviD_2015__PNP_Main_123__bin.4	1905114.0	1866288.0	1507988.0	1847553.0	1585706.0	1800237.0	1747344.0	1880006.0	2072225.0	1877610.0	1914550.0	1545315.0	1100770.0	1229238.0	1929116.0	1890939.0	1136111.0	1688493.0	1848964.0	1579676.0	1891256.0	1840777.0	1181300.0	1449502.0	1846841.0	1930542.0	1845988.0	1801778.0	1302485.0	1831184.0	1872724.0	1866766.0	1116364.0	1911803.0	1121525.0	1193065.0	1379859.0	1842635.0	1884112.0	1404441.0	1131016.0	1845193.0	1891127.0	1766799.0
LiJ_2014__O2.UC48-1__bin.33	1950866.0	1922460.0	1549106.0	1826619.0	1598866.0	1939683.0	1777225.0	1926830.0	1877610.0	2129811.0	1931085.0	1593704.0	1121271.0	1268858.0	1923228.0	1945726.0	1245754.0	1667900.0	1850681.0	1595853.0	1893526.0	1885756.0	1206779.0	1472769.0	1920401.0	1952725.0	1844543.0	1787236.0	1331523.0	1866917.0	1879580.0	1922491.0	1140338.0	1869010.0	1157869.0	1229078.0	1393188.0	1952773.0	1936212.0	1444478.0	1101325.0	1880212.0	1918683.0	1819103.0
