	VogtmannE_2016__MMRS51737257ST-27-0-0__bin.46	LeChatelierE_2013__MH0040__bin.33	XieH_2016__YSZC12003_35740__bin.16	XieH_2016__YSZC12003_37100__bin.40	LiJ_2014__MH0389__bin.43	XieH_2016__YSZC12003_37105__bin.29	FengQ_2015__SID531663__bin.76	ZeeviD_2015__PNP_Main_140__bin.29	LiJ_2014__MH0259__bin.70	LeChatelierE_2013__MH0141__bin.13	ZeeviD_2015__PNP_Main_750__bin.13	LiJ_2014__MH0385__bin.51	XieH_2016__YSZC12003_37233__bin.75	LeChatelierE_2013__MH0313__bin.42	QinN_2014__LD-34__bin.13	YuJ_2015__SZAXPI003436-7__bin.52	QinJ_2012__T2D-043__bin.45	LeChatelierE_2013__MH0428__bin.9	ChengpingW_2017__AS38raw__bin.49	ZeeviD_2015__PNP_Validation_46__bin.25	RaymondF_2016__P9E0__bin.47	LeChatelierE_2013__MH0405__bin.63	LoombaR_2017__SID0012_qdz__bin.66	LiJ_2014__MH0401__bin.42	XieH_2016__YSZC12003_36058__bin.35	XieH_2016__YSZC12003_37208R1__bin.40	ZeeviD_2015__PNP_Main_586__bin.5	NielsenHB_2014__O2_UC60_0__bin.49	LiJ_2014__MH0265__bin.69	LeChatelierE_2013__MH0181__bin.2	LiJ_2014__MH0323__bin.40
VogtmannE_2016__MMRS51737257ST-27-0-0__bin.46	1.0	0.7461175680273466	0.84777210394551	0.8213446523022548	0.894533944936824	0.8027208762286417	0.7539343017135876	0.7497027464846462	0.8684742969111025	0.6270543863301832	0.8047035335988968	0.8237429930509057	0.8239744118950737	0.6913445725026534	0.6140905783512386	0.8136178745303613	0.8376549653851092	0.7991197378510547	0.8515662122683907	0.7541338007171807	0.7574657968026476	0.8440302280890244	0.8520363044659485	0.20369356082506984	0.8785246939866648	0.9051414883206029	0.7698956729028846	0.8436783843917783	0.7561795723176633	0.32786391701421813	0.7194456394233245
LeChatelierE_2013__MH0040__bin.33	0.7564887040244787	1.0	0.7833401370301312	0.7441993887705903	0.8693175340460665	0.735920944720883	0.7161828686592304	0.7496268999783017	0.8565184931834313	0.6240571363424061	0.7314731658520618	0.8144782667858234	0.8105181474820806	0.7283155150030709	0.614026648425404	0.7402510380234709	0.7618728186796415	0.7416779755140468	0.7834129549742379	0.7250225257529118	0.7094953863580363	0.7731618066205486	0.782867923695621	0.2722846813847178	0.8632596695242193	0.869837557141859	0.7108193489781582	0.853672709084958	0.7521321314694881	0.37940870358315776	0.7300388730135963
XieH_2016__YSZC12003_35740__bin.16	0.7393020429569451	0.6737487655777601	1.0	0.8508742018562674	0.8639089415505419	0.835096371921536	0.7682208946801383	0.6731926824778152	0.8278590674125814	0.5904318279444727	0.8303313913654655	0.7655334760128273	0.7804642123516242	0.6291178775971895	0.5409840836237639	0.7817282101146391	0.8353816887339082	0.8197114061563904	0.8682880168836697	0.7336425214414635	0.7040176529497394	0.8535470699987789	0.8460636718312595	0.15508202383882067	0.824610504593221	0.8919174365264988	0.8086049273138023	0.8052298381918379	0.7250355697068195	0.27310639153943916	0.6700820333282934
XieH_2016__YSZC12003_37100__bin.40	0.6786451134147176	0.6064729287622985	0.8061945618958678	1.0	0.7820580446465927	0.8193180850949049	0.7037502802250433	0.6072599565306521	0.7461886397067197	0.5256494327765596	0.7467011368445281	0.689152803269432	0.7109294360373601	0.573058714789049	0.5107744281311178	0.7114323425854552	0.7622594710070479	0.7639522100914582	0.7979814206300778	0.6549875262392542	0.6565334094186784	0.7891269086772059	0.8011055552292091	0.13864815842695147	0.7640265371617369	0.831707928180869	0.7165890827919645	0.7381301467000579	0.6522050563986617	0.2697413298071932	0.6196180307881906
LiJ_2014__MH0389__bin.43	0.6988189355685148	0.6698091821525523	0.773914571184068	0.739417175306459	1.0	0.7236218553592781	0.6731704552538665	0.6914350159534375	0.8363732707663885	0.5633178616159727	0.7108602388198423	0.7480756697326737	0.7779372176978312	0.6522638012819424	0.5827770882567965	0.7030801752327841	0.7398541238077426	0.7166074434262203	0.761772390068631	0.7057347365557577	0.6621231956747199	0.7480195635048824	0.7674991924103576	0.29291814724767784	0.8544054723407631	0.8583289411791375	0.6880125360581691	0.8369451009062006	0.700892032348924	0.3587721237057313	0.6675218615933035
XieH_2016__YSZC12003_37105__bin.29	0.7049056781667188	0.6373858722380636	0.8409308085711446	0.8707664747867789	0.8134114613195118	1.0	0.7328078933219174	0.6335297999913361	0.7812703060140203	0.574813407639011	0.7892251670985876	0.7264736910504468	0.7366843512140926	0.6094269595064635	0.5173328950419562	0.7352235923074767	0.7993861372514544	0.8131833969110651	0.8219345722709354	0.6907128095751377	0.6799262549275926	0.8179224224262486	0.8149709631962654	0.14060616716738908	0.7850709547871867	0.8409703057591997	0.7490106591443635	0.7539344295714173	0.698047819627809	0.28226729148669966	0.6482520583131388
FengQ_2015__SID531663__bin.76	0.7869281827694983	0.7372764182702866	0.9194855897590444	0.8890023003684527	0.899412262675121	0.8710142974184081	1.0	0.7203727232939944	0.871545093430699	0.6445347697889992	0.8695718346460628	0.8146916158460404	0.8114871526163473	0.6688029754864621	0.5692722869963306	0.8320678025650851	0.88532307380109	0.8692371529949465	0.9071932324644231	0.7790048596987259	0.7557073822291616	0.8903569281373377	0.8856766854098487	0.1514873646318729	0.8604665250201036	0.9080170642210171	0.8295145298782879	0.8321192920498722	0.7594161395304462	0.2931008633575082	0.7213767682473434
ZeeviD_2015__PNP_Main_140__bin.29	0.7110244812644226	0.701205692984496	0.7321364929222987	0.6970321403458558	0.8394193629174412	0.6842204483438579	0.6545624925177407	1.0	0.8312566480303941	0.5869146121127974	0.6949605005511071	0.7770527535402267	0.783999042270809	0.6840360579536244	0.6232574076087181	0.6887524614053024	0.713744927544209	0.668668357370593	0.7233972140538503	0.6990494262569164	0.6502829842071007	0.7195119434059107	0.7251296580934308	0.30818927260743145	0.8414173841608654	0.825982257241107	0.6652591992228083	0.8463422588373223	0.7014637019260539	0.3994122900323233	0.6739792134236204
LiJ_2014__MH0259__bin.70	0.7082183190662399	0.6888929642622621	0.7741476718114969	0.7364470500541301	0.8730567863840462	0.7255127575619539	0.6809237030945888	0.7147429261049356	1.0	0.5898182054816401	0.7096304359400604	0.778405319545425	0.7833953513136178	0.6737223211486242	0.5947384300478593	0.7094837224986246	0.7353603057318812	0.7254488662245544	0.7514674302075877	0.716417707365843	0.6709075527843016	0.7584919278027887	0.7495767198897283	0.29287138318829603	0.8607618450398434	0.8566278388755124	0.6906174387855913	0.8514449499222063	0.7070966711430041	0.3659553825493827	0.6953702443843656
LeChatelierE_2013__MH0141__bin.13	0.7840528939653421	0.7696075585614351	0.846578292357261	0.7954613073640823	0.9016247714144727	0.818465900844678	0.7721201851905605	0.7737837798612521	0.9043741473396999	1.0	0.7987948463034455	0.8755515079388116	0.8279222664073612	0.7438862442309366	0.6467827494122087	0.7741257510667324	0.8354864517720821	0.8245814707845927	0.8309074845432642	0.7479327523148821	0.7286590011900961	0.8357676482540419	0.8201748497866536	0.21053634147049433	0.8704827145801284	0.898995130765435	0.7893185248613973	0.8717490058343735	0.7837707903979564	0.3994405097094424	0.7633994659081014
