	VogtmannE_2016__MMRS51737257ST-27-0-0__bin.46	LeChatelierE_2013__MH0040__bin.33	XieH_2016__YSZC12003_35740__bin.16	XieH_2016__YSZC12003_37100__bin.40	LiJ_2014__MH0389__bin.43	XieH_2016__YSZC12003_37105__bin.29	FengQ_2015__SID531663__bin.76	ZeeviD_2015__PNP_Main_140__bin.29	LiJ_2014__MH0259__bin.70	LeChatelierE_2013__MH0141__bin.13	ZeeviD_2015__PNP_Main_750__bin.13	LiJ_2014__MH0385__bin.51	XieH_2016__YSZC12003_37233__bin.75	LeChatelierE_2013__MH0313__bin.42	QinN_2014__LD-34__bin.13	YuJ_2015__SZAXPI003436-7__bin.52	QinJ_2012__T2D-043__bin.45	LeChatelierE_2013__MH0428__bin.9	ChengpingW_2017__AS38raw__bin.49	ZeeviD_2015__PNP_Validation_46__bin.25	RaymondF_2016__P9E0__bin.47	LeChatelierE_2013__MH0405__bin.63	LoombaR_2017__SID0012_qdz__bin.66	LiJ_2014__MH0401__bin.42	XieH_2016__YSZC12003_36058__bin.35	XieH_2016__YSZC12003_37208R1__bin.40	ZeeviD_2015__PNP_Main_586__bin.5	NielsenHB_2014__O2_UC60_0__bin.49	LiJ_2014__MH0265__bin.69	LeChatelierE_2013__MH0181__bin.2	LiJ_2014__MH0323__bin.40
VogtmannE_2016__MMRS51737257ST-27-0-0__bin.46	1.0	0.984941755122523	0.9863302976848609	0.985814256619854	0.9853280316820543	0.9866885551714267	0.9861003575251065	0.9868779788592312	0.9854043558103949	0.9864230104694715	0.9856328554355505	0.9862368706990221	0.9855261342604844	0.9872024364472621	0.9804476844387613	0.9792063561356791	0.979610605234067	0.9863210562791339	0.9815701188409578	0.9849864930551279	0.9857462361774461	0.9855754080529681	0.9854443549469728	0.9854593314030008	0.9862760779765706	0.9850656594645081	0.9844977995799535	0.9853598813810633	0.9864518290409341	0.9867320783717812	0.9864553150728261
LeChatelierE_2013__MH0040__bin.33	0.984941755122523	1.0	0.9859101992753287	0.9851983629687404	0.9846465174945889	0.9860099475619407	0.9853895298883646	0.9853334867339115	0.9852360622505149	0.9865810832810066	0.9842136359902576	0.9859014230347688	0.9852614562582482	0.9863441757795146	0.9797570802686694	0.97840039664408	0.9788885665224208	0.9856504977361412	0.9805906046447396	0.9848492114875829	0.9855075129012253	0.985186899989784	0.9838049382875809	0.9865128835140587	0.9848585164132038	0.9825710034073659	0.9823693610723137	0.983923911771837	0.985328452453336	0.9862584940364885	0.9857421510322937
XieH_2016__YSZC12003_35740__bin.16	0.9863302976848609	0.9859101992753287	1.0	0.9863839911055179	0.9861670283483843	0.9869811760905844	0.9866745319429345	0.9866162903898753	0.9856468411903119	0.987645110426786	0.9864156882079155	0.986890695443958	0.9862591306669694	0.9881043463054119	0.9812039737743743	0.9796961196746813	0.9796333664703176	0.9869933698560016	0.982198791020605	0.9855951426844929	0.9865742776493284	0.9861045027345888	0.9849927968960367	0.9874483392009796	0.9863705019856644	0.9844324748559506	0.9843479131449343	0.9855087949133671	0.9874090724637431	0.9881816225718877	0.9874683025059666
XieH_2016__YSZC12003_37100__bin.40	0.985814256619854	0.9851983629687404	0.9863839911055179	1.0	0.9859219746414184	0.9872825622960872	0.9868771434335284	0.9865738937363665	0.9862582622742754	0.987249343666551	0.9848227675878573	0.9864920057179237	0.9860503282275711	0.9879456443112535	0.9805405293445504	0.9795156411832913	0.9785435565647838	0.9868653143017315	0.980490704195062	0.9854782430676242	0.9873064005235366	0.9850915800800044	0.9838699584878353	0.9837660128272742	0.9854040217795497	0.9840890683090611	0.9841221625403881	0.9842431450407549	0.9861915508787195	0.987535385898308	0.9875122040692331
LiJ_2014__MH0389__bin.43	0.9853280316820543	0.9846465174945889	0.9861670283483843	0.9859219746414184	1.0	0.985780417153057	0.9864213186376972	0.9859140588698762	0.986315917511883	0.9871538312568588	0.9854390212860233	0.9869482288217143	0.9854007315068395	0.9869543853691541	0.9810172350302515	0.9793325244538682	0.9793004739421818	0.986660746779696	0.9815434158737577	0.9864259845438732	0.986052231128186	0.9862857288037058	0.9844230781811878	0.9874103777459801	0.9856591057976832	0.9838430767271966	0.9841770279111132	0.985206538076403	0.9863688785170462	0.987249564510872	0.9872082312542588
XieH_2016__YSZC12003_37105__bin.29	0.9866885551714267	0.9860099475619407	0.9869811760905844	0.9872825622960872	0.985780417153057	1.0	0.9871761974846708	0.9866909551278616	0.986765719931801	0.9882165723685796	0.985846586740386	0.9871940039578865	0.9873287922693765	0.9886627525431296	0.9815991113227777	0.9798378743679171	0.97914553337058	0.9874885216682281	0.9810006805022791	0.9855687158556872	0.9880696803985228	0.9856427924929815	0.9849723283882711	0.9851852182490972	0.9864260963460602	0.9843874320953592	0.9841456381462258	0.9849741454430146	0.9871363489356565	0.9880123087900816	0.9877077901782682
FengQ_2015__SID531663__bin.76	0.9861003575251065	0.9853895298883646	0.9866745319429345	0.9868771434335284	0.9864213186376972	0.9871761974846708	1.0	0.986455197842454	0.9863497928774524	0.987583419188966	0.985801929186478	0.986773971660476	0.9862674957827905	0.9881954909930623	0.9809963229633418	0.979694254818558	0.9795799534510407	0.9873897538847403	0.9816950063584042	0.9862993605537393	0.9870295684302761	0.9860245882050074	0.9851661938805075	0.9864163930223155	0.9863125698692533	0.9845241907013784	0.9842396592417032	0.984873062418446	0.9872320110247071	0.9865758640815796	0.9868713006258766
ZeeviD_2015__PNP_Main_140__bin.29	0.9868779788592312	0.9853334867339115	0.9866162903898753	0.9865738937363665	0.9859140588698762	0.9866909551278616	0.986455197842454	1.0	0.9864159409806191	0.9873422995902683	0.9866336643334512	0.9871212525117272	0.9860234016299109	0.9872478516373632	0.9814429996294667	0.9805747925829423	0.9808748207043989	0.9864877484317587	0.9830488348762041	0.9852191670836291	0.986785382797924	0.9864581623624451	0.9858999592143715	0.9864562503853912	0.9861688573502136	0.9853095789358781	0.9850798424545467	0.985627899038735	0.9867473459365658	0.9868090249387622	0.9870809183319764
LiJ_2014__MH0259__bin.70	0.9854043558103949	0.9852360622505149	0.9856468411903119	0.9862582622742754	0.986315917511883	0.986765719931801	0.9863497928774524	0.9864159409806191	1.0	0.9876118975708186	0.9854718366904311	0.9871448420319777	0.9857419557504865	0.9877344138937121	0.9811763442854146	0.9789571036406929	0.9792889105978004	0.9865041957181231	0.9812662561635338	0.9860617247862399	0.9865125475496852	0.9862349012751274	0.9845334029543881	0.9868987885565742	0.9860677002149687	0.9838890176112586	0.984393379919336	0.9851312132951854	0.9870301355700142	0.9872515911571879	0.9871640364587051
LeChatelierE_2013__MH0141__bin.13	0.9864230104694715	0.9865810832810066	0.987645110426786	0.987249343666551	0.9871538312568588	0.9882165723685796	0.987583419188966	0.9873422995902683	0.9876118975708186	1.0	0.9863287572116758	0.9881026720362632	0.9873445929208039	0.9885353696683321	0.981771317397177	0.9801618019648694	0.9807557978576145	0.9879141372317604	0.982988006936575	0.9870026801435954	0.9882426610436806	0.9865124725099413	0.9853513783893055	0.9882105496208557	0.9867723997236024	0.9848576842929528	0.9846236360817825	0.9860633863006053	0.9881294643163463	0.9883203160068229	0.9883710824922666
ZeeviD_2015__PNP_Main_750__bin.13	0.9856328554355505	0.9842136359902576	0.9864156882079155	0.9848227675878573	0.9854390212860233	0.985846586740386	0.985801929186478	0.9866336643334512	0.9854718366904311	0.9863287572116758	1.0	0.9856820272788408	0.9845113415446877	0.9865641018020322	0.9817873970614213	0.9804862331869258	0.9801202972922687	0.9855742119013157	0.9823955671179996	0.984917900008044	0.9859098821105556	0.9857315098641466	0.9852088634712755	0.9874363523591098	0.9861716999606541	0.985226566882122	0.984418794135856	0.985603428068545	0.9863431957518797	0.9864757471688473	0.9860639587145654
LiJ_2014__MH0385__bin.51	0.9862368706990221	0.9859014230347688	0.986890695443958	0.9864920057179237	0.9869482288217143	0.9871940039578865	0.986773971660476	0.9871212525117272	0.9871448420319777	0.9881026720362632	0.9856820272788408	1.0	0.9862025191993624	0.9886416299508124	0.9810794883786284	0.9794185158859469	0.9804510169299132	0.987314301737959	0.9820064172396936	0.9867835462655814	0.987028372998754	0.9865523255958205	0.9850883308253433	0.9875861795606732	0.986635153467865	0.9847515509810866	0.9842077716630641	0.9858873134253358	0.9874377556270657	0.988447110137793	0.9878868141570226
XieH_2016__YSZC12003_37233__bin.75	0.9855261342604844	0.9852614562582482	0.9862591306669694	0.9860503282275711	0.9854007315068395	0.9873287922693765	0.9862674957827905	0.9860234016299109	0.9857419557504865	0.9873445929208039	0.9845113415446877	0.9862025191993624	1.0	0.9876183645889055	0.9802951566331147	0.9794109759262948	0.9790519639093425	0.9866960775176137	0.981033421853747	0.9854350189755949	0.9859566187202247	0.9856093156176509	0.9851783935674097	0.9869987292640969	0.9859711592869268	0.9834833987427499	0.9842002376955391	0.9847899644705128	0.9865151003808287	0.9872049934433377	0.987204604117073
LeChatelierE_2013__MH0313__bin.42	0.9872024364472621	0.9863441757795146	0.9881043463054119	0.9879456443112535	0.9869543853691541	0.9886627525431296	0.9881954909930623	0.9872478516373632	0.9877344138937121	0.9885353696683321	0.9865641018020322	0.9886416299508124	0.9876183645889055	1.0	0.9813174319853568	0.9807296417483284	0.9818153291294335	0.9889090038253545	0.9829503566614639	0.9867078361324608	0.9880629161336785	0.9872687688628613	0.9863353838267334	0.9873070340820378	0.987138945429873	0.9853508525214789	0.9854109386419796	0.9855811627647677	0.9881480986879444	0.9876999062058485	0.9877793129482023
QinN_2014__LD-34__bin.13	0.9804476844387613	0.9797570802686694	0.9812039737743743	0.9805405293445504	0.9810172350302515	0.9815991113227777	0.9809963229633418	0.9814429996294667	0.9811763442854146	0.981771317397177	0.9817873970614213	0.9810794883786284	0.9802951566331147	0.9813174319853568	1.0	0.9850532723066708	0.9865761750640627	0.981374187791421	0.9845191443963875	0.9812477030942006	0.9819828119281685	0.9818805502629984	0.9809616962493568	0.9828554551324449	0.9812082794716647	0.9800183389207205	0.9800097866412347	0.9818795961013894	0.9806731556934023	0.9819518222878731	0.9817535195695437
YuJ_2015__SZAXPI003436-7__bin.52	0.9792063561356791	0.97840039664408	0.9796961196746813	0.9795156411832913	0.9793325244538682	0.9798378743679171	0.979694254818558	0.9805747925829423	0.9789571036406929	0.9801618019648694	0.9804862331869258	0.9794185158859469	0.9794109759262948	0.9807296417483284	0.9850532723066708	1.0	0.9853068000604572	0.9793319365500364	0.9829385035125912	0.9800750869790268	0.979992652642303	0.9797133451100049	0.9795591261027572	0.9802597090090323	0.9795526325964965	0.9793378482040501	0.9788042563339974	0.9790008114848473	0.9802595346596945	0.9803718397289861	0.9807176298230807
QinJ_2012__T2D-043__bin.45	0.979610605234067	0.9788885665224208	0.9796333664703176	0.9785435565647838	0.9793004739421818	0.97914553337058	0.9795799534510407	0.9808748207043989	0.9792889105978004	0.9807557978576145	0.9801202972922687	0.9804510169299132	0.9790519639093425	0.9818153291294335	0.9865761750640627	0.9853068000604572	1.0	0.9792140050295594	0.9828677970102797	0.9796894181947827	0.9799096313826864	0.9793209601651582	0.9791741360228211	0.9831843875327628	0.9792705293609726	0.9789742533229885	0.9782869459804304	0.9797386786938375	0.9808167404541617	0.9823405132065045	0.9812108957729284
LeChatelierE_2013__MH0428__bin.9	0.9863210562791339	0.9856504977361412	0.9869933698560016	0.9868653143017315	0.986660746779696	0.9874885216682281	0.9873897538847403	0.9864877484317587	0.9865041957181231	0.9879141372317604	0.9855742119013157	0.987314301737959	0.9866960775176137	0.9889090038253545	0.981374187791421	0.9793319365500364	0.9792140050295594	1.0	0.9814605720961144	0.9863035056568887	0.9868935404404714	0.9861696615441452	0.9848429946623601	0.9880238826061981	0.9866052038283836	0.984396884682314	0.9846515793873529	0.9847743824978785	0.9878619689784354	0.9878436058564233	0.987427081042379
ChengpingW_2017__AS38raw__bin.49	0.9815701188409578	0.9805906046447396	0.982198791020605	0.980490704195062	0.9815434158737577	0.9810006805022791	0.9816950063584042	0.9830488348762041	0.9812662561635338	0.982988006936575	0.9823955671179996	0.9820064172396936	0.981033421853747	0.9829503566614639	0.9845191443963875	0.9829385035125912	0.9828677970102797	0.9814605720961144	1.0	0.9817377946554587	0.9821836343432123	0.9817089873681998	0.9810826761720118	0.9819860870621829	0.9813024624754323	0.9806635500137916	0.9803997519094894	0.98112059580778	0.9825090023300148	0.9824405842762342	0.9827661506227447
ZeeviD_2015__PNP_Validation_46__bin.25	0.9849864930551279	0.9848492114875829	0.9855951426844929	0.9854782430676242	0.9864259845438732	0.9855687158556872	0.9862993605537393	0.9852191670836291	0.9860617247862399	0.9870026801435954	0.984917900008044	0.9867835462655814	0.9854350189755949	0.9867078361324608	0.9812477030942006	0.9800750869790268	0.9796894181947827	0.9863035056568887	0.9817377946554587	1.0	0.9859045132302438	0.9869914139782847	0.9845384484664587	0.9861508406252554	0.9854405803491686	0.9837108006988265	0.9836668280760886	0.9852291644935851	0.9865450240790039	0.986319761443774	0.986583931284801
RaymondF_2016__P9E0__bin.47	0.9857462361774461	0.9855075129012253	0.9865742776493284	0.9873064005235366	0.986052231128186	0.9880696803985228	0.9870295684302761	0.986785382797924	0.9865125475496852	0.9882426610436806	0.9859098821105556	0.987028372998754	0.9859566187202247	0.9880629161336785	0.9819828119281685	0.979992652642303	0.9799096313826864	0.9868935404404714	0.9821836343432123	0.9859045132302438	1.0	0.9865545258450683	0.9851799458018541	0.9863232786499676	0.9860923989242323	0.9850971151219365	0.9836655431534497	0.985368395375283	0.9874782311935077	0.9882002438025534	0.9877689482854275
LeChatelierE_2013__MH0405__bin.63	0.9855754080529681	0.985186899989784	0.9861045027345888	0.9850915800800044	0.9862857288037058	0.9856427924929815	0.9860245882050074	0.9864581623624451	0.9862349012751274	0.9865124725099413	0.9857315098641466	0.9865523255958205	0.9856093156176509	0.9872687688628613	0.9818805502629984	0.9797133451100049	0.9793209601651582	0.9861696615441452	0.9817089873681998	0.9869914139782847	0.9865545258450683	1.0	0.9843911389164359	0.9856666767524389	0.9860264894597713	0.9846374262164626	0.9842667817772995	0.9852266194020132	0.986724923807212	0.9873809983911938	0.9867934597282401
LoombaR_2017__SID0012_qdz__bin.66	0.9854443549469728	0.9838049382875809	0.9849927968960367	0.9838699584878353	0.9844230781811878	0.9849723283882711	0.9851661938805075	0.9858999592143715	0.9845334029543881	0.9853513783893055	0.9852088634712755	0.9850883308253433	0.9851783935674097	0.9863353838267334	0.9809616962493568	0.9795591261027572	0.9791741360228211	0.9848429946623601	0.9810826761720118	0.9845384484664587	0.9851799458018541	0.9843911389164359	1.0	0.9868093130381655	0.9854273738037084	0.9850621182801114	0.9835198573833812	0.9851415335891154	0.9853129002563442	0.9864540629681675	0.9855039633323328
LiJ_2014__MH0401__bin.42	0.9854593314030008	0.9865128835140587	0.9874483392009796	0.9837660128272742	0.9874103777459801	0.9851852182490972	0.9864163930223155	0.9864562503853912	0.9868987885565742	0.9882105496208557	0.9874363523591098	0.9875861795606732	0.9869987292640969	0.9873070340820378	0.9828554551324449	0.9802597090090323	0.9831843875327628	0.9880238826061981	0.9819860870621829	0.9861508406252554	0.9863232786499676	0.9856666767524389	0.9868093130381655	1.0	0.9865567251183949	0.9844637272129012	0.9828898585084113	0.986688432174591	0.9874916682030264	0.9884654121811413	0.9885708862232183
XieH_2016__YSZC12003_36058__bin.35	0.9862760779765706	0.9848585164132038	0.9863705019856644	0.9854040217795497	0.9856591057976832	0.9864260963460602	0.9863125698692533	0.9861688573502136	0.9860677002149687	0.9867723997236024	0.9861716999606541	0.986635153467865	0.9859711592869268	0.987138945429873	0.9812082794716647	0.9795526325964965	0.9792705293609726	0.9866052038283836	0.9813024624754323	0.9854405803491686	0.9860923989242323	0.9860264894597713	0.9854273738037084	0.9865567251183949	1.0	0.984436972786633	0.9844537943800573	0.9859514457170524	0.9866115648534199	0.9871340891039064	0.9866956341462161
XieH_2016__YSZC12003_37208R1__bin.40	0.9850656594645081	0.9825710034073659	0.9844324748559506	0.9840890683090611	0.9838430767271966	0.9843874320953592	0.9845241907013784	0.9853095789358781	0.9838890176112586	0.9848576842929528	0.985226566882122	0.9847515509810866	0.9834833987427499	0.9853508525214789	0.9800183389207205	0.9793378482040501	0.9789742533229885	0.984396884682314	0.9806635500137916	0.9837108006988265	0.9850971151219365	0.9846374262164626	0.9850621182801114	0.9844637272129012	0.984436972786633	1.0	0.9833281104550218	0.984130542722235	0.9847543094655242	0.9865712244402697	0.9847890984110278
ZeeviD_2015__PNP_Main_586__bin.5	0.9844977995799535	0.9823693610723137	0.9843479131449343	0.9841221625403881	0.9841770279111132	0.9841456381462258	0.9842396592417032	0.9850798424545467	0.984393379919336	0.9846236360817825	0.984418794135856	0.9842077716630641	0.9842002376955391	0.9854109386419796	0.9800097866412347	0.9788042563339974	0.9782869459804304	0.9846515793873529	0.9803997519094894	0.9836668280760886	0.9836655431534497	0.9842667817772995	0.9835198573833812	0.9828898585084113	0.9844537943800573	0.9833281104550218	1.0	0.9839566209577688	0.9849108220201951	0.9856074048967223	0.9852651730619248
NielsenHB_2014__O2_UC60_0__bin.49	0.9853598813810633	0.983923911771837	0.9855087949133671	0.9842431450407549	0.985206538076403	0.9849741454430146	0.984873062418446	0.985627899038735	0.9851312132951854	0.9860633863006053	0.985603428068545	0.9858873134253358	0.9847899644705128	0.9855811627647677	0.9818795961013894	0.9790008114848473	0.9797386786938375	0.9847743824978785	0.98112059580778	0.9852291644935851	0.985368395375283	0.9852266194020132	0.9851415335891154	0.986688432174591	0.9859514457170524	0.984130542722235	0.9839566209577688	1.0	0.9857922223840536	0.9872519106179017	0.9864221297259799
LiJ_2014__MH0265__bin.69	0.9864518290409341	0.985328452453336	0.9874090724637431	0.9861915508787195	0.9863688785170462	0.9871363489356565	0.9872320110247071	0.9867473459365658	0.9870301355700142	0.9881294643163463	0.9863431957518797	0.9874377556270657	0.9865151003808287	0.9881480986879444	0.9806731556934023	0.9802595346596945	0.9808167404541617	0.9878619689784354	0.9825090023300148	0.9865450240790039	0.9874782311935077	0.986724923807212	0.9853129002563442	0.9874916682030264	0.9866115648534199	0.9847543094655242	0.9849108220201951	0.9857922223840536	1.0	0.9877622237052641	0.9876990389106015
LeChatelierE_2013__MH0181__bin.2	0.9867320783717812	0.9862584940364885	0.9881816225718877	0.987535385898308	0.987249564510872	0.9880123087900816	0.9865758640815796	0.9868090249387622	0.9872515911571879	0.9883203160068229	0.9864757471688473	0.988447110137793	0.9872049934433377	0.9876999062058485	0.9819518222878731	0.9803718397289861	0.9823405132065045	0.9878436058564233	0.9824405842762342	0.986319761443774	0.9882002438025534	0.9873809983911938	0.9864540629681675	0.9884654121811413	0.9871340891039064	0.9865712244402697	0.9856074048967223	0.9872519106179017	0.9877622237052641	1.0	0.9875035495475987
