	VogtmannE_2016__MMRS51737257ST-27-0-0__bin.46	LeChatelierE_2013__MH0040__bin.33	XieH_2016__YSZC12003_35740__bin.16	XieH_2016__YSZC12003_37100__bin.40	LiJ_2014__MH0389__bin.43	XieH_2016__YSZC12003_37105__bin.29	FengQ_2015__SID531663__bin.76	ZeeviD_2015__PNP_Main_140__bin.29	LiJ_2014__MH0259__bin.70	LeChatelierE_2013__MH0141__bin.13	ZeeviD_2015__PNP_Main_750__bin.13	LiJ_2014__MH0385__bin.51	XieH_2016__YSZC12003_37233__bin.75	LeChatelierE_2013__MH0313__bin.42	QinN_2014__LD-34__bin.13	YuJ_2015__SZAXPI003436-7__bin.52	QinJ_2012__T2D-043__bin.45	LeChatelierE_2013__MH0428__bin.9	ChengpingW_2017__AS38raw__bin.49	ZeeviD_2015__PNP_Validation_46__bin.25	RaymondF_2016__P9E0__bin.47	LeChatelierE_2013__MH0405__bin.63	LoombaR_2017__SID0012_qdz__bin.66	LiJ_2014__MH0401__bin.42	XieH_2016__YSZC12003_36058__bin.35	XieH_2016__YSZC12003_37208R1__bin.40	ZeeviD_2015__PNP_Main_586__bin.5	NielsenHB_2014__O2_UC60_0__bin.49	LiJ_2014__MH0265__bin.69	LeChatelierE_2013__MH0181__bin.2	LiJ_2014__MH0323__bin.40
VogtmannE_2016__MMRS51737257ST-27-0-0__bin.46	1378453.0	1044212.0	1184810.0	1148477.0	1251434.0	1121441.0	1053912.0	1047171.0	1214883.0	876262.0	1125415.0	1151337.0	1152491.0	965340.0	863376.0	1145350.0	1178701.0	1116826.0	1195884.0	1055383.0	1059229.0	1180484.0	1191840.0	284925.0	1227856.0	1266611.0	1077976.0	1180250.0	1056674.0	458022.0	1005339.0
LeChatelierE_2013__MH0040__bin.33	1044212.0	1359555.0	1080214.0	1026981.0	1200314.0	1014721.0	988127.0	1034329.0	1181934.0	859980.0	1010429.0	1123163.0	1118428.0	1003894.0	852051.0	1028630.0	1058147.0	1023032.0	1086175.0	1000872.0	978783.0	1066961.0	1081873.0	375247.0	1191693.0	1203569.0	983742.0	1179578.0	1037791.0	523014.0	1006884.0
XieH_2016__YSZC12003_35740__bin.16	1184810.0	1080214.0	1580699.0	1363542.0	1384735.0	1337448.0	1230726.0	1078550.0	1327652.0	944970.0	1330579.0	1226152.0	1250867.0	1006418.0	871514.0	1261286.0	1347940.0	1312792.0	1397377.0	1176617.0	1127984.0	1368213.0	1357748.0	248254.0	1321472.0	1432148.0	1298485.0	1291542.0	1160677.0	436862.0	1072640.0
XieH_2016__YSZC12003_37100__bin.40	1148477.0	1026981.0	1363542.0	1668302.0	1323339.0	1384477.0	1189680.0	1026880.0	1262213.0	888268.0	1264921.0	1165458.0	1202824.0	967700.0	869037.0	1211705.0	1299563.0	1291466.0	1357763.0	1108819.0	1109378.0	1336426.0	1358397.0	235124.0	1293507.0	1409974.0	1214775.0	1251138.0	1103310.0	455690.0	1046782.0
LiJ_2014__MH0389__bin.43	1251434.0	1200314.0	1384735.0	1323339.0	1764510.0	1295256.0	1204167.0	1237475.0	1496264.0	1006915.0	1272854.0	1337443.0	1393015.0	1166139.0	1048214.0	1266773.0	1333074.0	1281556.0	1369430.0	1262412.0	1184849.0	1338241.0	1375689.0	523447.0	1529542.0	1539402.0	1233523.0	1498973.0	1253822.0	641233.0	1193111.0
XieH_2016__YSZC12003_37105__bin.29	1121441.0	1014721.0	1337448.0	1384477.0	1295256.0	1569732.0	1165255.0	1007886.0	1242833.0	913062.0	1256658.0	1155162.0	1171238.0	967607.0	827297.0	1177852.0	1281548.0	1292653.0	1315205.0	1100110.0	1080189.0	1302621.0	1298804.0	224033.0	1249309.0	1341035.0	1194687.0	1201529.0	1110027.0	448460.0	1030246.0
FengQ_2015__SID531663__bin.76	1053912.0	988127.0	1230726.0	1189680.0	1204167.0	1165255.0	1320658.0	964429.0	1166942.0	861912.0	1164947.0	1090350.0	1086619.0	893811.0	766378.0	1121653.0	1193582.0	1162626.0	1220432.0	1043090.0	1011146.0	1192523.0	1187288.0	202818.0	1152152.0	1218030.0	1113047.0	1115824.0	1015900.0	392353.0	965366.0
ZeeviD_2015__PNP_Main_140__bin.29	1047171.0	1034329.0	1078550.0	1026880.0	1237475.0	1007886.0	964429.0	1453438.0	1224818.0	863980.0	1023766.0	1144133.0	1155646.0	1007046.0	922994.0	1020890.0	1057611.0	985180.0	1069543.0	1031268.0	957803.0	1060122.0	1069004.0	454084.0	1240100.0	1218413.0	981558.0	1248043.0	1033227.0	588281.0	992408.0
LiJ_2014__MH0259__bin.70	1214883.0	1181934.0	1327652.0	1262213.0	1496264.0	1242833.0	1166942.0	1224818.0	1690370.0	1009517.0	1217222.0	1332928.0	1343382.0	1152982.0	1024615.0	1225069.0	1269320.0	1243053.0	1294509.0	1228129.0	1149587.0	1300027.0	1286967.0	501633.0	1475564.0	1471729.0	1185907.0	1460980.0	1210961.0	626588.0	1190717.0
LeChatelierE_2013__MH0141__bin.13	876262.0	859980.0	944970.0	888268.0	1006915.0	913062.0	861912.0	863980.0	1009517.0	1102432.0	892823.0	976858.0	924427.0	829595.0	726273.0	870694.0	939140.0	920166.0	931872.0	835403.0	812854.0	933974.0	917629.0	234871.0	972512.0	1006319.0	883759.0	974627.0	874434.0	445560.0	851498.0
ZeeviD_2015__PNP_Main_750__bin.13	1125415.0	1010429.0	1330579.0	1264921.0	1272854.0	1256658.0	1164947.0	1023766.0	1217222.0	892823.0	1421902.0	1155401.0	1158396.0	942103.0	832171.0	1198026.0	1295291.0	1235981.0	1307682.0	1081547.0	1066847.0	1301329.0	1302334.0	207981.0	1222493.0	1328195.0	1216273.0	1215845.0	1072286.0	422796.0	996768.0
LiJ_2014__MH0385__bin.51	1151337.0	1123163.0	1226152.0	1165458.0	1337443.0	1155162.0	1090350.0	1144133.0	1332928.0	976858.0	1155401.0	1557263.0	1250953.0	1072425.0	953674.0	1140977.0	1206917.0	1148301.0	1208931.0	1125945.0	1077891.0	1209131.0	1203487.0	403663.0	1320928.0	1352531.0	1102441.0	1293517.0	1146690.0	548867.0	1091868.0
XieH_2016__YSZC12003_37233__bin.75	1152491.0	1118428.0	1250867.0	1202824.0	1393015.0	1171238.0	1086619.0	1155646.0	1343382.0	924427.0	1158396.0	1250953.0	1606588.0	1097351.0	973517.0	1159647.0	1211283.0	1158756.0	1235120.0	1155168.0	1089410.0	1209324.0	1212824.0	462724.0	1399688.0	1382064.0	1130017.0	1370411.0	1167454.0	578038.0	1096410.0
LeChatelierE_2013__MH0313__bin.42	965340.0	1003894.0	1006418.0	967700.0	1166139.0	967607.0	893811.0	1007046.0	1152982.0	829595.0	942103.0	1072425.0	1097351.0	1341124.0	879590.0	955976.0	968783.0	947886.0	995622.0	959287.0	899801.0	989378.0	998784.0	459861.0	1155504.0	1130646.0	919456.0	1183868.0	988449.0	589589.0	943073.0
QinN_2014__LD-34__bin.13	863376.0	852051.0	871514.0	869037.0	1048214.0	827297.0	766378.0	922994.0	1024615.0	726273.0	832171.0	953674.0	973517.0	879590.0	1455702.0	846406.0	860485.0	795670.0	866102.0	838084.0	792410.0	872819.0	862892.0	636529.0	1076059.0	1030595.0	801092.0	1253780.0	855701.0	704060.0	814020.0
