	XieH_2016__YSZC12003_37583__bin.55	XieH_2016__YSZC12003_37331__bin.46	Bengtsson-PalmeJ_2015__TRAVELRES46__bin.81	XieH_2016__YSZC12003_37296R1__bin.77	XieH_2016__YSZC12003_37232__bin.78	RaymondF_2016__P13E7__bin.10	XieH_2016__YSZC12003_37100__bin.102	XieH_2016__YSZC12003_37830__bin.16	ChengpingW_2017__AS98raw__bin.2	Bengtsson-PalmeJ_2015__TRAVELRES45__bin.71	ZeeviD_2015__PNP_Main_589__bin.11	ZellerG_2014__CCIS41548810ST-4-0__bin.30	ZeeviD_2015__PNP_Main_610__bin.28	XieH_2016__YSZC12003_35739__bin.18	ZeeviD_2015__PNP_Main_474__bin.36	ZeeviD_2015__PNP_Main_553__bin.11	ZellerG_2014__CCIS53043478ST-4-0__bin.27	HeQ_2017__RSZAXPI003103-141__bin.15	ZeeviD_2015__PNP_Main_414__bin.81	XieH_2016__YSZC12003_37197R1__bin.105	LiJ_2014__O2.UC13-1__bin.18	QinN_2014__HD-33__bin.61	ZellerG_2014__CCIS36797902ST-4-0__bin.7	XieH_2016__YSZC12003_37101__bin.43	AsnicarF_2017__MV_FEM3_t1Q14__bin.16	ZeeviD_2015__PNP_Main_74__bin.20	XieH_2016__YSZC12003_35740__bin.98	LiJ_2014__MH0329__bin.16	ChengpingW_2017__AS9raw__bin.56	RaymondF_2016__P13E90__bin.1	XieH_2016__YSZC12003_35733__bin.9	RaymondF_2016__P13E0__bin.60	LiJ_2017__H3M514143__bin.39	LeChatelierE_2013__MH0257__bin.1	BritoIL_2016__W2.6.ST__bin.27	LiJ_2014__V1.CD40-0__bin.15	ChengpingW_2017__AS128raw__bin.44	LeChatelierE_2013__MH0422__bin.22	XieH_2016__YSZC12003_35563__bin.34	XieH_2016__YSZC12003_37314__bin.63	CosteaPI_2017__SID713A063-11-90-0__bin.50	ZeeviD_2015__PNP_Main_475__bin.20
XieH_2016__YSZC12003_37583__bin.55	2339206.0	2178483.0	2263798.0	2152777.0	1761596.0	2052173.0	2222773.0	2221223.0	2068203.0	2268098.0	2075620.0	2103475.0	1691751.0	1280284.0	1998198.0	2019458.0	2149172.0	2024480.0	1678587.0	2052743.0	1990461.0	2190465.0	2165458.0	1946837.0	2033060.0	2058670.0	1835742.0	1383631.0	2090557.0	1965105.0	2196035.0	2245710.0	2175403.0	1991369.0	1145171.0	2152323.0	2120169.0	2152034.0	2207984.0	2185522.0	2217988.0	2209313.0
XieH_2016__YSZC12003_37331__bin.46	2178483.0	2534245.0	2350889.0	2166975.0	1852722.0	2147574.0	2361164.0	2315357.0	2171721.0	2355625.0	2159470.0	2218888.0	1756776.0	1335452.0	2103205.0	2103505.0	2240473.0	2113737.0	1768861.0	2147352.0	2082832.0	2282877.0	2284940.0	2028670.0	2145807.0	2161671.0	1927803.0	1502372.0	2209193.0	2044105.0	2301420.0	2330745.0	2270630.0	2061572.0	1188515.0	2233749.0	2223800.0	2231535.0	2303127.0	2316237.0	2340134.0	2246448.0
Bengtsson-PalmeJ_2015__TRAVELRES46__bin.81	2263798.0	2350889.0	2632566.0	2224847.0	1881943.0	2157863.0	2389072.0	2374134.0	2195846.0	2659722.0	2210451.0	2258782.0	1784252.0	1355217.0	2124301.0	2155800.0	2246397.0	2149759.0	1782171.0	2174814.0	2133683.0	2336209.0	2305942.0	2067641.0	2184345.0	2195665.0	1954515.0	1503560.0	2250533.0	2073149.0	2321188.0	2371054.0	2289178.0	2074291.0	1202485.0	2268932.0	2261473.0	2273434.0	2337750.0	2325058.0	2412473.0	2312323.0
XieH_2016__YSZC12003_37296R1__bin.77	2152777.0	2166975.0	2224847.0	2397831.0	1771099.0	2065707.0	2208212.0	2205262.0	2101867.0	2226481.0	2054890.0	2099486.0	1666035.0	1235212.0	1964944.0	2020465.0	2173705.0	2017341.0	1649964.0	2038198.0	1978595.0	2181285.0	2151673.0	1915415.0	2020646.0	2044354.0	1833711.0	1405635.0	2092310.0	2034835.0	2163306.0	2268815.0	2146959.0	1912145.0	1134281.0	2157036.0	2102523.0	2106656.0	2195898.0	2156800.0	2206340.0	2206157.0
XieH_2016__YSZC12003_37232__bin.78	1761596.0	1852722.0	1881943.0	1771099.0	1947480.0	1741324.0	1872507.0	1849105.0	1755348.0	1881371.0	1756446.0	1788838.0	1441209.0	1092090.0	1676928.0	1697971.0	1779232.0	1710218.0	1432363.0	1743334.0	1672027.0	1839118.0	1829169.0	1624091.0	1737187.0	1745910.0	1609621.0	1225444.0	1795665.0	1656413.0	1830859.0	1863081.0	1825379.0	1634285.0	987503.0	1803799.0	1761334.0	1781688.0	1852524.0	1834815.0	1863724.0	1796561.0
RaymondF_2016__P13E7__bin.10	2052173.0	2147574.0	2157863.0	2065707.0	1741324.0	2247544.0	2152549.0	2135100.0	2024360.0	2159653.0	2014288.0	2071882.0	1642869.0	1258200.0	1949722.0	1988169.0	2083923.0	1986046.0	1661013.0	2026336.0	1914986.0	2110173.0	2112724.0	1866020.0	1998479.0	2014539.0	1826871.0	1392681.0	2064052.0	1982706.0	2113714.0	2248762.0	2121456.0	1893211.0	1129120.0	2109123.0	2041227.0	2045404.0	2166559.0	2103029.0	2138648.0	2107813.0
XieH_2016__YSZC12003_37100__bin.102	2222773.0	2361164.0	2389072.0	2208212.0	1872507.0	2152549.0	2587790.0	2347664.0	2203072.0	2382977.0	2197819.0	2225091.0	1770049.0	1347824.0	2107491.0	2133657.0	2261777.0	2131241.0	1767533.0	2158556.0	2100958.0	2303580.0	2290893.0	2069411.0	2172777.0	2189030.0	1938172.0	1510359.0	2222415.0	2080892.0	2329960.0	2372188.0	2274100.0	2071369.0	1191232.0	2249845.0	2255847.0	2266709.0	2313471.0	2308413.0	2359898.0	2304693.0
XieH_2016__YSZC12003_37830__bin.16	2221223.0	2315357.0	2374134.0	2205262.0	1849105.0	2135100.0	2347664.0	2481076.0	2171880.0	2380237.0	2178589.0	2226975.0	1762750.0	1335273.0	2100960.0	2119235.0	2236315.0	2111040.0	1770329.0	2138013.0	2104023.0	2298578.0	2268019.0	2058386.0	2147408.0	2163068.0	1917347.0	1482118.0	2214270.0	2050506.0	2308405.0	2347268.0	2254660.0	2068328.0	1191143.0	2240324.0	2230853.0	2241045.0	2298528.0	2282126.0	2348525.0	2280322.0
ChengpingW_2017__AS98raw__bin.2	2068203.0	2171721.0	2195846.0	2101867.0	1755348.0	2024360.0	2203072.0	2171880.0	2300823.0	2198055.0	2066812.0	2115606.0	1691638.0	1269990.0	1989107.0	1995843.0	2123520.0	1997793.0	1691384.0	2025580.0	1963486.0	2213683.0	2134257.0	1883268.0	2009466.0	2053860.0	1807209.0	1441560.0	2139676.0	1982942.0	2147770.0	2191626.0	2137589.0	1967754.0	1134637.0	2110978.0	2149905.0	2085612.0	2169832.0	2151334.0	2173617.0	2139537.0
Bengtsson-PalmeJ_2015__TRAVELRES45__bin.71	2268098.0	2355625.0	2659722.0	2226481.0	1881371.0	2159653.0	2382977.0	2380237.0	2198055.0	2648727.0	2214980.0	2261347.0	1785478.0	1354974.0	2128585.0	2156797.0	2252029.0	2151901.0	1784610.0	2174962.0	2135700.0	2340526.0	2311863.0	2072663.0	2187310.0	2199592.0	1955686.0	1503645.0	2254881.0	2075062.0	2324970.0	2375884.0	2290032.0	2078662.0	1203268.0	2271492.0	2265559.0	2276078.0	2345392.0	2330034.0	2426424.0	2320247.0
