	XieH_2016__YSZC12003_37583__bin.55	XieH_2016__YSZC12003_37331__bin.46	Bengtsson-PalmeJ_2015__TRAVELRES46__bin.81	XieH_2016__YSZC12003_37296R1__bin.77	XieH_2016__YSZC12003_37232__bin.78	RaymondF_2016__P13E7__bin.10	XieH_2016__YSZC12003_37100__bin.102	XieH_2016__YSZC12003_37830__bin.16	ChengpingW_2017__AS98raw__bin.2	Bengtsson-PalmeJ_2015__TRAVELRES45__bin.71	ZeeviD_2015__PNP_Main_589__bin.11	ZellerG_2014__CCIS41548810ST-4-0__bin.30	ZeeviD_2015__PNP_Main_610__bin.28	XieH_2016__YSZC12003_35739__bin.18	ZeeviD_2015__PNP_Main_474__bin.36	ZeeviD_2015__PNP_Main_553__bin.11	ZellerG_2014__CCIS53043478ST-4-0__bin.27	HeQ_2017__RSZAXPI003103-141__bin.15	ZeeviD_2015__PNP_Main_414__bin.81	XieH_2016__YSZC12003_37197R1__bin.105	LiJ_2014__O2.UC13-1__bin.18	QinN_2014__HD-33__bin.61	ZellerG_2014__CCIS36797902ST-4-0__bin.7	XieH_2016__YSZC12003_37101__bin.43	AsnicarF_2017__MV_FEM3_t1Q14__bin.16	ZeeviD_2015__PNP_Main_74__bin.20	XieH_2016__YSZC12003_35740__bin.98	LiJ_2014__MH0329__bin.16	ChengpingW_2017__AS9raw__bin.56	RaymondF_2016__P13E90__bin.1	XieH_2016__YSZC12003_35733__bin.9	RaymondF_2016__P13E0__bin.60	LiJ_2017__H3M514143__bin.39	LeChatelierE_2013__MH0257__bin.1	BritoIL_2016__W2.6.ST__bin.27	LiJ_2014__V1.CD40-0__bin.15	ChengpingW_2017__AS128raw__bin.44	LeChatelierE_2013__MH0422__bin.22	XieH_2016__YSZC12003_35563__bin.34	XieH_2016__YSZC12003_37314__bin.63	CosteaPI_2017__SID713A063-11-90-0__bin.50	ZeeviD_2015__PNP_Main_475__bin.20
XieH_2016__YSZC12003_37583__bin.55	0.0	51246.0	51515.0	49600.0	42951.0	46164.0	53460.0	51098.0	52134.0	51071.0	48866.0	49238.0	40451.0	31841.0	46544.0	46351.0	49173.0	48401.0	38913.0	48262.0	45392.0	55313.0	48839.0	44651.0	46943.0	48949.0	43215.0	36046.0	51993.0	44756.0	53122.0	50391.0	50325.0	60027.0	24721.0	49708.0	51150.0	49498.0	52263.0	52812.0	51036.0	49970.0
XieH_2016__YSZC12003_37331__bin.46	51246.0	0.0	55673.0	49904.0	43713.0	49307.0	56640.0	52659.0	55960.0	55243.0	52801.0	54287.0	43535.0	31544.0	50607.0	49478.0	52914.0	52032.0	41738.0	51023.0	49071.0	60116.0	51873.0	47124.0	50435.0	51704.0	44283.0	39624.0	57123.0	47626.0	55873.0	53587.0	53980.0	62634.0	25576.0	52951.0	57032.0	50796.0	53470.0	53621.0	55168.0	52881.0
Bengtsson-PalmeJ_2015__TRAVELRES46__bin.81	51515.0	55673.0	0.0	52076.0	44992.0	49264.0	57795.0	55776.0	54460.0	840.0	52529.0	52571.0	42735.0	33698.0	48987.0	50515.0	52546.0	51451.0	41661.0	53025.0	48564.0	58676.0	52560.0	48457.0	50188.0	52093.0	45903.0	38712.0	55734.0	48376.0	57831.0	54292.0	53390.0	63496.0	26243.0	51823.0	55225.0	52025.0	56848.0	56011.0	56019.0	53350.0
XieH_2016__YSZC12003_37296R1__bin.77	49600.0	49904.0	52076.0	0.0	42942.0	46263.0	54183.0	51340.0	55094.0	52273.0	48946.0	51023.0	41870.0	29547.0	46356.0	46563.0	52098.0	50660.0	37562.0	47071.0	48179.0	57795.0	49983.0	43005.0	46674.0	48561.0	42267.0	36871.0	54567.0	45842.0	52159.0	50756.0	50607.0	58224.0	25414.0	52302.0	54690.0	48017.0	51443.0	49891.0	51583.0	52460.0
XieH_2016__YSZC12003_37232__bin.78	42951.0	43713.0	44992.0	42942.0	0.0	40984.0	47043.0	43499.0	44939.0	45233.0	43950.0	44507.0	37177.0	27015.0	42232.0	40876.0	42894.0	43674.0	34651.0	41028.0	41448.0	49627.0	41607.0	37585.0	42836.0	42944.0	39110.0	33207.0	46781.0	39019.0	45568.0	43719.0	46248.0	50666.0	22577.0	44691.0	46022.0	40939.0	43684.0	43860.0	44866.0	43612.0
RaymondF_2016__P13E7__bin.10	46164.0	49307.0	49264.0	46263.0	40984.0	0.0	51818.0	48140.0	51155.0	49547.0	47890.0	49110.0	40533.0	29647.0	44978.0	45370.0	47316.0	48084.0	38068.0	45814.0	44642.0	54087.0	47266.0	42768.0	46817.0	47261.0	42701.0	35960.0	51326.0	532.0	50213.0	569.0	49105.0	56097.0	25056.0	49522.0	51366.0	46513.0	48773.0	46725.0	48875.0	48850.0
XieH_2016__YSZC12003_37100__bin.102	53460.0	56640.0	57795.0	54183.0	47043.0	51818.0	0.0	57124.0	56689.0	57079.0	56038.0	54133.0	44143.0	34005.0	50548.0	51971.0	53725.0	52630.0	42872.0	53869.0	48600.0	61166.0	54556.0	49955.0	53660.0	52665.0	47914.0	40792.0	56701.0	51124.0	59579.0	57099.0	54940.0	64524.0	26896.0	53704.0	57996.0	53483.0	56847.0	57780.0	56852.0	55047.0
XieH_2016__YSZC12003_37830__bin.16	51098.0	52659.0	55776.0	51340.0	43499.0	48140.0	57124.0	0.0	53542.0	55665.0	50913.0	52173.0	42835.0	32152.0	50128.0	49677.0	51089.0	50841.0	40983.0	50444.0	49535.0	59268.0	51762.0	47492.0	51770.0	50045.0	44573.0	39427.0	55160.0	46432.0	56778.0	52812.0	52246.0	62265.0	26272.0	52989.0	54935.0	51308.0	54134.0	52741.0	53476.0	52572.0
ChengpingW_2017__AS98raw__bin.2	52134.0	55960.0	54460.0	55094.0	44939.0	51155.0	56689.0	53542.0	0.0	53921.0	49402.0	42203.0	36300.0	33778.0	46681.0	48907.0	48759.0	36898.0	42276.0	54251.0	45760.0	33033.0	54204.0	49426.0	51618.0	49531.0	47140.0	40227.0	32554.0	50290.0	57572.0	55765.0	40685.0	56951.0	26236.0	50477.0	30735.0	52937.0	57249.0	58186.0	53622.0	49905.0
Bengtsson-PalmeJ_2015__TRAVELRES45__bin.71	51071.0	55243.0	840.0	52273.0	45233.0	49547.0	57079.0	55665.0	53921.0	0.0	52508.0	52601.0	42395.0	33634.0	48944.0	50288.0	52365.0	51420.0	41934.0	53098.0	48312.0	58977.0	52538.0	48153.0	50158.0	51190.0	45986.0	38706.0	56159.0	48136.0	57946.0	54264.0	53155.0	63310.0	26195.0	52106.0	55376.0	51608.0	56569.0	56261.0	55790.0	53398.0
ZeeviD_2015__PNP_Main_589__bin.11	48866.0	52801.0	52529.0	48946.0	43950.0	47890.0	56038.0	50913.0	49402.0	52508.0	0.0	49004.0	39848.0	32212.0	47162.0	46161.0	49014.0	47484.0	38323.0	50211.0	45356.0	53535.0	51459.0	45229.0	48476.0	45842.0	45171.0	37554.0	50351.0	46404.0	53977.0	52053.0	49460.0	58988.0	25140.0	48761.0	50407.0	48922.0	53457.0	53576.0	51527.0	47602.0
ZellerG_2014__CCIS41548810ST-4-0__bin.30	49238.0	54287.0	52571.0	51023.0	44507.0	49110.0	54133.0	52173.0	42203.0	52601.0	49004.0	0.0	36340.0	33116.0	45580.0	47159.0	44784.0	43133.0	39545.0	52597.0	44615.0	44683.0	52189.0	47817.0	50864.0	47466.0	46495.0	39188.0	42074.0	47592.0	55862.0	53277.0	46732.0	57197.0	27077.0	49514.0	40597.0	50368.0	55306.0	57183.0	52446.0	48361.0
ZeeviD_2015__PNP_Main_610__bin.28	40451.0	43535.0	42735.0	41870.0	37177.0	40533.0	44143.0	42835.0	36300.0	42395.0	39848.0	36340.0	0.0	28002.0	37072.0	39883.0	39083.0	36954.0	32245.0	42673.0	35622.0	38596.0	43208.0	37620.0	40295.0	39195.0	37392.0	31182.0	36692.0	39428.0	45670.0	43929.0	37919.0	46376.0	21161.0	40210.0	36700.0	42499.0	45158.0	46275.0	42822.0	39488.0
XieH_2016__YSZC12003_35739__bin.18	31841.0	31544.0	33698.0	29547.0	27015.0	29647.0	34005.0	32152.0	33778.0	33634.0	32212.0	33116.0	28002.0	0.0	31176.0	30901.0	31012.0	33061.0	25588.0	31024.0	29472.0	36759.0	30467.0	27526.0	31850.0	31336.0	28531.0	23603.0	34369.0	28152.0	33173.0	31839.0	33062.0	38156.0	16736.0	31598.0	34856.0	30746.0	32301.0	31273.0	32651.0	32209.0
ZeeviD_2015__PNP_Main_474__bin.36	46544.0	50607.0	48987.0	46356.0	42232.0	44978.0	50548.0	50128.0	46681.0	48944.0	47162.0	45580.0	37072.0	31176.0	0.0	44619.0	45510.0	42249.0	37636.0	48789.0	44233.0	49965.0	48221.0	43787.0	45705.0	44383.0	43304.0	37600.0	46584.0	42813.0	52363.0	48099.0	43949.0	55166.0	24588.0	47945.0	46757.0	47441.0	51893.0	50971.0	48472.0	45708.0
ZeeviD_2015__PNP_Main_553__bin.11	46351.0	49478.0	50515.0	46563.0	40876.0	45370.0	51971.0	49677.0	48907.0	50288.0	46161.0	47159.0	39883.0	30901.0	44619.0	0.0	47430.0	46614.0	36910.0	48204.0	45025.0	52431.0	47694.0	43764.0	47660.0	45866.0	42041.0	35086.0	48781.0	43765.0	51410.0	49530.0	47877.0	55619.0	24007.0	45216.0	48984.0	46257.0	50427.0	49864.0	49883.0	47310.0
ZellerG_2014__CCIS53043478ST-4-0__bin.27	49173.0	52914.0	52546.0	52098.0	42894.0	47316.0	53725.0	51089.0	48759.0	52365.0	49014.0	44784.0	39083.0	31012.0	45510.0	47430.0	0.0	45988.0	39623.0	51261.0	45751.0	50703.0	50846.0	45418.0	49420.0	47866.0	43188.0	38129.0	48654.0	46334.0	56043.0	51882.0	47669.0	58906.0	24956.0	51565.0	48576.0	50065.0	54528.0	53852.0	50276.0	51456.0
HeQ_2017__RSZAXPI003103-141__bin.15	48401.0	52032.0	51451.0	50660.0	43674.0	48084.0	52630.0	50841.0	36898.0	51420.0	47484.0	43133.0	36954.0	33061.0	42249.0	46614.0	45988.0	0.0	39846.0	51284.0	45146.0	37968.0	50845.0	46505.0	48813.0	46536.0	45259.0	38600.0	37130.0	46337.0	53496.0	51598.0	35575.0	54958.0	24720.0	49575.0	35352.0	50302.0	54655.0	53704.0	52477.0	48160.0
ZeeviD_2015__PNP_Main_414__bin.81	38913.0	41738.0	41661.0	37562.0	34651.0	38068.0	42872.0	40983.0	42276.0	41934.0	38323.0	39545.0	32245.0	25588.0	37636.0	36910.0	39623.0	39846.0	0.0	39699.0	37244.0	44839.0	39839.0	35556.0	38976.0	38815.0	35675.0	30046.0	42102.0	36434.0	42410.0	40762.0	41289.0	47388.0	20858.0	39637.0	42508.0	37890.0	42061.0	41400.0	39828.0	38769.0
XieH_2016__YSZC12003_37197R1__bin.105	48262.0	51023.0	53025.0	47071.0	41028.0	45814.0	53869.0	50444.0	54251.0	53098.0	50211.0	52597.0	42673.0	31024.0	48789.0	48204.0	51261.0	51284.0	39699.0	0.0	47669.0	58996.0	48429.0	43117.0	47497.0	49486.0	43196.0	38353.0	54597.0	44387.0	51083.0	49401.0	53111.0	59144.0	25607.0	51114.0	55453.0	48806.0	12570.0	48329.0	53324.0	51488.0
LiJ_2014__O2.UC13-1__bin.18	45392.0	49071.0	48564.0	48179.0	41448.0	44642.0	48600.0	49535.0	45760.0	48312.0	45356.0	44615.0	35622.0	29472.0	44233.0	45025.0	45751.0	45146.0	37244.0	47669.0	0.0	49358.0	47224.0	45765.0	45867.0	44955.0	41444.0	37635.0	46801.0	44783.0	51131.0	49493.0	46449.0	55436.0	23154.0	39378.0	46667.0	49601.0	50816.0	51376.0	50340.0	45155.0
