	Bengtsson-PalmeJ_2015__TRAVELRES46__bin.79	BritoIL_2016__M2.44.ST__bin.50	NielsenHB_2014__MH0132__bin.20	ZeeviD_2015__PNP_Main_610__bin.25	ZeeviD_2015__PNP_Main_601__bin.13	BritoIL_2016__M2.49.ST__bin.58	LiJ_2014__MH0280__bin.4	NielsenHB_2014__MH0030__bin.5	BackhedF_2015__SID268_M__bin.65	Bengtsson-PalmeJ_2015__TRAVELRES45__bin.37	BritoIL_2016__M1.1.ST__bin.107	LeChatelierE_2013__MH0100__bin.41	XieH_2016__YSZC12003_37314__bin.51	ZellerG_2014__CCIS51667829ST-4-0__bin.28	ZeeviD_2015__PNP_Main_633__bin.25	ZeeviD_2015__PNP_Validation_93__bin.17	LeChatelierE_2013__MH0030__bin.19	NielsenHB_2014__MH0100__bin.29	ZeeviD_2015__PNP_Main_24__bin.29	ZellerG_2014__CCIS00146684ST-4-0__bin.91	BritoIL_2016__M1.20.ST__bin.96	VatanenT_2016__G80328__bin.2	LeChatelierE_2013__MH0415__bin.14	HMP_2012__SRS011134__bin.45	ZeeviD_2015__PNP_Validation_48__bin.16	NielsenHB_2014__MH0013__bin.3	ZellerG_2014__CCIS98832363ST-4-0__bin.54	XieH_2016__YSZC12003_37797__bin.88	CosteaPI_2017__SID713A004-11-90-0__bin.3	LiJ_2014__V1.CD8-0-PN__bin.53	ZeeviD_2015__PNP_Main_122__bin.41	ZeeviD_2015__PNP_Main_627__bin.13	CosteaPI_2017__SID713A005-11-0-0__bin.26	ZeeviD_2015__PNP_Main_54__bin.38	CosteaPI_2017__SID713B033-11-0-0__bin.36	ZeeviD_2015__PNP_Main_596__bin.60	ZeeviD_2015__PNP_Main_616__bin.5	LeChatelierE_2013__MH0013__bin.11	ZeeviD_2015__PNP_Main_73__bin.28	LiJ_2014__MH0293__bin.9	ZeeviD_2015__PNP_Main_77__bin.3
Bengtsson-PalmeJ_2015__TRAVELRES46__bin.79	1104451.0	997908.0	1003712.0	817804.0	957330.0	993472.0	1003866.0	926249.0	653461.0	867595.0	973361.0	1002252.0	983054.0	818013.0	999510.0	807887.0	902947.0	1001725.0	878538.0	972311.0	999406.0	496582.0	754822.0	862134.0	999886.0	1019998.0	961712.0	936658.0	959921.0	932918.0	1010783.0	971268.0	980770.0	967278.0	997463.0	985125.0	978821.0	1019593.0	997933.0	993643.0	991830.0
BritoIL_2016__M2.44.ST__bin.50	997908.0	1076624.0	991704.0	817015.0	959652.0	1034101.0	1007295.0	903158.0	667484.0	813134.0	952390.0	979866.0	984695.0	812421.0	1001318.0	802815.0	881435.0	980359.0	891291.0	954414.0	1005618.0	504512.0	749227.0	849928.0	995013.0	1003370.0	964404.0	932155.0	957073.0	936828.0	1001154.0	990689.0	975063.0	954943.0	1006453.0	978906.0	993121.0	1002514.0	1002213.0	995329.0	988851.0
NielsenHB_2014__MH0132__bin.20	1003712.0	991704.0	1140543.0	816592.0	957441.0	993637.0	990867.0	917467.0	653496.0	820005.0	963870.0	1014753.0	987299.0	822144.0	1000825.0	800490.0	893822.0	1018753.0	882850.0	955938.0	991748.0	504338.0	764317.0	854532.0	1009981.0	994602.0	963626.0	945321.0	952872.0	928011.0	1019221.0	979016.0	975954.0	969659.0	992023.0	1003137.0	981019.0	994415.0	986712.0	1018510.0	985662.0
ZeeviD_2015__PNP_Main_610__bin.25	817804.0	817015.0	816592.0	893382.0	808500.0	816794.0	831830.0	737729.0	555997.0	646316.0	781890.0	802429.0	798569.0	654125.0	819224.0	637229.0	714557.0	805119.0	793687.0	782736.0	808198.0	406471.0	582365.0	674521.0	810871.0	826576.0	802831.0	782536.0	776930.0	764333.0	816853.0	813630.0	817277.0	805246.0	827285.0	814465.0	813251.0	826338.0	823606.0	817682.0	852109.0
ZeeviD_2015__PNP_Main_601__bin.13	957330.0	959652.0	957441.0	808500.0	1043451.0	959077.0	978849.0	895199.0	651454.0	793485.0	915827.0	941543.0	945904.0	793446.0	1008426.0	778912.0	859991.0	941040.0	867274.0	917213.0	945382.0	472657.0	717933.0	821038.0	958751.0	964341.0	977853.0	908901.0	959347.0	890372.0	962737.0	952960.0	956687.0	934930.0	981496.0	948106.0	959290.0	964273.0	991296.0	959221.0	968499.0
BritoIL_2016__M2.49.ST__bin.58	993472.0	1034101.0	993637.0	816794.0	959077.0	1085041.0	1000656.0	899955.0	662858.0	811659.0	948005.0	980139.0	980827.0	811606.0	994285.0	791911.0	882806.0	979714.0	889641.0	951289.0	993300.0	497895.0	746328.0	850799.0	989179.0	987737.0	962344.0	933463.0	952804.0	933289.0	994841.0	1000259.0	970762.0	951965.0	987723.0	973185.0	989400.0	987478.0	983283.0	991563.0	993842.0
LiJ_2014__MH0280__bin.4	1003866.0	1007295.0	990867.0	831830.0	978849.0	1000656.0	1107052.0	921254.0	671532.0	807932.0	955446.0	982066.0	982996.0	819907.0	1020873.0	818502.0	901135.0	983939.0	903066.0	957978.0	999863.0	499631.0	748642.0	845605.0	999216.0	1038213.0	986210.0	954297.0	974830.0	937453.0	1012446.0	1004815.0	1020533.0	954111.0	1034487.0	985629.0	991659.0	1034831.0	1012187.0	992490.0	1013859.0
NielsenHB_2014__MH0030__bin.5	926249.0	903158.0	917467.0	737729.0	895199.0	899955.0	921254.0	1035036.0	631642.0	760897.0	888371.0	903764.0	899052.0	765260.0	917746.0	730340.0	930379.0	903953.0	810648.0	880833.0	910605.0	455413.0	702099.0	761481.0	902932.0	942938.0	883512.0	872252.0	901268.0	849426.0	909857.0	897211.0	909532.0	882588.0	917069.0	887693.0	898928.0	942816.0	910290.0	911793.0	902259.0
BackhedF_2015__SID268_M__bin.65	653461.0	667484.0	653496.0	555997.0	651454.0	662858.0	671532.0	631642.0	773763.0	519559.0	632081.0	638113.0	656499.0	522516.0	667485.0	578763.0	598512.0	642743.0	575723.0	627722.0	659676.0	299051.0	505521.0	569430.0	658386.0	662162.0	632983.0	622696.0	647682.0	613407.0	662344.0	655474.0	655390.0	629362.0	666303.0	644374.0	657609.0	661316.0	664454.0	654906.0	663492.0
Bengtsson-PalmeJ_2015__TRAVELRES45__bin.37	867595.0	813134.0	820005.0	646316.0	793485.0	811659.0	807932.0	760897.0	519559.0	889428.0	786446.0	817572.0	805108.0	757086.0	814047.0	629817.0	742434.0	816684.0	704253.0	784693.0	815567.0	428113.0	618632.0	678202.0	810365.0	819127.0	778331.0	757686.0	811147.0	751065.0	817319.0	793802.0	793080.0	784238.0	808801.0	795051.0	797067.0	819127.0	808491.0	807703.0	803633.0
