	Bengtsson-PalmeJ_2015__TRAVELRES46__bin.79	BritoIL_2016__M2.44.ST__bin.50	NielsenHB_2014__MH0132__bin.20	ZeeviD_2015__PNP_Main_610__bin.25	ZeeviD_2015__PNP_Main_601__bin.13	BritoIL_2016__M2.49.ST__bin.58	LiJ_2014__MH0280__bin.4	NielsenHB_2014__MH0030__bin.5	BackhedF_2015__SID268_M__bin.65	Bengtsson-PalmeJ_2015__TRAVELRES45__bin.37	BritoIL_2016__M1.1.ST__bin.107	LeChatelierE_2013__MH0100__bin.41	XieH_2016__YSZC12003_37314__bin.51	ZellerG_2014__CCIS51667829ST-4-0__bin.28	ZeeviD_2015__PNP_Main_633__bin.25	ZeeviD_2015__PNP_Validation_93__bin.17	LeChatelierE_2013__MH0030__bin.19	NielsenHB_2014__MH0100__bin.29	ZeeviD_2015__PNP_Main_24__bin.29	ZellerG_2014__CCIS00146684ST-4-0__bin.91	BritoIL_2016__M1.20.ST__bin.96	VatanenT_2016__G80328__bin.2	LeChatelierE_2013__MH0415__bin.14	HMP_2012__SRS011134__bin.45	ZeeviD_2015__PNP_Validation_48__bin.16	NielsenHB_2014__MH0013__bin.3	ZellerG_2014__CCIS98832363ST-4-0__bin.54	XieH_2016__YSZC12003_37797__bin.88	CosteaPI_2017__SID713A004-11-90-0__bin.3	LiJ_2014__V1.CD8-0-PN__bin.53	ZeeviD_2015__PNP_Main_122__bin.41	ZeeviD_2015__PNP_Main_627__bin.13	CosteaPI_2017__SID713A005-11-0-0__bin.26	ZeeviD_2015__PNP_Main_54__bin.38	CosteaPI_2017__SID713B033-11-0-0__bin.36	ZeeviD_2015__PNP_Main_596__bin.60	ZeeviD_2015__PNP_Main_616__bin.5	LeChatelierE_2013__MH0013__bin.11	ZeeviD_2015__PNP_Main_73__bin.28	LiJ_2014__MH0293__bin.9	ZeeviD_2015__PNP_Main_77__bin.3
Bengtsson-PalmeJ_2015__TRAVELRES46__bin.79	1.0	0.9886692961675826	0.9885335634126123	0.9872389961408846	0.9880626325300575	0.9892095600077304	0.9869225573931182	0.9849792010571672	0.9869188826877197	0.9999481324811692	0.9752671413792006	0.9891943343590235	0.9891999829103997	0.9795382224976865	0.9869225920701143	0.9886939633884442	0.9843290912977174	0.9890448975517233	0.9872082937789828	0.9844802743155225	0.9870833274965329	0.9827762585031273	0.9815068983150994	0.9904144831313926	0.9896338182552811	0.986698013133359	0.9865292312043522	0.9832340085708978	0.9873583346962927	0.9808321846078648	0.9895348457581894	0.9874813130876339	0.9880430682015151	0.9877987507210957	0.9875133212961282	0.9896317726176881	0.9869782115422534	0.9866211321576355	0.9867726590863315	0.98729724860941	0.987053224847
BritoIL_2016__M2.44.ST__bin.50	0.9886692961675826	1.0	0.9886649645458726	0.9885644694405855	0.9893367595753461	0.9965042099369404	0.9881782397410888	0.9846449901346165	0.9888461745899527	0.9896855868774397	0.975324184420248	0.9880269342950975	0.9915770873214549	0.9799746683062107	0.9882155319289176	0.989141956739722	0.9840884466806968	0.9879411521697664	0.9877660606917381	0.9848189569725507	0.9879039555775653	0.9819449289610555	0.9814141775456571	0.988353131088751	0.9895036547261191	0.9869778845291368	0.9879148157825973	0.9832678041741985	0.9885243863320771	0.9806592031835086	0.9895170972697507	0.9886321539857614	0.9883371638550534	0.9876432415337879	0.9888539256179871	0.9893554641610124	0.9881112170621706	0.9870455674434472	0.9878618617000577	0.9889453637942831	0.9882914615043116
NielsenHB_2014__MH0132__bin.20	0.9885335634126123	0.9886649645458726	1.0	0.9880540098360013	0.9886301088004379	0.9886065031797326	0.9876037853718006	0.9846392295308715	0.9875194339368565	0.989053725282163	0.9753244732173426	0.9893846088654086	0.9884898090649338	0.9790255721625408	0.987202557889741	0.9883009156891404	0.9841444940939024	0.9892397862877459	0.9872277283796794	0.9845042251694147	0.9879051936580664	0.9831224297990633	0.980934612209332	0.9897756900853333	0.9890879135350071	0.9867524899406999	0.9868237262174329	0.9828777737932406	0.9874201361777868	0.9810541038845445	0.9888503082255958	0.987718280395826	0.9880240257225238	0.9880236248000586	0.9874942415649637	0.9890533396734444	0.987336636701226	0.9867288807992639	0.9869333706289171	0.9879196080549038	0.9878376157343999
ZeeviD_2015__PNP_Main_610__bin.25	0.9872389961408846	0.9885644694405855	0.9880540098360013	1.0	0.9906641929499073	0.9877900670181221	0.9883197287907385	0.984727454119331	0.9902445516792356	0.9877567629456798	0.9759250022381665	0.9879839836297043	0.9880486219725534	0.9797699216510606	0.9905495932736346	0.9907568550709399	0.9843007625703758	0.987876326356725	0.9902404852290638	0.9844353651805973	0.9869895743369818	0.9829655744198234	0.9831154001356538	0.9883117056400023	0.9893484906970406	0.9870151081086312	0.9907876003791583	0.9835087459235102	0.9905680048395609	0.9805765288166284	0.98932733306972	0.9900237208559173	0.9902468808005119	0.9885339386969945	0.9893519162078365	0.9894286433425623	0.9894669665330875	0.9870343612420099	0.9913113794702807	0.9901074011657344	0.9990940126204512
ZeeviD_2015__PNP_Main_601__bin.13	0.9880626325300575	0.9893367595753461	0.9886301088004379	0.9906641929499073	1.0	0.9893710306888811	0.989007497581343	0.9851541389121301	0.9892885760161116	0.9885933571523091	0.9754789933033203	0.9870839674874117	0.9892568379032122	0.9803754760878497	0.9951102014426443	0.9905688961012283	0.9849196096238216	0.9869697356116637	0.9905381690215549	0.9850383716759357	0.9869121688375704	0.983844521502908	0.9827128715353661	0.9885851811974598	0.989247468842275	0.9876661886200006	0.9957682800993606	0.9836461836877723	0.9951800547664192	0.9808832712618996	0.9892847163867183	0.9901737743451982	0.9898493446654967	0.9877873209759019	0.9892358196059893	0.9896298515144931	0.9898852276162579	0.9876528742378974	0.9935074891858738	0.9895665336768065	0.9903954469751647
BritoIL_2016__M2.49.ST__bin.58	0.9892095600077304	0.9965042099369404	0.9886065031797326	0.9877900670181221	0.9893710306888811	1.0	0.9881277881709598	0.9847536821285509	0.9879310500891594	0.990082041842695	0.9753777669948999	0.9882700310874274	0.9925980830462456	0.9794432273788021	0.9879491292737997	0.9886578163455236	0.9841913172316454	0.9881873689668618	0.9880828334125787	0.985008761795837	0.9873200442967884	0.9827031803894395	0.981339303898554	0.9893288544062698	0.9904051743920969	0.9867231864352556	0.987887907027009	0.9832591115020092	0.9881612587688549	0.9807272988324088	0.9903140300811889	0.9875072356259729	0.9882824008356322	0.9881203615679148	0.988513986208684	0.9900820501754548	0.9879148979179301	0.9867065392849258	0.9878987026115574	0.9880602644511746	0.9877384936438589
LiJ_2014__MH0280__bin.4	0.9869225573931182	0.9881782397410888	0.9876037853718006	0.9883197287907385	0.989007497581343	0.9881277881709598	1.0	0.9844603117055666	0.9882701047753495	0.9878046667293782	0.9748714213048147	0.9873338451794482	0.9875798070388893	0.9795428018055706	0.9884432245734778	0.9887135278838659	0.983892535524644	0.9871374140063561	0.9885556537395938	0.9840831417840493	0.9866601724436248	0.9828093132731957	0.9810216365098405	0.9879269871866888	0.9884849722182191	0.9861011179786807	0.988650490260695	0.9830975052839944	0.9890555276304587	0.9804992890310235	0.9883292541034288	0.9878365669302309	0.9888587630189323	0.9869480595025107	0.9883459144484175	0.9883901549163022	0.9879928483480712	0.9863455965273557	0.987560598980228	0.9882134832592772	0.9877103226385523
NielsenHB_2014__MH0030__bin.5	0.9849792010571672	0.9846449901346165	0.9846392295308715	0.984727454119331	0.9851541389121301	0.9847536821285509	0.9844603117055666	1.0	0.9842236583381092	0.9857247432963988	0.9756408077256011	0.9850093608508416	0.984842923434907	0.9802067271254215	0.98481279133878	0.9845729386313224	0.9997850338410476	0.9848775323495801	0.9853499916116489	0.9823156035252993	0.9842126937585451	0.9831713192201365	0.9814741225952466	0.986015409445541	0.9853942489578396	0.9843807334098318	0.9849509684078994	0.981380380899098	0.9848879578549332	0.9798934810095288	0.9852899961202695	0.9845164626826911	0.9854573560908247	0.9842395319220293	0.9849226176002024	0.9854273943807149	0.9849431767616539	0.9843850761972643	0.9845796394555582	0.9845842203219372	0.9845277243008936
BackhedF_2015__SID268_M__bin.65	0.9869188826877197	0.9888461745899527	0.9875194339368565	0.9902445516792356	0.9892885760161116	0.9879310500891594	0.9882701047753495	0.9842236583381092	1.0	0.98858839900762	0.9737217223741894	0.9870931950924052	0.9878552747224292	0.9781786586439458	0.9892491966111598	0.9893894392005017	0.9836828668431042	0.9867894321680671	0.9886542660272388	0.984755990709263	0.9855641254191452	0.9826451006684479	0.9813934534866009	0.987541927892805	0.9887224211936463	0.9865138742482957	0.9898938834060315	0.9832036820535222	0.9902760922798534	0.9802545455138268	0.988469737779764	0.9906403610211847	0.9897770792962969	0.9865212707472011	0.9885202377897143	0.9888511951133969	0.9888946167099295	0.9863363354281462	0.9892197202515147	0.9896504231141569	0.9896110277139739
Bengtsson-PalmeJ_2015__TRAVELRES45__bin.37	0.9999481324811692	0.9896855868774397	0.989053725282163	0.9877567629456798	0.9885933571523091	0.990082041842695	0.9878046667293782	0.9857247432963988	0.98858839900762	1.0	0.9754795624874435	0.9896412793001718	0.9896138157862051	0.9800775605413388	0.9876088235691551	0.9890396734289484	0.985100359089158	0.9895687928256217	0.9874562124690984	0.9849546255669415	0.9876993551725364	0.9830839054174949	0.9824871652290861	0.991568883606949	0.9907066568768395	0.9876966575390629	0.9875387206728243	0.9834852432274055	0.9876767096469568	0.981567507472722	0.9905973065596175	0.9882187245685952	0.988172693801382	0.9883517503614974	0.9883593121175667	0.9907515366938725	0.9878379107402514	0.9876978783509761	0.9874766694991038	0.9879621593580808	0.9877269848301401
