	Bengtsson-PalmeJ_2015__TRAVELRES46__bin.79	BritoIL_2016__M2.44.ST__bin.50	NielsenHB_2014__MH0132__bin.20	ZeeviD_2015__PNP_Main_610__bin.25	ZeeviD_2015__PNP_Main_601__bin.13	BritoIL_2016__M2.49.ST__bin.58	LiJ_2014__MH0280__bin.4	NielsenHB_2014__MH0030__bin.5	BackhedF_2015__SID268_M__bin.65	Bengtsson-PalmeJ_2015__TRAVELRES45__bin.37	BritoIL_2016__M1.1.ST__bin.107	LeChatelierE_2013__MH0100__bin.41	XieH_2016__YSZC12003_37314__bin.51	ZellerG_2014__CCIS51667829ST-4-0__bin.28	ZeeviD_2015__PNP_Main_633__bin.25	ZeeviD_2015__PNP_Validation_93__bin.17	LeChatelierE_2013__MH0030__bin.19	NielsenHB_2014__MH0100__bin.29	ZeeviD_2015__PNP_Main_24__bin.29	ZellerG_2014__CCIS00146684ST-4-0__bin.91	BritoIL_2016__M1.20.ST__bin.96	VatanenT_2016__G80328__bin.2	LeChatelierE_2013__MH0415__bin.14	HMP_2012__SRS011134__bin.45	ZeeviD_2015__PNP_Validation_48__bin.16	NielsenHB_2014__MH0013__bin.3	ZellerG_2014__CCIS98832363ST-4-0__bin.54	XieH_2016__YSZC12003_37797__bin.88	CosteaPI_2017__SID713A004-11-90-0__bin.3	LiJ_2014__V1.CD8-0-PN__bin.53	ZeeviD_2015__PNP_Main_122__bin.41	ZeeviD_2015__PNP_Main_627__bin.13	CosteaPI_2017__SID713A005-11-0-0__bin.26	ZeeviD_2015__PNP_Main_54__bin.38	CosteaPI_2017__SID713B033-11-0-0__bin.36	ZeeviD_2015__PNP_Main_596__bin.60	ZeeviD_2015__PNP_Main_616__bin.5	LeChatelierE_2013__MH0013__bin.11	ZeeviD_2015__PNP_Main_73__bin.28	LiJ_2014__MH0293__bin.9	ZeeviD_2015__PNP_Main_77__bin.3
Bengtsson-PalmeJ_2015__TRAVELRES46__bin.79	0.0	11307.0	11509.0	10436.0	11428.0	10720.0	13128.0	13913.0	8548.0	45.0	24074.0	10830.0	10617.0	16738.0	13071.0	9134.0	14150.0	10974.0	11238.0	15090.0	12909.0	8553.0	13959.0	8264.0	10365.0	13568.0	12955.0	15704.0	12135.0	17882.0	10578.0	12159.0	11727.0	11802.0	12455.0	10214.0	12746.0	13641.0	13200.0	12622.0	12841.0
BritoIL_2016__M2.44.ST__bin.50	11307.0	0.0	11241.0	9343.0	10233.0	3615.0	11908.0	13868.0	7445.0	8387.0	23501.0	11732.0	8294.0	16269.0	11800.0	8717.0	14025.0	11822.0	10904.0	14489.0	12164.0	9109.0	13925.0	9899.0	10444.0	13066.0	11655.0	15597.0	10983.0	18119.0	10495.0	11262.0	11372.0	11800.0	11218.0	10420.0	11807.0	12987.0	12165.0	11003.0	11578.0
NielsenHB_2014__MH0132__bin.20	11509.0	11241.0	0.0	9755.0	10886.0	11321.0	12283.0	14093.0	8156.0	8976.0	23784.0	10772.0	11364.0	17244.0	12808.0	9365.0	14172.0	10962.0	11276.0	14813.0	11995.0	8512.0	14572.0	8737.0	11021.0	13176.0	12697.0	16186.0	11987.0	17582.0	11364.0	12024.0	11688.0	11613.0	12406.0	10981.0	12423.0	13197.0	12893.0	12304.0	11988.0
ZeeviD_2015__PNP_Main_610__bin.25	10436.0	9343.0	9755.0	0.0	7548.0	9973.0	9716.0	11267.0	5424.0	7913.0	18824.0	9642.0	9544.0	13233.0	7742.0	5890.0	11218.0	9761.0	7746.0	12183.0	10515.0	6924.0	9833.0	7884.0	8637.0	10733.0	7396.0	12905.0	7328.0	14846.0	8718.0	8117.0	7971.0	9233.0	8809.0	8610.0	8566.0	10714.0	7156.0	8089.0	772.0
ZeeviD_2015__PNP_Main_601__bin.13	11428.0	10233.0	10886.0	7548.0	0.0	10194.0	10760.0	13290.0	6978.0	9051.0	22457.0	12161.0	10162.0	15571.0	4931.0	7346.0	12969.0	12262.0	8206.0	13723.0	12373.0	7636.0	12411.0	9372.0	10309.0	11894.0	4138.0	14864.0	4624.0	17021.0	10316.0	9364.0	9711.0	11418.0	10565.0	9832.0	9703.0	11906.0	6436.0	10008.0	9302.0
BritoIL_2016__M2.49.ST__bin.58	10720.0	3615.0	11321.0	9973.0	10194.0	0.0	11880.0	13721.0	8000.0	8050.0	23342.0	11497.0	7260.0	16684.0	11982.0	8982.0	13956.0	11573.0	10602.0	14261.0	12595.0	8612.0	13927.0	9079.0	9491.0	13114.0	11656.0	15627.0	11280.0	17987.0	9636.0	12496.0	11375.0	11309.0	11345.0	9652.0	11957.0	13127.0	11899.0	11839.0	12186.0
LiJ_2014__MH0280__bin.4	13128.0	11908.0	12283.0	9716.0	10760.0	11880.0	0.0	14316.0	7877.0	9853.0	24009.0	12439.0	12209.0	16773.0	11798.0	9238.0	14515.0	12656.0	10335.0	15248.0	13338.0	8589.0	14208.0	10209.0	11506.0	14430.0	11193.0	16130.0	10669.0	18281.0	11816.0	12222.0	11370.0	12453.0	12056.0	11443.0	11907.0	14130.0	12591.0	11698.0	12460.0
NielsenHB_2014__MH0030__bin.5	13913.0	13868.0	14093.0	11267.0	13290.0	13721.0	14316.0	0.0	9965.0	10862.0	21640.0	13548.0	13627.0	15147.0	13938.0	11267.0	200.0	13670.0	11876.0	15577.0	14376.0	7664.0	13007.0	10649.0	13188.0	14728.0	13296.0	16241.0	13620.0	17079.0	13384.0	13892.0	13227.0	13910.0	13827.0	12936.0	13535.0	14722.0	14037.0	14056.0	13960.0
BackhedF_2015__SID268_M__bin.65	8548.0	7445.0	8156.0	5424.0	6978.0	8000.0	7877.0	9965.0	0.0	5929.0	16610.0	8236.0	7973.0	11402.0	7176.0	6141.0	9766.0	8491.0	6532.0	9569.0	9523.0	5190.0	9406.0	7094.0	7425.0	8930.0	6397.0	10459.0	6298.0	12112.0	7637.0	6135.0	6700.0	8483.0	7649.0	7184.0	7303.0	9036.0	7163.0	6778.0	6893.0
Bengtsson-PalmeJ_2015__TRAVELRES45__bin.37	45.0	8387.0	8976.0	7913.0	9051.0	8050.0	9853.0	10862.0	5929.0	0.0	19284.0	8469.0	8362.0	15083.0	10087.0	6903.0	11062.0	8519.0	8834.0	11806.0	10032.0	7242.0	10834.0	5718.0	7531.0	10078.0	9699.0	12513.0	9996.0	13844.0	7685.0	9352.0	9380.0	9135.0	9415.0	7353.0	9694.0	10077.0	10125.0	9723.0	9863.0
